"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"F11r",50.1120781071473,-3.3994987472284,0.45209203198761,-7.51948388093149,5.49928976834392e-14,5.63237258073785e-10
"Mt2",108.774343041208,-24.5107409710284,3.9950828550195,-6.13522719315637,8.5037576699651e-10,4.35477430278913e-06
"Daglb",44.3206546860013,-2.76861549787044,0.480792720792765,-5.75843888257158,8.4895393322201e-09,2.17374654601496e-05
"Rab3il1",36.2012318278297,-2.97435627180273,0.514640085818182,-5.77948813892733,7.49282362029012e-09,2.17374654601496e-05
"Mtus1",21.6284566170597,-5.39544647577937,0.957274492292345,-5.63625848094952,1.73784475132363e-08,3.55980118861131e-05
"Marcks",137.562440086298,-4.41670916916771,0.790728425136405,-5.58562083866632,2.32866800753395e-08,3.97503628886046e-05
"Pla2g15",48.7754032995411,-2.95261546511366,0.54068765946638,-5.46085233021163,4.73854078131516e-08,6.93316209746141e-05
"Lhfpl2",24.3956349080005,-3.6242389878083,0.678729108914483,-5.33974296992312,9.30784491415504e-08,0.000105923275123084
"Plau",35.4674088514147,-4.41337381020219,0.825913839473148,-5.34362496337086,9.1105969424105e-08,0.000105923275123084
"Axl",165.501411161372,-2.88836194315335,0.549907952540016,-5.25244621361094,1.50092302515154e-07,0.000153724536236021
"Tcn2",75.2167889344286,-1.81400130359855,0.352197759173295,-5.15051915110565,2.59766404041438e-07,0.000241866137290219
"Il17a",283.450514517751,3.8124568921321,0.758182097836525,5.0284185065975,4.94541604640545e-07,0.000422091259560705
"Sdc3",56.4401670009875,-3.95526014095319,0.791789375764057,-4.99534378967446,5.87310470937876e-07,0.000462710295641979
"Stab1",22.897241389756,-3.21099708242534,0.644851917156156,-4.97943325746177,6.37707395701151e-07,0.000466528510483657
"Cebpd",16.8790132825888,-5.72735743531497,1.22712169452425,-4.66731006457794,3.05168630301621e-06,0.00208369140769947
"Fcgrt",8.31215665384091,-7.34089332177519,1.60441843249175,-4.57542320202242,4.7525828581908e-06,0.00297535052309857
"Aif1",152.153095122862,-1.85161056031269,0.405443840735142,-4.56687307656565,4.95053555689644e-06,0.00297535052309857
