"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnmt1",153.440629522273,2.03996889694685,0.126080241647469,16.1799253419166,6.98791168952294e-59,6.80902115027116e-55
"Pole",45.5576502782615,3.29209413849156,0.212478734132144,15.4937582433269,3.82275359768303e-54,1.86244555279117e-50
"Gins1",24.6120998734193,2.99922163613133,0.207025589464763,14.4872024945584,1.45967688665188e-47,4.74103052784532e-44
"Kif23",58.063580624215,2.63396354190543,0.199240804948758,13.2200005043287,6.72634965924248e-40,1.63853877699147e-36
"Mms22l",40.2822341369538,2.05971426028625,0.156267540545755,13.1806916080769,1.13346937360619e-39,2.20890511528373e-36
"Atad5",32.2062976619748,2.70815109778872,0.207553036338806,13.0479955656634,6.52413743604584e-39,1.05951991961384e-35
"Rrm1",48.6732805626557,2.6660379665223,0.20528779532541,12.9868313033235,1.45320130237519e-38,2.02285621290626e-35
"Gmnn",54.6339616045608,2.50535429427484,0.194400662606956,12.8875810435905,5.28764342222443e-38,6.44034968826936e-35
"Incenp",62.8750243457511,2.02325832116244,0.160487827461393,12.606926974877,1.93387513174001e-36,2.09374214263051e-33
"Dhfr",35.2816933334467,3.39348915377637,0.271748094907078,12.4876281283103,8.72151064992296e-36,8.49823997728493e-33
"Ezh2",34.1598294764089,2.13023665956224,0.17594484100696,12.1074118875584,9.64908908310875e-34,8.54733854780106e-31
"Fanca",36.0542852709715,3.08068943040041,0.255632125688687,12.0512608581604,1.91005585147132e-33,1.55096535139471e-30
"Ccnb2",71.0811834301217,3.60793276421207,0.304409091167711,11.8522503725893,2.09488406225396e-32,1.57019617712328e-29
"Clspn",57.5396872007643,3.79716011041529,0.322656300923908,11.7684362572258,5.6767001083699e-32,3.95098327542545e-29
"Sae1",73.834550736708,1.2272110297898,0.104402649898191,11.7545965642301,6.68794156242923e-32,4.34448683895403e-29
"Dtl",20.0828956959247,2.70210977588019,0.230226735524833,11.7367332239688,8.26163494955637e-32,5.03133568427983e-29
"Smc2",61.9759502409511,3.12490832382737,0.267053914000438,11.7014136846624,1.25347684545442e-31,7.18463434241641e-29
"Selenoh",40.98791949124,1.72563265126478,0.149838422999903,11.516623151232,1.08791500175599e-30,5.8892465428391e-28
"Ect2",28.9441550553665,3.66948535918864,0.322203314038299,11.3887263082355,4.75895144237692e-30,2.44059067655372e-27
"Tipin",47.0006875246095,2.27441763184299,0.199957689949581,11.3744944363804,5.60265619663207e-30,2.72961409899914e-27
"Dnajc9",142.025814946742,1.52631784474251,0.135038616432396,11.3028249627144,1.27063605034338e-29,5.89575127359328e-27
"Rad51",21.5673674627113,3.6395248255264,0.324165076400502,11.2273810181508,2.99216424469885e-29,1.32525674547025e-26
"Tacc3",82.7147830568421,3.38017180952439,0.303227341060356,11.1473187005639,7.37966761985561e-29,3.12641222990752e-26
"Ckap2",38.6739578919348,3.73373415107758,0.336824554285745,11.0851008442516,1.48183350187494e-28,6.01624401761226e-26
"Mki67",179.986759725063,3.55487645933078,0.324480811079802,10.9555830050502,6.24747736878354e-28,2.43501677925707e-25
"Ypel3",93.1951824183867,-1.71707849352646,0.157524973765411,-10.9003572734033,1.1480560742054e-27,4.30256091809901e-25
"H2az2",239.730690378906,1.54731931836921,0.142379428319732,10.8675764232912,1.64512908089399e-27,5.93708806082632e-25
"Tmpo",91.3154003833976,1.90763393695378,0.175623886471767,10.862041464163,1.7479720290308e-27,6.08294266102718e-25
"Fbxo5",22.9983366586823,3.0808122736597,0.285971971499912,10.7731266721734,4.61072077270013e-27,1.54920217962724e-24
"Timeless",28.426552580262,2.4214393394572,0.225292472363244,10.7479815639515,6.05726002222856e-27,1.96739805521984e-24
"Diaph3",18.9206371524783,2.90697387793634,0.271591523027226,10.7034779492913,9.8028323429846e-27,3.08125155967877e-24
"Pold1",60.4695388451639,2.38036711056822,0.222503987071361,10.6980874450794,1.03900569255592e-26,3.16377233383278e-24
"Cip2a",65.1490355109242,3.17643476050327,0.297594706022749,10.6736937728336,1.35144820324087e-26,3.9904579673876e-24
"Mcm3",56.8366146692246,2.64421002357353,0.249356014995615,10.6041557634775,2.85026484904487e-26,8.16852373208624e-24
"Mcm2",63.62375501349,2.19586591765627,0.207903380789123,10.561953871657,4.47253928995169e-26,1.24515493832255e-23
"Ticrr",14.3086661035275,3.34954999700334,0.317692775388994,10.54336219293,5.45143807957265e-26,1.47552257353767e-23
"Top2a",209.130827010943,3.51338802062325,0.340658618835613,10.313515720319,6.12199210766971e-25,1.61223489451712e-22
"Aspm",21.9867301190624,3.91381995243305,0.380021219411489,10.2989510914525,7.12337596792428e-25,1.82658356398564e-22
"Ncapg2",39.7749531473885,3.23447281518118,0.314453196346311,10.2860230163443,8.14722366272923e-25,2.03555249665727e-22
"Cks1b",26.8187091707389,3.17900665247581,0.313036113835312,10.1553990481376,3.1352493095131e-24,7.63746731797392e-22
"Acsl5",117.246280060105,1.1395285124012,0.11273877658313,10.1076891814676,5.10747313112587e-24,1.21383458999245e-21
"Wdr76",30.0568255740757,2.28674411434987,0.226520868062843,10.0950704184811,5.8089367540953e-24,1.34767332695011e-21
"Fignl1",17.0433308646322,3.50112664808821,0.348324627483839,10.0513324980177,9.06334994293585e-24,2.05379725218528e-21
"Sgo1",17.0942637721622,4.17254890301638,0.416981104921092,10.0065658941692,1.42617324594551e-23,3.15832547920297e-21
"Brip1",30.6766483366288,3.26831553018358,0.327325258303388,9.98491698173283,1.77449561205702e-23,3.84237449864079e-21
"Ncapd2",143.01848779275,3.01782984138899,0.302679843011561,9.97036938886519,2.05463252154774e-23,4.35224767173069e-21
"Dek",210.492195817282,1.27761476605161,0.128430114485088,9.94793760928981,2.57463465115385e-23,5.3377106469879e-21
"Hells",70.3765851680876,2.34741108203979,0.23663133209536,9.9201194586261,3.4034858637614e-23,6.90907630343565e-21
"Gtse1",27.5961182106482,3.50341087250808,0.3532392346594,9.91795511018514,3.47808685801533e-23,6.91642415193906e-21
"Parpbp",24.3097671319898,3.64340580326899,0.371175576922199,9.81585543283921,9.62184074309223e-23,1.87510432401381e-20
"Kif2c",17.7806738052783,4.40905165253722,0.452321103327748,9.74761429457881,1.88854159572416e-22,3.60822535465416e-20
"Bard1",36.9522662764681,2.86873332217298,0.294557955606767,9.73911336485075,2.05338067058986e-22,3.84771947196685e-20
"Brca1",16.1885887225088,3.45394560307678,0.354977599959148,9.73003818684412,2.24508661407914e-22,4.09505059820998e-20
"Prdx4",43.8253286821025,2.38362930775477,0.245003975672482,9.72894134151183,2.26942459260405e-22,4.09505059820998e-20
"Tcf19",74.8837916862903,3.16898720998409,0.325794207479085,9.72695995581056,2.31405344422481e-22,4.09966122918664e-20
"Dsn1",18.5669843887119,2.20924215442396,0.22902748087537,9.64618807306432,5.10169675799341e-22,8.87695235890854e-20
"Tcp11l2",53.7341877918636,-3.39439152241153,0.353308880257938,-9.60743335953913,7.43799002561609e-22,1.27150482122111e-19
"Ncaph",11.9304261944523,2.91210653747765,0.305069380565364,9.5457188528093,1.35166901406212e-21,2.27080394362436e-19
"Cdca2",32.3770420645694,3.31832724319231,0.348152796269437,9.53123823433043,1.55418245976551e-21,2.56677184541612e-19
"Tube1",13.3629975711321,2.60769001641415,0.274391485272852,9.50353839814339,2.02876903991196e-21,3.29472092081703e-19
"H2ax",146.613007749819,2.29442296313821,0.241673267383994,9.49390467540876,2.22538549926728e-21,3.53977153670612e-19
"Dscc1",15.8387760475187,3.62926791528382,0.382323954513217,9.49265112070909,2.25231768550677e-21,3.53977153670612e-19
"Mtbp",24.6102690274754,1.79169084210306,0.189361711434037,9.46173768991936,3.02867535752378e-21,4.68435121963678e-19
"Sgo2a",18.1490933186752,3.79221434730409,0.40117609091448,9.45274265637254,3.30066676767324e-21,5.02526515378251e-19
"Arid4b",81.9953687150745,-1.07380700346834,0.113936241683387,-9.42463071980463,4.31621665181025e-21,6.47034077772908e-19
"Gen1",9.31065122173628,3.52665144664474,0.374368803554353,9.4202599499793,4.49972617858247e-21,6.64323210365267e-19
"Snrpd1",109.200666398385,1.29232362369186,0.137392384159557,9.40607903121512,5.14990467955261e-21,7.48965241754637e-19
"Rad54b",11.3024455561893,3.91114163355393,0.415910699985731,9.40380142585443,5.26265645918785e-21,7.54107713798918e-19
"Btg1",144.306897184552,-1.44349348276718,0.154001715360436,-9.37322989804846,7.03461847153818e-21,9.93410469372001e-19
"Dut",34.8524764258256,2.51255155928237,0.268522203348545,9.35696016176749,8.20637119000543e-21,1.14232686964876e-18
"Uhrf1",45.7997117434105,3.6733524449304,0.392768546687091,9.35246082181035,8.56317821458707e-21,1.17520575384417e-18
"Cep55",22.3047159479166,3.64254923323189,0.389661692354015,9.34797878443377,8.93385870206815e-21,1.20904887767989e-18
"Dlgap5",38.2772603198745,3.6164682805439,0.386968766179947,9.3456335410341,9.13409774390483e-21,1.21921436187135e-18
"Cdc25b",22.8906172040871,2.14591106990401,0.229722836931335,9.34130493323756,9.51540299821963e-21,1.25294711911692e-18
"Lsm2",78.8768778216685,1.73586262751539,0.186400616461738,9.31253694577621,1.24814788572643e-20,1.62159373313578e-18
"Kctd12",39.3413177252528,-2.55269305387753,0.274286232946333,-9.30667582713489,1.31895702453254e-20,1.69104174303224e-18
"Poc1a",10.2154251652376,2.86086940008815,0.308042651205872,9.28725093388503,1.58324640820832e-20,1.97784012840793e-18
"Pola1",75.8789511120989,2.38225697474769,0.256503345831988,9.28743041156306,1.58057966541286e-20,1.97784012840793e-18
"Nup107",29.2673757788395,1.52161205533636,0.164261950597947,9.26332635036531,1.98160572233158e-20,2.44414761498721e-18
"Ube2c",74.0718193771379,4.07268321468087,0.439728509515757,9.26181297447793,2.00990009858611e-20,2.44805832007788e-18
"Hmgn5",18.7362857774101,1.70807101844512,0.184902755993106,9.23767203615293,2.51918305714694e-20,3.03048391467157e-18
"Cdca8",38.1737489047406,3.86954223363137,0.419155198694241,9.23176485866292,2.662089300822e-20,3.16334123746458e-18
"Rfc5",20.190234797013,1.92660985465799,0.208834628781007,9.22552866784521,2.8216550248564e-20,3.31255500749407e-18
"Nup205",31.6096812103667,1.4720115277305,0.160032708504906,9.19819167895528,3.64023981827593e-20,4.22267818920007e-18
"Ckap5",80.8712009263033,1.88744447425691,0.205341466912831,9.1917356130418,3.86553185786406e-20,4.43126381447381e-18
"Fanci",20.6939556841398,2.70534222081753,0.295129267471741,9.16663482409982,4.88015628706605e-20,5.52933056525251e-18
"Foxm1",31.1051141272282,3.40197102395064,0.374307748869418,9.08870049905769,1.00229805795635e-19,1.10042848156665e-17
"Prim1",10.5040589111207,3.00717604102277,0.330880847403378,9.08839561014759,1.00511222146379e-19,1.10042848156665e-17
"Aaas",41.6351650335077,1.32375112964315,0.14562464501393,9.09015867140152,9.88946255583563e-20,1.10042848156665e-17
"Knl1",18.6426966100101,3.97594461202406,0.439338156472853,9.04985044764656,1.43164281234512e-19,1.54999195149898e-17
"Mcm5",23.5618596170883,2.80206754322425,0.309938525183756,9.04072038660882,1.55642682412546e-19,1.66657395321741e-17
"Nusap1",91.7951428316574,3.91023831109184,0.433589195422446,9.01830200653891,1.91027083234018e-19,2.02322597720899e-17
"Knstrn",61.9948451003016,3.32232729675839,0.368946544134546,9.00490152184977,2.15859454199347e-19,2.26165002335316e-17
"Ckap2l",30.3696412830747,3.53171955995433,0.393038049664994,8.98569378451933,2.57107004965542e-19,2.66516027274919e-17
"Pclaf",93.1339768400226,3.57734023517944,0.40283030995617,8.88051406948169,6.6552075126532e-19,6.68539608281369e-17
"Cdk2",16.309270040809,2.13444513781138,0.240310050079233,8.88204691026293,6.56411421756358e-19,6.68539608281369e-17
"Mis18bp1",23.0601513423074,3.38450775083597,0.381076774735625,8.88143275901292,6.6004630232512e-19,6.68539608281369e-17
"Nsl1",6.15482928273485,3.20163865474542,0.360918318768265,8.87081228149325,7.26142706696049e-19,7.21993319800643e-17
"Pola2",57.4419645296576,1.67066382456671,0.188521648483792,8.86192030466117,7.86478153269874e-19,7.74085164188046e-17
"Birc5",41.4503011590013,3.76049531929197,0.424504651174042,8.85854915580232,8.10624929399901e-19,7.89872931207263e-17
"Cenpf",25.1307943737479,3.7713453154205,0.426669809050879,8.83902548392117,9.65570959893247e-19,9.31536973584138e-17
"Smc1a",103.150812090602,1.3642194863647,0.154980568240602,8.80251957940167,1.33778211167589e-18,1.27797538197744e-16
"Tubg1",25.1497865116711,2.21679495025664,0.252101140400543,8.79327616977281,1.45260830482432e-18,1.3741956623503e-16
"Hjurp",94.1565063490254,1.85133868962029,0.211640849245174,8.74754895485995,2.18036788656753e-18,2.04283698910712e-16
"Cdkn3",12.0747471049642,3.38471387597131,0.387244714332328,8.74050374530508,2.32073284226158e-18,2.15364007761875e-16
"Prc1",24.6478888151768,3.370479937272,0.386451333400191,8.72161549454842,2.74260292976348e-18,2.52112480637881e-16
"Orc6",31.3186510657676,1.81200271334416,0.210182874026843,8.62107686810269,6.63273647251809e-18,5.98420223964965e-16
"Cenpw",27.5491547188974,1.61622147808653,0.187459893184939,8.62169208904886,6.59719029947918e-18,5.98420223964965e-16
