"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Id2",243.59476708308,-2.73714544434002,0.160619023572484,-17.0412282646258,4.06112234736098e-65,3.96040651314643e-61
"S100a4",184.550514113875,-5.22045269466448,0.323244787394416,-16.1501527580539,1.1328081032903e-58,5.5235723116435e-55
"Bach2",41.7756171952521,2.21546738769743,0.156666921755627,14.1412581728846,2.11469426252989e-45,6.87416614939716e-42
"Tdrp",16.5546051269201,3.96733981869533,0.287581862925297,13.7955147043675,2.71210214482364e-43,6.61210502908004e-40
"Trib2",55.1406063483768,2.69901215532205,0.196451123648797,13.7388481429467,5.94135131600267e-43,1.15880116067316e-39
"St8sia6",22.4427923255099,3.78621378432068,0.290803051051733,13.0198557773973,9.43489382353824e-39,1.53348474278575e-35
"Lef1",81.8136861750221,2.46330153167947,0.190742530004727,12.9142752359341,3.73948458987846e-38,5.20963624578496e-35
"S100a6",121.27786301453,-4.17057043493267,0.329976781347379,-12.6389815001624,1.28710377289957e-36,1.56897949916457e-33
"Dgka",287.936636406925,1.5465239882635,0.126762873910601,12.2001335292712,3.10314664522754e-34,3.36243178713989e-31
"Cd52",377.439721778408,-1.57582810752502,0.129313903756962,-12.1860686418276,3.68787248629493e-34,3.59641324863482e-31
"Gzma",117.258904172058,-6.30717170604722,0.520752455262082,-12.1116504441116,9.16316078678275e-34,8.12355854479139e-31
"Cxcr6",74.2544588113312,-4.11061090966959,0.342430583380282,-12.0042166476252,3.37645714331595e-33,2.74393417180143e-30
"Xcl1",107.950650890676,-4.53858306145813,0.394945211562833,-11.491677651942,1.45263128970088e-30,1.08969694901254e-27
"Ccr5",88.3012308003119,-3.29680340732314,0.291621360178155,-11.3050820602067,1.2383833925092e-29,8.62622488839269e-27
"S100a10",229.169407292904,-2.05540012410793,0.18373476045273,-11.186778805727,4.73317670045561e-29,3.07719594552288e-26
"S1pr1",135.908654237339,2.9952816307399,0.270254716388448,11.0831798636759,1.51398188206811e-28,9.22771957120515e-26
"S100a11",158.499477464194,-2.34660208917479,0.211982028234057,-11.0698161949079,1.75760733729473e-28,1.00824627960578e-25
"Dusp10",286.625584555425,1.95418861724252,0.182325913265718,10.7181068353928,8.36989570101359e-27,4.53462349312692e-24
"Als2cl",14.7640555355575,2.54714787348491,0.239744468678038,10.6244281151928,2.2941395282014e-26,1.17749729889579e-23
"Arhgef18",63.338337104085,1.25520113062384,0.120302864197577,10.4336761971218,1.74022394329322e-25,8.48533194749773e-23
"Cmah",15.467608598376,2.5712537534103,0.248304272051801,10.3552537866682,3.9613460150095e-25,1.8395736351606e-22
"Nkg7",220.671862972959,-2.52439722101629,0.243908435021143,-10.3497741715963,4.19474066897745e-25,1.85941413653946e-22
"Sell",104.030277002294,2.09209785450398,0.202937980928075,10.3090503065834,6.41319104177783e-25,2.7191930017138e-22
"Lcp1",172.912069895788,-1.64922733908288,0.163621159200583,-10.07954806787,6.80383377706313e-24,2.76462445807999e-21
