"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Il17rb",103.434941066797,4.92214338104949,0.269178859916637,18.2857724509787,1.07430775224607e-74,1.1473606793988e-70
"Cnnm2",48.3227109922964,3.03137568718162,0.22888885573762,13.2438762796584,4.89554423373551e-40,2.61422062081476e-36
"Igsf5",30.9837049470662,4.9592284404419,0.387138327487081,12.8099650391949,1.44199517423493e-37,5.13350282027636e-34
"Lmo4",42.5013061862925,4.17869519619169,0.327534862226114,12.7580165597973,2.81271965898281e-37,7.5099614894841e-34
"Il1rl1",91.1616233715772,3.80152561228432,0.30176824435579,12.597500510366,2.17942049894723e-36,4.65524218575129e-33
"Ccl5",177.330028130305,-5.21734436464351,0.4156404956673,-12.5525410036556,3.84955362078677e-36,6.85220544500045e-33
"Rab4a",24.8767509662985,3.00855345461617,0.250114324285243,12.0287131223443,2.5104315682425e-33,3.8302013069757e-30
"Csf2",84.5046614101081,4.82502833852969,0.422987621866727,11.4070201800136,3.85717446198931e-30,5.14932790675572e-27
"Gata3",58.4633365601146,2.79421975614984,0.2463949774347,11.3404087422617,8.27570221896216e-30,9.82049996650176e-27
"Hilpda",108.441313555351,2.97386014959419,0.275052011685838,10.8119919987748,3.02039029536904e-27,3.22577683545413e-24
"Areg",166.8987355114,3.51453536894282,0.32564504049522,10.7925346063866,3.73348286463158e-27,3.62487245402412e-24
"Nkg7",114.55259184708,-4.25528795498627,0.402465577668598,-10.5730482085854,3.97364997596764e-26,3.5365484786112e-23
"Calca",38.3218527601433,6.19649443381423,0.587209001272027,10.5524513765818,4.94887714515506e-26,4.06569291617354e-23
"Zfp36l1",73.9992411843318,2.01322703675767,0.192446871623535,10.4612094744567,1.30183170078328e-25,9.93111611740385e-23
"Gimap4",155.341931991616,-2.71314617573128,0.259866515813908,-10.4405377785347,1.61890966717214e-25,1.15266368302656e-22
"Rnf128",27.6981991889259,5.57161422981124,0.537155136497462,10.3724489467626,3.30933143529603e-25,2.2089787330601e-22
"Cd3e",78.6174589954167,-2.87075255305574,0.278040948040194,-10.3249272212981,5.43600139625113e-25,3.41508793599777e-22
"Dgat2",11.2046873952028,3.50780104649453,0.342886986820882,10.230195899289,1.4522531025847e-24,8.61670174200256e-22
"Paxbp1",88.9606799544073,2.37034027175123,0.232229130549903,10.2069032689328,1.84664569256002e-24,1.03800926297584e-21
"Kctd12",64.5824545524075,2.3067268510478,0.227330982634712,10.1469972298249,3.41715915627291e-24,1.82476298944974e-21
"Irs2",127.135377847469,2.22678260872324,0.221203923926079,10.0666505783477,7.75750102684043e-24,3.94524337936456e-21
"Cd3d",84.7784098894875,-2.81143699524754,0.288769056289531,-9.73593580757036,2.11858594622098e-22,1.00108920954896e-19
"Epsti1",65.3544544126787,-2.61895970182711,0.269048336988314,-9.73416052722475,2.15590372842941e-22,1.00108920954896e-19
"Lck",87.8643445177266,-2.20042251594592,0.226226052473668,-9.72665390164133,2.32102404471868e-22,1.03285569989981e-19
"Gzma",68.7217711895206,-6.15865507480845,0.641193879929669,-9.60498106358091,7.61719312231012e-22,3.25406490185088e-19
"Rbfa",47.3872705461382,1.81227039871103,0.190195908690425,9.52844049690253,1.59663627373898e-21,6.5584905398201e-19
"Ffar2",6.09363756994662,4.98803762021833,0.526985118290398,9.46523430566714,2.9290364555916e-21,1.15859664243401e-18
"Nfkbiz",166.084337190147,1.86049585833456,0.198598339207783,9.36813402245035,7.38261093835275e-21,2.81593874362883e-18
"Ptgir",15.0563493106315,4.55480914112604,0.497048608780586,9.16370966674747,5.0143248885843e-20,1.84665482103725e-17
"Aff4",59.4444040606083,2.06395923940477,0.228512317916276,9.0321574706576,1.68319985715018e-19,5.99219149145465e-17
"Ptpn13",33.1383024627291,2.51417282327302,0.2790020999154,9.01130430213742,2.0362017363546e-19,6.93226441181367e-17
"Furin",143.980009584769,2.6249140249941,0.291361727072856,9.00912433271555,2.07708296983181e-19,6.93226441181367e-17
"Rab27b",34.3490723744734,3.73462871636325,0.422106843855548,8.84759100859617,8.94286999576975e-19,2.89423792590366e-16
"Lif",53.9279147682655,3.80457019504619,0.43686014339128,8.70889746432779,3.06844680905828e-18,9.63853291786542e-16
"Chdh",7.58421640704537,4.03779520900526,0.464353273657397,8.69552437350614,3.45231690601156e-18,1.05344984446296e-15
"Cd2",60.9383552032295,-2.75085289079307,0.317075037784564,-8.67571572336176,4.10957576773279e-18,1.2191741444274e-15
"Cd5",56.0609811629312,-2.96167218426985,0.342949663569716,-8.63588012725312,5.82765968936901e-18,1.68214609412057e-15
"Ccr5",51.1578675082491,-3.21820744455536,0.373046608022194,-8.62682403578883,6.30791108911616e-18,1.77285501136212e-15
"Gpr65",48.7226191939916,1.8282172253793,0.212206126278452,8.61528956511069,6.97650480393496e-18,1.9104890078468e-15
"Xcl1",61.8316957070683,-4.74648456701149,0.554466680109226,-8.5604504964599,1.12427337379054e-17,3.00180990802074e-15
"Apoe",139.8563416181,-7.68937319744735,0.902495017283673,-8.52012814496284,1.59376880553586e-17,4.15157337637145e-15
"Nfkbia",122.155376753153,1.71600235312628,0.202073907634172,8.49195412320562,2.03191226590607e-17,5.1668626190183e-15
"Hopx",47.6539389369033,-4.05659338816638,0.479115050796766,-8.4668460767832,2.52126921059909e-17,6.21907203368707e-15
"Il21r",61.620647769411,-2.78179732062937,0.328624554392498,-8.46497099333267,2.56216450826059e-17,6.21907203368707e-15
"Ifrd1",152.856919208041,1.38267505044138,0.165453769885824,8.35686640078091,6.44061693095217e-17,1.52857308494598e-14
"Gzmb",108.385292256005,-5.53977892847559,0.663729026996834,-8.34644667198203,7.03473839066277e-17,1.63328273939736e-14
"Il2ra",165.391883089227,1.95284950222044,0.234085744658366,8.34245376654825,7.27646206514593e-17,1.65345989054805e-14
"Nfkbid",78.9326962694991,2.11412027435198,0.255764404674412,8.26588937206976,1.38657092361118e-16,3.08512030503487e-14
"Ero1a",117.910663976781,2.39161406970235,0.289434702144776,8.26305226007785,1.41994035999138e-16,3.09489041728734e-14
"Gramd3",62.4837407540762,-2.70653866445924,0.329881079591333,-8.20458896221687,2.31381132631923e-16,4.94230099301788e-14
"Dach2",2.93562860143651,5.52273634602679,0.676333160892146,8.16570392429344,3.19566194928263e-16,6.69209208202716e-14
"Pim1",340.434736423185,1.41646556879148,0.174039353616126,8.138765970803,3.99327003011264e-16,8.20156229261597e-14
"Dot1l",61.7339617882025,1.86246490314777,0.23292189380516,7.99609204923315,1.28430381802387e-15,2.58799335405566e-13
"Spty2d1",102.595783697396,1.79584505299862,0.225810162729851,7.95289738640807,1.8219925320065e-15,3.60349634107952e-13
"Pxdc1",12.5477770587163,3.50426614449961,0.441918901009049,7.92965889555345,2.19748629433458e-15,4.26711884063516e-13
"Nr3c1",121.962337347672,1.26373950116866,0.159800004368823,7.90825698760254,2.61017563569642e-15,4.97797781950674e-13
"Lilrb4a",66.5985563755281,2.40448260006187,0.304421838991795,7.89852202465239,2.8222991506041e-15,5.28809735586874e-13
"Ctsw",72.6879222443391,-1.99705419769339,0.255985780342845,-7.80142629414302,6.12113547622062e-15,1.12713322217304e-12
"Prkch",59.2363175782376,-1.77592916645912,0.228009626494334,-7.78883415478621,6.76303064674164e-15,1.22422317469832e-12
"Ifng",42.0267435753037,-3.73828903162957,0.48051634563967,-7.77973333384343,7.2677581140118e-15,1.2936609442941e-12
"Phldb3",11.6677127730833,2.1495333625198,0.277341548518664,7.75049167353713,9.15374218335034e-15,1.57680591158357e-12
"Rora",22.3535235558367,2.11882360440465,0.273360148335244,7.75103326987577,9.11477998121397e-15,1.57680591158357e-12
"Hs3st1",28.7268513211947,7.8637332135475,1.01508454923178,7.74687509478775,9.41815156951025e-15,1.59660093273602e-12
"Niban1",40.3989692466022,1.57674994644247,0.204841910531739,7.69739914234088,1.38863615657393e-14,2.31728658628274e-12
"Fes",26.8963144003331,2.67483760033419,0.347705713738544,7.69282037840058,1.43926506720438e-14,2.36482321811428e-12
"Plek",28.7325518695907,-5.1340746986207,0.668636960771911,-7.67841893259032,1.61064031245929e-14,2.56740873687541e-12
"Hes1",25.4510283282597,5.3658530228287,0.698758063846729,7.67912858606478,1.60174397696393e-14,2.56740873687541e-12
"Nmur1",4.9326931968896,5.00095169380632,0.653282716356084,7.65511097813961,1.93145373315657e-14,3.01523522951557e-12
"Klrc1",24.731761293938,-5.1871142507183,0.67769876053676,-7.65401171253424,1.94804523255219e-14,3.01523522951557e-12
"Mgat5",23.679053220087,1.78398677543326,0.233533974431823,7.63908882968147,2.18764344653039e-14,3.33771885842065e-12
"Nfkb1",170.997634790335,1.86002773519213,0.244940764393358,7.59378594983501,3.10691470632861e-14,4.67349986811121e-12
