"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tnfrsf4",91.6986262432179,-5.45280498368925,0.450997462931012,-12.0905446967522,1.18498470945861e-33,1.08023206114247e-29
"S100a4",192.20108137821,-2.78641731381924,0.232799187520884,-11.9691883098573,5.15302632885477e-33,2.34874940069201e-29
"Cd7",159.005538671731,2.43384817991911,0.215028090264836,11.3187452714736,1.05977865206607e-29,3.22031406407809e-26
"Klhdc2",92.8813483320652,2.70207609534937,0.259597946615612,10.4086959491646,2.2630024414577e-25,5.1573825640821e-22
"Cd5",95.2670263369161,-2.14707890708056,0.208540283878226,-10.2957513395077,7.36424010838819e-25,1.34264825656134e-21
"Apoe",224.695866605407,-8.94057128497148,0.884604089322249,-10.1068618073215,5.15077719705823e-24,7.8257474880638e-21
"Cd4",64.7506207668748,-3.99118205118108,0.397089291870131,-10.051094635124,9.08525556208791e-24,1.18315985291419e-20
"Gramd3",300.734027870379,1.56486567721005,0.161463054704621,9.69178788344369,3.26757771182052e-22,3.72340480261949e-19
"Il2ra",65.6952788517063,-2.82758041825444,0.294121590021264,-9.61364454085131,7.00255342916196e-22,6.56434183084917e-19
"Klra6",31.6208382582679,4.31584319874443,0.449063244544523,9.61076919827166,7.20090152572309e-22,6.56434183084917e-19
"Ly6a",97.5763568355801,-3.4202527972305,0.361402646387302,-9.46382886628101,2.96868974095064e-21,2.46023415259146e-18
"Ctla4",145.48054910115,-3.21407862450072,0.340362733714243,-9.44309792504824,3.61917571014598e-21,2.74936714780757e-18
"Stmn1",40.2542265748362,-6.52674800487384,0.706779277037381,-9.23449260175274,2.59513046011563e-20,1.81978532880108e-17
"Qrfp",12.4745114847931,2.75893729987254,0.300692222932003,9.17528652045129,4.50375144446869e-20,2.93258558341261e-17
"Areg",28.3353360409868,-4.28070127807508,0.467657249314965,-9.15350138235974,5.51174867745755e-20,3.34967339624687e-17
"Rnf138",194.821657102961,0.98116898993203,0.107409116451242,9.13487627819215,6.54816065539945e-20,3.73081453341384e-17
"Cd74",101.237015247352,-7.79680718244223,0.862910689528716,-9.03547409605102,1.63293046557097e-19,8.75634948479116e-17
"Foxp3",31.2512177442552,-5.14164100575691,0.577576567620628,-8.90209418802827,5.48027331716257e-19,2.77545397551411e-16
"Tiprl",91.8265290684519,1.05624570376454,0.119989612621065,8.80280951568894,1.33432927906211e-18,6.4019714252264e-16
"Mki67",23.1523014710512,-5.28666591111877,0.604338772258646,-8.7478516252738,2.17452923649269e-18,9.9115042599337e-16
"Hnrnpll",34.592631753769,-2.76177606452652,0.316317758424257,-8.73101806956509,2.52390347650669e-18,1.09561448056357e-15
"Ifngr1",385.58639185115,0.898882908729444,0.104008636006473,8.6423872405509,5.5050475621941e-18,2.28109152622552e-15
"Id2",265.541806265828,-1.45118992630363,0.16837526394859,-8.61878337869583,6.76692330984672e-18,2.6820553431549e-15
"Sidt1",20.7092916117242,1.88205754603772,0.218591943000613,8.60991269944678,7.31162355557272e-18,2.77719834719171e-15
"Spry2",51.3030387567398,2.21562484255834,0.259546809073923,8.5365135116236,1.38332511397675e-17,5.04415669560482e-15
"Tatdn2",143.638081475731,1.28081450255457,0.153137677301995,8.3638104294134,6.07244628665392e-17,2.12909309035143e-14
"Lmnb1",89.6401816316381,-2.27219217903336,0.279073215903759,-8.14192136524112,3.89053910400967e-16,1.31356127674638e-13
"Sft2d2",73.1607913318664,1.14649515045016,0.141437669061825,8.10600993395191,5.23091702836267e-16,1.70303712966265e-13
"Atp11b",67.8386890670969,1.39351185478695,0.172885429563785,8.06031982164708,7.60950963330074e-16,2.3920099936955e-13
"Ptger2",22.5737824234254,-2.58936887526901,0.324143356116774,-7.98834474440434,1.36762558703347e-15,4.15575828379905e-13
"S100a10",235.564638369645,-1.36619237871469,0.174671622819844,-7.82149015769882,5.22016536083993e-15,1.53506540094893e-12
"Gm2a",46.8948916168627,-2.67549466001209,0.343636881518674,-7.78581928746404,6.92628912856214e-15,1.97312661549914e-12
"Bcl2l11",216.129765945326,1.27298209888181,0.163706159878427,7.77601832348375,7.48428712074975e-15,2.06747761796226e-12
"Hsph1",38.2427501662009,-2.70180994790323,0.347716958497327,-7.77014143796497,7.83985354649939e-15,2.10200308617319e-12
"Vps37b",934.171757929467,1.43543727631004,0.185121386097934,7.75403267319238,8.90194080621482e-15,2.2541692330404e-12
"Hsp90aa1",170.917220843467,-1.64628802880922,0.212267128179308,-7.75573704195287,8.78318522556419e-15,2.2541692330404e-12
