"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zbtb16",118.983370431897,4.5019373048316,0.305134358068991,14.7539507950583,2.90168893341186e-49,3.09987428756389e-45
"Blk",73.0581081049558,6.45833701952738,0.474176348278473,13.6201163195397,3.04083030097438e-42,1.62425950526546e-38
"Ikzf3",168.291268907428,1.57937841694328,0.120598690988152,13.096148921703,3.46392666805409e-39,1.23350428649406e-35
"Aqp3",19.5872544147105,4.63854627521183,0.370805643986754,12.5093734424861,6.6345470332377e-36,1.77192164890196e-32
"Smox",71.5839659638848,2.55124200489196,0.206427976737736,12.3589934136364,4.35576723444113e-35,9.30653227310691e-32
"Pxdc1",18.8740029536694,4.41087450849896,0.385240268985888,11.4496714481853,2.36038438858235e-30,4.20266440387088e-27
"Scart1",152.113632901569,7.06310639925887,0.629671794556266,11.2171236830392,3.36022321021618e-29,5.12818065067706e-26
"Trdc",161.036925035071,4.56329143460825,0.415706647350995,10.9771914009239,4.91982415152331e-28,6.56981017634043e-25
"Ramp1",36.6208665863894,2.41230694012488,0.223035380989203,10.8158038846835,2.89741222368929e-27,3.43922830951919e-24
"Smap2",133.531461146158,1.48881802606536,0.138611250273323,10.7409609474672,6.53604946821947e-27,6.98246164689886e-24
"Tmem176a",60.2919688085377,3.82040099915509,0.372984238131536,10.2427947580128,1.2749917655429e-24,1.19947746751665e-21
"Man2a2",56.4934209322941,1.97751699395614,0.193164915930162,10.2374542728614,1.34734902276513e-24,1.19947746751665e-21
"Cd5",64.235708411938,-2.55023820917356,0.252245445171239,-10.1101457250985,4.98101318611943e-24,4.09324337440876e-21
"Rorc",39.7665799188995,5.10701533312254,0.513685436976179,9.94191185014919,2.73526301978917e-23,2.08720106002912e-20
"Trgv6",35.384356583273,6.73566478771735,0.681724644529108,9.8803304850009,5.06655368240402e-23,3.60839953260814e-20
"Bpnt1",16.4826622826609,2.96652154970519,0.311872294679214,9.51197525498859,1.8707602575306e-21,1.23112733447498e-18
"Znrf1",65.4164815712096,1.35089824114742,0.142092501447749,9.5071747445039,1.95910930319897e-21,1.23112733447498e-18
"Chad",15.2069861326703,4.66311648282521,0.496148309482747,9.39863422629956,5.5275890381014e-21,3.28062409411318e-18
"Cd2",69.5018908851604,-2.23182583595171,0.2380552105493,-9.37524463674579,6.90155348502528e-21,3.88048925686974e-18
"Tmem176b",76.2469815112092,4.06389208303329,0.436001030029592,9.32083138142465,1.1543221269907e-20,6.16581164132082e-18
"Cd4",45.3888296881352,-4.24260569143778,0.457065796597299,-9.28226466084872,1.65913936181302e-20,8.44027895345164e-18
"Eprs",92.7626349636391,1.52110578729085,0.164346738409349,9.2554668380588,2.13296260457316e-20,1.03574725021159e-17
"Cwc25",54.6180233191416,1.95030890927126,0.211618212102101,9.21616759681476,3.07908734447998e-20,1.43016913482955e-17
"Epsti1",81.2468913300544,-1.6675895631842,0.182213710348811,-9.15183363530627,5.59752409716597e-20,2.491597913751e-17
"Apoe",159.668652727641,-7.93564902578209,0.868684857484008,-9.13524502863592,6.52588244172371e-20,2.78864008499738e-17
"Fyb",79.9389973588846,-2.17965791293401,0.23873436445614,-9.13005514685532,6.84644104005547e-20,2.81309729349664e-17
"Xcl1",70.7456125768381,-4.57495962614054,0.50380976222866,-9.08072841999465,1.0785061934758e-19,4.26728950551924e-17
"Tyrobp",21.4629064031873,-5.26755115309092,0.593580110273053,-8.87420427660184,7.04351766944212e-19,2.68735354509465e-16
"Marchf3",9.21751157498155,3.21103505087,0.363728505651669,8.8281094304583,1.06459872277877e-18,3.92176143291228e-16
"Ighm",82.1925130842807,-3.68585522629533,0.419103512118756,-8.79461784431649,1.43535657257921e-18,5.11130475495456e-16
"Cnnm2",26.985303603146,1.64866297561351,0.189113198831935,8.71786308833306,2.83501475772571e-18,9.76982666347864e-16
"Mgat5",26.0277922142899,1.7614767147536,0.202329391961854,8.70598531273055,3.14827615499489e-18,1.05103231761908e-15
"Acpp",4.7825439486189,3.00431534920133,0.345715733152576,8.6901319815706,3.62018673613507e-18,1.17195317885245e-15
"Prelid2",14.5977733590887,2.92489738990956,0.347336603340592,8.42093048005498,3.73505865912036e-17,1.17357740162891e-14
"Gzma",80.243759783746,-4.194807972808,0.500641709792903,-8.3788623495698,5.34417302281975e-17,1.63119429722238e-14
"Furin",100.685599314413,1.79629898679054,0.214477734249491,8.37522362438327,5.51191084603193e-17,1.63565954355997e-14
"Atf6",22.8537685060152,1.5637338459674,0.187606507306518,8.3351791386027,7.7380945563004e-17,2.23421794986371e-14
"Tnfrsf4",68.8253140245543,-3.48739476144431,0.420183884534553,-8.29968708892149,1.04385963993479e-16,2.934619087743e-14
"Ifng",48.0130909211024,-3.25888627207293,0.394254783538661,-8.26593971244323,1.3859858685637e-16,3.79653513688872e-14
"Cd164",110.663012986282,1.71548273398699,0.2090286134709,8.20692777654489,2.2691997158629e-16,6.06046514114085e-14
"Il23r",27.0297251077925,6.05516345904999,0.748240759811232,8.09253355908812,5.84362941775985e-16,1.52262178219338e-13
"Stmn1",28.7091295510324,-5.24724768770255,0.653188567233142,-8.03328158349357,9.48995242226036e-16,2.41383718397637e-13
"Ifi27l2a",29.835608448368,-3.78753003541572,0.471755278565194,-8.02859068569446,9.85987167450501e-16,2.44960486276132e-13
"Adgrg5",23.4446611185119,2.27964639924454,0.2849217974248,8.0009547175702,1.23458187933196e-15,2.99750868565984e-13
"Prkch",68.5997274236482,-1.67179801530346,0.211230814302502,-7.91455555773831,2.48137897484897e-15,5.76273295398077e-13
"Ell2",54.1270871539676,1.38215328068848,0.174586388397083,7.91672989732102,2.43838662147117e-15,5.76273295398077e-13
"Irf8",45.5082806576368,-3.96454381903348,0.501636551022186,-7.90321959385717,2.71790152512458e-15,6.17773233891615e-13
"Trgc1",13.7060709785433,5.10065473664719,0.647833412630253,7.87340485563741,3.4511756171811e-15,7.68102273298868e-13
"Irs2",108.291077062686,1.65174047660073,0.210382982700738,7.85111255386216,4.12362670377366e-15,8.99034777069674e-13
"Tex2",95.3327021640941,1.30355501161433,0.167022593300828,7.80466274563505,5.96608715766149e-15,1.26148105734881e-12
"Tdrd9",3.98512826143944,5.62711364927868,0.72110298667777,7.80348126860996,6.0222347584751e-15,1.26148105734881e-12
"Cxcr6",165.558730800297,1.64362894190789,0.210862592580218,7.79478674617268,6.4517344677683e-15,1.32545921767632e-12
"Nkg7",137.358247969414,-3.09689402469224,0.39817475436907,-7.77772571141394,7.38399493776769e-15,1.4883626022674e-12
