"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mcpt2",767.762073456038,29.6415034589903,3.67821215940577,8.05867148886242,7.71280645526568e-16,7.83081239403124e-12
"Mcpt4",160.862350054215,27.4538048336367,3.6785874268618,7.46313778847919,8.44859137040733e-14,4.28892740918728e-10
"Cpa3",111.471628457709,10.9426107702256,1.50768749656006,7.2578772425932,3.9321214962587e-13,1.33076098505049e-09
"Tnfrsf4",932.944948422962,-1.71319396942424,0.261659504826216,-6.54741730311717,5.85406174824706e-11,1.48590722324881e-07
"Penk",225.919119015107,-9.17877633399277,1.56741417839456,-5.85599930159763,4.74150209257725e-09,9.62809414918736e-06
"Lrrc32",314.949592488795,-2.38021940956627,0.43459272453939,-5.47689658654315,4.3285000750596e-08,7.32454354368001e-05
"Itpr1",31.940008724584,-20.0123695569944,3.88541119966853,-5.15064391606779,2.59593643614522e-07,0.000376522037659749
"Ifitm2",304.617821679955,-2.98914023211887,0.59034563288909,-5.06337315902606,4.11902473021375e-07,0.000522755726073252
"Adam8",81.3068736915239,-2.33551712060832,0.472665789227071,-4.94115963930346,7.76592891892037e-07,0.000876083070153316
"Fcer2a",12.5889373396276,3.29288252968691,0.747163336954306,4.40717894846102,1.04725663594173e-05,0.00966617874974221
"Pgam1",133.559506382931,-2.9136673727031,0.658905593014087,-4.42198002808698,9.78004986426265e-06,0.00966617874974221
"Ighd",28.5451076301198,2.86602407497059,0.654101889092455,4.38161718038622,1.17801658404987e-05,0.00996700198154864
"Gzmf",968.557083416061,-11.2780645093001,2.58996946369829,-4.35451640159333,1.33360995967672e-05,0.0104154937850752
"AA467197",148.995644977442,-2.4726414045897,0.571836127153494,-4.32403845643349,1.53198573096246e-05,0.0111101793760442
"Ifitm1",167.3144089245,-3.20151104239466,0.747950830400865,-4.28037634596756,1.86577531256081e-05,0.0126288111656199
"Dut",58.4988382301847,-2.39656337569452,0.562361913445579,-4.26160328143637,2.02965513774619e-05,0.0128794303834606
"Uhrf1",55.3905877376363,-3.39624257477573,0.8344333577807,-4.07011841401995,4.69892477341573e-05,0.0280636371908764
"Akap5",4.12930203468002,6.71271814806916,1.65547407225705,4.05486154121226,5.01640074754856e-05,0.028295287105478
"Mcm6",60.4125622321881,-2.18588106918431,0.543609148614508,-4.02105276328672,5.79386244470216e-05,0.0309605712637163
"Ttc39c",291.2108141936,-1.51801162413018,0.381658198217799,-3.97741128375788,6.96696029139795e-05,0.0353677739192817
"Tpsb2",184.955571618105,14.4029468696572,3.6785256050268,3.91541297142942,9.02495954354912e-05,0.0436335305931687
"Ciart",19.6243290145459,2.05508527613024,0.529042658129903,3.88453604742328,0.000102525481208652,0.0473155095777928
"Rcc1",67.4280395317676,-2.73888373904892,0.708626270046541,-3.86506097052969,0.000111061452730723,0.0490263882423928
"Zbtb10",320.082140009984,1.1765161581751,0.307510332892868,3.82594024437215,0.000130273890565798,0.0551112837881062
"Stx11",278.194765170968,-1.3558078018451,0.355926499413904,-3.80923534515603,0.000139397226360442,0.0566120015695028
"Plp2",112.963485758703,-1.61182462449078,0.425653171351571,-3.78670883473692,0.000152655802566807,0.0596120909023381
"Acsl3",4.29764096593541,6.71815623459322,1.84524357421774,3.64079643926752,0.00027179596888538,0.0999469613655636
"Cecr2",3.28307647294493,6.36975304251971,1.75128666015347,3.63718469822725,0.000275634287228975,0.0999469613655636
"Axdnd1",6.57995140621037,4.81595653618559,1.33885217440903,3.59707862319554,0.000321811233550523,0.109955639653399
"Tcf19",99.9429137679914,-2.04231190808094,0.568161822990677,-3.59459545755937,0.000324896010007087,0.109955639653399
"Il1r2",84.2630728778077,-2.32389459904132,0.651131788458359,-3.56900805679207,0.000358335406963115,0.110247860208985
"Tyrobp",313.527680216788,1.21076152110468,0.339058423348005,3.5709524899842,0.000355685414708998,0.110247860208985
"Itgae",144.680435218278,-1.58477493425374,0.44357126060576,-3.57276287938382,0.000353234591841884,0.110247860208985
"Nphs2",6.01018353265,6.70436863322555,1.90430052986661,3.52064630980025,0.000430496420437585,0.128553828138318
"Dapl1",76.4270249738949,2.34239927157568,0.673727395874642,3.47677604609612,0.000507481519087887,0.143123885091648
"Hdc",42.5589866760054,5.63134528366555,1.61749139455285,3.48153028982408,0.000498557390935445,0.143123885091648
"Hpgds",47.659394478539,2.36112691232743,0.689675865412498,3.42353130033807,0.000618131327215599,0.165797371452851
"Mapkapk3",141.613240839059,-1.37577059577469,0.402812972699931,-3.41540786671621,0.000636865703404036,0.165797371452851
"Flnb",78.3370884206525,-1.81513518669472,0.530421391500627,-3.42206256342619,0.000621480114443736,0.165797371452851
"Myo1g",370.391479791707,-1.08588622660852,0.320992536144816,-3.38290179469662,0.000717242750362459,0.177613796205611
"Iigp1",51.8473156947374,-2.42216900179537,0.714765611216316,-3.38875984488617,0.000702094719702051,0.177613796205611
"Lamc1",120.610670918971,-1.27257428845215,0.379158513796965,-3.35631204930189,0.000789893895136216,0.180101138785226
"Bcl2l1",293.277488865963,-1.4922247287414,0.449653850390275,-3.31860769666762,0.000904674291150057,0.180101138785226
"Ybx1",415.054014359808,-0.943289833825649,0.282100697089641,-3.34380539841739,0.000826376822144393,0.180101138785226
"Ncmap",46.2449340807528,-2.17211447785375,0.651814426840309,-3.33241239900618,0.00086096570592136,0.180101138785226
"Gprin3",113.577684725113,-1.08701413386358,0.325615532887367,-3.33833624036476,0.000842816933546968,0.180101138785226
"Tspan13",344.796588983138,-0.738947068897816,0.22256614065019,-3.32012347762829,0.000899776414734631,0.180101138785226
"Serpinb6a",102.092469012957,-1.617605569635,0.480647381448389,-3.36547255237402,0.000764126691851432,0.180101138785226
"Pip4p1",87.6788829004344,1.07322107702018,0.320139909902792,3.35235015636149,0.00080128603900678,0.180101138785226
"Ermp1",30.2320727351866,-2.52156724875966,0.754597660640016,-3.34160491118006,0.00083295531658234,0.180101138785226
"Foxp3",327.317935592393,-1.55248693883823,0.467572414210145,-3.32031337105461,0.000899164555804629,0.180101138785226
"Fnip1",85.9920178542693,1.23747202640214,0.374359643800855,3.30557004980064,0.000947834080943865,0.18506460430429
"Jak2",718.746383345254,-0.700046976767999,0.212394486384815,-3.29597528016644,0.000980806449984529,0.1878892054093
"Plac8",417.937748458548,-1.49213119057837,0.455195379899363,-3.27800161528058,0.00104544797384464,0.195472377472068
"Ybx3",433.281770546699,-0.989961298022965,0.302334408685947,-3.27439176481992,0.00105889695271976,0.195472377472068
"Vwa5a",49.4482906063466,1.45078684874432,0.446868343775584,3.24656438289327,0.00116807024891036,0.211775307806909
"Fcmr",4.64236313310455,3.90684911288884,1.208981052855,3.23152220099962,0.00123132758230488,0.219327525318272
"Ccr8",95.2808355266635,-1.26409461745918,0.394681741009997,-3.20282011076657,0.00136088960009988,0.238226070858864
"Gzme",85.629505056905,-7.77955751004397,2.43886196302733,-3.18983100642043,0.00142356011349463,0.240890097205183
"Gzmc",677.16913139382,-4.39365234837061,1.37691837206289,-3.19093160314802,0.00141814848281493,0.240890097205183
"Gzmg",264.469487398226,-9.40550805840668,2.95356217938352,-3.18446251921123,0.00145023090024267,0.241380234920719
"Srgap2",34.3833055924372,1.53472545396344,0.488303393657241,3.14297519513191,0.00167240011505609,0.246771228224578
"Il2ra",611.257618327204,-0.820703117859144,0.264285825438099,-3.10536184261373,0.00190046379524264,0.246771228224578
"Mvb12b",90.6703605959996,1.58015064797697,0.509089037165228,3.10387875719296,0.00191001584510028,0.246771228224578
"Zeb2",125.336977620068,1.16489209375994,0.371945451490967,3.13188960663558,0.00173685168602424,0.246771228224578
"Il2",33.6071416253756,1.71716551362292,0.552277015382365,3.10924674718547,0.00187565004861818,0.246771228224578
"Dnaja1",1050.26915275445,0.685647348843777,0.219989590499704,3.11672632912465,0.00182871247533535,0.246771228224578
"Col15a1",10.3615750688207,2.92920620074062,0.942835344011962,3.10680567857823,0.00189120670334319,0.246771228224578
"Gpnmb",53.0913468549312,-7.0916408052068,2.29138828769977,-3.09491012207529,0.00196872544924562,0.246771228224578
"Apoc1",13.789138614737,4.79900711970988,1.53609483358128,3.1241607059646,0.00178313038260727,0.246771228224578
"Tgfb1",482.645860918546,-1.43955006796003,0.461690132669101,-3.1180005074784,0.00182082490048435,0.246771228224578
"Tdrp",16.7938142417182,1.6108883101892,0.512777194651798,3.14149756851624,0.00168086204401109,0.246771228224578
"E2f4",248.427179578164,-1.0517377862615,0.333050027678039,-3.15789730928418,0.00158911525956177,0.246771228224578
"Plagl1",31.4176928770902,-3.16103831917412,1.02111650215144,-3.09566862597361,0.00196369681393714,0.246771228224578
"Snrpf",367.358794864551,-0.666826420267777,0.214949890648902,-3.10224126309032,0.00192061359032895,0.246771228224578
"Ahnak2",8.40880745305034,5.07911441839601,1.61093393765709,3.15290050055249,0.00161656897672461,0.246771228224578
"H2bc4",217.104447240174,2.23275305333635,0.721186766893818,3.095942903879,0.0019618813449076,0.246771228224578
"Plk2",150.39446034224,1.79405186383353,0.577023874324538,3.10914668120733,0.0018762854402654,0.246771228224578
"Gzmd",282.404023343838,-9.50012648811881,3.01854812772846,-3.14725029587914,0.0016481381166343,0.246771228224578
"Hrh4",4.28422425243551,3.53578931190404,1.12969321113113,3.12986683204349,0.00174885564300967,0.246771228224578
"Btrc",28.8524046177467,1.37929787892826,0.442040930828922,3.12029448572054,0.00180670319765865,0.246771228224578
"Azin1",195.614108987036,0.775998557818053,0.251655748351051,3.08357175587169,0.00204531779247709,0.253245262768535
"Ikzf2",466.768538324906,-0.732299696915248,0.23784041726653,-3.07895396977299,0.00207728774408181,0.254104848983887
"Igflr1",99.5199402832124,-1.91924864629412,0.625436839247372,-3.06865302114867,0.00215026175067567,0.255670915784661
"Tmcc3",45.6247663357693,1.73901699612641,0.567828252268258,3.06257568055075,0.00219440978373212,0.255670915784661
"Sla",219.620950380404,-0.984368724279087,0.321302357023928,-3.06368348304952,0.00218630089155031,0.255670915784661
"Polr1has",5.64668243680409,3.3836749893739,1.10590465391485,3.05964440731474,0.0022159992700729,0.255670915784661
"Nfkb2",490.198974941384,-1.10692811044276,0.360453851215477,-3.07092879354769,0.00213394035039205,0.255670915784661
"St8sia6",27.0109544697063,1.51132710108056,0.496903641245918,3.04148928611414,0.00235410943050797,0.268490318225771
"Sh2b1",193.530574227848,-1.57055140483329,0.516935681349316,-3.03819500471279,0.00237999888115034,0.268490318225771
"Lig1",92.721453280234,-1.84793902473508,0.609001595905183,-3.03437468335106,0.00241034870284785,0.268926048132024
"Cd55",57.0531757613507,1.57628054024737,0.521376125270881,3.02330786517778,0.00250027740724572,0.274946114047933
"Ccnl1",561.947650113842,0.853258745649748,0.282431839266185,3.02111386544338,0.00251846632586012,0.274946114047933
"Ddx31",40.4612021015863,1.12161603072541,0.372110537232393,3.0142012077044,0.00257656865479742,0.27829682502296
"Itgav",529.727130687095,-0.980861717705709,0.32579895559666,-3.01063493561354,0.00260702083844197,0.278621921817909
"Col27a1",8.48589477451571,2.62788776056035,0.880251947821839,2.98538136389586,0.00283224976594498,0.296451874985973
"Slc66a2",59.460627793156,-1.60969070898889,0.538716708071722,-2.98800962522697,0.00280800710926703,0.296451874985973
"Scyl2",283.142569185694,-0.822028886092428,0.276237507083916,-2.97580475138994,0.00292220844957726,0.299480105696935
"Rrm2",150.379922716815,-2.03976046038997,0.686815946441936,-2.96987929729499,0.00297916780019605,0.299480105696935
"Ncapg2",53.7587590863107,-1.91181623683124,0.643254561323578,-2.97209899747534,0.00295771297847318,0.299480105696935
"Muc4",9.40758542520407,2.84503298269054,0.957114282612969,2.97251126053982,0.00295374375107994,0.299480105696935
"Cd84",201.002205256095,1.04999257685671,0.354227487707548,2.96417588497138,0.00303494765550925,0.299501920945385
"Lrig1",88.0687212959792,-0.970143377303459,0.327327847777994,-2.96382780716368,0.00303838253298283,0.299501920945385
"Tnfrsf8",31.5088963748924,-2.53298756406638,0.856533213905862,-2.9572555073676,0.00310390795996081,0.300557836706329
"Ccr4",58.1176602840432,-1.88174612033236,0.636543315490631,-2.95619492741347,0.0031146018031038,0.300557836706329
"Itga2b",4.19261393692277,4.26533204094606,1.44396853081438,2.95389542772132,0.00313790315087865,0.300557836706329
"Gask1b",3.75287484923861,6.63548808157852,2.26746973311571,2.92638441195895,0.00342926911930511,0.30058360815659
"Rinl",96.3026244257529,-1.35987809904402,0.464013324489131,-2.93068760588118,0.00338212705376233,0.30058360815659
"Herpud2",39.2093170172638,1.29730092603828,0.442783422872307,2.92987690826989,0.00339096298874725,0.30058360815659
"Myl6",173.542679670312,-1.35559578541057,0.46246523804123,-2.93123822917412,0.00337613767420063,0.30058360815659
"Dusp3",20.3034168251555,2.56376363906326,0.876220281328235,2.9259350573088,0.00343422619385053,0.30058360815659
"Tk1",29.5675625876783,-2.41090451020279,0.819989948726868,-2.94016349096231,0.00328039107575311,0.30058360815659
"Lpar6",107.642580012423,0.877176425602545,0.297267877116079,2.95079452954152,0.00316957690481466,0.30058360815659
"Stk19",36.4632529786565,-1.7196742903932,0.585474518862962,-2.93723165567128,0.00331156629591228,0.30058360815659
"Ly6g5b",82.9998113409149,-1.94340186342523,0.663566179083327,-2.9287235014146,0.00340357039636322,0.30058360815659
"Lmnb1",767.964419625402,-1.06122720723861,0.360394104839307,-2.94462976222041,0.00323341327212208,0.30058360815659
"Dtl",30.4389806365673,-1.93831526484671,0.663813463177406,-2.91996979929991,0.00350065308558207,0.303778895537733
"Mcm7",99.7861197096773,-1.67580210342515,0.574552142318711,-2.91671021652124,0.00353744257748589,0.304369953298426
"Izumo1r",279.939616118193,-1.17448732419314,0.403928009128065,-2.90766497408395,0.00364138218725903,0.310680280228916
"Ctla2b",165.845919736242,-0.849114798819405,0.294165502849434,-2.88652065111121,0.00389527183418518,0.329572457770684
"Got1",319.004391242175,-1.16453757100001,0.404110209418038,-2.88173261615209,0.00395495188375315,0.331856417154923
"Ctla4",1397.40464249837,-1.15458058169989,0.405750070366456,-2.84554622666393,0.00443353238199409,0.337289632928658
"Traf2",112.189255921861,-0.878607694540144,0.306478249572868,-2.86678645471462,0.00414662704687127,0.337289632928658
"Pdk1",104.5083934774,0.746388946997237,0.259817191761896,2.87274657206383,0.00406920397011303,0.337289632928658
"Nudt9",63.0480991251663,-1.29985891201429,0.457118650437219,-2.84359194439129,0.0044608136800828,0.337289632928658
"Mkrn2",36.0158292769066,-1.5069455490268,0.524836166004922,-2.87126849602942,0.00408828113785239,0.337289632928658
"Kcnc3",4.37720680419634,7.23828698318033,2.54406924537544,2.84516115130827,0.00443889594732498,0.337289632928658
"Iqcn",12.6933022573021,3.05820806750268,1.07433145842635,2.8466150213848,0.00441867631416909,0.337289632928658
"Trir",676.514496673465,-0.719137555304597,0.25099289647791,-2.86517094864432,0.00416784178246443,0.337289632928658
"Got2",31.3685535652119,-2.33541733043022,0.817746273165324,-2.85591925890449,0.0042912424605698,0.337289632928658
"Ifng",651.602273540807,0.754817571131313,0.263860464831548,2.86066945123135,0.00422747567424644,0.337289632928658
"Mif4gd",118.594567943202,-0.935548632349504,0.327842246432698,-2.85365489813882,0.00432194524407502,0.337289632928658
"Sv2c",21.0305800644784,-3.31147349656298,1.16268276732255,-2.8481315709088,0.00439767395089951,0.337289632928658
"Ubash3a",248.543592356222,-0.635724266646431,0.223428911188907,-2.84530888712487,0.00443683749757223,0.337289632928658
"Ppp1r21",56.8242213472202,1.06738272561417,0.375589942571578,2.84188314070937,0.00448479271598235,0.337289632928658
"Col9a2",2.37824794320381,6.35598913784754,2.24291487590045,2.83380756271272,0.00459970216486778,0.340881577225567
"Rnf144a",18.4521366013578,1.84823045802139,0.651813629369037,2.83551980925974,0.00457511776824925,0.340881577225567
"Ctsl",18.4496176235897,2.44121456947231,0.86273184074504,2.82963309591555,0.00466014122867511,0.342858071701002
"Kars",104.682867620185,-0.826615867203529,0.292567709612792,-2.82538311660415,0.00472241138380507,0.344939876113474
"Adamts1",16.078714139543,3.84767695239955,1.36439977645503,2.82005099883301,0.0048016017677265,0.348219019626623
"Tmem241",25.3635471341665,1.20616003241945,0.428302254174102,2.8161421535016,0.00486041554930391,0.349984390582146
"Lyz1",11.1721588778214,-4.81656974946334,1.71622573805731,-2.80648963749691,0.00500845233596751,0.356832490948858
"Emc6",67.1638561130555,-1.46375781843665,0.521769070955627,-2.8053748294351,0.00502580973167405,0.356832490948858
"Ift172",19.2500042627652,2.03136800718573,0.726465816241287,2.79623343834122,0.00517020412985864,0.357095799526903
"Cd79a",6.63288188910605,3.39551199786098,1.21272677348862,2.79989860213378,0.00511186610854833,0.357095799526903
"G3bp1",234.502204961134,-1.49872820746587,0.535190932565206,-2.80036173311525,0.00510453699816426,0.357095799526903
"Tff1",67.9358371816742,-2.49437431489765,0.891511444840193,-2.79791620100264,0.00514334548219745,0.357095799526903
"BC034090",3.64788673213987,6.50207610557729,2.34197633000338,2.77632016270972,0.00549780404410126,0.357244807774221
"Otud1",84.7056005625706,1.17192527568747,0.422147397757622,2.77610446472617,0.00550145288830125,0.357244807774221
"P2ry13",22.2538617401406,2.36104468526819,0.849453551415092,2.77948650792614,0.00544449152112744,0.357244807774221
"Edem1",619.91577399341,-0.705713909475121,0.253055529268547,-2.78877095282199,0.0052908469140257,0.357244807774221
"Hnrnpl",569.290797376602,-0.748490988953351,0.268287035964621,-2.78988877066745,0.00527261520790277,0.357244807774221
"Inf2",51.3161079088481,-1.96864987941686,0.708887131351981,-2.77709919160512,0.00548464382414787,0.357244807774221
"H2-K1",519.860018638681,-1.40622366586295,0.50595533137015,-2.77934350855606,0.0054468891373048,0.357244807774221
"Pard6g",8.2518688806687,-4.37855898286602,1.57799480147732,-2.77476134824196,0.00552422287211196,0.357244807774221
"Mxi1",245.591328507082,-1.11804144735556,0.401638001747346,-2.78370433696877,0.00537419987752569,0.357244807774221
"Btk",9.97930193177575,2.58742707988709,0.929446177264669,2.78383745415126,0.0053719948317592,0.357244807774221
"Fdps",39.0343458525403,-2.00404397439418,0.723917309640047,-2.76833271936908,0.00563439018403915,0.362063060370566
"Tec",54.3903034410914,1.11431164695736,0.404577748027913,2.75425836539205,0.00588253098768292,0.375226083590243
"Mpp7",63.9082799919546,-2.21451845467942,0.804530739578627,-2.7525591574528,0.00591314620057508,0.375226083590243
"Rras2",143.014883760546,1.19957587688685,0.436729961461991,2.74672219160592,0.00601940976184144,0.37726550326128
"Chaf1a",27.6548803667761,-2.40461854725468,0.875453545843518,-2.74671175720441,0.00601960125365187,0.37726550326128
"Areg",249.946649698818,-1.04415311633307,0.380439571929069,-2.7445964967276,0.00605853396533944,0.377376045092585
"Stmn1",433.409148352261,-1.73363218585819,0.632141536044969,-2.74247472600006,0.00609781423364894,0.37750675557462
"Trim59",133.925190287697,0.952931514780521,0.348599163973462,2.73360241005359,0.00626456386872617,0.380251807490883
"Sars",8.22032028312121,-4.37055418391918,1.60075610175853,-2.73030612166205,0.00632755392662892,0.380251807490883
"Pilra",9.90023234637213,3.08562845396061,1.13098612354915,2.72826376001642,0.00636686765226535,0.380251807490883
"Fam169b",223.78004193261,-0.869622811270686,0.318454089320725,-2.73076352426695,0.00631877931534249,0.380251807490883
"Tmem251",102.881924474567,0.889005489502693,0.325638415333253,2.73003874126122,0.00633268831270999,0.380251807490883
"Rmc1",50.31142693807,-1.46483690778544,0.535263632107978,-2.73666436484132,0.00620655808841756,0.380251807490883
"Mphosph6",101.480562679917,-0.966853234023652,0.354710955234958,-2.72574957089559,0.00641556542425221,0.380658574045992
"Tpsab1",41.4461066322644,9.41627863182265,3.45671945115455,2.72405058173801,0.00644866293075058,0.380658574045992
"Mbnl1",822.701006876234,-0.584979745918491,0.215449227220661,-2.7151628876318,0.00662431799639667,0.383914647302637
"Trbv14",110.956837937602,1.75218502093228,0.645956454296395,2.71254356122324,0.00667690049155967,0.383914647302637
"Klrg1",159.518349167717,-1.59286554320869,0.586063918563267,-2.71790412744329,0.00656968712795945,0.383914647302637
"Itfg2",56.7264166074621,0.82196514376004,0.304279406905215,2.70134989455954,0.00690586449675263,0.383914647302637
"Fgfr1",3.9394861237767,7.08530351678782,2.62398743776162,2.70020481608399,0.00692968003608998,0.383914647302637
"Spc24",36.2570706397064,-2.50432830083794,0.927376879289488,-2.70044289087371,0.00692472244937864,0.383914647302637
"Rnf43",27.3566690630533,-1.79657927003757,0.661929404303691,-2.71415540442332,0.00664449881147145,0.383914647302637
"Slc16a3",85.5706184516815,-1.35937575339745,0.503530337478424,-2.69968987410952,0.00694041391622756,0.383914647302637
"Rtn1",3.9394861237767,7.08530351678782,2.62398743776162,2.70020481608399,0.00692968003608998,0.383914647302637
"Cma1",266.503011626182,8.34895945827791,3.09350428953948,2.69886791057942,0.00695757855842462,0.383914647302637
"Rgcc",236.062703069107,1.03922511229327,0.38438705989407,2.70359026284512,0.00685948148588876,0.383914647302637
"Cd200r4",46.5082453199391,1.79535586810289,0.664365511861321,2.70236163083319,0.00688488344251036,0.383914647302637
"Lancl2",22.0056944532195,-2.38169381766435,0.884059453395868,-2.6940425878777,0.00705911443179281,0.387411831491851
"Slc45a3",2.29935645520504,5.32933468538624,1.97999680165044,2.69158752223434,0.00711128364499158,0.388176681976341
"Scnm1",56.8030361021993,1.06546517384862,0.396420083065039,2.68771744763954,0.00719422438309389,0.390604065035039
"Cyb561d1",18.5458022109894,-3.11178528942847,1.16273266338636,-2.67626892011931,0.00744468837097664,0.399973489970557
"Golt1b",97.983771979733,-0.960920711075678,0.359461361160028,-2.67322392586136,0.00751260840926364,0.399973489970557
"Mrgprb1",18.5675581480274,8.45246895438078,3.1611539480751,2.67385552656418,0.00749847475457284,0.399973489970557
"Serpinb1a",82.019676660287,4.39070119800825,1.64279667375685,2.67269910400252,0.00752437078542071,0.399973489970557
"Dnajb9",189.936291088874,1.11541773903694,0.418304603940514,2.66652035031287,0.00766409662408657,0.403179134841196
"Atp8a2",13.8028900436742,1.79036612356857,0.671390413865246,2.66665428429532,0.00766104335850048,0.403179134841196
