"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",4.23119655633348e-12,2.11559827816674e-10,0.887074988399873,-0.510440654409173,-2.17547354340474,197,"Mcm2;Ran;Rfc1;Hus1;Rad51c;Cbx5;Naa38;Brca2;Nbn;Tubg1;Cse1l;Nudt21;Cks2;Ezh2;Ctps;Usp1;Dck;Pole;Cdca8;Mthfd2;Rfc2;Ipo7;Mcm4;Smc1a;Tfrc;Mcm5;Nup205;Mms22l;Ssrp1;Depdc1a;Nap1l1;Rbbp7;Tcf19;Dut;Eif2s1;Ccp110;Cit;Ccne1;Smc6;Mlh1;Rad21;Ctcf;Ranbp1;Cdc20;Asf1a;Xpo1;Lbr;Msh2;Nup153;Smc3;Mki67;Tipin;Hells;H2az1;Mre11a;Trip13;Wdr90;Plk1;Dnmt1;Birc5;Chek1;Ing3;Exosc8;Ccnb2;Cdk1;Diaph3;Rpa3;Ilf3;Luc7l3;Eed;Snrpb;Orc2;Dscc1;Psmc3ip;Rad50;Rad51ap1;Top2a;Aurkb;Pold2;Pop7;Mcm3;Espl1;Dctpp1;Atad2;Prdx4;Aurka;Dek;Gins1;Kif4;Rpa1;Asf1b;Gspt1;Pa2g4;Brca1;Cdkn2c;Prkdc;Zw10;Pds5b;Smc4;E2f8;Bub1b;Tmpo;Dclre1b;Rrm2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.57084941306678e-07,3.92712353266695e-06,0.690132458796796,0.411204178260698,1.92967508724315,193,"Tnip2;Il6;Ier3;Kdm6b;Sik1;Klf6;Atf3;Fosb;Klf4;Csf1;Sqstm1;Jag1;Mcl1;Ets2;Pmepa1;Sat1;Tnf;Cebpb;Clcf1;Cd80;Nfkb2;Nfat5;Ccrl2;Nfkbia;Cdkn1a;Rhob;Zfp36;Tap1;Slc16a6;Stat5a;Zc3h12a;Cflar;Ier5;Cebpd;Trib1;Plek;Tubb2a;Dnajb4;Klf2;Trip10;Plaur;Tnfaip6;Dusp2;Jun;Btg2;Abca1;Map2k3;Plau;Cd83;Egr2;Ccl2;Nr4a1;Il1a;Slc2a6;Nfkb1;Zbtb10;Maff;Bcl6;Tlr2;Marcks;Junb;Il23a"
"HALLMARK_MYC_TARGETS_V1",5.43767155709153e-06,9.06278592848589e-05,0.610526878385931,-0.425760236370634,-1.79474066331905,183,"Mcm2;Prps2;Ran;Canx;Prdx3;Stard7;Fam120a;Ndufab1;Hnrnpr;Vdac1;Ctps;Usp1;Ube2e1;Psma6;Snrpb2;Uba2;Impdh2;Pgk1;Psma7;Psma2;Cbx3;Mcm4;Eif2s2;Ddx18;Mcm5;Txnl4a;Lsm2;Cct3;Snrpg;Ywhaq;Nap1l1;Hnrnpa2b1;Dut;Eif2s1;Psma1;Etf1;Ptges3;Abce1;Ranbp1;Cdc20;Xpo1;Tomm70a;Snrpd1;Cul1;Eif1ax;H2az1;Ruvbl2;Hprt;Cdc45;Hnrnpc;Psmc4;Kpnb1;Smarcc1;Acp1;Snrpa1;Eif4a1;Srsf3;Apex1;Erh;Orc2;U2af1;Eif4g2;Psmd8;Hsp90ab1;Pwp1;Psmc6;Pold2;Eif3j1;Set;Psmd3;Pcbp1;Ccna2;Prdx4;Hspe1;Dek;Eif3d;Tyms;Snrpd3;Gspt1;Pa2g4;Eif4h;Pole3;Psma4;Trim28;Eif4e;Aimp2;Serbp1;Eprs"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",6.18840890100294e-05,0.000773551112625368,0.538434096309916,0.449625537806794,1.85339566531539,81,"Tnfrsf12a;Il6;Tgfb1;Cbl;Csf1;Itga4;Tnf;Myd88;Il4ra;Pim1;Ltb;Socs1;Pdgfc;Stat2;Ebi3;Cd9;Acvr1b;Jun;Il12rb1;Il17ra;Cd14;Crlf2;Il3ra;Dntt;Tlr2;Itgb3;Stam2;Cxcl13;Csf2ra"
"HALLMARK_G2M_CHECKPOINT",0.000103280047866012,0.00103280047866012,0.538434096309916,-0.393718056277552,-1.67410472250802,190,"Mcm2;Hus1;Tnpo2;Brca2;Dbf4;Dkc1;Cks2;Ezh2;E2f3;Wrn;Pole;Fancc;Smad3;Smc1a;Hif1a;Mcm5;Rbl1;Polq;Mtf2;Cdc6;Bub1;Mt2;Numa1;Traip;Rad21;E2f2;Ncl;Stil;Ctcf;Cdc20;Slc12a2;Atrx;Xpo1;Cdc7;Lbr;Bcl3;Snrpd1;Knl1;Mki67;Cul1;H2az1;Cdc45;Top1;Kpnb1;Plk1;Smarcc1;Birc5;Ccnf;Chek1;Ccnb2;Cdk1;Upf1;Nup98;Sqle;Ilf3;Cul5;Meis2;Ube2c;Dtymk;Slc7a1;Casp8ap2;Kif20b;Ss18;Prc1;Orc5;Top2a;Katna1;Aurkb;H2az2;Ewsr1;Mcm3;Espl1;Ndc80;Ccna2;Prpf4b;Aurka;Nusap1;Hira;Kif4;Gspt1;Cbx1;Cdkn2c;Odf2;Tpx2;Pds5b;Smc4;Sap30;Smc2;Tmpo"
"HALLMARK_P53_PATHWAY",0.000140455735241646,0.00117046446034705,0.518848077743792,0.348174680446995,1.63120965178902,184,"Ier3;Tgfb1;Mapkapk3;Tnni1;Atf3;Klf4;Rhbdf2;Ccnd2;Epha2;Bax;Sat1;Def6;Slc3a2;Mdm2;Aen;Ddit3;Vamp8;Wrap73;Cdkn1a;Foxo3;Sfn;Socs1;Tap1;Rab40c;Apaf1;Ier5;Iscu;Phlda3;Slc7a11;Cebpa;Irak1;Prkab1;Gm2a;Plk3;Coq8a;Trafd1;Acvr1b;Cdkn2aip;Osgin1;Jun;Irag2;Fdxr;Btg2;Kif13b;Ddit4;Mknk2;Rxra;Sertad3;Vwa5a;Tob1;Ralgds;Il1a;Pdgfa;Ankra2;Mxd4;Zmat3;Slc19a2;Tchh;Trp63;Fos;Ppp1r15a;Trib3;Hspa4l;Pidd1;Ifi30;Rap2b;Dgka;Rgs16;H2aj"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000200528256340034,0.0014323446881431,0.518848077743792,-0.386555851854792,-1.6363018554844,185,"Ndufs3;Fh1;Polr2f;Prdx3;Slc25a5;Idh3a;Etfdh;Atp5j;Cox11;Ndufab1;Ndufv2;Aco2;Vdac1;Atp5o;Acadm;Cyb5a;Dld;Uqcrc2;Mpc1;Lrpprc;Atp6v1h;Glud1;Ldhb;Slc25a11;Ndufa4;Ndufs8;Atp5a1;Acat1;Sdha;Ndufb4;Atp5g3;Cycs;Aldh6a1;Mdh1;Hccs;Uqcrb;Ndufb3;Ech1;Atp6v1e1;Ndufc1;Timm9;Tomm70a;Uqcrfs1;Idh1;Tomm22;Ndufa1;Timm8b;Cox7c;Decr1;Slc25a20;Eci1;Echs1;Cox7a2;Cox7b;Idh2;Atp6v0e;Pdhx;Sdhc;Oat;Fdx1;Opa1;Pdp1;Atp6v1c1;Ndufa6;Ndufs6;Idh3g;Uqcr11;Ndufa9;Hadhb;Vdac2;Abcb7"
"HALLMARK_FATTY_ACID_METABOLISM",0.00210779095700707,0.0131736934812942,0.431707695803346,-0.377338099343936,-1.53695074114199,137,"Fh1;Ywhah;Etfdh;Nbn;Aco2;Acsl5;Acadm;Dld;Suclg2;Sms;Hsd17b11;Hmgcs1;Sdha;Nsdhl;Mdh1;Rap1gds1;Hibch;Hccs;Eno2;Serinc1;Ech1;Idi1;Idh1;H2az1;Acox1;Decr1;Hadh;Eci1;Echs1;Adh1;Elovl5;Grhpr;S100a10;Gstz1;Sdhc;Apex1;Acadl;Aldh9a1;Acsl4;Erp29;Idh3g;Hadhb;Aldoa;Retsat;Slc22a5;Adsl;Psme1;Pts;Urod;Ccdc58"
"HALLMARK_IL2_STAT5_SIGNALING",0.00483611111093859,0.0268672839496588,0.407017918923954,0.30240931514907,1.41949399743663,192,"Eomes;Xbp1;Mapkapk2;Klf6;P4ha1;Irf8;Socs2;Flt3l;Ahnak;Csf1;Ccnd2;Ikzf4;Tnfrsf4;Pdcd2l;Bcl2l1;Myo1c;Il4ra;Plec;Pim1;Rhob;Ltb;Il13;Rabgap1l;Socs1;Syngr2;Tgm2;Spred2;Swap70;Ecm1;Ccr4;Cish;Dhrs3;Cdkn1c;Rhoh;Il2rb;Itgav;Il3ra;Ptrh2;Gabarapl1;Cd83;Tnfrsf8;Maff;Bcl2;Itga6;Plagl1;Il10ra;Tnfrsf18;Ikzf2;Odc1;Hopx;Ctsz"
"HALLMARK_HYPOXIA",0.00661348256789442,0.0330674128394721,0.407017918923954,0.297026475317563,1.38074425763779,172,"Chst2;Il6;Ier3;Klf6;Ilvbl;Atf3;P4ha1;Casp6;Ext1;Slc2a1;Pfkl;Ddit3;Cdkn1a;Pim1;Foxo3;Vhl;Zfp36;Sdc3;Tgm2;P4ha2;Gys1;Prdx5;Plaur;Cited2;Cdkn1c;Ccn2;Jun;Ndst2;Ddit4;Zfp292;Wsb1;Maff;Hspa5;Bcl2;Klf7;Hexa;Ccng2;Ccn5;Fos;Ppp1r15a;Pdgfb;Myh9;Ppargc1a;Eno3;Slc2a5;Pfkfb3;Gaa;Angptl4;Pgf;Lalba;Pam"
