"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.40554712902015e-16,7.02773564510073e-15,1.04762648849882,0.516570088366104,2.50587491432496,197,"Bub1b;Cdc20;Pold1;Tubb5;H2ax;Timeless;Mlh1;Tmpo;Hmgb3;Rpa2;Cdkn2c;Racgap1;Stmn1;Rnaseh2a;Spc24;Anp32e;Rrm2;Slbp;Mcm7;Kif18b;Wdr90;Ddx39a;Pnn;Pola2;Nasp;Dctpp1;Nop56;Ncapd2;Cdca3;Cdk4;Jpt1;Tcf19;Espl1;Pan2;Lig1;Cenpe;Ppp1r8;Mxd3;Hmmr;Cenpm;Shmt1;Aurkb;Bard1;Melk;Aurka;Pcna;Dlgap5;Spc25;Cks1b;Gins3;Plk1;Mcm3;Tacc3;Ak2;Top2a;Myc;Asf1b;Gins1;Pole4;Tk1;Cdk1;Phf5a;Brms1l;Kif22;Brca1;Cit;Ccp110;Trp53;Mre11a;Dnmt1;Hells;Spag5;Nme1;Lyar;Ubr7;Tra2b;Chek2;Cdkn1a;Orc6;Mybl2;Hnrnpd;Srsf1;Ung;Ccne1;Kif4"
"HALLMARK_G2M_CHECKPOINT",1.42016348871152e-09,3.5504087217788e-08,0.788186810800237,0.436490446396748,2.09817279875873,190,"Tfdp1;Cdc20;H2ax;Chaf1a;Mt2;Tmpo;Hmgb3;Ccnf;Rpa2;Cdkn2c;Racgap1;Stmn1;Nek2;Troap;Rad54l;Ddx39a;H2az2;Pola2;Nasp;Tpx2;Nsd2;Cdk4;Jpt1;Espl1;Cenpe;Meis2;Hmmr;Aurkb;Bard1;Slc7a5;Aurka;Cks1b;Traip;Slc7a1;G3bp1;Plk1;Mcm3;Uck2;Incenp;Tacc3;Top2a;Chmp1a;Kif23;Myc;Srsf10;Prc1;Cdk1;Odf2;Polq;Hnrnpu;Pml;Kif22;E2f2;Smc2;Sqle;Exo1;Cul4a;Kpnb1;Ndc80;Dtymk;Slc38a1;Cdc45;Kif15;Cenpf;Tra2b;Tgfb1;Orc6;Mybl2;Hnrnpd;Ttk;Nusap1;Pbk;E2f4;Upf1;Srsf1;Kif4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",5.01998574638588e-08,8.36664291064314e-07,0.719512826338911,0.5057610400715,2.20059878004,96,"Ifi44;Rsad2;Usp18;Ncoa7;Dhx58;Oasl1;Isg20;Ifih1;Ifi35;Ifit2;Herc6;Casp8;Nub1;Trafd1;Adar;Ube2l6;Trim14;Oas1a;Trim26;Irf7;Isg15;Psmb9;Cmpk2;Parp12;Tap1;Stat2;Cmtr1;Trim25;Tmem140;Ifit3;Uba7;Trim21;Bst2;Rtp4;Lap3;Lgals3bp;Helz2;Cxcl10;Gbp2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.75289564665049e-06,4.69111955831311e-05,0.627256739718528,0.375439522669642,1.80694496227749,194,"Ifi44;Rsad2;Usp18;Dhx58;Mt2;Oasl1;Isg20;Cfb;Il15ra;Ifih1;Ifi35;Ifit2;Herc6;Casp8;Slamf7;Xaf1;Oas3;Nup93;Trafd1;Adar;Ube2l6;Xcl1;Trim14;Trim26;Nfkb1;Gbp8;Irf7;Pfkp;Cd40;Isg15;Psmb9;Ptpn6;Cmpk2;Parp12;Tap1;Tnfsf10;Stat2;Socs1;Cd274;Cmtr1;Trim25;Ifit3;Zbp1;Oas2;Il18bp;Tapbp;Trim21;Pml;Nlrc5;Bst2;Rtp4;Lap3;Ifit1bl1;Ciita;Gzma;Lgals3bp;Helz2;Rnf213;Znfx1;H2-DMa;Casp7;Cxcl10"
"HALLMARK_ANDROGEN_RESPONSE",3.55217565166611e-05,0.000355217565166611,0.557332238758646,-0.452121735183346,-1.83874352273471,97,"Selenop;B4galt1;Ell2;Actn1;Dnajb9;Iqgap2;Arid5b;Lifr;Rab4a;B2m;Slc26a2;Pias1;Scd1;Itgav;Gsr;Elovl5;Uap1;Tnfaip8;Abhd2;Adamts1;Hpgd;Spcs3;Srp19;Elk4;Appbp2;Zbtb10;Fads1;Ccnd1;Gpd1l;Ncoa4;Ccnd3;Acsl3;Ube2j1;Zmiz1;Inpp4b;Klk1;Ngly1;Mertk;Cdc14b;Gnai3;Pa2g4"
"HALLMARK_MYC_TARGETS_V2",0.000490927388250563,0.00409106156875469,0.477270815362862,0.470573465263445,1.8297381196308,56,"Hspd1;Dctpp1;Nop56;Dusp2;Cdk4;Tcof1;Plk1;Nop2;Myc;Ipo4;Ppan;Nip7;Rrp9;Farsa;Mphosph10;Phb;Mybbp1a;Prmt3;Grwd1;Rcl1;Ung;Npm1;Ndufaf4;Map3k6;Nop16;Exosc5;Pprc1"
"HALLMARK_HEME_METABOLISM",0.000715022706266887,0.00455088482468834,0.477270815362862,-0.356388952386935,-1.56735954426594,173,"Kdm7a;Bnip3l;Vezf1;Cir1;Ypel5;Klf3;Top1;Arl2bp;Ell2;Smox;Slc11a2;Nek7;Sec14l1;Mfhas1;Ezh1;Aldh6a1;Nr3c1;Gclc;Mark3;Arhgef12;Nudt4;Abcg2;Fbxo34;Eif2ak1;Aqp3;Dcun1d1;Fech;Mpp1;Ranbp10;Tfrc;Gclm;Rbm5;Mospd1;Gapvd1;Slc10a3;Minpp1;Foxj2;Tnrc6b;Epb41;Ctse;Acp5;Gypc;Sdcbp;Igsf3;Cdr2;Ncoa4;Tfdp2;Riok3;Agpat4;Slc7a11;Xpo7;Slc25a38;Bsg;Ccnd3;Kat2b;Marchf2;Daam1;Add1;Marchf8"
"HALLMARK_PROTEIN_SECRETION",0.000728141571950135,0.00455088482468834,0.477270815362862,-0.425655527881756,-1.71031229005903,90,"Arfgef1;Vamp3;Rab2a;Ap1g1;Rab22a;Stx7;Vps45;Mapk1;Tmed2;Dnm1l;Vamp4;Sod1;Arcn1;Rab14;Atp6v1h;Snx2;Vps4b;Sgms1;Mon2;Arfip1;Ica1;Rer1;Copb1;Snap23;Golga4;Stx12;Cope;Gbf1;Tmed10;Arfgef2;Scamp1;Abca1;Atp7a;Dop1a"
"HALLMARK_ALLOGRAFT_REJECTION",0.000859507336722611,0.00477504075957006,0.477270815362862,-0.349476787506891,-1.55008878495732,183,"Ncr1;Ets1;Ccr2;Abce1;Klrd1;Gcnt1;Cd1d1;Abi1;Hif1a;H2-Q7;Il2ra;Ptprc;Ccl5;Ube2n;Il15;Bcl10;Eif3j1;Pf4;St8sia4;Ccr5;Ifngr1;Galnt1;Cd86;B2m;Fasl;Degs1;Nck1;Trat1;Cd7;Csf1;Flna;Stat4;Fas;Cd40lg;Ccr1;Cd80;Ifnar2;Jak2;Mmp9;Cd4;Lyn;Ube2d1;Igsf6;Cd79a;Was;Cd3d;Il18rap"
"HALLMARK_UV_RESPONSE_DN",0.00210980447679606,0.0105490223839803,0.431707695803346,-0.378536280935045,-1.58600953077112,115,"Dab2;Prdm2;Igf1r;Nr1d2;Gcnt1;Mios;Atrx;Phf3;Nipbl;Cdk13;Pten;Rbpms;Nek7;Synj2;Sri;Dyrk1a;Rasa2;Vav2;Nr3c1;Fyn;Nrp1;Adgrl2;Pmp22;Tgfbr2;Smad3;Ica1;Cdkn1b;Add3;Kit;Atp2b1;Grk5;Cdon;Smad7;Wdr37;Mapk14;Zmiz1;Dmac2l;Ythdc1;Inpp4b;Id1;Atrn"
