"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",4.53920118332643e-22,2.26960059166321e-20,1.21254456769062,0.576955327993315,2.71759455371467,197,"Bub1b;H2ax;Cdc20;Tubb5;Pold1;Hmgb3;Tmpo;Timeless;Cdkn2c;Ddx39a;Pola2;Rrm2;Anp32e;Slbp;Racgap1;Cdkn2a;Spc24;Rpa2;Pnn;Kif18b;Pcna;Nasp;Mcm7;Cdca3;Jpt1;Bard1;Wdr90;Mlh1;Cenpe;Cenpm;Rnaseh2a;Nop56;Melk;Ncapd2;Tacc3;Espl1;Stmn1;Lig1;Mxd3;Cks1b;Gins3;Top2a;Cdk4;Aurkb;Dlgap5;Gins1;Aurka;Tcf19;Brca1;Spc25;Plk1;Tk1;Trp53;Brms1l;Mcm3;Shmt1;Hells;Hmmr;Pan2;Dctpp1;Cdk1;Pole4;Asf1b;Hnrnpd;Phf5a;Ppp1r8;Kif22;Ak2;Dnmt1;Lyar;Chek2;Cit;Nme1;Mybl2;Spag5;Ubr7;Ccne1;Orc6;Mre11a;Ccp110;Srsf1;Birc5;Prim2;Cdkn1a;Ung;Kif4;Kif2c;Cbx5;Cdkn3;Exosc8;Ezh2;Ccnb2;Suv39h1;Lmnb1;Mki67;Nup107;Mms22l;Myc;Dscc1;Pole;Chek1;Dut"
"HALLMARK_G2M_CHECKPOINT",2.37687185550472e-14,5.94217963876179e-13,0.97599468306432,0.502307764590046,2.37589032897307,193,"Tfdp1;H2ax;Cdc20;Hmgb3;Tmpo;Nek2;Cdkn2c;Ddx39a;Pola2;Racgap1;Ccnf;Rpa2;Troap;Rad54l;H2az2;Tpx2;Nasp;Jpt1;Chaf1a;Bard1;Nsd2;Cenpe;Tacc3;Espl1;Stmn1;Incenp;Cks1b;Top2a;Srsf10;Cdk4;Aurkb;G3bp1;Aurka;Pml;Smc2;Slc7a1;Kif23;Hnrnpu;Plk1;Mcm3;Hmmr;Cdk1;Polq;Traip;Slc7a5;Hnrnpd;Prc1;Kif22;Kif15;Chmp1a;Cdc45;Uck2;Exo1;Tgfb1;Cul4a;Nusap1;Mybl2;E2f2;Sfpq;Pbk;Gins2;Orc6;Ttk;Kif11;Srsf1;Birc5;Prim2;E2f4;Upf1;Kif4;Kif2c;Kpnb1;Dtymk;Bub1;Cdkn3;Pura;Ndc80;Cenpf;Odf2;Dkc1;Sqle;Ezh2;Ccnb2;Suv39h1;Ccna2;Lmnb1;Mt2;Mki67;Ube2c;Slc38a1;Atf5;Myc;Fbxo5"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.05215048026741e-10,3.42025080044568e-09,0.826657301178302,0.561130320578242,2.38715506691979,96,"Usp18;Ncoa7;Dhx58;Isg20;Ifi44;Ifi35;Rsad2;Casp8;Ifih1;Trafd1;Ube2l6;Oas1a;Oasl1;Adar;Psmb9;Trim26;Isg15;Ifit2;Trim14;Irf7;Cmtr1;Tap1;Bst2;Herc6;Uba7;Stat2;Cmpk2;Nub1;Trim25;Trim21;Rtp4;Gbp2;Lgals3bp;Ifit3;Helz2;Cxcl10;Parp12;Mov10;Tmem140;Ogfr"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.01127255629694e-08,8.76409069537118e-07,0.704975715167238,0.419504038242955,1.97791533585919,195,"Usp18;Dhx58;Isg20;Ifi44;Ifi35;Rsad2;Casp8;Ifih1;Trafd1;Ube2l6;Xaf1;Oasl1;Il15ra;Adar;Psmb9;Trim26;Cfb;Nup93;Isg15;Ifit2;Oas3;Pfkp;Gbp8;Trim14;Socs1;Irf7;Cmtr1;Tap1;Tnfsf10;Bst2;Slamf7;Herc6;Cd274;Xcl1;Cd40;Nfkb1;Stat2;Cmpk2;Ptpn6;Pml;Tapbp;Zbp1;Trim25;Nlrc5;Trim21;Gzma;Cxcl9;Ciita;Oas2;Casp7;Rtp4;Lgals3bp;Ifit3;Helz2;Cxcl10;Parp12;Stat1;Irf8;Ogfr;H2-DMa;Rbck1;Znfx1;Cdkn1a"
"HALLMARK_MYC_TARGETS_V2",6.9485135976709e-06,6.9485135976709e-05,0.610526878385931,0.548648076897781,2.1295532843703,56,"Hspd1;Dusp2;Nop56;Cdk4;Tcof1;Plk1;Dctpp1;Nop2;Mphosph10;Nip7;Farsa;Mybbp1a;Rcl1;Exosc5;Npm1;Ung;Prmt3;Grwd1;Rrp9;Ppan;Pprc1;Ndufaf4;Myc;Wdr74;Nop16;Ipo4;Phb;Plk4;Slc29a2;Aimp2;Rabepk"
"HALLMARK_ANDROGEN_RESPONSE",0.000174711827735169,0.00141010794925396,0.518848077743792,-0.447974813859597,-1.76745909974571,103,"Selenop;B4galt1;Dnajb9;Actn1;Iqgap2;Ell2;Lifr;Arid5b;Tnfaip8;Rab4a;B2m;Pias1;Hpgd;Slc26a2;Zbtb10;Elovl5;Adamts1;Elk4;Scd1;Acsl3;Ncoa4;Ank;Spcs3;Uap1;Ngly1;Abhd2;Appbp2;Gsr;Camkk2;Gpd1l;Ccnd3;Ccnd1;Srp19;Zmiz1;Ube2j1;Plpp1;Mertk;Pdlim5;Inpp4b"
"HALLMARK_MITOTIC_SPINDLE",0.000217154217908897,0.00141010794925396,0.518848077743792,0.335390388598242,1.58109221940329,192,"Nek2;Rab3gap1;Racgap1;Cep250;Myo1e;Tpx2;Mid1ip1;Cenpe;Net1;Abr;Espl1;Incenp;Ezr;Top2a;Cntrob;Dlgap5;Aurka;Tubgcp6;Kif23;Plk1;Ccdc88a;Bcr;Cdk1;Ralbp1;Ywhae;Kif3c;Prc1;Kif22;Kif15;Pcnt;Map3k11;Arf6;Als2;Sac3d1;Klc1;Cyth2;Anln;Tubd1;Nusap1;Cenpj;Arhgef2;Ect2;Pif1;Cep72;Cep131;Actn4;Ttk;Kif11;Birc5;Bin1;Kif4;Kif2c;Kptn;Kntc1;Bub1;Myh9;Ndc80;Cenpf;Rhof;Ccnb2;Pkd2;Lmnb1;Arfip2"
"HALLMARK_UV_RESPONSE_DN",0.000225617271880634,0.00141010794925396,0.518848077743792,-0.422603342142692,-1.71297200082523,121,"Prdm2;Mios;Nr1d2;Gcnt1;Atrx;Dab2;Nipbl;Nek7;Phf3;Cdk13;Dyrk1a;Pten;Tgfbr2;Rbpms;Fyn;Nrp1;Synj2;Rasa2;Igf1r;Atp2b1;Pmp22;Vav2;Nr3c1;Sri;Add3;Adgrl2;Ica1;Smad3;Grk5;Cdkn1b;Plpp3;Dmac2l;Cdon;Dbp;Smad7;Wdr37;Zmiz1;Mapk14;Bdnf;Fhl2;Atrn;Pdlim5;Inpp4b;Mgll;Tent4a;Kcnma1"
"HALLMARK_HEME_METABOLISM",0.000271527988352596,0.00150848882418109,0.49849310876659,-0.389123004258746,-1.6600577706684,182,"Kdm7a;Vezf1;Bnip3l;Cir1;Top1;Klf3;Ypel5;Arl2bp;Ell2;Nek7;Sec14l1;Slc11a2;Mfhas1;Gclc;Ezh1;Smox;Fech;Mark3;Abcg2;Gclm;Arhgef12;Ranbp10;Nudt4;Eif2ak1;Nr3c1;Ctse;Mospd1;Gapvd1;Fbxo34;Aldh6a1;Tnrc6b;Slc10a3;Daam1;Minpp1;Acp5;Tfrc;Foxj2;Mgst3;Ncoa4;Sdcbp;Mpp1;Dcun1d1;Dcaf11;P4ha2;Epb41;Slc7a11;Btrc;Add1;Xpo7;Igsf3;Tfdp2;Slc25a38;Rbm5;Ccnd3;Sptb;Agpat4;Slc6a9;Kat2b;Marchf2;Aqp3;Cdr2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.000385074053071963,0.00192537026535981,0.49849310876659,0.387596615731805,1.69302654949795,110,"H2ax;Asns;Chac1;Psat1;Eef2;Banf1;Nop56;Bag3;Srpr;Cks1b;Cxxc1;Imp3;Exosc1;Nop14;Tspyl2;Slc7a5;Aldh18a1;Iars;Hspa9;Srprb;Lsm4;Cebpb;Eif4ebp1;Eif2ak3;Exosc5;Npm1;Atf4;Slc1a4;Preb;Tars;Pdia5;Sec11a;Stc2;Edem1;Rrp9;Dkc1;Exosc2;Hsp90b1;Xbp1;Hspa5;Wipi1;Fkbp14;Ifit1bl1;Exosc9;Exosc4"
