"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.70179311028064e-05,0.00174942051830959,0.557332238758646,-0.446102609828284,-1.62825242650169,194,"Gadd45b;Mcl1;Dusp2;Kdm6b;Clcf1;Zc3h12a;Sqstm1;Ppp1r15a;Cdkn1a;Btg2;Plk2;Gem;Traf1;Slc16a6;Ier5;Map2k3;Fosb;Tap1;Cebpb;Nfkb2;Per1;Ldlr;Nfkbia;Zfp36;Tnf;Nfkb1;Slc2a3;Inhba;Birc2;Il6;Phlda1;Rela;Irf1;Slc2a6;Serpine1;Il15ra;Serpinb2;Socs3;Ccl2;Maff;Dnajb4;Bcl6;Ier2;Il12b;Tnip2;Il23a;Nfat5;Irs2;Birc3;Fosl1;Jun;Atf3;Gadd45a;Plau;Mxd1;Nr4a1;Egr3;Cd44;Junb;Tubb2a;Cflar;Kynu;Nfil3;Ifit2;Plek;Sik1;B4galt5;Klf9;Bhlhe40;Ehd1;Dusp4;Zbtb10;Ccl4;Pnrc1;Ier3;Rhob;Ifih1;Hbegf;Myc"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.99768207323835e-05,0.00174942051830959,0.538434096309916,-0.444966464678401,-1.6258846030902,195,"Mt2;Helz2;Oasl1;Ccl7;Isg15;Cdkn1a;Irf7;Rsad2;Il18bp;Cxcl9;Adar;Nlrc5;Socs1;Lgals3bp;Pfkp;Ube2l6;Stat1;Pim1;Tap1;Tapbp;Epsti1;Nfkbia;H2-D1;Cd274;Trafd1;Stat2;Peli1;Dhx58;Zbp1;Rbck1;Nfkb1;Ciita;Pml;Trim26;Psmb9;Oas3;H2-Eb1;Il6;Bst2;Ifit3;Irf1;Auts2;Csf2rb2;Il15ra;Socs3;Cmpk2;Casp8;Ccl2;Ifi44;Oas2;Ifi35;Xaf1;Cmtr1;Psmb10;H2-M3;Samhd1;Xcl1;Myd88;Txnip;Irf8;Cfb;Parp12;Gbp8;Bpgm;Ifit2;Znfx1;Vamp8;Trim14;Mvp;Casp4;Trim21;Ogfr"
"HALLMARK_HYPOXIA",0.00204429743092081,0.0254193705842154,0.431707695803346,-0.414338909834835,-1.50354152606795,180,"Mt2;Ndrg1;Hspa5;Wsb1;Chst3;Ddit3;Ppp1r15a;Cdkn1a;Slc2a1;Ext1;Pgm1;Ccng2;Pfkp;Pygm;Klf7;P4ha2;Pim1;Zfp36;Cdkn1c;Slc2a3;Inha;Il6;Plac8;Eno2;Serpine1;Mif;Maff;Chst2;Myh9;Nagk;Sdc3;Col5a1;Gys1;Angptl4;Ilvbl;Tpbg;Dtna;Tgfbi;Rragd;Irs2;Jun;Atf3;Pdk3;Hk2;Mxi1;Adora2b;Ero1a;Foxo3;Nfil3;Ppfia4;Prdx5;Hk1;Bhlhe40;Lalba;Tgm2;Large1;Ldha;Pnrc1;Ier3;Pfkl"
"HALLMARK_MYC_TARGETS_V1",0.00222225880041774,0.0254193705842154,0.431707695803346,0.308760277060283,1.40456773588317,183,"Psma2;Ptges3;Ranbp1;Tomm70a;Snrpg;Cct3;Ndufab1;Psma7;Eif2s1;Ube2e1;Pa2g4;Pwp1;Fam120a;Cul1;Mcm4;Usp1;Stard7;Canx;Lsm2;Tyms;Mcm5;Psma1;Prdx4;Hnrnpc;Eprs;Snrpd1;Etf1;Nap1l1;Psmc6;Abce1;Impdh2;Psma6;Eif1ax;Cbx3;Ddx18;Xpot;Set;Txnl4a;Orc2;Ran;H2az1;Smarcc1;Pold2;Hnrnpr;Hprt;Mcm6;Hnrnpa2b1;Uba2;Trim28;Mcm2;Prps2;Ctps;Hspe1;Pabpc1;Cops5;Eif4h;Erh;Snrpd3;Iars;Psmd3;Srm;Dhx15"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0027282403155921,0.0254193705842154,0.431707695803346,-0.458125075382115,-1.55376220352216,96,"Helz2;Oasl1;Isg15;Oas1g;Irf7;Rsad2;Uba7;Adar;Lgals3bp;Ube2l6;Tap1;Gbp2;Epsti1;Trafd1;Stat2;Dhx58;Trim26;Psmb9;Bst2;Ifit3;Irf1;Nub1;Cmpk2;Oas1a;Casp8;Ifi44;Ifi35;Tmem140;Cmtr1"
"HALLMARK_ANGIOGENESIS",0.00305032447010585,0.0254193705842154,0.431707695803346,0.548835138184746,1.82660578353512,29,"Tnfrsf21;Vegfa;App;Nrp1;Pf4;Postn;Spp1;Pglyrp1;Vav2;Thbd;Pdgfa;Lrpap1;Lpl;Itgav;Slco2a1"
"HALLMARK_P53_PATHWAY",0.00741155156171505,0.0529396540122504,0.407017918923954,-0.388897221158478,-1.41125317435379,184,"Zmat3;Ndrg1;Csrnp2;Coq8a;Plk3;Pmm1;Sfn;Ankra2;Gm2a;Ddit3;Slc3a2;Ppp1r15a;Cdkn1a;Btg2;Socs1;Plk2;Ier5;Ccnd2;Irag2;Tob1;Tap1;Cdkn2aip;Pcna;H2ac25;Apaf1;Trafd1;Bax;Def6;Vdr;Sdc1;Hexim1;F2r;Osgin1;Slc7a11;Ccp110;Aen;H2aj;Mapkapk3;Sertad3;Nudt15;Jun;Atf3;Gadd45a;Ak1;Tgfb1;Mxd1;Txnip;Foxo3;Tprkb;Vamp8;Vwa5a;Notch1;Rrad;Hspa4l;Ier3;Zbtb16;Gls2;H1f2;Ddb2;Traf4;Hbegf;Irak1;Itgb4;Cdkn2a;Hras;Fdxr;Casp1;Mdm2;Ddit4;Ptpre;Prkab1;Cdkn2b;Dgka;Tnni1;Rab40c"
"HALLMARK_PROTEIN_SECRETION",0.0111494215027515,0.0696838843921966,0.380730400722792,0.334579136393261,1.38787718171363,90,"Rab14;Arfgef1;Stx7;Vamp4;Rab22a;Galc;Ap1g1;Copb1;Dnm1l;Napg;Stx12;Mapk1;Atp7a;Arfip1;Tmed2;Rer1;Tmed10;Dop1a;Rab2a;Cav2;Cope;Vps45;Gbf1;Scamp1;Sgms1;Dst;Sod1;Arcn1;Snx2;Ppt1;Snap23;Tpd52;Yipf6;Abca1"
"HALLMARK_MYOGENESIS",0.0140510643209605,0.0777022997912995,0.380730400722792,-0.389158857530378,-1.3968450339707,158,"Pde4dip;Kifc3;Gadd45b;Ryr1;Agrn;Cdkn1a;Myl6b;Atp2a1;Gja5;Pygm;Igfbp7;Sorbs1;Ifrd1;Speg;Ckb;Mapre3;Ocel1;Chrnb1;Camk2b;Prnp;Myh9;Scd1;Sh2b1;Myl4;Ncam1;Flii;Dtna;Tagln;Cox7a1;Tsc2;Myo1c;Ak1;Tgfb1;Itgb1;Sptan1;Tnnt3;Pick1;Adcy9;Ppfia4;Syngr2;Psen2;Dmd;Mras;Bhlhe40;Notch1;Large1;Smtn;Foxo4;Hbegf;Itga7;Pfkm;Scd2;Sirt2;Itgb4"
"HALLMARK_GLYCOLYSIS",0.0155404599582599,0.0777022997912995,0.380730400722792,-0.376788000955383,-1.36731052184611,184,"Hspa5;Pgls;Mpi;Fkbp4;Xylt2;Agrn;Plod2;G6pdx;Ext1;Pfkp;P4ha2;Gmppb;Aldh7a1;Qsox1;Rbck1;Capn5;B3gat3;Sdc1;Eno2;Spag4;Mif;Chst2;Tpst1;Polr3k;Sdc3;Col5a1;Nasp;Bik;Gys1;Angptl4;Rpe;Tpbg;Tgfbi;Rragd;Irs2;Alg1;Pdk3;Pgam1;Hk2;Cd44;Mxi1;Adora2b;Ero1a;Gfpt1;Ppfia4;Abcb6;Chpf2;Got1;Prps1;Cenpa;Ldha;Slc25a13;Ier3;Vcan;Slc25a10;Gclc;Chst12;B3gat1;Gale;Chpf;Cited2;Lhx9;Txn1;Pygb;Slc35a3;Ndufv3;Nsdhl;Lhpp;Gal3st1;Ddit4;Got2;Stmn1"
"HALLMARK_MTORC1_SIGNALING",0.0309168443496802,0.130150389128132,0.266350657088526,-0.354196333827291,-1.29053323374005,192,"Dhcr24;Hspa5;Stard4;Xbp1;Insig1;Atp2a2;Sqstm1;Ddit3;Gla;Ppp1r15a;Cdkn1a;Slc2a1;Plod2;G6pdx;Btg2;Pgm1;Uso1;Edem1;Polr3g;Map2k3;Nfkbib;Ykt6;Ung;Ldlr;Hsp90b1;Atp5g1;Cyp51;Slc1a5;Ifrd1;Sqle;Slc2a3;Gmps;Psat1;Slc7a11;Hmgcs1;Slc7a5;Acsl3;Hmgcr;Scd1;Ebp;Sla;Rdh11;Bcat1;Ddx39a;Sec11a;Hspd1;Immt;Slc1a4;Hk2;Ero1a;Rpn1;Nfil3;Acly;Coro1a;Cfp;Got1;Bhlhe40;Mllt11"
"HALLMARK_APOPTOSIS",0.0327697993776483,0.130150389128132,0.321775918075361,-0.376763682329919,-1.34544717691583,150,"Gadd45b;Mcl1;Tspo;Bmf;Slc20a1;Sqstm1;Ddit3;Tgfbr3;Cdkn1a;Hspb1;Btg2;H1f0;Ccnd2;Lmna;Tap1;Bax;Tnf;Pmaip1;F2r;Il6;Eno2;Rela;Irf1;Casp8;Bcl2l1;Prf1;Ebp;Nedd9;Bik;Birc3;Jun;Atf3;Gadd45a;Pdcd4;Bcl2l2;Egr3;Txnip;Sptan1;Cd44;Plcb2;Cflar;Lgals3;Krt18;Hgf;Psen2;Dnajc3;Casp4"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.035340741620828,0.130150389128132,0.321775918075361,-0.366781111544843,-1.3295516795259,176,"Slc16a1;Dusp2;Xbp1;Sfn;Fkbp4;Gla;Slc24a3;Etfb;Calcr;Farp1;Tob1;Amfr;Fdft1;Snx10;Kcnk5;Zfp36;Ugdh;Ckb;Ptger3;Llgl2;Slc7a5;Plk4;Cish;Tpbg;Atp2b4;Pdcd4;Slc1a4;Ret;Egr3;Rnaseh2a;S100a9;Cd44;Mest;Gins2;Tmprss3;Rapgefl1;Large1;Hspa4l;Ncor2;Opn3;Plaat3;Gale;Pkp3;Dlg5"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0364421089558768,0.130150389128132,0.321775918075361,-0.37202151113279,-1.34703738224984,170,"Slc16a1;Mast4;Tbc1d30;Fcmr;Xbp1;Sfn;Fkbp4;Gla;Slc2a1;Celsr1;Slc24a3;Calcr;Farp1;Tob1;Amfr;Fdft1;Kcnk5;Slc37a1;Pmaip1;Igf1r;Med13l;Slc7a5;Ttc39a;Cish;Tpbg;Sec14l2;Slc1a4;Ret;Pex11a;Thsd4;Egr3;Cd44;Endod1;Aqp3;Ar;Adcy9;Krt18;Tmprss3;Tubb2b;Bhlhe40;Tgm2;Rapgefl1;Gab2;Ncor2;Cbfa2t3;Opn3;Myc;Plaat3;Sh3bp5;Fasn;Mybbp1a;Rasgrp1;Tgif2;Bcl11b;Tff1;Mlph;Klf10;Dhcr7;Slc1a1;Mapt"
