"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.22917602134404e-09,1.11458801067202e-07,0.774939030136436,-0.469637513381015,-2.05936102082528,193,"Marcks;Plau;Cebpd;Klf4;Pfkfb3;Rhob;Trib1;Atf3;Cebpb;Egr2;Ccl4;B4galt5;Sphk1;Cflar;Plaur;Il6;Sgk1;Klf9;Ier3;Cd83;Fosb;Serpinb2;Hes1;Csf1;Nfe2l2;Ccrl2;Zfp36;Il12b;Jag1;Il23a;Plek;Jun;Ets2;Serpinb8;Abca1;Egr3;Ptpre;Dusp2;Btg2;Klf6;Mcl1;Ier5;Tlr2;Tnip2;Ifit2;Tap1;Ifih1;Klf2;Tnf;Dnajb4;Nfat5;Ptgs2;Kdm6b;Dusp1;Cdkn1a;Nampt;Slc2a6;Olr1;Sat1;Tnfaip6;Il1a;Bmp2;Tubb2a;Sdc4;Nfkb2;Tnfaip2;Ptger4;Nfkb1;Fos;Il18;Maff;Phlda1;Trip10"
"HALLMARK_MYC_TARGETS_V1",2.23789904609541e-08,5.59474761523851e-07,0.73376198835648,0.370932477574145,1.9895987294872,183,"Pgk1;Snrpb2;Cbx3;Hnrnpr;Prdx3;Psma1;H2az1;Fam120a;Eif4e;Psma4;Psma6;Prps2;Txnl4a;Hprt;Abce1;Eif2s2;Etf1;Mcm2;Hnrnpc;Eif2s1;Ube2e1;Eif4a1;Ran;Psma2;Usp1;Acp1;Psma7;Uba2;Psmc6;Tomm70a;Srpk1;Ywhaq;Cul1;Mcm4;Vdac1;Hnrnpa2b1;Eprs;Nap1l1;Srsf3;Eif3j1;Ncbp1;Eif4g2;Psmd8;Orc2;Cct3;Eif1ax;Psmc4;Odc1;Canx;Ddx18;Snrpd3;Dek;Dut;Impdh2;Pabpc1;Erh;Dhx15;Pcbp1;U2af1;Psmb2;Mcm6;Smarcc1;Snrpg;Pwp1;Serbp1;Gspt1;Psmd3;Stard7;Slc25a3;Ptges3;Snrpd1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.57780350232039e-07,2.62967250386731e-06,0.690132458796796,-0.534183311138013,-2.13761610862583,96,"Tdrd7;Trim14;Usp18;Rsad2;Oas1a;Cmpk2;Oasl1;Dhx58;Trim25;Irf7;Herc6;Bst2;Csf1;Ifit3;Isg15;Parp12;Ccrl2;Stat2;Uba7;Trafd1;Rtp4;Ube2l6;Ncoa7;Adar;Ifit2;Tap1;Ifih1;Mov10;Trim21;Oas1g;Ifi44;Isg20;Casp8;Cmtr1;Ifi35;Tmem140;Lgals3bp;Lap3;Helz2;Gmpr;Psmb9;Ogfr;Tent5a;Txnip;Ifi30"
"HALLMARK_P53_PATHWAY",3.79265703002068e-06,4.74082128752585e-05,0.627256739718528,-0.42368464190797,-1.84755922311228,184,"Tcn2;Klf4;Plxnb2;Hmox1;Cebpa;Atf3;Cd81;Sphk1;Abcc5;App;Ier3;Aen;Ralgds;Rxra;Ddit3;Foxo3;Tgfb1;Osgin1;Trafd1;H2aj;Jun;Socs1;Phlda3;Ptpre;Rab40c;Btg2;Fdxr;Stom;Wrap73;Ier5;Tm7sf3;H2ac25;Tap1;Tspyl2;Trib3;Rgs16;Rhbdf2;Nupr1;Prmt2;Ccnd2;Rap2b;Kif13b;Acvr1b;Bax;Cdkn1a;Cdkn2b;Mdm2;Pdgfa;Sat1;Il1a;Retsat;Bmp2;Slc3a2;Vwa5a;Tgfa;Hspa4l;Def6;Sertad3;Fos;Irak1;Cdkn2a;Tob1;Epha2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.88288479294777e-05,0.000488288479294777,0.557332238758646,0.313280231542855,1.68450951173801,185,"Ndufs6;Glud1;Cyb5a;Pdp1;Fdx1;Atp5pb;Atp5j;Ech1;Prdx3;Mdh1;Ndufv2;Slc25a5;Tomm22;Hadhb;Uqcrc2;Idh3a;Cox11;Atp6v1h;Acat1;Uqcrfs1;Hccs;Ndufa1;Slc25a12;Ndufb4;Atp5o;Etfdh;Slc25a11;Mpc1;Tomm70a;Dlat;Vdac1;Ndufs8;Ndufc1;Dlst;Cox7b;Uqcrb;Ndufs3;Atp6v0e;Slc25a20;Ndufs4;Sucla2;Ndufa9;Ndufa6;Cox7a2l;Ndufb1;Atp5k;Oat;Abcb7;Dld;Mdh2;Ndufa4;Acadvl;Slc25a3;Cox7a2;Atp6v1f;Cycs;Ndufa5;Lrpprc;Uqcr11;Cox10;Cox7c;Atp5j2;Timm8b;Phyh;Atp5g3;Idh3g;Ldha;Idh3b;Acadm;Ndufab1;Rhot2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00017326243077634,0.00144385358980284,0.518848077743792,0.487514727761125,2.01044031550539,44,"Lsp1;Gclc;Glrx2;Glrx;Ndufb4;Ipcef1;Prdx6;Scaf4;Prdx1;Ercc2;Txn1;Sod1;Prnp;Ndufa6;G6pdx;Cdkn2d;Sbno2;Ptpa;Lamtor5;Atox1;Gsr;Txnrd1;Oxsr1"
"HALLMARK_MTORC1_SIGNALING",0.00022245926951945,0.00151805505418057,0.518848077743792,0.299061346198726,1.613990044739,191,"Plod2;Pgk1;Ero1a;Actr2;Ufm1;Ssr1;Actr3;Psma3;Gclc;Elovl5;Psma4;Ube2d3;Uchl5;Mthfd2;Hprt;Eif2s2;Pitpnb;Etf1;Mcm2;Tes;Glrx;Pgm1;Scd1;Pno1;Bhlhe40;Ppa1;Niban1;Psmc6;Idi1;Gsk3b;Mcm4;Eprs;Tuba4a;Cxcr4;Tbk1;Lta4h;Mthfd2l;Psmc4;Nfyc;Prdx1;Sc5d;Canx;Abcf2;Calr;Acsl3;Hmgcs1;Dapp1;Hk2;Psmc2;Eef1e1;Rab1a;G6pdx;Psme3;Tpi1;Cacybp"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000242888808668892,0.00151805505418057,0.518848077743792,-0.37383879228438,-1.63924722187745,194,"Mt2;Tdrd7;Trim14;Irf5;Usp18;Rsad2;Cmpk2;Oasl1;Oas2;Il6;Dhx58;Trim25;Irf7;Herc6;H2-DMa;Il10ra;Xcl1;Bst2;Pla2g4a;Ifit3;Isg15;Parp12;Stat2;Auts2;Trafd1;Rtp4;Ube2l6;Irf8;Pml;Socs1;Xaf1;Adar;Ifit2;Tap1;Ifih1;Fcgr1;Cmklr1;Trim21;Oas3;Ifi44;Isg20;Casp8;Ptgs2;Cmtr1;Ptpn6;Nlrc5;Cdkn1a;Cd40;Nampt;Cfb;Ifi35;Gbp8;Tnfaip6;Tapbp;Cfh;Lgals3bp;Tnfaip2;Nfkb1;Lap3"
"HALLMARK_COMPLEMENT",0.000416825651868949,0.00228628556975568,0.49849310876659,-0.372168391962728,-1.61191876764389,175,"Fn1;Fcer1g;Dock4;Cebpb;Lrp1;C1qc;Gata3;Plaur;Il6;Dusp6;Irf7;Gzmb;Pla2g4a;Serpinb2;Gca;Ctsc;Gnai2;Stx4a;Plek;Apoc1;Col4a2;Lgmn;Lgals3;S100a9;Ctss;Mmp12;Pdgfb;Anxa5;Src;Ang;Ctsl;Mmp13;Prkcd;Hspa1a;Itih1;Raf1;Sirt6;Olr1;Cfb;Usp8;Casp9;Gpd2;Cfh;Cr1l;Rce1;Lap3;Pfn1;Gngt2;Maff;Cd36;C2;Lamp2;Timp2;Psmb9;Pik3r5"
"HALLMARK_COAGULATION",0.000457257113951136,0.00228628556975568,0.49849310876659,-0.415914275354194,-1.71679168410026,114,"Plau;Fn1;Sh2b2;Lrp1;Dusp6;Pf4;Serpinb2;Thbd;Hpn;Mmp2;Plek;Apoc1;Lgmn;S100a1;Gng12;Pdgfb;Cd9;Ang;Ctsl;Msrb2;Itih1;Capn5;Olr1;Cfb;Pros1;Trf;F9;Casp9;Cfh;Ctsk;Maff;C2;Lamp2"
