"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1e-50,1.66666666666667e-49,NA,-0.7025495569442,-4.31324949758991,197,"Top2a;Stmn1;Mki67;Cdca3;H2az1;Ccnb2;Ncapd2;Tmpo;Rrm2;Tubb5;Cdk1;Tacc3;Birc5;Pole;Prdx4;Cdca8;Lmnb1;Dlgap5;Syncrip;Mms22l;Cks1b;Hmmr;Pold1;H2ax;Hells;Smc6;Cdc25b;Cse1l;Spag5;Depdc1a;Dut;Dck;Lyar;Bard1;Rfc2;Tcf19;Tipin;Lig1;Cdkn2c;Donson;Dnmt1;Spc24;Ran;Cdc20;Msh2;Bub1b;Atad2;Chek1;Plk4;Mcm7;Mcm5;Smc4;Luc7l3;Rbbp7;Racgap1;Plk1;Rad21;Orc6;Rpa1;Nup205;Kif2c;Anp32e;Nme1;Kif18b;Usp1;Smc1a;Nasp;Prim2;Mcm2;Xrcc6;Ddx39a;Wee1;Ube2s;Mcm4;Melk;Pola2;Spc25;Pcna;Rpa3;Naa38;Pold2;Mad2l1;Pa2g4;Timeless;Diaph3;Tbrg4;Hmgb3;Hnrnpd;Ipo7;Eif2s1;Mcm3;Jpt1;Cdkn3;Cbx5;Tk1;Slbp;Ak2;Paics;Ppp1r8;Tfrc;Xpo1;Lbr;Cks2;Mcm6;Brca1;Eed;Mxd3;Mre11a;Exosc8;Kif22;Gins3;Ezh2;Smc3;Phf5a;Espl1;Pds5b;Cenpe;Ppm1d;Pnn;Dscc1;Cdkn1a;Nop56;Dctpp1;Gins1;Cdkn2a;Cenpm"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1e-50,1.66666666666667e-49,NA,0.877456580558295,4.43877954442341,96,"Parp14;Ddx60;Gbp2;Epsti1;Parp9;Ifit3;Herc6;Usp18;Ifit2;Isg20;Rtp4;Ifih1;Samd9l;Trim21;Eif2ak2;Cmpk2;Isg15;Trafd1;Cxcl10;Rsad2;Irf7;Nmi;Ifi35;Dhx58;Irf9;Helz2;Trim14;Parp12;Uba7;Bst2;Trim26;Oas1a;Irf2;Casp1;Stat2;Ncoa7;Ube2l6;Cmtr1;Pnpt1;Adar;Cd47;Casp8;Psmb8;Tdrd7;Cnp;Ogfr;Psme1;Psmb9;Rnf31;Trim25;Ly6e;Tmem140;Mov10;Lgals3bp;Irf1;Tap1;Oasl1;Trim12c;Gbp3;Ifi44;H2-Q7"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1e-50,1.66666666666667e-49,NA,0.776223741193011,4.50250635356293,195,"Gbp4;Ifit1bl1;Rnf213;Parp14;Samhd1;Ddx60;Gbp9;Epsti1;Ifit3;Herc6;Zbp1;Usp18;Ifit2;Isg20;Rigi;Rtp4;Ifih1;Samd9l;Stat1;Trim21;Znfx1;Eif2ak2;Cmpk2;Isg15;Xaf1;Trafd1;Pml;Oas3;Cxcl10;Rsad2;Gbp8;Irf7;Nmi;Ifi35;Dhx58;Irf9;Helz2;Trim14;Parp12;Oas2;Bst2;Trim26;Irf2;Nlrc5;Casp1;Stat2;Ube2l6;Psmb10;Cmtr1;Pnpt1;Casp4;Adar;Cd69;Casp8;Psmb8;Cd274;Tdrd7;Nampt;H2-M3;Nod1;Ogfr;Icam1;Il10ra;Psme1;Peli1;Psmb9;Tapbp;Rnf31;Socs1;Trim25;Tnfsf10;Ly6e;Gpr18;Slamf7;Lgals3bp;Irf1;Tap1;Oasl1;Sectm1a;Cd86;Gbp3;Ifi44;H2-Q7;Ccl5;Ripk2;B2m;Sp110;Myd88;Ripk1;Rbck1;Socs3;Bank1"
"HALLMARK_MYC_TARGETS_V1",4.47590856176502e-41,5.59488570220628e-40,1.67199671627594,-0.654245901104678,-3.9451704639534,183,"H2az1;Ccna2;Prdx4;Hnrnpa1;Syncrip;Eprs;Nhp2;Psmd1;Eif4g2;Ppm1g;Smarcc1;Dut;Bub3;Rrm1;Snrpa;Ran;Aimp2;Pgk1;Cdc20;Impdh2;Cox5a;Lsm2;Ube2l3;Pabpc4;Hdgf;Odc1;Cct7;Mcm7;Mcm5;Cnbp;Slc25a3;Hnrnpu;Nme1;Kpnb1;Ilf2;Gnl3;Pcbp1;Usp1;Cdk2;Stard7;Trim28;Cbx3;Mcm2;Hnrnpa2b1;Xrcc6;Hnrnpr;Canx;Ldha;Ywhaq;Psmd8;Ube2e1;Mcm4;Prdx3;Pcna;Pold2;Mad2l1;Pa2g4;Phb2;Uba2;U2af1;Tfdp1;Fbl;Ppia;Cdc45;Hnrnpd;Hprt;Eif2s1;Acp1;Serbp1;Cops5;Snrpd1;Fam120a;Etf1;Cad;Tyms;Psma1;Xpot;Xpo1;Lsm7;Mcm6;Ruvbl2;Tomm70a;Ptges3;Eif4e;Ifrd1;Hdac2;Snrpa1;Got2;Nop56;Rad23b;Dhx15;Vbp1;Tcp1;Ndufab1;Psmd3;Psmd14;Hnrnpc;Cct4;Srm;Tardbp;Prps2;Cct2;Psmc4;Cct3;Srsf7;Txnl4a;Cul1;Psmd7;Orc2;Psmc6;Npm1;Pwp1;Prpf31;Snrpd3;Abce1;Snrpb2;Ddx18;Ssbp1;Rrp9;Ncbp2;Sf3b3;Psmb2;Glo1;G3bp1;Phb;Gspt1;Ranbp1"
"HALLMARK_G2M_CHECKPOINT",7.31677547938208e-39,7.31677547938208e-38,1.62169955075295,-0.628564414857247,-3.82974723165859,193,"Top2a;Stmn1;Mki67;H2az1;Nusap1;Ccnb2;Tmpo;Ube2c;Tpx2;Cdk1;Ccna2;Tacc3;Kif23;Uck2;Birc5;H2az2;Pole;Lmnb1;Syncrip;Nek2;Kif11;Cks1b;Hmmr;Smc2;Tgfb1;H2ax;Fbxo5;Incenp;Cdc25b;Notch2;Ncl;Rad54l;Slc38a1;Smad3;Kmt5a;Smarcc1;Cenpf;Odf2;Bard1;Ndc80;Marcks;Bub3;Dkc1;Cdkn2c;Kif15;Prc1;Cdc20;Knl1;Dbf4;Odc1;Chek1;Plk4;Mcm5;Smc4;Racgap1;Plk1;Rad21;Hnrnpu;Orc6;Kif2c;Kpnb1;Smc1a;Nasp;Prim2;Prpf4b;Mcm2;Ddx39a;Bub1;Ube2s;Pola2;Hira;Nsd2;Pbk;Nup98;Mad2l1;Tfdp1;Hmgb3;Cdc45;Hnrnpd;Mcm3;Jpt1;Snrpd1;Cdkn3;Cdc27;Xpo1;Lbr;Cks2;Mcm6;Abl1;Kif22;Ezh2;Espl1;Pds5b;Ythdc1;Stil;Cenpe"
"HALLMARK_MTORC1_SIGNALING",5.15602517400634e-30,4.29668764500528e-29,1.42456271623384,-0.578050996699531,-3.5118534645076,192,"Ero1a;Rpn1;Rrm2;Eprs;Xbp1;Map2k3;Got1;Hsp90b1;Pfkl;Prdx1;Fkbp2;Psmc2;Rab1a;Cyp51;Ifi30;M6pr;Cd9;Pgk1;Atp2a2;Sytl2;Cxcr4;Lta4h;Gsk3b;Plk1;Ctsc;Asns;Rpa1;Hspa9;Nup205;Idi1;Egln3;Nfil3;Nufip1;Acaca;Hspa4;Mcm2;Canx;Ddx39a;Bub1;Ldha;Gclc;Ykt6;G6pdx;Eef1e1;Mcm4;Cct6a;Dhfr;Abcf2;Stard4;Gsr;Dhcr7;Pdap1;Ppia;Fdxr;Psmb5;Hprt;Cops5;Psmd13;Stip1;Lgmn;Itgb2;Acly;Etf1;Calr;Adipor2;Tfrc;Ssr1;Hmgcr;Pno1;Slc2a1;Slc1a5;Psmg1;Ldlr;Psat1;Ddit4;Txnrd1;Glrx;Sc5d;Niban1;Hk2;Ifrd1;Aldoa;Psme3;Cdkn1a;Gtf2h1;Psmd12;Immt;Phgdh;Ung;Tpi1;Psmd14;Shmt2;Dhcr24;Gbe1;Gla;Gpi1;Psmc4;Rdh11;Tuba4a;Psph;Ufm1;Bcat1;Psmc6;Fgl2;Elovl5"
"HALLMARK_MITOTIC_SPINDLE",2.29225113636123e-22,1.63732224025802e-21,1.22105375677186,-0.522133577583258,-3.17213640983416,192,"Top2a;Nusap1;Ccnb2;Tpx2;Cdk1;Kif23;Tiam1;Birc5;Ckap5;Lmnb1;Dlgap5;Nek2;Kif11;Ect2;Fbxo5;Myo1e;Incenp;Notch2;Cenpf;Flna;Ndc80;Marcks;Cep250;Sun2;Pcnt;Kif15;Prc1;Wasf2;Arl8a;Plekhg2;Ralbp1;Smc4;Cdc42;Racgap1;Plk1;Ranbp9;Septin9;Kif2c;Cntrob;Gsn;Ccdc88a;Smc1a;Epb41l2;Sptan1;Rabgap1;Bub1;Pcm1;Flnb;Stk38l;Ppp4r2;Mapre1;Lrpprc;Cdc27;Cyth2;Epb41;Wasl;Abl1;Kif22;Rasa2;Sac3d1;Alms1;Smc3;Sass6;Espl1;Vcl;Rhot2;Akap13;Cenpe;Hook3;Abi1;Anln;Nck2;Bin1;Trio;Mid1ip1;Cd2ap"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.5636519051381e-21,3.47728244071131e-20,1.18665095279281,-0.515872987861474,-3.12535332025591,185,"Idh3a;Atp5b;Dlst;Sdha;Atp6v0c;Cpt1a;Cox5a;Fdx1;Uqcr10;Timm13;Cyb5a;Hccs;Acadvl;Atp5pb;Idh2;Slc25a3;Hspa9;Dld;Mpc1;Cox4i1;Afg3l2;Ndufa6;Idh3g;Ldha;Ndufb8;Cyb5r3;Timm17a;Prdx3;Opa1;Pdhb;Glud1;Atp6v1c1;Atp6v0b;Phb2;Ndufb6;Mdh1;Etfb;Uqcrc1;Lrpprc;Timm8b;Ndufs2;Cox5b;Ndufv2;Mtx2;Timm9;Pdhx;Tomm22;Tomm70a;Atp5j;Slc25a20;Atp5o;Etfa;Rhot2;Rhot1;Atp6ap1;Atp5c1;Fh1;Ndufa1;Ech1;Got2;Ndufs3;Oxa1l;Ndufc2;Ndufb4;Ndufb5;Immt;Ndufs4;Ndufab1;Slc25a11;Slc25a5;Cox17;Sdhc;Ndufa3;Atp5d;Ndufs1;Hadha;Pdha1;Hsd17b10;Uqcrq;Gpi1;Ogdh;Atp6v0e;Cox6b1;Uqcrfs1;Ndufs8;Echs1;Idh3b;Ndufa8;Abcb7;Ndufb7;Acat1;Ndufs7;Acadm;Nnt;Dlat;Polr2f;Atp5l;Timm50;Mtrr;Cox7b;Vdac3"
"HALLMARK_IL2_STAT5_SIGNALING",2.35597779788192e-14,1.30887655437885e-13,0.97599468306432,-0.446469965431898,-2.73302823204431,195,"Tnfrsf9;Dhrs3;Il13;Il1rl1;Ctsz;Tnfrsf4;Il1r2;Uck2;Tiam1;Cd44;Swap70;Il2ra;Itgav;Gsto1;Xbp1;Tnfsf11;Tnfrsf18;Ifngr1;Snx9;Cyfip1;Ikzf4;Myo1e;Ndrg1;Cd83;Dennd5a;Irf8;Myo1c;Plin2;Plscr1;Ncoa3;Rnh1;Csf2;Odc1;Nop2;Mapkapk2;Cd81;Rora;Il2rb;Prkch;Twsg1;Socs2;Nfil3;Phtf2;Tnfrsf1b;Anxa4;Lrrc8c;Plagl1;Ikzf2;Tnfrsf8;Gabarapl1;Itga6;Ccr4;Lrig1;Pus1;Rgs16;Tgm2;Nt5e;Eno3;Slc1a5;Bmpr2;Snx14;Pim1;Irf6;Pou2f1;Lclat1;Igf2r;Hk2;Rhob;P2rx4;Batf;Furin;Etfbkmt;Praf2;St3gal4;Cst7;Ctla4;Wls"
"HALLMARK_PROTEIN_SECRETION",7.40183752289324e-12,3.70091876144662e-11,0.875325132024659,-0.531933747174047,-2.76383351223673,90,"Atp1a1;Ap3b1;Sgms1;Ap2b1;Napa;Ergic3;M6pr;Sod1;Cltc;Lman1;Gnas;Atp7a;Ctsc;Sec31a;Bet1;Anp32e;Rab14;Cd63;Ykt6;Arf1;Scamp3;Arcn1;Arfip1;Ap2m1;Vamp3;Abca1;Tmed2;Tmx1;Clcn3;Mapk1;Rab2a;Rab5a;Dop1a;Copb2;Ppt1;Stx12;Igf2r;Ocrl;Tmed10;Cln5;Mon2;Arfgap3;Ap2s1;Cog2;Gla;Gosr2;Adam10;Dnm1l;Ap1g1;Copb1"
