"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.84097975478005e-18,9.20489877390025e-17,1.10533657731401,-0.608079666703873,-2.38399524306967,197,"Tk1;Mybl2;Asf1b;Cdk1;Mad2l1;Spc24;Plk1;Cdkn3;Rad1;Tacc3;Rrm2;Cenpe;Gins3;Melk;Cenpm;Chek2;Dut;Cks1b;Pcna;Diaph3;Top2a;Tubb5;Ube2t;Dek;Kif22;Suv39h1;Birc5;Mcm7;Mms22l;Pola2;Prim2;Rad51ap1;Bub1b;Brms1l;Tmpo;Bard1;Cdc20;Ccp110;Dlgap5;Hmgb3;Stmn1;Aurka;Brca1;Mki67;Chek1;Dscc1;Cdca3;Spag5;Anp32e;Aurkb;E2f8;Phf5a;Nasp;Cdkn2c;Lig1;Hmmr;Plk4;Racgap1;Cdkn2a;Mxd3;Hells;Depdc1a;Ipo7;Tubg1;Pms2;Espl1;Ccnb2;Ddx39a;Cnot9;Mthfd2;Mcm6;H2ax;Pds5b;Ppm1d;Tcf19;Cit;Wee1;Ncapd2;Luc7l3;Hnrnpd;Atad2;Jpt1;Lmnb1;Shmt1;Syncrip;Trp53;Pold3;Ranbp1;Kif18b;Wdr90;Nolc1;Gins1;Nup205;Pnn;Exosc8;Cdca8;Zw10;Srsf2;Ezh2;Kif2c"
"HALLMARK_G2M_CHECKPOINT",1.86487082720833e-15,4.66217706802082e-14,1.00731795687447,-0.584941470179779,-2.28262333935423,190,"Mybl2;Cdk1;Ube2c;Mad2l1;Bub1;Plk1;Cdkn3;Tacc3;Cenpa;Nsd2;Ccna2;Nek2;Gins2;Kif15;Cenpe;Cks1b;Top2a;Kif22;Suv39h1;Kif11;Birc5;Pola2;Prim2;Tpx2;Cdc27;Troap;Nusap1;Tmpo;Hira;Bard1;Chaf1a;Cdc20;Hmgb3;Stmn1;Aurka;Mki67;Chek1;Ewsr1;Cdc45;Rad54l;Aurkb;Knl1;Nasp;Cdkn2c;Smc2;Hmmr;E2f3;Plk4;Prc1;Racgap1;Abl1;Nup50;Upf1;Pml;Espl1;Ccnb2;Ddx39a;Srsf10;Polq;Mcm6;H2ax;Tfdp1;Pds5b;Tgfb1;Sfpq;H2az2;Kif5b;Cdc6;Kif23;Snrpd1;Dkc1;Cenpf;Pbk;Hnrnpd;Mnat1;Marcks;Kmt5a;G3bp1;Jpt1;Lmnb1;Exo1;Nup98;Syncrip;Orc5;Traip;Meis2;Nolc1;Fbxo5;Hnrnpu;Ccnf;Srsf2;Ezh2;Kif2c;Wrn"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.92808232440716e-10,6.54680387401193e-09,0.814035837847908,-0.518566588753901,-2.03537511990099,194,"Cd74;H2-Aa;Eif4e3;Ciita;Cd40;H2-Eb1;Stat3;Cxcl10;Lysmd2;Irf8;Ifi30;Gzma;Cfb;Il2rb;Dhx58;Casp3;Ube2l6;Xcl1;Vamp8;Irf5;Tap1;Ifih1;Csf2rb2;Isg15;Plscr1;Xaf1;Tapbp;Lgals3bp;Ogfr;Trafd1;Usp18;Auts2;Slamf7;Isg20;Pml;Stat1;Mthfd2;Nup93;Socs1;Oasl1;Cxcl9;Cmtr1;Fgl2;Pla2g4a;Pnp2;Ifi35;Cd38;Ptpn2;Zbp1;Casp7;Nampt;Wars1;Nmi;Ccl2;Psmb9;Fas;Trim25;Stat2;Myd88;Psme1;Parp14;Psma2;Ifit2;Irf2;Ripk1;Pnpt1;H2-D1;Icam1;Irf7;Il15;H2-M3;Bst2;Tnfsf10;Ly6e;Eif2ak2;Gbp3;Gbp8;Trim21;Gpr18;Casp8;Psmb2;Rigi;Fcgr1;Herc6;Cmpk2;Klrk1;Psmb10;Tdrd7;H2-DMa;Ifi44;Mvp;Tnfaip2;Psmb8;Rtp4;Lats2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.20111519536711e-06,1.50139399420889e-05,0.643551836150722,-0.548673632309429,-1.96941518491671,96,"Cd74;Cxcl10;Ifi30;Dhx58;Oas1a;Procr;Ube2l6;Tent5a;Trim12c;Oas1g;Tap1;Ifih1;Ccrl2;Isg15;Plscr1;Lgals3bp;Ogfr;Trafd1;Usp18;Isg20;Oasl1;Cmtr1;Ifi35;Ifitm1;Mov10;Wars1;Nmi;Psmb9;Trim25;Stat2;Psme1;Parp14;Ifit2;Irf2;Pnpt1;Gbp2;Irf7;Il15;Uba7;Parp9;Bst2;Ly6e;Eif2ak2;Gbp3;Trim21;Casp8;Ncoa7;Herc6;Cmpk2;Tdrd7;Ifi44;Psmb8;Rtp4"
"HALLMARK_MITOTIC_SPINDLE",2.75194015776296e-05,0.000275194015776296,0.575610261071129,-0.432962422925159,-1.68955388190989,190,"Epb41l2;Dynll2;Cdk1;Pcgf5;Cep131;Myo1e;Bub1;Plk1;Cep72;Apc;Nek2;Kif15;Bcr;Klc1;Cenpe;Mark4;Arhgef12;Top2a;Kif1b;Kif22;Kif11;Birc5;Flnb;Tpx2;Cdc27;Kif3b;Itsn1;Nusap1;Arhgap5;Dlgap5;Aurka;Cttn;Prc1;Racgap1;Abl1;Cdc42;Sass6;Espl1;Ccnb2;Clip2;Mid1ip1;Pkd2;Kif5b;Kif23;Kif3c;Bcl2l11;Cenpf;Marcks;Csnk1d;Arl8a;Lmnb1;Ywhae;Arhgap27;Cep192;Dst;Rab3gap1;Anln;Arhgap4;Fbxo5;Net1;Kif2c;Cyth2;Incenp;Sac3d1;Ccdc88a;Kif4;Smc4;Uxt;Epb41;Arhgef7"
"HALLMARK_IL2_STAT5_SIGNALING",0.000121512187950174,0.00101260156625145,0.538434096309916,-0.428404854077413,-1.67601596380731,193,"Ikzf2;Tnfrsf9;Itih5;Itgav;Penk;Cxcl10;Ikzf4;Irf8;Myo1e;Ctsz;Map6;Swap70;Syngr2;Rgs16;Il18r1;Rabgap1l;Mapkapk2;Il1r2;Il2rb;Mxd1;Itgae;Cd83;Casp3;Batf3;Cdcp1;Il2ra;Rnh1;Spred2;Tnfrsf8;Cst7;Plscr1;Tnfrsf4;Il3ra;Wls;Traf1;Nt5e;Socs1;Snx9;Alcam;Sh3bgrl2;Fgl2;Cdc6;Dcps;Gpr65;Pnp2;Cyfip1;Ctla4;Myo1c;Csf2;Prkch;Serpinb6a;Hk2;Ahr;Igf1r;Tgm2;Car2;P4ha1;Slc29a2;Xbp1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00124679898291964,0.00890570702085457,0.45505986738723,-0.476931941432857,-1.6758046441435,82,"Stat3;Ccr1;Cd14;Cxcl10;Il1b;Il18r1;Il1r2;Cbl;Il2ra;Csf2rb2;Crlf2;Csf2ra;Il3ra;Stat1;Tgfb1;Socs1;Cxcl9;Ltbr;Cd38;Ptpn2;Il12rb1;Csf2;Cxcl13;Fas;Stat2;Myd88;Bak1;Jun;Tlr2;Cd9;Ltb;Ifngr1;Il6st;Csf3r"
"HALLMARK_KRAS_SIGNALING_UP",0.00239878724963862,0.0149924203102414,0.431707695803346,-0.39205665031438,-1.50498367733421,168,"Gpnmb;Adam8;Cxcl10;Irf8;Mafb;Il1b;Lat2;Rgs16;Plaur;Rabgap1l;Fcer1g;Cfb;Cbl;Tmem176a;Tmem158;Prdm1;Ctss;Map7;Usp12;Map3k1;Csf2ra;Tor1aip2;Vwa5a;Spry2;Tmem176b;Lcp1;Eng;Traf1;Gng11;C3ar1;Id2;Prelid3b;Klf4;Scn1b;Atg10;Epb41l3;Gadd45g;Csf2;Mycn;Ptcd2;Plau"
"HALLMARK_ALLOGRAFT_REJECTION",0.00458004340736365,0.0254446855964647,0.407017918923954,-0.380745131077729,-1.48202533690431,184,"Cd74;H2-Aa;Ccl22;Cd40;Ccr1;Irf8;Stab1;Map3k7;Il1b;Gzma;Glmn;Il2rb;Ube2d1;Il2ra;H2-DMb1;Bcat1;Ly86;Cd7;Ly75;Tap1;Brca1;Ctss;Tapbp;Gzmb;Cdkn2a;Ifng;Stat1;Crtam;Il12b;Tgfb1;Ncf4;Socs1;Cxcl9;Prf1;Lyn;Il18rap;Gpr65;Il12rb1;Cxcl13;Wars1;Ccl2;Fas;Cd8a;Traf2;H2-T23;Tlr2;Ncr1;Gbp2;Mtif2;Aars;Capg;Icam1;Ltb;Irf7;Il15;Ifngr1;Tpd52;H2-M3"
"HALLMARK_MTORC1_SIGNALING",0.00576992023553759,0.028849601177688,0.407017918923954,-0.366860817164294,-1.43572167291308,192,"Ifi30;Bub1;Plk1;Rrm2;Mllt11;Gbe1;Bcat1;Aurka;Polr3g;Tcea1;Gmps;Nfkbib;Rpn1;Skap2;Fads1;Psmd14;Hmbs;Cops5;Hsp90b1;Tubg1;Asns;Pfkl;Ppa1;Ddx39a;Rit1;Uso1;Mthfd2;Psmd12;Hprt;Fdxr;Fgl2;Serp1;Pnp2;Pitpnb;Nampt;Wars1;Hk2;Edem1;Psat1;Dhfr;Sqstm1;Psph;P4ha1;Nmt1;Psmc6;Xbp1;Eif2s2;Shmt2;Nup205;Ddit3;Ctsc;Pdap1;Cd9;Ccnf;Prdx1;Pno1;Gsr;Psme3;Elovl5;Scd2;Psmd13;Gsk3b;Ddit4;Cct6a;Ssr1;Lgmn;Ebp;Sdf2l1;Glrx;Ykt6"
