"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",4.45459417220355e-12,2.22729708610178e-10,0.887074988399873,-0.551913419930238,-2.08105761522878,197,"Mad2l1;Rad1;Asf1b;Cdkn3;Tk1;Mybl2;Plk1;Cdk1;Spc24;Tacc3;Dek;Chek2;Kif22;Gins3;Melk;Pcna;Cenpe;Prim2;Ccp110;Diaph3;Ube2t;Rrm2;Dlgap5;Cenpm;Brms1l;Top2a;Cks1b;Cdc20;Mms22l;Tubb5;Suv39h1;Rad51ap1;Birc5;Mki67;Pds5b;Pola2;Chek1;Bub1b;Aurkb;Bard1;Tubg1;Plk4;Ipo7;Spag5;Luc7l3;Cdkn2c;Mthfd2;E2f8;Stmn1;Ppm1d;Wee1;Ddx39a;Aurka;Ccnb2;Pms2;Hmgb3;Espl1;Tmpo;Brca1;Racgap1;Cit;Rad51c;Cdca3;Mcm7;Cdkn2a;Srsf2;Dscc1;Anp32e;Depdc1a;H2ax;Smc4;Mxd3;Nasp;Atad2;Hells;Nolc1;Nbn;Dut;Pold3;Nup205;Wdr90;Cse1l;Cks2;Phf5a;Hmmr;Lig1;Kif2c;Cnot9;Smc1a;Ranbp1;Zw10;Ncapd2;Dck;Trp53;Kif4;Cdca8;Pop7;Hnrnpd;Kif18b;Shmt1;Exosc8;Gins1;Jpt1;Ezh2;Dclre1b"
"HALLMARK_G2M_CHECKPOINT",5.40399635539044e-10,1.35099908884761e-08,0.801215574617779,-0.524866331130102,-1.97793273540917,193,"Ube2c;Mad2l1;Bub1;Cdkn3;Mybl2;Plk1;Nek2;Cdk1;Tacc3;Kif22;Cenpa;Hira;Cenpe;Gins2;Prim2;Troap;Nusap1;Kif15;Ewsr1;Top2a;Cks1b;Cdc20;Kif11;Suv39h1;Birc5;Mki67;Cdc27;Pds5b;E2f3;Pola2;Chek1;Tpx2;Kif5b;Nsd2;Aurkb;Bard1;Plk4;Ccna2;Upf1;Knl1;Nup50;Cenpf;Cdkn2c;Stmn1;Dkc1;Ddx39a;Smc2;Aurka;Ccnb2;Hmgb3;Espl1;Tmpo;Prc1;Meis2;Racgap1;Cdc45;Chaf1a;Kif23;Snrpd1;Abl1;Wrn;Srsf2;Polq;Rad54l;Srsf10;Pml;Marcks;Nup98;Mnat1;H2az2;H2ax;Smc4;Orc5;Nasp;Meis1;Nolc1;Hspa8;Kmt5a;Dmd;Traip;Cks2;Cdc6;Hmmr;Kif2c;Sfpq;Hnrnpu"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.0464930021756e-07,3.41082167029266e-06,0.690132458796796,-0.485026669007014,-1.83030121637217,195,"Cd74;H2-Aa;Eif4e3;Ciita;H2-Eb1;Cxcl10;Cd40;Ifi30;Gzma;Irf8;Stat3;Csf2rb2;Xcl1;Dhx58;Lysmd2;Ifih1;Ube2l6;Il2rb;Irf5;Vamp8;Casp3;Cfb;Slamf7;Plscr1;Xaf1;Cd38;Auts2;Lgals3bp;Ccl2;Isg15;Mthfd2;Ogfr;Wars1;Tapbp;Parp14;Nup93;Stat1;Usp18;Zbp1;Trafd1;Psma2;Nampt;Tap1;Pla2g4a;Oasl1;Psme1;Pml;Cxcl9;Ptpn2;Cmtr1;Klrk1;Ifit2;Icam1;Pnp2;Nmi;Fgl2;Il15;Fcgr1;Fas;Trim25;Ripk1;Rigi;Irf2;Socs1;Cd86;Pnpt1;H2-M3;Ifi35;Isg20;Il18bp;Casp7;Lats2;Bst2;Tdrd7;Myd88;Trim21;Eif2ak2;Tnfsf10;Stat2;Tnfaip2;Irf7;Psmb9;H2-DMa;B2m"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000138322145271986,0.00172902681589982,0.518848077743792,-0.4915806415688,-1.71179288366908,96,"Cd74;Cxcl10;Ifi30;Procr;Dhx58;Oas1a;Ccrl2;Trim12c;Ifih1;Ube2l6;Tent5a;Oas1g;Plscr1;Lgals3bp;Isg15;Ogfr;Wars1;Parp14;Usp18;Trafd1;Tap1;Oasl1;Psme1;Parp9;Cmtr1;Ifit2;Nmi;Il15;Trim25;Sell;Irf2;Pnpt1;Ifi35;Isg20;Bst2;Tdrd7;Trim21;Eif2ak2;Stat2;Irf7;Psmb9;B2m;Gbp2;Mov10;Ly6e;Cmpk2;Rtp4"
"HALLMARK_MITOTIC_SPINDLE",0.000216437235592058,0.00216437235592058,0.518848077743792,-0.423084713854036,-1.59233892106273,192,"Dynll2;Epb41l2;Cep131;Pcgf5;Apc;Arhgef12;Cep72;Bub1;Myo1e;Arhgap5;Kif1b;Bcr;Plk1;Nek2;Cdk1;Mark4;Kif22;Klc1;Cenpe;Dlgap5;Nusap1;Cdc42;Kif15;Kif3b;Top2a;Kif11;Birc5;Cdc27;Clip2;Tpx2;Itsn1;Kif5b;Sass6;Fgd4;Pkd2;Cenpf;Mid1ip1;Aurka;Ccnb2;Espl1;Prc1;Cttn;Dst;Kif3c;Racgap1;Kif23;Abl1;Anln;Marcks;Smc4;Ywhae;Myh10;Bcl2l11;Arl8a;Ccdc88a;Uxt;Net1;Arhgef7;Nf1;Arhgap27;Kif2c;Epb41;Arhgap4;Smc1a;Sptbn1;Kif20b;Cep192;Rasa2;Kif4;Sptan1;Rasal2;Rictor;Rab3gap1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00314865633019867,0.0262388027516556,0.431707695803346,-0.46262913232396,-1.58294523623417,83,"Ccr1;Cd14;Cxcl10;Il18r1;Il1b;Stat3;Csf2rb2;Cbl;Cd9;Cd38;Il1r2;Il1r1;Ltbr;Crlf2;Csf2ra;Stat1;Jun;Csf2;Csf3r;Cxcl9;Ptpn2;Il2ra;Tnfrsf1a;Tlr2;Il3ra;Fas;Il6st;Cxcl13;Socs1;Stam2;Il12rb1;Dntt;Myd88;Stat2"
"HALLMARK_P53_PATHWAY",0.00627043815214466,0.0426835596748915,0.407017918923954,-0.381849537601149,-1.43078535737909,184,"Ldhb;Ifi30;Zbtb16;Cdk5r1;Gls2;App;Fbxw7;Sat1;Procr;Il1a;Tnni1;Rgs16;Iscu;Pcna;Ccp110;Vwa5a;Vamp8;Pdgfa;Fgf13;Mxd1;Atf3;Traf4;Cd81;Phlda3;Ppm1d;Sdc1;Klf4;Krt17;Tgfa;Trafd1;Pidd1;Rad51c;Polh;Cdkn2a;Slc19a2;Ak1;Tap1;Jun;Pmm1;Ddit3;Cgrrf1;Notch1;Tcn2;Rhbdf2;Fas;Plk2;Ctsd;Cebpa;Foxo3;Socs1;Epha2;Fdxr;Apaf1;Ier5;Rchy1;H1f2;Sertad3;Bax;Triap1;Retsat;Itgb4;Trp53;Ankra2;Nudt15;Fos;Dram1;Rad9a;Bak1;Ier3;Ctsf;Tgfb1;Tnfsf9"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00682936954798265,0.0426835596748915,0.407017918923954,-0.37271209406604,-1.40007873295745,189,"Tnfrsf9;Ccl22;Itgb8;Cd14;Irak2;Cxcl10;Cd40;Il18r1;Il1b;Plaur;Kif1b;Stab1;Il1a;Rgs16;Cybb;Slc28a2;Ccrl2;Il2rb;Edn1;Mxd1;Scn1b;Nod2;C3ar1;Best1;Ptafr;Mefv;Itga5;Il18rap;Il1r1;Ccl2;Lyn;Serpine1;Pdpn;Ahr;Slc7a2;Il12b;Ccr7;Tapbp;Clec5a;Nampt;Ccl17;Csf3r;Cxcl9;Nlrp3;Tlr2;Kcnj2;Icam1;Nmi;Il7r;Il15;Selenos;Sell"
"HALLMARK_KRAS_SIGNALING_UP",0.0082301190652873,0.0457228836960405,0.380730400722792,-0.383181151111082,-1.43245568400292,176,"Gpnmb;Mafb;Cxcl10;Il1b;Fcer1g;Plaur;Lat2;Tmem176a;Irf8;Rgs16;Adam8;Vwa5a;Ctss;Rabgap1l;Usp12;Cfb;Cbl;Tmem158;Scn1b;Tmem176b;C3ar1;Eng;Prdm1;Map3k1;Ptcd2;Id2;Plau;Epb41l3;Csf2ra;Klf4;Tor1aip2;Satb1;Csf2;Spry2;Mpzl2;Gng11;Il7r;Prelid3b;Mycn;Itga2;Lcp1;Gadd45g;Car2;Atg10;Traf1;Peg3;Spp1;Galnt3"
"HALLMARK_IL2_STAT5_SIGNALING",0.00922023520630651,0.0461011760315326,0.380730400722792,-0.37129943649114,-1.40113905826941,195,"Ikzf2;Tnfrsf9;Itih5;Cxcl10;Il18r1;Myo1e;Cd83;Ctsz;Irf8;Ikzf4;Itgav;Swap70;Map6;Rgs16;Igf1r;Il2rb;Casp3;Syngr2;Rabgap1l;Cdcp1;Wls;Cst7;Mxd1;Plscr1;Mapkapk2;Rnh1;Cyfip1;Batf3;Penk;Il1r2;Cd81;Prnp;Spry4;Ahr;Dcps;Spred2;Prkch;Myo1c;Csf2;Itgae;Il2ra;Alcam;Sh3bgrl2;Il3ra;Pnp2;Nt5e;Fgl2;Sell;Cdc6;Car2;Tnfrsf8;Socs1;Cd86;Snx9;Traf1;Xbp1;Tgm2;Gpr65;P4ha1;Spp1;Slc29a2;S100a1;Rhob;Etfbkmt"
"HALLMARK_PEROXISOME",0.010877620601485,0.0494437300067498,0.380730400722792,0.330238537075667,1.42564990249059,97,"Idh2;Hsd17b4;Ctps;Cat;Crat;Acox1;Ide;Pex11a;Atxn1;Dhcr24;Ctbp1;Pex6;Slc23a2;Cln8;Hras;Hsd17b11;Pex11b;Ercc3;Slc27a2;Idh1;Acsl4;Crabp2;Idi1;Scgb1a1;Fdps;Pex14;Ercc1;Itgb1bp1;Sod1"
"HALLMARK_ALLOGRAFT_REJECTION",0.015837886092974,0.0659911920540583,0.352487857583619,-0.364209922061349,-1.36668131601931,187,"Cd74;H2-Aa;Ccl22;Ccr1;Cd40;Il1b;Gzma;Irf8;Glmn;Stab1;Map3k7;Ly86;Cd7;H2-DMb1;Ube2d1;Ifng;Bcat1;Il2rb;Ctss;Ncr1;Ly75;Crtam;Il18rap;Ccl2;Lyn;Prf1;Il12b;Wars1;Ncf4;Tapbp;Brca1;Gzmb;Stat1;H2-T23;Cdkn2a;Tap1;Igsf6;Il2;Cxcl9;Nlrp3;Il2ra;Tlr2;Fcgr2b;Icam1;Eif3a;Il15;Fas;Cd8a;Cxcl13;Socs1;Cd86;H2-M3;Gpr65;Tlr6;Egfr;Il12rb1;Apbb1;Cd79a;Mtif2;Il18;Fgr;Cd96;Ccl4;Irf7;Spi1;H2-DMa;B2m;Tpd52;H2-Ob;Capg;Prkcb;Tgfb1;Gbp2"
"HALLMARK_FATTY_ACID_METABOLISM",0.0282090350586746,0.10849628868721,0.352487857583619,0.29068053611786,1.305733707794,142,"Nsdhl;Nthl1;Pts;Hadh;Prdx6;Cd1d1;Hsd17b4;Crat;Cidea;Acox1;Slc22a5;Pdha1;Acat3;Hmgcs1;Hsd17b7;Acads;Dhcr24;Sucla2;Fh1;Hsd17b11;Acadvl;Ostc;Idh1;Acadm;Blvra;Hsd17b10;Acsl4;Idi1;Echs1;Suclg2;Acss1;Gcdh;Adh1"
