"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.28632348479032e-41,6.43161742395158e-40,1.67817787124255,-0.640662167770539,-4.03338528237719,197,"Mki67;Lmnb1;Stmn1;Top2a;Cdca3;Smc4;Rrm2;Cdkn2c;Ncapd2;Jpt1;Cdk1;Tubb5;Rpa2;Tacc3;Ccnb2;Mcm2;Hells;Rpa1;Anp32e;H2ax;Tmpo;Xpo1;Dek;Nme1;Prim2;Mcm4;Birc5;Pole;Bard1;Racgap1;Cdkn1b;Mcm6;Tcf19;Cdc25b;Pcna;Phf5a;Cdca8;Dnmt1;Pold2;Mcm7;Lyar;Ddx39a;Dlgap5;Cnot9;Atad2;Rad21;Tipin;Hmmr;Nup205;Cbx5;Mms22l;Psip1;Pold3;Xrcc6;Orc6;Ezh2;Dck;Usp1;Mre11a;Donson;Spc24;Pold1;Nasp;Ipo7;Prdx4;Bub1b;Spag5;Smc6;Rnaseh2a;Pola2;Lig1;Depdc1a;Hmgb3;Ssrp1;Tra2b;Mcm5;Ctcf;Mcm3;Smc3;Lbr;Cdc20;Trp53;Mthfd2;Luc7l3;Ubr7;Nup153;Tbrg4;Diaph3;Cks1b;Brms1l;Timeless;Rpa3;Hnrnpd;Slbp;Pttg1;Nudt21;Gins1;Dut;Srsf2;Plk1;Syncrip;Snrpb;Cse1l;Plk4;Brca1;Rfc2;Tk1;Ube2t;Spc25;Dctpp1;Kif2c;Paics;Smc1a;Kif18b;Pms2;Nup107;Cenpm;Dscc1;Exosc8;Eif2s1"
"HALLMARK_ALLOGRAFT_REJECTION",1.59971089745025e-24,3.99927724362564e-23,1.28710367230144,-0.539377128525117,-3.35884658928617,187,"Ccl5;Cd3e;Cd3d;Lck;Gzma;Cd2;Ccr5;Gzmb;Ifng;Cd74;Cd8a;Irf8;Cd8b1;Ptprc;Thy1;Ccl4;Itgb2;Cd7;Cxcr3;Prf1;Klrd1;Cd3g;H2-Aa;Il10;Cd247;Fasl;Ptpn6;Il2rb;Il16;Ncr1;Fyb;Ctss;Tnf;Ifngr1;Stat1;Cd4;Prkcb;Tap1;Cd86;Icam1;Cd28;Irf7;Map4k1;Nme1;Itgal;Crtam;Flna;Aars;Cd47;Cd80;Hcls1;Ly75;Tap2;Degs1;Ly86;Tlr2;H2-M3;Ccnd3;Trat1;St8sia4;Tapbp;Spi1;Zap70;Was"
"HALLMARK_G2M_CHECKPOINT",2.81303970377454e-22,4.68839950629089e-21,1.22105375677186,-0.521692114414686,-3.27500430169353,193,"Mki67;Lmnb1;Stmn1;Top2a;Smc4;Nusap1;Cdkn2c;Jpt1;Cdk1;Ccna2;Ube2c;Rpa2;Tacc3;Ccnb2;Mcm2;Tpx2;Nsd2;Dbf4;H2ax;Tmpo;Incenp;Xpo1;H2az2;Prim2;Kif11;Birc5;Pole;Bard1;Racgap1;Cdkn1b;Mcm6;Pml;Cdc25b;Nek2;Dtymk;Ddx39a;Rad21;Marcks;Dr1;Ss18;Hmmr;Bub3;Tfdp1;Kmt5a;Orc6;Smarcc1;Ezh2;Cenpf;Rad54l;Nasp;Fbxo5;Ndc80;Prc1;Smc2;Arid4a;Pola2;Hmgb3;Tra2b;Mcm5;Ctcf;Kif20b;Mcm3;Lbr;Cdc20;Srsf10;Cks1b;Kif15;Hnrnpd;Bcl3;Pttg1;Orc5;Cdc7;Uck2;Knl1;Srsf2;Snrpd1;Abl1;Odf2;Rbl1;Plk1;Syncrip;Kpnb1;Plk4;Cenpa;Rbm14;Prmt5;Kif2c;Smc1a;Cdc27;Hnrnpu;Chaf1a;Bub1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.55164880075164e-21,1.06895610009395e-19,1.1778932614942,0.518611037523879,3.00652695440549,194,"Csf2;Areg;Irs2;Lif;Nfkbia;Hes1;Nfkb1;Sik1;Nr4a1;Birc3;Gadd45b;Fosb;Tiparp;Klf4;Cdkn1a;Fosl2;Id2;Il7r;Smad3;Il6;Cd44;Nfkbie;Zbtb10;Tnfaip3;Bhlhe40;Kdm6b;Ptgs2;Ets2;Zc3h12a;Map3k8;Nr4a3;Jag1;Dennd5a;Sphk1;Zfp36;Fos;Jun;Rnf19b;Dusp5;Ier2;Tnip1;Cxcl3;Bmp2;Atf3;Klf9;Icosl;Cxcl2;Fosl1;Dusp1;Junb;Maff;Inhba;Ccnl1;Phlda1;Tnfaip8;Btg1;Tgif1;Rela;Hbegf;Gem;Trip10;Ccnd1;Il15ra;Atp2b1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.92579314751115e-19,1.92579314751115e-18,1.14219120216838,-0.488744691503525,-3.08460203691108,195,"Ccl5;Epsti1;Gzma;Xcl1;Cd74;Irf8;H2-Aa;Klrk1;Ptpn6;Il2rb;H2-Eb1;Zbp1;Psmb9;Psmb8;Casp3;Vamp8;Cd274;Stat3;Rnf213;Herc6;Slamf7;Trafd1;Stat1;Nlrc5;Ptpn1;Ifit2;Ifit3;Dhx58;Tap1;Cd86;Icam1;Parp14;Irf7;Trim14;Isg20;Pfkp;Ifi35;Pml;Rbck1;Rsad2;Ifitm2;Nod1;Sri;Bst2;Xaf1;Psma2;Myd88;Usp18;Trim26;Rtp4;Tnfsf10;Adar;Txnip;Ifit1bl1;Lgals3bp;Gpr18;H2-M3;Oas3;St8sia4;Gbp9;Ogfr;Lap3;Tapbp;Ifih1;Psme1;Lats2;Samd9l;Trim21;Cxcl10;Nampt;Trim25;Nmi;Casp7;Ifi30;Gbp8;Oas2;Mthfd2;Peli1;Eif2ak2;Isg15;Irf2"
"HALLMARK_MITOTIC_SPINDLE",4.96888652639423e-17,4.14073877199519e-16,1.06720998682811,-0.470004805418888,-2.94828048818609,192,"Lmnb1;Top2a;Smc4;Nusap1;Cdk1;Ccnb2;Tpx2;Rasa1;Incenp;Net1;Kif11;Birc5;Katnb1;Racgap1;Flna;Ezr;Prex1;Pcnt;Nek2;Ranbp9;Myh9;Nin;Dlgap5;Dock2;Epb41;Marcks;Ssh2;Cyth2;Cdc42;Arhgef3;Cntrl;Capzb;Ect2;Stau1;Arf6;Cenpf;Fbxo5;Flnb;Ndc80;Cep192;Prc1;Ckap5;Gsn;Cenpj;Sac3d1;Akap13;Abr;Clasp1;Kif20b;Smc3;Sun2;Cntrob;Cep57;Map3k11;Sass6;Kif15;Kptn;Uxt;Tubgcp6;Wasf2;Abl1;Actn4;Plk1;Stk38l;Csnk1d;Tbcd;Cep250;Map1s;Kif2c;Smc1a;Myo9b;Nck1;Cdc27;Bub1;Bcl2l11;Abi1;Ralbp1;Kif23;Taok2;Arhgef2"
"HALLMARK_MYC_TARGETS_V1",6.54081581177412e-17,4.67201129412437e-16,1.05746357275086,-0.480910891087942,-3.00238387012907,183,"Ccna2;Mcm2;Xpo1;Dek;Nme1;Serbp1;Mcm4;Pcbp1;Mcm6;Pcna;Psma1;Psma4;Pold2;Snrpa;Psma2;Mcm7;Nhp2;Rnps1;Phb2;Rrm1;Hprt;Bub3;Hspd1;Hnrnpa2b1;Tfdp1;Psmc6;Cct2;Xrcc6;Smarcc1;Srsf7;Lsm2;Usp1;Ncbp1;Fbl;Iars;Hdgf;Uba2;Snrpa1;Prdx4;Hnrnpa1;Cdk2;Psmd14;Cox5a;Ddx21;Tra2b;Mcm5;Sf3b3;Eif4e;Fam120a;Pabpc1;Cdc20;Lsm7;Cops5;Psmd7;Snrpb2;Hnrnpd;Snrpd3;Dut;Ssb;Stard7;Cct3;Srsf2;Snrpd1;Prpf31;Acp1;Syncrip;Snrpg;Vdac3;Ppia;Kpnb1;Exosc7;Cyc1;Sf3a1;Ssbp1;Pgk1;Ilf2;Tcp1;Hnrnpu;Dhx15;Ruvbl2;Psmd3;Psma7;Psmb3;Psmb2;Snrpd2;Eif2s1;Hsp90ab1;Cbx3;G3bp1;Ppm1g;Ywhae;Vbp1;Srpk1;Ywhaq;Eif1ax;Tyms;Tufm;Rack1;Ptges3;Eif3b;Npm1;Cdc45;Mad2l1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.07626547334454e-15,6.72665920840338e-15,1.01754479730988,-0.585644664965556,-3.1657513151593,96,"Epsti1;Cd74;Sell;Psmb9;Psmb8;Herc6;Trafd1;Ifit2;Ifit3;Dhx58;Tap1;Parp14;Irf7;Trim14;Isg20;Ifi35;Ifitm1;Rsad2;Ifitm2;Bst2;Cd47;Usp18;Trim26;Rtp4;Adar;Txnip;Lgals3bp;Ncoa7;Ogfr;Lap3;Cnp;Ifih1;Psme1;Samd9l;Trim21;Cxcl10;Mvb12a;Trim25;Nmi;Ifi30;Oas1a;Eif2ak2;Isg15;Irf2;Ccrl2;Nub1;Irf9;Ripk2;Stat2;Parp9;Irf1;Cmpk2;Ifitm3;Cmtr1;Rnf31"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.9621737009602e-10,3.31231872275567e-09,0.801215574617779,-0.383877280615345,-2.3967541556856,185,"Ndufb7;Ndufa2;Ndufa8;Atp5e;Atp6v0e;Uqcr10;Cox5b;Ndufb8;Atp6v1d;Cyb5r3;Phb2;Ndufa1;Ndufs8;Glud1;Sdhc;Mtx2;Sdhd;Cyb5a;Ndufb1;Atp5j2;Ndufc1;Cox17;Atp6v1h;Ndufa3;Idh3a;Cox7c;Surf1;Uqcrc2;Abcb7;Bax;Cox5a;Ndufc2;Fdx1;Casp7;Eci1;Tomm22;Fh1;Grpel1;Ndufs3;Atp5pb;Uqcrc1;Uqcrh;Atp5g3;Afg3l2;Polr2f;Atp5o;Atp5d;Mdh2;Timm13;Sdha;Dlat;Atp6v0c;Atp5j;Cox7b;Ogdh;Ndufs2;Ndufv2;Idh3b;Sdhb;Vdac3;Gpi1;Acaa2;Cyc1;Cox15"
"HALLMARK_DNA_REPAIR",2.10620479324381e-08,1.05310239662191e-07,0.73376198835648,-0.398096806550608,-2.37958993355797,145,"Supt4a;Rpa2;Nme1;Rae1;Pcna;Pola1;Ercc3;Hcls1;Nt5c;Hprt;Snapc5;Arl6ip1;Sdcbp;Edf1;Fen1;Pold3;Srsf6;Cox17;Pold1;Gtf2f1;Polr2e;Rfc5;Surf1;Rad51;Pola2;Lig1;Ssrp1;Sac3d1;Taf13;Trp53;Ercc1;Gtf2h1;Nelfcd;Polr2k;Rpa3;Polr2f;Nudt21;Dut;Polr3c;Taf12;Cmpk2;Adrm1;Polr2h;Gtf2h5;Aaas;Nt5c3;Polr1d;Rfc2;Sf3a3;Aprt;Cstf3;Upf3b;Bola2;Dguok;Gtf2a2;Polr2a;Eif1b;Tyms;Nelfb;Bcap31;Taf6;Itpa;Tmed2;Polh;Nelfe;Eloa;Tsg101"
