"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",9.37334235452814e-27,4.68667117726407e-25,1.34223377296446,-0.611651394314034,-2.90875547900059,197,"Dut;Mcm6;Tcf19;Lig1;Rrm2;Lmnb1;Tk1;Mcm7;Stmn1;Spc24;Mybl2;Rpa2;Ak2;Hmmr;Hmgb3;Tmpo;Pold1;Tubb5;Cnot9;Cdca3;Cenpm;Shmt1;Mcm3;Syncrip;Cdkn2a;Plk1;Dscc1;Pa2g4;Nme1;Pnn;Brca1;Birc5;Tacc3;Msh2;Nasp;Prdx4;Jpt1;Phf5a;Top2a;Anp32e;Ppp1r8;Asf1b;Mcm5;Hnrnpd;Ccne1;Hells;Cks1b;Timeless;Cdk1;Bard1;Mxd3;Dctpp1;Ncapd2;Srsf1;Lyar;Rnaseh2a;Pola2;Cdc25b;Ung;Kif18b;Gins1;Pan2;Rad51ap1;Dnmt1;Bub1b;Aurka;Suv39h1;Cbx5;Mms22l;Rpa1;E2f8;Spc25;H2ax;Diaph3;Trp53;Lbr;Exosc8;Orc6;Cenpe;Ube2t;Slbp;Cdk4;Pcna;Melk;Ezh2;Nup107;Depdc1a;Mcm2;Ubr7;Cdkn2c;Cdca8;Ranbp1;Pole4;Racgap1;Brms1l;Gins3;Ube2s;Ssrp1;Naa38;Brca2;Cdkn3;Mcm4;Trip13"
"HALLMARK_MYC_TARGETS_V1",1.06086341730173e-18,2.65215854325433e-17,1.11466447751729,-0.562802858450273,-2.65584140322586,183,"Dut;Mcm6;Mcm7;Got2;Kars;G3bp1;Rrm1;Tyms;Ssb;Ldha;Tfdp1;Psmd1;Ppia;Cct7;Hdgf;Syncrip;Snrpa;Cdk2;Hnrnpa1;Pa2g4;Sf3a1;Nme1;Cstf2;Cdc45;Cad;Prdx4;Snrpa1;Hspd1;Cct2;Psmd14;Mcm5;Ube2l3;Hnrnpd;Sf3b3;Ccna2;Cox5a;Pgk1;Vdac3;Set;Cops5;Iars;Exosc7;Srsf1;Cnbp;Odc1;Ppm1g;Rnps1;Cyc1;Srpk1;Tardbp;Slc25a3;Cct3;Srm;Ddx21;Phb2;Glo1;Eef1b2;Nop16;Rack1;Psma4;Bub3;Cdk4;Pcna;Rad23b;Pcbp1;Cct5;Uba2;Ilf2;Mcm2;Ranbp1;Eif3b;Psmd3;Prpf31;Psma1;Pabpc4;Npm1;Lsm7;Psmc6;Tcp1;Mcm4;Dhx15;Phb;Psmd7;Kpnb1;Tufm"
"HALLMARK_G2M_CHECKPOINT",1.08124957900051e-16,1.80208263166752e-15,1.05746357275086,-0.527909685232788,-2.50388796247524,193,"Mcm6;E2f4;Tgfb1;Lmnb1;G3bp1;Chaf1a;Stmn1;Mybl2;Nsd2;Kif15;Tfdp1;Rpa2;Hmmr;Hmgb3;Tmpo;Mcm3;Exo1;Syncrip;Cenpa;Plk1;Sfpq;Rad54l;Cdc45;Birc5;Tacc3;Nasp;E2f1;Jpt1;Top2a;Pafah1b1;Mcm5;Hnrnpd;Fbxo5;Ccna2;Tpx2;Pbk;Cks1b;Uck2;Cdk1;Bard1;Gins2;Srsf1;Kif11;Pola2;Odc1;Nek2;Cdc25b;Incenp;Cdc27;Pml;Aurka;Suv39h1;Chmp1a;Cdc6;Bcl3;Ccnf;H2ax;Slc7a1;Sqle;Lbr;Orc6;Cenpe;Bub3;Rbl1;Cdk4;Srsf10;Rad23b;H2az2;Ezh2;Smc2;Dtymk;Mcm2;Cdkn2c;Racgap1;Polq;Knl1;Ube2s;Abl1;Casp8ap2;Brca2;Cdkn3;Kpnb1;Espl1;Smarcc1;Hif1a;Prmt5;Ccnb2;Cdc20;Nusap1;Cdc25a;Ddx39a;Pole;Mki67;Cul4a;Prc1;Ttk;Kmt5a"
"HALLMARK_IL2_STAT5_SIGNALING",2.39411689242554e-15,2.99264611553193e-14,1.00731795687447,-0.516271295324521,-2.44603123135509,194,"Tnfrsf4;Penk;Itgae;Il1r2;Serpinb6a;Bcl2l1;Il2ra;Plagl1;Ikzf2;Itgav;Lrig1;Tnfrsf8;Ccr4;Ctla4;Tnfrsf9;Ikzf4;Mapkapk2;Furin;Tnfrsf18;Mxd1;Tiam1;Hk2;Hopx;Syngr2;Rabgap1l;Socs2;Itih5;Il3ra;Socs1;Traf1;Ccne1;Cdcp1;Ifngr1;Slc1a5;Uck2;Nfil3;Il2rb;Batf3;Galm;Snx9;Cish;Gpr65;Nt5e;Odc1;Flt3l;Irf8;Lif;Ccnd2;Il4ra;Spred2;Map6;Ltb;Gabarapl1;Swap70;Fgl2;Cdc6;Plec;Il10ra;Casp3;Rgs16;Tnfsf11;Lclat1;Rora;Alcam;Bhlhe40;Muc1;Tnfrsf1b;Fah;Capg;Ptger2;Ahcy;Pdcd2l;Il13;Myo1e;Pim1;Ahnak;Tgm2;Slc2a3;Adam19"
"HALLMARK_MTORC1_SIGNALING",1.0114048086196e-14,1.0114048086196e-13,0.986546283587582,-0.509552166795444,-2.41859890980603,191,"Sla;Rrm2;Got1;Edem1;Cyp51;Ddit4;Ldha;Ppia;Pdap1;Ssr1;Hmgcr;Psmc2;Hk2;Dhfr;Plk1;Ccng1;Psat1;Rit1;Cct6a;Asns;Hspd1;Psmd14;Psmd12;Sytl2;Tmem97;Slc1a5;Cyb5b;Nfil3;Pgk1;Gpi1;Psmd13;Ero1a;Cops5;Nfkbib;Fdxr;Hmbs;Hmgcs1;Map2k3;Shmt2;Adipor2;Ppa1;Ung;Psme3;Ykt6;M6pr;Glrx;Txnrd1;Coro1a;Aurka;Fgl2;Rpa1;Phgdh;Pfkl;Ebp;Trib3;Ccnf;Pgm1;Plod2;Sqle;Sqstm1;Psma4;Bhlhe40;Stip1;Serp1;Mcm2;Tcea1;Calr;Gsr;Itgb2;Slc2a3;Psmc6;Tpi1;Aldoa;Tes;Skap2;Sec11a;Gbe1;Slc2a1;Fads1;Mcm4;Psmb5;Stard4;P4ha1;Gmps;Slc37a4;Immt;Atp5g1"
"HALLMARK_GLYCOLYSIS",6.51968706008902e-09,5.43307255007418e-08,0.761460801445585,-0.439444345365396,-2.07371812227216,183,"Pgam1;Got1;Got2;Mxi1;Stmn1;Slc16a3;Ddit4;Ldha;Pfkp;Isg20;B3gat3;Cog2;Hmmr;Ppia;Hk2;Cenpa;Fkbp4;Nasp;Polr3k;Pgk1;Gpr87;Cdk1;Chst12;Ero1a;Galk1;Ak3;Sdc3;Nt5e;Akr1a1;Copb2;Slc35a3;Angptl4;Paxip1;Gale;Glrx;Qsox1;Aldh9a1;Aurka;Sdhc;Mdh1;Mdh2;Pgls;Txn1;Glce;Pygb;Plod2;Chst2;Pfkfb1;Hax1;Bik;Rbck1;Zfp292;Chst1;Chpf;Xylt2;Depdc1a"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.12756325646578e-07,4.35172232200303e-06,0.659444398037935,-0.395694733369529,-1.87655709534338,195,"Ifitm2;Jak2;Pfkp;Isg20;Stat3;Cfb;Lysmd2;Tap1;Nfkb1;Cd274;Cd40;Socs1;Ciita;Nlrc5;Psmb9;Il2rb;Ptpn1;Myd88;Il15ra;Cxcl9;Stat2;Ifi35;Irf8;Helz2;Il4ra;Tapbp;Pml;Adar;Fgl2;Casp7;Ifi44;Isg15;Il10ra;Rnf31;Casp3;Dhx58;Trafd1;Usp18;Casp8;Rbck1;Slc25a28;Bst2;Ube2l6;Oas3;H2-Eb1;H2-D1;Cmtr1;Psmb10;Ogfr;Gbp8;Stat1;Mvp;Pim1;Tor1b;Trim14;Psmb8;Trim26;Nfkbia;Ly6e;Nmi;Sp110;Cd74;Irf7;Gbp3;Ripk2;Peli1;Fas;Oasl1;Sri;Trim25;Hif1a;Herc6;Ptpn2;Irf4;Gzma"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",6.96275571520485e-07,4.35172232200303e-06,0.659444398037935,-0.40369024997417,-1.90926061229244,185,"Got2;Ldha;Cox6b1;Ndufc2;Afg3l2;Uqcrc1;Atp5e;Bax;Surf1;Uqcrh;Ndufs2;Atp5b;Pdha1;Timm13;Slc25a4;Nqo2;Ndufs7;Cox5a;Bckdha;Timm50;Gpi1;Vdac3;Hadha;Ndufb6;Ndufa8;Sdhd;Cox5b;Atp5c1;Atp5d;Timm10;Ndufb7;Idh3a;Atp5a1;Cyc1;Slc25a3;Sdhc;Casp7;Mdh1;Mdh2;Phb2;Ndufa5;Cpt1a;Suclg1;Hsd17b10;Sdha;Etfb;Ndufa2;Por;Atp6v0e;Timm17a;Cox6c;Uqcrq;Ndufa3;Cox15;Iscu;Polr2f;Ndufb8;Grpel1;Etfa;Cox4i1;Cox6a1;Uqcr10;Dlat;Ogdh;Atp5l;Nnt;Sdhb;Atp5pb;Aifm1;Cox7a2;Oxa1l;Ndufv1;Immt;Atp5g3;Atp5g1"
"HALLMARK_MYC_TARGETS_V2",6.67731843855342e-06,3.7096213547519e-05,0.610526878385931,-0.552893482417147,-2.17313294560941,56,"Slc19a1;Hk2;Plk1;Pa2g4;Exosc5;Las1l;Hspd1;Mcm5;Tmem97;Dctpp1;Ung;Mybbp1a;Srm;Nop16;Rcl1;Mphosph10;Cdk4;Farsa;Wdr74;Rabepk;Tcof1;Npm1;Slc29a2;Mcm4;Phb;Dusp2;Bysl"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.33193327643912e-05,6.65966638219562e-05,0.593325476396405,-0.461213968437122,-1.98547767774358,96,"Ifitm2;Ifitm1;Isg20;Mov10;Tap1;Psmb9;Ncoa7;Stat2;Ifi35;Helz2;Il4ra;Gbp2;Adar;Ifi44;Isg15;Rnf31;Dhx58;Trafd1;Tent5a;Uba7;Usp18;Casp8;Oas1a;Slc25a28;Bst2;Ube2l6;Cd47;Cmtr1;Ogfr;Trim14;Psmb8;Trim26;Oas1g;Ly6e;Nmi;Sp110;Cd74;Irf7;Gbp3;Ripk2;Oasl1;Mvb12a;Trim25;Herc6"
