"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",3.37195653052753e-24,1.68597826526376e-22,1.27091304449619,-0.599597953585186,-2.8589983863316,197,"Mcm6;Dut;Tcf19;Lig1;Mcm7;Rrm2;Tk1;Lmnb1;Ak2;Mybl2;Rpa2;Spc24;Pold1;Mcm3;Ppp1r8;Prdx4;Hmmr;Pa2g4;Shmt1;Hmgb3;Pnn;Cdca3;Syncrip;Cnot9;Tmpo;Msh2;Nme1;Stmn1;Cenpm;Dscc1;Cdkn2a;Tubb5;Jpt1;Brca1;Mcm5;Ccne1;Phf5a;Dctpp1;Hnrnpd;Nasp;Anp32e;Timeless;Rnaseh2a;Hells;Birc5;Srsf1;Tacc3;Cdc25b;Lyar;Asf1b;Plk1;Ung;Pan2;Top2a;Dnmt1;Mxd3;Ncapd2;Cks1b;Kif18b;Bard1;Gins1;Cdk1;Pola2;Nup107;Orc6;Cbx5;Spc25;Rpa1;Rad51ap1;Aurka;Bub1b;Lbr;Slbp;Cdk4;Ubr7;Suv39h1;Exosc8;Trp53;H2ax;Mcm2;E2f8;Ezh2;Ube2s;Ssrp1;Pole4;Mms22l;Cenpe;Diaph3;Depdc1a;Brca2;Naa38;Ube2t;Ranbp1;Cdca8;Mcm4;Melk;Prps1;Pcna;Racgap1;Cdkn2c;Trip13"
"HALLMARK_MYC_TARGETS_V1",8.11562779362299e-20,2.02890694840575e-18,1.15122052214226,-0.579770068740016,-2.72874228313525,183,"Mcm6;Dut;Got2;Kars;G3bp1;Mcm7;Tyms;Ssb;Ppia;Rrm1;Tfdp1;Ldha;Snrpa;Cdk2;Cstf2;Prdx4;Hdgf;Pa2g4;Sf3a1;Cct7;Hspd1;Psmd1;Syncrip;Cad;Nme1;Sf3b3;Ube2l3;Mcm5;Cdc45;Iars;Hnrnpa1;Psmd14;Cox5a;Hnrnpd;Pgk1;Cnbp;Vdac3;Odc1;Srpk1;Exosc7;Srsf1;Cct2;Snrpa1;Set;Srm;Ppm1g;Glo1;Cyc1;Cops5;Eef1b2;Rack1;Cct3;Rnps1;Ccna2;Nop16;Slc25a3;Psma4;Rad23b;Tardbp;Bub3;Cdk4;Uba2;Psmd3;Phb2;Pcbp1;Ddx21;Ilf2;Prpf31;Lsm7;Mcm2;Cct5;Phb;Kpnb1;Ranbp1;Pabpc4;Mcm4;Psmd7;Npm1;Pcna;Tufm;Psma1;Eif3d;Eif3b;Psmc6;Pwp1;Tcp1"
"HALLMARK_G2M_CHECKPOINT",6.51472124188519e-15,1.08578687364753e-13,0.996986217533181,-0.513058252075216,-2.42712294109425,193,"Mcm6;E2f4;Tgfb1;G3bp1;Lmnb1;Mybl2;Rpa2;Chaf1a;Nsd2;Tfdp1;Kif15;Mcm3;Hmmr;Exo1;Hmgb3;Syncrip;Tmpo;Stmn1;Sfpq;Pafah1b1;E2f1;Uck2;Jpt1;Rad54l;Mcm5;Cdc45;Cenpa;Fbxo5;Pbk;Hnrnpd;Nasp;Odc1;Birc5;Srsf1;Tacc3;Cdc25b;Plk1;Top2a;Tpx2;Cks1b;Bard1;Cdk1;Sqle;Gins2;Kif11;Incenp;Bcl3;Ccna2;Chmp1a;Pola2;Dtymk;Nek2;Orc6;Rad23b;Pml;Cdc6;Rbl1;Bub3;Aurka;Lbr;Ccnf;Cdk4;Suv39h1;Slc7a1;Cdc27;H2ax;Mcm2;Ezh2;Casp8ap2;Ube2s;Srsf10;Cenpe;Kpnb1;Brca2;Smc2;H2az2;Prmt5"
"HALLMARK_IL2_STAT5_SIGNALING",1.04157532881989e-14,1.30196916102486e-13,0.986546283587582,-0.518380120669672,-2.46748265834519,195,"Penk;Tnfrsf4;Bcl2l1;Itgae;Serpinb6a;Plagl1;Il1r2;Lrig1;Ccr4;Tnfrsf8;Il2ra;Ctla4;Itgav;Furin;Tiam1;Tnfrsf18;Ikzf4;Mapkapk2;Hk2;Socs2;Hopx;Uck2;Nfil3;Slc1a5;Ikzf2;Mxd1;Ccne1;Il3ra;Socs1;Traf1;Flt3l;Galm;Ccnd2;Cish;Odc1;Lif;Rabgap1l;Cdcp1;Snx9;Syngr2;Tnfrsf9;Ifngr1;Itih5;Batf3;Tnfsf11;Il10ra;Gpr65;Il4ra;Gabarapl1;Ptger2;Ltb;Plec;Spred2;Nt5e;Rora;Muc1;Il2rb;Bhlhe40;Cdc6;Lclat1;Fgl2;Il13;Map6;Ahnak;Fah;Irf8;Pdcd2l;Slc2a3;Phlda1;Capg;Tnfrsf1b;Swap70;Ahcy;Alcam;Casp3;Pim1;Rgs16;Adam19;Glipr2;Gpr83;Phtf2;Ecm1;Umps;Cd44;Tgm2"
"HALLMARK_MTORC1_SIGNALING",2.10885974384198e-14,2.10885974384198e-13,0.97599468306432,-0.511477614722017,-2.42286764652405,192,"Sla;Edem1;Cyp51;Rrm2;Ddit4;Ppia;Got1;Psmc2;Ldha;Hmgcr;Ssr1;Pdap1;Dhfr;Sytl2;Hspd1;Hk2;Tmem97;Ccng1;Nfil3;Cct6a;Psat1;Cyb5b;Slc1a5;Hmgcs1;Gpi1;Psmd14;Asns;Pgk1;Psmd12;Map2k3;Rit1;Ero1a;Psmd13;Plk1;Ung;Fdxr;Txnrd1;Adipor2;Hmbs;Plod2;Ykt6;Shmt2;Psme3;Ppa1;Nfkbib;Cops5;Sqle;M6pr;Glrx;Phgdh;Pgm1;Coro1a;Stip1;Ebp;Trib3;Psma4;Bhlhe40;Rpa1;Aurka;Ccnf;Fgl2;Pfkl;Sqstm1;Itgb2;Mcm2;Slc2a3;Stard4;Sec11a;Gsr;Calr;Serp1;Slc2a1;Mcm4;Psmb5;Aldoa;Tes;Tpi1;Elovl6;Slc37a4;Psmc6;Tcea1;Egln3;Immt;Atp5g1;Cdc25a;P4ha1;Fads1;Tomm40;Skap2;Dhcr24;Gbe1;Mthfd2l;Gmps;Sdf2l1;Idi1"
"HALLMARK_GLYCOLYSIS",6.60379409044063e-09,5.50316174203386e-08,0.761460801445585,-0.443995403755701,-2.08889468038642,184,"Pgam1;Got2;Mxi1;Pfkp;Ddit4;Ppia;Cog2;Isg20;B3gat3;Got1;Ldha;Slc16a3;Hmmr;Hk2;Polr3k;Fkbp4;Stmn1;Cenpa;Ak3;Gpr87;Pgk1;Nasp;Galk1;Paxip1;Ero1a;Slc35a3;Akr1a1;Qsox1;Plod2;Sdc3;Copb2;Cdk1;Chst12;Glce;Angptl4;Aldh9a1;Xylt2;Glrx;Gale;Bik;Nt5e;Pygb;Pgls;Hax1;Sdhc;Txn1;Aurka;Rbck1;Pfkfb1;Mdh2;Mdh1;Chst1;Chst2;Aldh7a1;Zfp292;Depdc1a;Chpf;Aldoa;Tpi1;Prps1;Slc25a13;Slc37a4;Cd44;Fam162a;Casp6;Gfus;Alg1;Egln3;Col5a1;Dsc2;Ecd;P4ha1;Pdk3;Ang;Rpe;Ext2;Ndufv3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.77151612393771e-06,2.69394008852694e-05,0.627256739718528,-0.38935356542574,-1.8355102135897,185,"Got2;Afg3l2;Cox6b1;Ndufc2;Ldha;Uqcrh;Atp5e;Surf1;Uqcrc1;Pdha1;Nqo2;Ndufs2;Bax;Timm13;Atp5b;Ndufs7;Bckdha;Gpi1;Slc25a4;Cox5a;Vdac3;Timm50;Ndufa8;Hadha;Sdhd;Atp5d;Atp5a1;Timm10;Atp5c1;Cyc1;Hsd17b10;Idh3a;Ndufb6;Ndufb7;Ndufa5;Slc25a3;Sdhc;Sdha;Casp7;Cox5b;Ndufa2;Phb2;Cpt1a;Cox4i1;Polr2f;Mdh2;Por;Mdh1;Cox15;Suclg1;Uqcrq;Atp6v0e;Ogdh;Cox6c;Ndufa3;Uqcr10;Ndufb8;Ndufv1;Nnt;Etfb;Atp6v0c;Grpel1;Atp5l;Etfa;Iscu;Slc25a20;Atp5pb;Aifm1;Sdhb;Immt;Atp5g1;Timm17a;Dlat;Oxa1l;Acaa2;Atp5g3;Atp5j2;Cox7a2;Cox6a1"
"HALLMARK_MYC_TARGETS_V2",8.91184958099347e-06,5.30683545932962e-05,0.593325476396405,-0.555118451440529,-2.1215347741263,56,"Slc19a1;Las1l;Pa2g4;Hspd1;Hk2;Tmem97;Exosc5;Mcm5;Dctpp1;Plk1;Ung;Srm;Mybbp1a;Nop16;Farsa;Rcl1;Cdk4;Mphosph10;Rabepk;Wdr74;Phb;Tcof1;Mcm4;Npm1;Bysl;Slc29a2;Dusp2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",9.55230382679332e-06,5.30683545932962e-05,0.593325476396405,-0.462395264107013,-1.95429555714623,98,"Sla;Lck;Traf2;Pfn1;Raf1;Cfl1;Tiam1;Cdk2;Mknk2;Ap2m1;Hras;Arf1;E2f1;Camk4;Map2k3;Rit1;Arhgdia;Atf1;Ywhab;Plcg1;Myd88;Stat2;Cdk1;Ppp1ca;Nfkbib;Akt1;Pin1;Trib3;Sfn;Mapk8;Cdk4;Ptpn11;Sqstm1;Map3k7;Il2rg;Pak4;Il4;Calr;Slc2a1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.20443619343783e-05,6.02218096718916e-05,0.593325476396405,-0.375914981068236,-1.78935043959586,195,"Ifitm2;Jak2;Pfkp;Isg20;Cd274;Tap1;Nfkb1;Cfb;Nlrc5;Stat3;Socs1;Ptpn1;Psmb9;Il15ra;Lysmd2;Cd40;Helz2;Il10ra;Il4ra;Myd88;Stat2;Ifi35;Cxcl9;Rnf31;Ciita;Adar;Ifi44;Il2rb;Casp7;Pml;Slc25a28;Tapbp;Fgl2;Rbck1;Isg15;Casp8;Irf8;Oas3;Usp18;Trafd1;Bst2;Dhx58;Nfkbia;Trim26;Casp3;Pim1;Tor1b;Trim14;H2-D1;Psmb10;Gbp8;Cmtr1;Ube2l6;Peli1;Mvp;Psmb8;Stat1;Epsti1;Sp110;Ogfr;Ripk2;Itgb7;Gbp3;Ly6e;Irf7;Sri;Irf4;Hif1a;Arl4a;Nmi;H2-Eb1;Fas"
