"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000196367563095657,1.56374963067353,0.12,0.064,1,"0","Dtx4"
0.000144416545845522,1.47117727680421,0.104,0.065,1,"0","Pgap1"
9.00235356385486e-06,1.20723540461945,0.157,0.104,0.171539847159254,"0","Axin2"
2.92934730050513e-10,1.08519975254824,0.183,0.11,5.58187128111252e-06,"0","Pou6f1"
6.48890214905983e-06,0.986510025233039,0.141,0.129,0.123646030450335,"0","Pip5k1c"
9.07880993238446e-41,0.954023713564331,0.598,0.486,1.72996723261586e-36,"0","Gramd3"
0.000734756406439733,0.941274675755923,0.131,0.131,1,"0","Sh3glb2"
3.39182500969624e-05,0.911563503701688,0.107,0.095,0.646312255597618,"0","Mvb12b"
6.59169210472853e-06,0.883099060856382,0.07,0.103,0.125604693055602,"0","Nup93"
0.00452792433425074,0.871208376093921,0.162,0.118,1,"0","Klf3"
3.81421547372004e-10,0.85753856074893,0.445,0.398,7.26798758517354e-06,"0","Sorl1"
1.59320029078422e-05,0.843316024158432,0.103,0.105,0.303584315408932,"0","Farp1"
6.86942735143885e-07,0.835921639774017,0.108,0.104,0.0130896938181667,"0","Camta2"
9.13986027328787e-05,0.833029909334493,0.186,0.18,1,"0","Tbc1d9b"
0.00473315933365,0.829251552994233,0.231,0.175,1,"0","S1pr1"
1.10336853297241e-06,0.810662276403287,0.11,0.121,0.0210246873957893,"0","Rabl6"
1.65726031706963e-05,0.795754440270947,0.138,0.124,0.315790953417617,"0","Mprip"
1.09560224547481e-06,0.752581241545864,0.166,0.165,0.0208767007875226,"0","Ctnnb1"
2.09228760911023e-05,0.747300530564129,0.127,0.135,0.398685403915955,"0","Ensa"
0.00124405630402752,0.740390565707339,0.163,0.147,1,"0","Prkcb"
0.00050766975252653,0.740020584263902,0.107,0.119,1,"0","Dtx3"
0.00492555096145009,0.726775693559645,0.123,0.107,1,"0","Ppp3ca"
5.12450428246769e-14,0.72638313972214,0.116,0.13,9.76474291024218e-10,"0","Dpysl2"
2.00205836933493e-05,0.724568688042745,0.096,0.101,0.381492222276772,"0","Tmem87b"
0.000568349958515557,0.713346018077755,0.207,0.228,1,"0","Usp8"
6.62835963321762e-06,0.711282227811819,0.213,0.204,0.126303392810962,"0","Dlgap4"
5.86768048706828e-06,0.706593827715285,0.14,0.15,0.111808651681086,"0","Map7d1"
0.00923910632393014,0.702613022390053,0.122,0.14,1,"0","Zfp280c"
5.90875957554967e-08,0.700313580172028,0.156,0.157,0.00112591413712099,"0","Atp6v1b2"
1.87582119573753e-05,0.69750370923774,0.12,0.144,0.357437728847787,"0","Odf2"
1.81083593818839e-159,4.679223760006,0.14,0.009,3.45054788021798e-155,"1","Ky"
4.3231256156573e-243,3.96422289460168,0.259,0.025,8.23771586063499e-239,"1","Ncmap"
2.87109265947437e-194,3.94571766007165,0.223,0.025,5.47086706262841e-190,"1","Il10"
6.83650934253428e-245,3.67699595290297,0.291,0.036,1.30269685521991e-240,"1","Neb"
0,3.62291504524636,0.731,0.084,0,"1","Foxp3"
0,3.60877731250753,0.609,0.091,0,"1","Lrrc32"
3.73263136844357e-126,3.13587568618988,0.186,0.029,7.11252907256923e-122,"1","Rln3"
6.88643143157838e-178,3.09612936064482,0.309,0.062,1.31220950928726e-173,"1","Klrg1"
2.50614654847706e-53,2.91350877917034,0.133,0.037,4.77546224812305e-49,"1","Angptl2"
6.15029822760591e-149,2.90577499582958,0.247,0.048,1.17193932727031e-144,"1","Ikzf4"
0,2.85223651265039,0.625,0.144,0,"1","Izumo1r"
0,2.46974353171328,0.823,0.254,0,"1","Tnfrsf4"
5.22086485508729e-184,2.42198670347947,0.448,0.134,9.94835798136883e-180,"1","Sdcbp2"
4.63389408935777e-70,2.38380213632081,0.14,0.031,8.82988518727124e-66,"1","Ephx1"
1.54771847280436e-219,2.36477505310518,0.636,0.258,2.9491775499287e-215,"1","Arl5a"
1.35841077240889e-42,2.33509269768944,0.107,0.029,2.58845172682514e-38,"1","Tnfrsf8"
6.25780530983391e-98,2.25239727429589,0.283,0.09,1.19242480178885e-93,"1","Ccr8"
0,2.24185280695052,0.873,0.414,0,"1","Ctla4"
0,2.22195114477973,0.753,0.259,0,"1","Ikzf2"
5.53997494610185e-70,2.17783714521853,0.184,0.052,1.05564222597971e-65,"1","Gpr55"
1.68683253029227e-129,2.16496439609156,0.378,0.129,3.21425938647192e-125,"1","Sema4b"
8.73595704567634e-121,2.16302008051095,0.329,0.104,1.66463661505363e-116,"1","Itgae"
1.06082101319314e-122,2.15053516700876,0.361,0.122,2.02139444063953e-118,"1","Lamc1"
7.28491651852991e-114,2.13893862461841,0.437,0.19,1.38814084260587e-109,"1","Glrx"
1.3671180886204e-196,2.03184239522132,0.534,0.183,2.60504351786617e-192,"1","Maf"
3.66884271763679e-99,2.03110531521286,0.24,0.064,6.99097979845691e-95,"1","Il1rl1"
1.08707455190327e-124,2.02609521200707,0.321,0.093,2.07142055865167e-120,"1","Areg"
8.99626520066322e-39,1.96368878305774,0.121,0.038,1.71423833398638e-34,"1","Rgs9"
1.53038674931598e-218,1.95788820972667,0.669,0.274,2.91615195082159e-214,"1","Il2ra"
2.24175119643751e-55,1.94945238583626,0.194,0.068,4.27165690481168e-51,"1","Coq8a"
3.88503039760183e-148,2.67631612186012,0.357,0.098,7.40292542263028e-144,"2","Zfp683"
4.90223020952698e-239,2.44972296187413,0.712,0.282,9.34119966425366e-235,"2","Dnajb1"
3.52075531766603e-192,2.33665592044746,0.543,0.175,6.70879925781261e-188,"2","Hsph1"
0,2.26963489856689,0.853,0.291,0,"2","Hspa1b"
5.97947068652831e-288,2.23062943495486,0.799,0.262,1.13938813931797e-283,"2","Hspa1a"
2.84799242230575e-26,2.197186052537,0.127,0.045,5.42684956070361e-22,"2","Ifitm1"
5.27190615675201e-68,2.03297548278307,0.228,0.074,1.00456171816909e-63,"2","Cdh1"
2.62316323625789e-101,2.00433487404102,0.502,0.234,4.99843754668942e-97,"2","Ifng"
1.85973230218429e-155,1.97469475273087,0.519,0.192,3.54371990181217e-151,"2","Cd8b1"
1.00548598811655e-85,1.9682522806046,0.289,0.093,1.91595355035609e-81,"2","Itga1"
1.30099361840863e-199,1.96541793390099,0.613,0.22,2.47904333987765e-195,"2","Cd8a"
2.35754625368626e-156,1.89341328850371,0.677,0.298,4.49230438639917e-152,"2","Jun"
3.85675572462219e-52,1.8202813317959,0.421,0.195,7.34904803326758e-48,"2","Fos"
4.02395835394322e-78,1.81620199389426,0.323,0.123,7.66765264343881e-74,"2","Jaml"
1.59305051885253e-35,1.79220755348355,0.231,0.079,3.03555776367349e-31,"2","Egr1"
4.44347133824852e-45,1.78705487988184,0.209,0.084,8.46703463503256e-41,"2","Gzmk"
6.56159747168553e-168,1.77065611619282,0.783,0.469,1.25031239822968e-163,"2","Hsp90aa1"
5.64113866936882e-75,1.76896945958966,0.406,0.195,1.07491897344823e-70,"2","Cd226"
5.1105442980519e-52,1.73135185962606,0.212,0.073,9.73814215993791e-48,"2","Ifitm10"
2.57835680512527e-13,1.69489205801604,0.122,0.063,4.9130588921662e-09,"2","Zfand2a"
6.97424649364149e-13,1.68416019004943,0.128,0.063,1.32894266936339e-08,"2","Dnaja4"
7.86938342097704e-21,1.66770708418855,0.128,0.051,1.49951101086718e-16,"2","Pelo"
