subcluster	tcell_subtype	kdm6b_rank	kdm6b_group	comparison	comparison_condition	sccomp_reference_condition	effect_41bbl_vs_condition	lower_41bbl_vs_condition	upper_41bbl_vs_condition	c_pH0	c_FDR	significant_direction	status_in_41bbl	c_rhat	c_ess_bulk	c_ess_tail
3	NK-like cytotoxic lymphocytes	1	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.24436428620976555	-0.030673981517500174	0.518879762175	0.13175000000000003	0.05328571428571427	Not significantly different	Not significantly different	1.0008287236966802	436.5869913110235	936.5921241164342
3	NK-like cytotoxic lymphocytes	1	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.17897281892255923	-0.45889685287500004	0.08699141505249999	0.28800000000000003	0.20199999999999999	Not significantly different	Not significantly different	1.0017232290456026	447.31525810688584	1695.0523519611877
3	NK-like cytotoxic lymphocytes	1	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.0861428534826859	-0.32318735017500017	0.14886955000000002	0.5487500000000001	0.14513636363636365	Not significantly different	Not significantly different	0.9999531525547114	838.8640491429433	2744.667349497854
3	NK-like cytotoxic lymphocytes	1	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	0.28097147355945873	-0.006589770416500196	0.5607100591999999	0.09575	0.040999999999999995	Enriched in 41BB-L	Enriched in 41BB-L	1.0012958712792162	763.9511938237628	2090.909478430622
3	NK-like cytotoxic lymphocytes	1	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	-0.26068293373729223	-0.5558756051750002	0.03546116728749999	0.13275000000000003	0.04045833333333334	Enriched in tumor	Depleted in 41BB-L	1.000300744660548	621.4710192558529	1439.118241852646
9	γδ T cells	2	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.09379749918838268	-0.18471114765000013	0.39813805739999997	0.5367500000000001	0.22985416666666666	Not significantly different	Not significantly different	1.0039644436697803	333.5628094646156	546.7791135759461
9	γδ T cells	2	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	0.013285025125173674	-0.289851028475	0.30897152474999995	0.7152499999999999	0.3727916666666667	Not significantly different	Not significantly different	1.003855184747261	634.3361149358543	1507.2851985374325
9	γδ T cells	2	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.43654819941554	-0.683084652825	-0.189162552825	0.004750000000000032	0.0029166666666666785	Enriched in CD8-41BB	Depleted in 41BB-L	1.0045308222632152	780.1052034707341	1920.688982986898
9	γδ T cells	2	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	0.19946912336051525	-0.11195270845000002	0.5137447984750001	0.26	0.1055625	Not significantly different	Not significantly different	0.9998728615788444	427.9899799602152	935.4193234567505
9	γδ T cells	2	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	-0.06877263383103736	-0.38254462749999996	0.262921904275	0.577	0.18461363636363634	Not significantly different	Not significantly different	1.0066431867517347	394.5820562680849	1086.3175571895704
12	Th2-like inflammatory T cells	3	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.31520243186555125	-0.02973177871250005	0.6600068371750001	0.11250000000000004	0.04020833333333331	Enriched in 41BB-L	Enriched in 41BB-L	1.0046767463522006	232.50986718651367	493.3810466073903
12	Th2-like inflammatory T cells	3	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.310745528537489	-0.680635726625	0.129596028775	0.13249999999999995	0.10199999999999998	Not significantly different	Not significantly different	1.00178078898191	134.14745161450563	142.11218989012866
