pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction
HALLMARK_E2F_TARGETS	4.710263465383907e-46	2.2609264633842755e-44	1.7683043267175176	-0.7764843188070457	-3.0460777816105615	197	Top2a;Ncapd2;Tmpo;Mki67;Cdca3;Cdca8;Lmnb1;Hells;Tubb5;Depdc1a;Spc24;Dek;Stmn1;Tacc3;Pole;Rpa1;H2ax;Anp32e;Birc5;Pold1;Mcm3;Dnmt1;Spag5;Kif2c;Tipin;Mcm2;Bard1;Bub1b;Dut;Kif18b;Ccnb2;Diaph3;Tcf19;Smc1a;Timeless;Tk1;Mms22l;Cdc20;Ezh2;Cdc25b;Cdk1;Rrm2;Mcm6;Lig1;Brca1;Mcm5;Tubg1;Pcna;Rfc2;Mcm7;Exosc8;Gins1;Usp1;Melk;Cks1b;Cbx5;Racgap1;Smc4;Dlgap5;Cenpm;Ddx39a;Cdkn3;Hmmr;Cdkn2c;Ung;Mcm4;Ak2;Pold2;Cenpe;Psip1;Dck;Spc25;Espl1;Pola2;Chek1;Dscc1;Rpa2;Nup205;Rbbp7;Ssrp1;Nup107;Ctcf;Kif22;Naa38;Pold3;Prdx4;Chek2;Rad50;Brca2;Mad2l1;Mthfd2;Paics;Nudt21;Rnaseh2a;Gins3;Mre11a;H2az1;Plk4;Xrcc6;Rpa3;Ube2t;Atad2;Pa2g4;Aurka;Nme1;Smc6;Orc6;Prim2;Ranbp1;Dctpp1;Hnrnpd;Eif2s1;Cnot9;Ubr7;Plk1;Zw10;Ccne1;Rad21;Rfc3;Slbp;Myc;Cks2;Ccp110;Wee1;Aurkb;Pttg1;Lyar;Cdkn2a;Rfc1;Gins4;Ran;Mlh1;Pms2	Enriched in Kdm6b-low
HALLMARK_G2M_CHECKPOINT	2.986301873055012e-19	7.167124495332029e-18	1.133089932009015	-0.6267510692089742	-2.4598141657668604	187	Top2a;Tmpo;Mki67;Lmnb1;Cenpf;Stmn1;Tacc3;Nusap1;Tfdp1;Ube2c;Pole;H2ax;Birc5;Mcm3;Rad54l;Incenp;Dtymk;Bub1;Kif15;Kif2c;Nsd2;Smc2;Mcm2;Hspa8;Bard1;Nek2;Kif11;Knl1;Pbk;Ccnb2;Smc1a;Cdc20;Ezh2;Cdc25b;Prc1;Cdk1;Mcm6;Mcm5;Chaf1a;Tpx2;Ccna2;Cks1b;Racgap1;Smc4;Fbxo5;Ddx39a;Cdkn3;Hmmr;Cdkn2c;Snrpd1;Cenpe;H2az2;Pml;Kif23;Espl1;Pola2;Chek1;Rpa2;Smarcc1;Ctcf;Kif22;Rbl1;Troap;Kif20b;Brca2;Mad2l1;Ndc80;Bub3;Stil;H2az1;Cbx1;Plk4;Cdc45;Cdc7;Hnrnpu;Aurka;Prmt5;Hif1a;Orc6;Prim2;Dkc1;E2f3;Odf2;Exo1;Hnrnpd;Gins2;E2f4;Kpnb1;Plk1;Ttk;Rad21	Enriched in Kdm6b-low
HALLMARK_MYC_TARGETS_V1	1.996966377714742e-16	3.195146204343587e-15	1.047626488498816	-0.6003668511380233	-2.3450348892072923	182	Cbx3;Ppia;Dek;Tfdp1;Rrm1;Hsp90ab1;Mcm2;Pgk1;Dut;Hspd1;Psma4;Cdc20;Mcm6;Mcm5;Cox5a;Pcna;Mcm7;Usp1;Lsm2;Ccna2;Hprt;Tcp1;Acp1;Nhp2;Mcm4;Psma6;Snrpd1;Pold2;Uba2;Snrpb2;Smarcc1;Psmd14;Psma2;Prdx4;Hnrnpa2b1;Cdk2;Lsm7;Mad2l1;Ruvbl2;Psmb2;Rnps1;Ncbp1;Bub3;Hspe1;Serbp1;Psma1;H2az1;Hdgf;Snrpa;Ldha;Xrcc6;Tyms;Cdc45;Snrpa1;Ndufab1;Hnrnpu;Phb2;Pa2g4;Hnrnpa1;Nme1;Psmd3;Kars;Psmd8;Psmd7;Ranbp1;Eif4e;Hnrnpd;Eif2s1;Cct2;Kpnb1;Cct7;Fam120a;Prdx3;Pole3;Snrpd3;Myc;Cct3;Stard7;Pcbp1;Exosc7;Tufm;Ran;G3bp1;Prpf31;Sf3b3;Sf3a1;Srsf7;Prps2;Got2;Srm;Snrpg;Srsf1;Apex1	Enriched in Kdm6b-low
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.777494010587916e-14	5.732992812705498e-13	0.9653277542260832	0.6104984325891997	2.341756172775993	168	Fosl2;Kdm6b;Nr4a3;Dusp5;Zbtb10;B4galt1;Clcf1;Mxd1;Irs2;Nr4a2;Hes1;Smad3;Birc3;Klf4;Nr4a1;Slc2a6;Ier2;Pnrc1;Ccl5;Maff;Sik1;Pmepa1;Sqstm1;Zc3h12a;Ccnl1;Vegfa;Rela;Plek;Tnfaip3;Ninj1;Atp2b1;Litaf;Tiparp;Junb;Gem;Per1;Bhlhe40;Nfkbie;Pde4b;Cebpb;Gch1;Klf10;Bcl6;Btg3;Nfkb1;Tgif1;Nfil3;Eif1;Tubb2a;Btg1;Csf2;Relb;Panx1;Spsb1;Nfkb2;Areg;Tnip1;Icam1;Rel;Cd44;Gadd45a;Cdkn1a;Gfpt2;Ets2;Nfkbia;Slc16a6;Yrdc;Ier5;Il7r;Nfe2l2;Id2;Tnfrsf9;Ptgs2;Abca1;Il6st;Ptpre;Klf9;Stat5a	Enriched in Kdm6b-high
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.5719017192054264e-9	2.4690256504372092e-8	0.7749390301364363	-0.6261184930076196	-2.200884461031388	87	Psmb8;Isg20;Bst2;Herc6;Psmb9;Ifit3;Ly6e;Ifit2;Dhx58;Tap1;Trim14;Trim21;Ifitm2;Cmpk2;Ube2l6;Isg15;Parp9;Gbp2;Ifitm1;Ncoa7;Usp18;Epsti1;Rsad2;Rtp4;Eif2ak2;Parp14;Cd47;Adar;Stat2;Ddx60;Cd74;Nmi;Ifi35;Wars1;Casp1;Uba7;Ifih1;Ifi27;Cxcl10;Oas1a;Mvb12a;Ifitm3;Lpar6;Cmtr1;Ifi30;Psme1;Lap3;Parp12	Enriched in Kdm6b-low
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.5139759174473453e-8	2.0111807339578762e-7	0.7337619883564803	-0.49442609762523737	-1.9312299585961612	182	Ndufa3;Atp5j2;Ndufa8;Cox5a;Atp5e;Ndufs8;Atp5pb;Cox5b;Ndufb7;Uqcr10;Atp5k;Ndufa2;Ech1;Ndufc2;Ndufv2;Fh1;Cyb5a;Mtx2;Ndufc1;Cox17;Idh3a;Casp7;Ndufb1;Timm50;Ldha;Etfa;Timm13;Ndufab1;Uqcrc2;Phb2;Ndufs2;Atp5j;Ndufb5;Fdx1;Slc25a5;Bax;Sdhb;Aifm1;Idh2;Polr2f;Idh3b;Atp5o;Prdx3;Ndufa1;Atp5l;Ndufb8;Gpi1;Etfb;Atp5g3;Acat1;Got2;Abcb7;Cox7b;Slc25a11;Ndufs7;Mdh2;Sdhd;Ndufs3;Cox15;Timm9;Uqcrc1;Atp5b;Cyc1;Htra2;Cox6b1;Timm10;Ogdh;Acaa2;Timm17a;Nqo2;Atp5g1;Pdhx;Cox10;Uqcrb;Uqcrfs1;Cox7c;Phyh;Vdac3;Uqcrq;Ndufb4;Ndufb6;Sdhc;Sucla2;Nnt	Enriched in Kdm6b-low
HALLMARK_MTORC1_SIGNALING	3.1546734366839344e-7	2.163204642297555e-6	0.674962860011025	-0.475330473780694	-1.8600724885252724	183	Coro1a;Ppia;Rpa1;Ddit4;Bub1;Glrx;Dhfr;Mcm2;Pgk1;Hspd1;Psma4;Actr3;Shmt2;Rrm2;Tubg1;Hprt;Btg2;Sla;Ddx39a;Ung;Mcm4;Ccng1;Fkbp2;Nup205;Psmd14;Stip1;Ldlr;Actr2;Mthfd2;Cyb5b;Hspe1;Cacybp;Tomm40;Prdx1;Ldha;Slc2a3;Edem1;Pdap1;Insig1;Phgdh;Uchl5;Psph;Aurka;Bcat1;Psat1;M6pr;Hmgcr;Idi1;Wars1;Nmt1;Tcea1;Plk1;Sdf2l1;Eef1e1;Cyp51;Dhcr7;Psmd12;Pdk1;Gpi1;Arpc5l;Nampt;Rpn1;Gsr;Ifi30;Itgb2;Ccnf;Asns;Psmd13;Gga2;Psmg1;Slc1a5;Psmc2;Pfkl;Ppa1;Hsp90b1;Pno1;Ctsc;Gmps;Psme3;Ebp;Hmgcs1;Psmc6;Hmbs;Dhcr24;Cdc25a	Enriched in Kdm6b-low
HALLMARK_ESTROGEN_RESPONSE_EARLY	3.290267153179142e-5	1.8240468133311113e-4	0.557332238758646	0.4988938178041834	1.8238903932366113	115	Ugcg;Sult2b1;B4galt1;Aff1;Dhrs3;Hes1;Klf4;Myb;Fhl2;Il17rb;Itpk1;Tiparp;Bhlhe40;Elovl5;Klf10;Tgif2;Bcl2;Med13l;Rara;Xbp1;Tob1;Muc1;Slc22a5;Gab2;Areg;Ar;Sfn;Ovol2;Cd44;Nrip1;Abhd2;Gla;Fasn;Rbbp8;Mast4;Igfbp4;Dynlt3;Ncor2;Rhod;Il6st	Enriched in Kdm6b-high
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.420087774995834e-5	1.8240468133311113e-4	0.557332238758646	-0.4376293156078367	-1.694412656793797	175	Psmb8;Isg20;Nlrc5;Bst2;Herc6;Ifit1bl1;Oas3;Psmb9;Ifit3;Ly6e;Samhd1;Ifit2;Casp3;Stat1;Cd69;Dhx58;Zbp1;Rnf213;Gbp4;Tap1;Trim14;Xaf1;Trim21;Lcp2;Pml;Gbp9;Ifitm2;Cmpk2;Vamp8;Oas2;Ube2l6;Psma2;Isg15;Mthfd2;Usp18;Psmb2;H2-M3;Ptpn6;Epsti1;Rsad2;Rtp4;Eif2ak2;Casp7;Parp14;Nup93;Adar;Stat2;Ddx60;Cd86;Cd74;Nmi;Ifi35;Sri;Hif1a;Wars1;Casp1;Ifih1;Tnfsf10;Ifi27;Cxcl10;Slamf7	Enriched in Kdm6b-low
HALLMARK_TGF_BETA_SIGNALING	5.798758985325407e-5	2.783404312956195e-4	0.557332238758646	0.6387079319679475	1.954283633370945	43	Skil;Smad3;Tgfb1;Pmepa1;Smad7;Arid4b;Junb;Ski;Ctnnb1;Klf10;Tgif1;Sptbn1;Ppm1a;Furin;Id2;Ncor2;Smurf1;Apc;Smurf2	Enriched in Kdm6b-high
