gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Vps37b	728.0548422832403	2.5578026808493024	0.10517370421662815	24.319792669667226	1.2106274648063935e-130	1.0740686867762323e-126	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ifngr1	333.48272999210195	1.470235341662433	0.06425341436966896	22.88182435261312	7.049049486070604e-116	3.12695835202092e-112	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dennd4a	108.41320047857312	2.3369988935767645	0.12683501686635848	18.42550228884486	8.202578726297825e-76	2.4257759486571434e-72	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Kctd12	41.47893528771993	2.7786678788953494	0.16135501309865674	17.22083389622607	1.8529903757417377e-66	4.109932653395174e-63	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Vgll4	114.41309227965795	1.5786957112857383	0.09189092114229529	17.180105408249094	3.7423060175574697e-66	6.640347797553975e-63	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fosl2	159.55072706287913	2.359162748136819	0.13789682603632045	17.10817294312084	1.2898227171719442e-65	1.9072178577915814e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ugcg	92.7400820147138	2.3747610299655166	0.13891281847860198	17.095334008584118	1.6077227930184978e-65	2.0376738028085874e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fam107b	387.4393070517136	1.1164410059414147	0.0655375897882043	17.03512456819637	4.507808170319773e-65	4.9728705186724526e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tatdn2	107.67444631069493	1.7360960150558462	0.10195212810065432	17.028541212419324	5.044616170880531e-65	4.9728705186724526e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klrb1b	68.69620525781828	4.752053277239956	0.28605410049580254	16.61242844973546	5.665258386886495e-62	5.026217240845698e-59	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
