gene	n_samples	median_high_expression	median_low_expression	median_paired_difference	p_value	adjusted_p_value
Ccl3	12	0.250989725798366	0.06278320481823663	0.18249653675559085	0.011278190116074043	0.02082127406044439
Ccl4	12	0.338540619447694	0.22098323152565336	0.051353927835025216	0.16981050508552142	0.17719357052402235
Ccr5	12	1.3405876732267985	1.0546517229159085	0.1284333123025313	0.1467076420661994	0.1600447004358539
Ccr7	12	0.04045349327527277	0.08430868793425582	-0.040342566085149564	0.11972241152065678	0.13682561316646488
Cxcr3	12	0.2442496636303358	0.6893184158078647	-0.3859140027457206	0.0025261742685021692	0.006736464716005784
Entpd1	12	0.10071380587646056	0.1830593191000395	-0.0933636329784704	0.02065837724123902	0.029164767869984502
Gzmb	12	1.3190894764499166	0.6551595276807092	0.5629897207329074	0.006801651812875442	0.013603303625750884
Havcr2	12	0.03521042938162187	0.16936042921614852	-0.14258148635038514	0.006801651812875442	0.013603303625750884
Ifit3	12	0.1071477948436931	0.6495656104856198	-0.5196951248447663	0.0025261742685021692	0.006736464716005784
Ifng	12	0.5946290030005033	1.2219618522814448	-0.4808360243918293	0.0025261742685021692	0.006736464716005784
Il7r	12	0.41959387902474143	0.4021632944772279	-0.00485702968206958	0.7240816609153895	0.7240816609153895
Irf7	12	0.6701800147884516	0.8473389790126448	-0.13594556940309155	0.02065837724123902	0.029164767869984502
Isg15	12	0.27271550732400496	0.6476852615073312	-0.34838193674133944	0.005355263589809519	0.012852632615542845
Lag3	12	0.07299088072197513	0.2939554725991303	-0.2297157056095832	0.0025261742685021692	0.006736464716005784
Lef1	12	0.35985574893456884	0.3300692671688099	0.07285942288346298	0.07755616674366553	0.10340822232488736
Mki67	12	0	0.6035581192958784	-0.5865292491503671	0.0025261742685021692	0.006736464716005784
Nkg7	12	2.3314232657784704	2.093685979200609	0.21205914683162452	0.10780182537536619	0.12936219045043942
Pdcd1	12	0.24869133588292142	0.5147673315303749	-0.3027971824024039	0.016728700389704677	0.026765920623527485
Prf1	12	0.8541481103179744	0.17882763589897865	0.6512219219342794	0.0025261742685021692	0.006736464716005784
Stat1	12	0.22683137264201475	0.6654780317048886	-0.42804165250036597	0.0025261742685021692	0.006736464716005784
Stmn1	12	0	0.6669292082761049	-0.6609227294056448	0.0025261742685021692	0.006736464716005784
Tcf7	12	0.2426357153753118	0.20180641253097986	0.02796371235277037	0.10780182537536619	0.12936219045043942
Top2a	12	0.04598714056860802	0.7015396953356678	-0.608623187693086	0.0025261742685021692	0.006736464716005784
Tox	12	0.18172591111280495	0.24935320254636026	-0.0556234085301701	0.016728700389704677	0.026765920623527485
