subcluster	gene	mean_log_expression	detection_fraction	program	subtype	kdm6b_group
3	Ccl3	0.369258709477949	0.11407766990291263	Cytotoxicity	NK-like cytotoxic lymphocytes	Kdm6b-high
9	Ccl3	0.02811515041083329	0.008849557522123894	Cytotoxicity	γδ T cells	Kdm6b-high
12	Ccl3	0.03737001607889006	0.014705882352941176	Cytotoxicity	Th2-like inflammatory T cells	Kdm6b-high
11	Ccl3	0.03718908898845074	0.013215859030837005	Cytotoxicity	γδ / Th17-like T cells	Intermediate
5	Ccl3	0.16770274090435602	0.047895500725689405	Cytotoxicity	Activated CD4 effector / helper-like T cells	Intermediate
6	Ccl3	0.7434829696666257	0.23014586709886548	Cytotoxicity	Antigen-presenting myeloid cells	Intermediate
8	Ccl3	0.09859044809589351	0.02857142857142857	Cytotoxicity	Terminally differentiated cytotoxic T cells	Intermediate
1	Ccl3	0.030192342607121163	0.009976976208749041	Cytotoxicity	Treg	Intermediate
0	Ccl3	0.07936135650904438	0.028744326777609682	Cytotoxicity	Quiescent T cells	Intermediate
7	Ccl3	0.05533453638777807	0.017094017094017096	Cytotoxicity	Naïve / central-memory T cells	Intermediate
10	Ccl3	0.07841925101047163	0.03322259136212625	Cytotoxicity	IFN-responsive T cells	Kdm6b-low
4	Ccl3	0.08110827073272422	0.026515151515151516	Cytotoxicity	Cycling / proliferating CAR T cells	Kdm6b-low
2	Ccl3	0.10771235400347856	0.036317567567567564	Cytotoxicity	Activated effector CD8 T cells (stress)	Kdm6b-low
3	Ccl4	0.5419377731473978	0.17718446601941748	Cytotoxicity	NK-like cytotoxic lymphocytes	Kdm6b-high
9	Ccl4	0.05059775944623782	0.01991150442477876	Cytotoxicity	γδ T cells	Kdm6b-high
12	Ccl4	0.029533434810144234	0.014705882352941176	Cytotoxicity	Th2-like inflammatory T cells	Kdm6b-high
11	Ccl4	0.027781464668745964	0.00881057268722467	Cytotoxicity	γδ / Th17-like T cells	Intermediate
5	Ccl4	0.27641626797964314	0.08127721335268505	Cytotoxicity	Activated CD4 effector / helper-like T cells	Intermediate
6	Ccl4	0.6163558699685673	0.21231766612641814	Cytotoxicity	Antigen-presenting myeloid cells	Intermediate
8	Ccl4	0.2321831203014683	0.08131868131868132	Cytotoxicity	Terminally differentiated cytotoxic T cells	Intermediate
1	Ccl4	0.0717654659159603	0.023791250959324637	Cytotoxicity	Treg	Intermediate
0	Ccl4	0.19151400539147115	0.06278366111951589	Cytotoxicity	Quiescent T cells	Intermediate
7	Ccl4	0.05287676747187318	0.017094017094017096	Cytotoxicity	Naïve / central-memory T cells	Intermediate
10	Ccl4	0.24347821135023098	0.08970099667774087	Cytotoxicity	IFN-responsive T cells	Kdm6b-low
4	Ccl4	0.09280907248717898	0.03282828282828283	Cytotoxicity	Cycling / proliferating CAR T cells	Kdm6b-low
2	Ccl4	0.3860483212448529	0.1241554054054054	Cytotoxicity	Activated effector CD8 T cells (stress)	Kdm6b-low
3	Gzmb	2.0077985130667675	0.6092233009708737	Cytotoxicity	NK-like cytotoxic lymphocytes	Kdm6b-high
9	Gzmb	0.48418273471528517	0.17256637168141592	Cytotoxicity	γδ T cells	Kdm6b-high
12	Gzmb	0.0917577447699094	0.029411764705882353	Cytotoxicity	Th2-like inflammatory T cells	Kdm6b-high
11	Gzmb	0.4719896686683499	0.15859030837004406	Cytotoxicity	γδ / Th17-like T cells	Intermediate
5	Gzmb	0.5057135471156149	0.14078374455732948	Cytotoxicity	Activated CD4 effector / helper-like T cells	Intermediate
6	Gzmb	0.7818412631375445	0.2852512155591572	Cytotoxicity	Antigen-presenting myeloid cells	Intermediate
8	Gzmb	2.212330650449143	0.5692307692307692	Cytotoxicity	Terminally differentiated cytotoxic T cells	Intermediate
1	Gzmb	1.0220310088760312	0.32233307751343054	Cytotoxicity	Treg	Intermediate
0	Gzmb	0.5627156696518378	0.17322239031770045	Cytotoxicity	Quiescent T cells	Intermediate
7	Gzmb	0.05907239007661665	0.02564102564102564	Cytotoxicity	Naïve / central-memory T cells	Intermediate
10	Gzmb	1.1005990273372472	0.3122923588039867	Cytotoxicity	IFN-responsive T cells	Kdm6b-low
4	Gzmb	0.7933492499539361	0.2727272727272727	Cytotoxicity	Cycling / proliferating CAR T cells	Kdm6b-low
2	Gzmb	1.1735945429145895	0.32010135135135137	Cytotoxicity	Activated effector CD8 T cells (stress)	Kdm6b-low
3	Ifng	0.891096505840375	0.3422330097087379	Cytotoxicity	NK-like cytotoxic lymphocytes	Kdm6b-high
9	Ifng	0.4798248958523751	0.20353982300884957	Cytotoxicity	γδ T cells	Kdm6b-high
12	Ifng	0.07241824676629072	0.03676470588235294	Cytotoxicity	Th2-like inflammatory T cells	Kdm6b-high
11	Ifng	0.1489798874482195	0.07048458149779736	Cytotoxicity	γδ / Th17-like T cells	Intermediate
5	Ifng	0.7567111979302256	0.29753265602322204	Cytotoxicity	Activated CD4 effector / helper-like T cells	Intermediate
6	Ifng	0.7506846427851868	0.3581847649918963	Cytotoxicity	Antigen-presenting myeloid cells	Intermediate
8	Ifng	0.8704911544000399	0.3824175824175824	Cytotoxicity	Terminally differentiated cytotoxic T cells	Intermediate
1	Ifng	0.22544190021538882	0.09132770529547199	Cytotoxicity	Treg	Intermediate
0	Ifng	0.5943508082472687	0.21633888048411498	Cytotoxicity	Quiescent T cells	Intermediate
7	Ifng	0.15240189690883538	0.05641025641025641	Cytotoxicity	Naïve / central-memory T cells	Intermediate
10	Ifng	1.262727463858063	0.4219269102990033	Cytotoxicity	IFN-responsive T cells	Kdm6b-low
4	Ifng	0.6808566561407581	0.30808080808080807	Cytotoxicity	Cycling / proliferating CAR T cells	Kdm6b-low
