program	sample	kdm6b_group	n_cells	median_ucell_score
Cytotoxicity	41BB-L_pos_T_D1	Kdm6b-high	63	0.1665552956899432
Cytotoxicity	41BB-L_pos_T_D1	Kdm6b-low	96	0.1644949326205591
Cytotoxicity	41BB-L_pos_T_D2	Kdm6b-high	124	0.2930727252478004
Cytotoxicity	41BB-L_pos_T_D2	Kdm6b-low	156	0.22758659093440248
Cytotoxicity	B7H3_pos_T_D1	Kdm6b-high	128	0.1641608196903887
Cytotoxicity	B7H3_pos_T_D1	Kdm6b-low	327	0.16510747299253814
Cytotoxicity	B7H3_pos_T_D2	Kdm6b-high	156	0.26681701748524334
Cytotoxicity	B7H3_pos_T_D2	Kdm6b-low	470	0.28199131306381553
Cytotoxicity	CD28-41BB_pos_T_D1	Kdm6b-high	65	0.22207372758659094
Cytotoxicity	CD28-41BB_pos_T_D1	Kdm6b-low	42	0.16388239224858003
Cytotoxicity	CD28-41BB_pos_T_D2	Kdm6b-high	78	0.2775643167390578
Cytotoxicity	CD28-41BB_pos_T_D2	Kdm6b-low	145	0.2028065486134314
Cytotoxicity	CD8-41BB_pos_T_D1	Kdm6b-high	460	0.2480788506515202
Cytotoxicity	CD8-41BB_pos_T_D1	Kdm6b-low	568	0.1929780599175855
Cytotoxicity	CD8-41BB_pos_T_D2	Kdm6b-high	118	0.19606860452166164
Cytotoxicity	CD8-41BB_pos_T_D2	Kdm6b-low	127	0.16521884396926156
Cytotoxicity	STOP_pos_T_D1	Kdm6b-high	41	0.16649961020158144
Cytotoxicity	STOP_pos_T_D1	Kdm6b-low	99	0.16599844080632586
Cytotoxicity	STOP_pos_T_D2	Kdm6b-high	103	0.2236886067490812
Cytotoxicity	STOP_pos_T_D2	Kdm6b-low	171	0.16382670676021827
Cytotoxicity	Tumor_only_D1	Kdm6b-high	44	0.32509188105579684
Cytotoxicity	Tumor_only_D1	Kdm6b-low	48	0.16630471099231542
Cytotoxicity	Tumor_only_D2	Kdm6b-high	32	0.25353602851097007
Cytotoxicity	Tumor_only_D2	Kdm6b-low	28	0.18381779708208046
Expansion/proliferation	41BB-L_pos_T_D1	Kdm6b-high	63	0
Expansion/proliferation	41BB-L_pos_T_D1	Kdm6b-low	96	0
Expansion/proliferation	41BB-L_pos_T_D2	Kdm6b-high	124	0
Expansion/proliferation	41BB-L_pos_T_D2	Kdm6b-low	156	0
Expansion/proliferation	B7H3_pos_T_D1	Kdm6b-high	128	0
Expansion/proliferation	B7H3_pos_T_D1	Kdm6b-low	327	0
Expansion/proliferation	B7H3_pos_T_D2	Kdm6b-high	156	0
Expansion/proliferation	B7H3_pos_T_D2	Kdm6b-low	470	0
Expansion/proliferation	CD28-41BB_pos_T_D1	Kdm6b-high	65	0
Expansion/proliferation	CD28-41BB_pos_T_D1	Kdm6b-low	42	0
Expansion/proliferation	CD28-41BB_pos_T_D2	Kdm6b-high	78	0
Expansion/proliferation	CD28-41BB_pos_T_D2	Kdm6b-low	145	0
Expansion/proliferation	CD8-41BB_pos_T_D1	Kdm6b-high	460	0
Expansion/proliferation	CD8-41BB_pos_T_D1	Kdm6b-low	568	0
Expansion/proliferation	CD8-41BB_pos_T_D2	Kdm6b-high	118	0
Expansion/proliferation	CD8-41BB_pos_T_D2	Kdm6b-low	127	0
