subcluster	tcell_subtype	n_sample_profiles	n_conditions	median_log_expression	q25_log_expression	q75_log_expression	median_detection_fraction	total_cells	kdm6b_rank	kdm6b_group
3	NK-like cytotoxic lymphocytes	11	6	2.501626010243695	1.6235909527924324	2.6911860177544766	0.7741935483870968	824	1	Kdm6b-high
9	γδ T cells	7	5	2.496125721517299	2.225926131554094	2.5231844228582547	0.7906976744186046	452	2	Kdm6b-high
12	Th2-like inflammatory T cells	1	1	2.4365108996412426	2.4365108996412426	2.4365108996412426	0.8181818181818182	136	3	Kdm6b-high
11	γδ / Th17-like T cells	3	2	2.083145619491053	1.9017784598954692	2.429795396136207	0.8309859154929577	227	4	Intermediate
5	Activated CD4 effector / helper-like T cells	9	5	1.6121796419801184	1.3199505201664543	1.8175241027456832	0.5757575757575758	689	5	Intermediate
6	Antigen-presenting myeloid cells	11	6	1.5058535965435165	1.0383808166027604	1.7811083545616742	0.5542857142857143	617	6	Intermediate
8	Terminally differentiated cytotoxic T cells	6	4	1.4501465123954471	1.3930827006511644	1.552557215154726	0.6099033816425121	455	7	Intermediate
1	Treg	11	6	1.3807875992432426	0.9923135858412305	1.6456455983904257	0.4766355140186916	1303	8	Intermediate
0	Quiescent T cells	12	6	1.2752800112542924	0.9414206426899842	1.5624047806116583	0.40652173913043477	1322	9	Intermediate
7	Naïve / central-memory T cells	11	6	1.1869332572640237	0.9910108489280935	1.2848932145039398	0.43478260869565216	585	10	Intermediate
10	IFN-responsive T cells	7	5	1.1551817268189946	0.8570629316520345	1.1598204784541637	0.41935483870967744	301	11	Kdm6b-low
4	Cycling / proliferating CAR T cells	8	5	1.0621753667458191	0.8480755372926561	1.322719063317428	0.44082125603864736	792	12	Kdm6b-low
2	Activated effector CD8 T cells (stress)	11	6	0.7558159059343741	0.47842307687083807	0.7970511900930008	0.29850746268656714	1184	13	Kdm6b-low
