"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Adamts14",84.163958864504,5.09069475734032,0.25398923062173,20.0429551476613,2.32542932820067e-89,2.26729359499565e-85
"Car2",143.728663635279,3.71229960075687,0.192719044969748,19.2627542407114,1.10349818054749e-82,5.37955363016902e-79
"Itga2",52.2369379589937,3.78146963632043,0.22031957853014,17.1635660414225,4.97621736616882e-66,1.61727064400486e-62
"Klra4",83.9656877689306,5.74720738352407,0.344667129827863,16.6746605236026,2.00346387583421e-62,4.8834431973459e-59
"Sytl3",131.534650834278,2.24155478316877,0.136162324498363,16.4623715952772,6.83684461687071e-61,1.33318470028979e-57
"Vegfa",166.82254572971,4.41172806957575,0.268309096752727,16.4427077686508,9.45962472659577e-61,1.53718901807181e-57
"Sft2d2",131.237060477291,2.04329301277177,0.125874747621413,16.2327476430561,2.95911655977795e-59,4.12162663683357e-56
"Eomes",120.482982276388,3.39923818496231,0.210990447967861,16.1108629215295,2.14016298817542e-58,2.60832364183879e-55
"Hhex",73.5387108023087,3.45436015195306,0.218400744571917,15.8166134402329,2.39007428854202e-56,2.58924714592053e-53
"Cemip2",63.2137210056103,3.08003601386891,0.197245662020573,15.6152281490868,5.73396452050053e-55,5.59061540748802e-52
"Klre1",120.626165246724,3.23852265110494,0.210746579980585,15.3669048930867,2.72898185971317e-53,2.41887028474576e-50
"Klri2",97.975628268653,4.27949691308881,0.283545107437807,15.0928258003093,1.80541553131851e-51,1.46690011919629e-48
"Nudt4",58.7839816295124,2.45443186344058,0.164629217998908,14.9088472464034,2.88693657995278e-50,2.16520243496458e-47
"Klrb1c",49.2263524245455,4.16140801637437,0.293762137077655,14.1659100719107,1.48925016199929e-45,1.03715636282093e-42
"Klra8",29.9957117947313,5.83729305410909,0.417041120887407,13.9969244320275,1.627634294003e-44,1.05796229110195e-41
"Plcg1",56.1534610487386,-3.36913600463179,0.241047763079473,-13.9770473767931,2.1523378840623e-44,1.31158089810046e-41
"Cnnm2",58.4910690590102,2.12224458071613,0.155326482329958,13.6631213742926,1.68598936419556e-42,9.66964488288632e-40
"Cd3e",164.463258990055,-3.59572677783578,0.268354177619158,-13.3991831606168,6.11322640427791e-41,3.31133096898387e-38
"Tiprl",137.179878598127,1.38952191979589,0.107364017216134,12.9421565606907,2.6022083395004e-38,1.33534375316468e-35
"Styk1",37.5401824084612,3.64378531396577,0.283505757975533,12.8525972099665,8.31702054091323e-38,4.0545475136952e-35
"Sult2b1",29.0546113276988,3.45644931169895,0.271749273053851,12.7192587227786,4.62224287237109e-37,2.14604133360086e-34
"Cd7",188.784923916089,2.4862326145844,0.196009811196394,12.6842253426452,7.23253786736643e-37,3.2053292821283e-34
"Klrb1b",161.589316064915,4.63692637767124,0.366789332389266,12.6419335793282,1.23967372416704e-36,5.25513861331679e-34
"Txk",96.7076585026127,2.2412443692253,0.177673509216204,12.6143980558071,1.75896459056741e-36,7.14579364918009e-34
"Klrb1a",20.6370538079402,3.50056168917395,0.279352082299064,12.5310026700513,5.05198997747379e-36,1.97027609121478e-33
"Tnfrsf4",134.319425975176,-3.93193494321078,0.320106193587829,-12.2832204498785,1.11470952784134e-34,4.18016072940504e-32
"Spry2",91.4122392262985,3.19969074599374,0.261578974960509,12.2322168533492,2.09151546992751e-34,7.55269475251599e-32
"Prf1",109.815926536375,3.26351250504322,0.272095920976369,11.9939780549913,3.82104011214174e-33,1.33054075333507e-30
"Serpinb9",278.235345652228,2.94842715114081,0.24731015233101,11.9219818650814,9.09196480960558e-33,3.05678127219498e-30
"Dhrs3",59.0594767247403,2.3994587383226,0.201833588877005,11.8883023964104,1.36145667340856e-32,4.42473418857781e-30
"Sh2d1b1",40.1361815897657,3.49138472529348,0.294549835460871,11.8532903602904,2.06904043308588e-32,6.50746587825398e-30
"Cd8b1",47.820030206188,-4.71975618779707,0.400710848461599,-11.7784587213375,5.04063328995323e-32,1.53581795553262e-29
"Eya1",10.5226364103971,5.09336372686774,0.433368895680503,11.7529517638081,6.81943574173402e-32,2.01483328733051e-29
"Chsy1",133.780763034291,1.58828138725344,0.137032392123779,11.590554340019,4.60144798751379e-31,1.31953287877234e-28
"Usp12",55.1472381965537,1.6398686221738,0.141650405533927,11.5768720604264,5.39799084618615e-31,1.50372602143757e-28
"Rin3",86.4650966401405,2.2375383063474,0.194842191732337,11.4838489880118,1.59039427034179e-30,4.30731781550901e-28
"Cd8a",79.0279897088559,-4.32256849130222,0.383313639222969,-11.2768449879965,1.7076081434111e-29,4.49977821574546e-27
"Apoe",314.203649118404,-9.9668719659792,0.893523929101248,-11.1545663651161,6.80236540944838e-29,1.74534375637162e-26
"Nrarp",59.4783032955298,3.76490879974131,0.338228590575538,11.1312553244977,8.83819654290908e-29,2.20954913572727e-26
"Dgka",139.322974620773,-1.78672905769128,0.160611772730479,-11.1245211189442,9.53163336478485e-29,2.32333563266631e-26
"Pik3r5",84.7494094436243,1.66675766379515,0.150598283239183,11.0675741312932,1.80213039004361e-28,4.28555397632323e-26
"Setbp1",20.1191100795677,2.88083729560758,0.261263012733553,11.0265791757732,2.8448103450646e-28,6.60402401532854e-26
"Gzma",888.090787109889,3.44656973296698,0.313192193410891,11.0046476428142,3.62931927197551e-28,8.22927044227005e-26
"Bcl2l11",323.306843363301,1.69672293944704,0.155352289826649,10.9217761858569,9.07043913620988e-28,2.00992685404651e-25
"Ifi27l2a",58.2174728231964,-4.8055355132116,0.446115063440024,-10.7719642465237,4.66931602636414e-27,1.01168513904556e-24
"Il18rap",135.942212462574,1.89190629649919,0.176724245374071,10.7054144862501,9.60000789893696e-27,2.03478428292686e-24
"Hsph1",51.3637361633235,-3.8207077134959,0.357866170654185,-10.6763590045731,1.31321702724992e-26,2.72422681184823e-24
