"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mki67",38.6753955328277,-4.6839923278665,0.471475447033197,-9.93475345819376,2.93902079733872e-23,2.86613308156472e-19
"Top2a",47.76454121181,-3.05961712003027,0.357066146462503,-8.5687684210398,1.0459763977199e-17,5.10018091528224e-14
"Cdca3",25.5142602124696,-5.61005831756506,0.685988010266298,-8.17807051086397,2.88424984992031e-16,9.3757348454743e-13
"Il2ra",119.996330474169,-1.87381154780787,0.2307545683801,-8.12036598435321,4.64779948416238e-16,1.13313351423879e-12
"Areg",52.0228016394757,-2.50905767612076,0.313377501039637,-8.00650227855192,1.18016962804788e-15,2.30180284254458e-12
"Arl5a",82.8152048754069,-1.28971246396636,0.163124825947337,-7.90629173993865,2.65169331260556e-15,3.69418759778991e-12
"Ccnb2",14.5816780749174,-4.81435278031608,0.607915643877492,-7.91944216077169,2.38578514026046e-15,3.69418759778991e-12
"Ube2c",14.0756888402311,-5.75262512974485,0.737767613219732,-7.79734028258506,6.32255826954356e-15,7.7071985305736e-12
"Id2",470.691920595981,-0.947153951230079,0.124895400039298,-7.58357754514628,3.36154475123909e-14,3.64242049045374e-11
"Tnfrsf9",78.3192361033637,-2.1205873444456,0.28635847030558,-7.40535924145242,1.30795907531073e-13,1.27552169024302e-10
"Rel",163.796574201001,-0.766106144245562,0.103674445862738,-7.38953690921931,1.47341064618846e-13,1.30624551105726e-10
"Stmn1",67.7667002788562,-5.08467680189364,0.707810159364695,-7.18367310022431,6.78630177519537e-13,5.5150012426421e-10
"Nusap1",19.0445442271727,-4.22691093587616,0.591860788256039,-7.141731670265,9.2162379399915e-13,6.41976802791408e-10
"Rrm2",23.6024574301033,-4.39587831573707,0.615163195978264,-7.14587339502084,8.94254533047151e-13,6.41976802791408e-10
"Rnf138",261.797724566762,0.620153162013811,0.0873112392795083,7.10278730586475,1.22265500596936e-12,7.94888774547544e-10
"Ccna2",16.960261181152,-5.49865986853897,0.777523683165598,-7.07201592387747,1.52698892798064e-12,9.30699751604199e-10
"Il13",28.294570522336,-4.80797508003211,0.695293342853348,-6.91503108644924,4.67760787680321e-12,2.68329600085794e-09
"Pclaf",21.0036573399518,-3.84032064059249,0.566757553747051,-6.7759496370232,1.2359172964848e-11,6.69592526406656e-09
"Il1rl1",24.117268475187,-2.93324735248051,0.43631096156438,-6.72283671710523,1.78220266296514e-11,9.14738966801899e-09
