"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Apoe",259.235619089443,-9.30278425891336,0.881743551681127,-10.5504420658101,5.05586522597894e-26,4.60589322086682e-22
"Cdh1",39.496357189844,2.22003497620627,0.217424470929353,10.2106030968686,1.77756499917303e-24,8.09680857123315e-21
"Cd4",77.9968109212985,-2.80084164454331,0.329801667291882,-8.49250298684663,2.02233609361379e-17,6.14116060427387e-14
"Ctsw",297.328698379198,1.06870948162989,0.126347432928418,8.4584977855099,2.70843766878748e-17,6.16846679066348e-14
"Foxo1",164.338468805585,1.31672251142667,0.157071011140987,8.38297596648679,5.16060161221645e-17,9.40261613745837e-14
"Btla",15.9587519281094,-2.95658133818656,0.356596144209202,-8.29111976166529,1.12187255088436e-16,1.70337648975942e-13
"Cd5",115.079030897233,-1.58635126607722,0.194617879167247,-8.15110755941376,3.60606201018762e-16,4.69303213040131e-13
"Ctss",38.2085113514859,-6.09190879469918,0.74984180005895,-8.12425873593638,4.50104685484782e-16,5.12556710595796e-13
"Thy1",1161.52010975392,1.5089776610036,0.186409376224561,8.09496652778765,5.72801006409016e-16,5.79801907598459e-13
"Cd52",748.572416115866,0.823555522842087,0.103320403264786,7.97088955151974,1.57536258364698e-15,1.4351553137024e-12
"Mki67",27.6954961651835,-5.07560389826891,0.646581281471357,-7.84990850140122,4.16340907382528e-15,3.4480596965953e-12
"Itga1",37.8610621386303,1.74844485709756,0.225064298461914,7.76864597826668,7.93295454675996e-15,6.02243466008194e-12
"Dhrs3",13.4222870564102,-4.03423016667292,0.522318013868533,-7.72370483030733,1.12996336718043e-14,7.91843559616438e-12
"Maf",34.5358564430204,-2.93597203492283,0.382932991606853,-7.66706473266507,1.75976978683631e-14,1.10344267056621e-11
"Ccnb2",9.60317048375397,-4.6982416184842,0.613110015544715,-7.66296667704908,1.81686498995534e-14,1.10344267056621e-11
"Cdca3",17.8524209578141,-5.2548348362795,0.687475153336079,-7.643672372419,2.11112179982265e-14,1.13131291743438e-11
"Sema4b",18.0637245525629,-3.11794744661215,0.407510373517345,-7.65121000405514,1.99096882880152e-14,1.13131291743438e-11
"Cd3e",309.551776706359,0.855282769699744,0.112778184687803,7.58376074297854,3.35679927152629e-14,1.69891340908914e-11
"Stmn1",47.5888036907573,-5.99347032899066,0.797242925548315,-7.51774664525066,5.57283601066619e-14,2.64617896879548e-11
"Bend4",21.3123524822545,1.9205131457317,0.255648884912231,7.51230793121214,5.80939400394178e-14,2.64617896879548e-11
"Dnmt1",39.6007696482775,-1.68511778171971,0.225133364631296,-7.48497578081974,7.15603316872654e-14,3.00816095612387e-11
"Top2a",34.4947071010737,-2.95641083985104,0.395083640541025,-7.48299989288989,7.26449407625961e-14,3.00816095612387e-11
"Pdcd1",141.503991550025,1.52969524969944,0.209242719973656,7.31062590799829,2.65900859749029e-13,1.05319862274507e-10
"S100a4",548.557087074746,1.23077257509156,0.170181652465118,7.2321108489873,4.75543780757889e-13,1.80508493446015e-10
"Nusap1",12.9151062784555,-4.78706390620516,0.665244653629404,-7.19594495061052,6.20296535328278e-13,2.26036057473625e-10
"Slamf6",13.9785965534305,-2.64982292355391,0.371077152948746,-7.1408948314312,9.27252783659206e-13,3.24018241086569e-10
"Prdx4",8.42397441112783,-4.28965827861985,0.601122699151174,-7.13607768376929,9.60317509257669e-13,3.24018241086569e-10
"Prss16",7.95023056959988,2.55749474141504,0.36226087539212,7.05981494315868,1.66724489650115e-12,5.42450035968766e-10
"Il1rl1",14.8333673545266,-3.76747052768078,0.535241245305264,-7.03882699759448,1.9386488921914e-12,6.09003151995299e-10
"Zbtb10",42.2823056112493,-2.27097679306775,0.323016588744877,-7.0305268280243,2.05755156138574e-12,6.24809824140803e-10
"Chst12",44.2410026652461,1.52668715916141,0.217369397539405,7.02346869634512,2.16426656767809e-12,6.36015110695077e-10
"Sgk1",16.4208754091895,-4.29780608021584,0.615513036191545,-6.98247775028177,2.90018911620658e-12,8.25647589020061e-10
