"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.2904073620673e-39,6.45203681033652e-38,1.6407416852705,-0.678167685781508,-3.46403989879222,197,"Top2a;Rrm2;Mki67;Cdca3;Cdk1;Dck;Tacc3;Birc5;Dlgap5;Depdc1a;Racgap1;Spag5;Cdca8;Tcf19;Smc4;H2ax;Ncapd2;Dnmt1;Hmmr;Kif2c;Plk1;Cdkn2c;Kif18b;Pole;Donson;Stmn1;Lbr;Pola2;Cenpe;Espl1;Orc6;Chek2;Spc25;Melk;Prim2;Dek;Pold1;Wdr90;Brca1;Kif22;Spc24;Cbx5;Mxd3;Pcna;Dscc1;Nup107;Cdc20;Chek1;Plk4;Ube2t;Bard1;Zw10;Tubb5;E2f8;Cks2;Rpa2;Tk1;Cit;Cdkn3;Ccnb2;Pold3;Cks1b;Wee1;Rad21;Aurkb;Mad2l1;Mcm7;Aurka;Tubg1;Cdc25b;Ccp110;Brms1l;Cenpm;Kif4;Suv39h1;Mcm4;Pds5b;Psmc3ip;Gins3;Ctcf;Diaph3;Slbp;Gins4;Lmnb1;Smc1a;Ezh2;Rfc3;Prdx4;Bub1b;Rad51c;Ubr7;Atad2;Mms22l;Tra2b;Brca2;Mybl2;Xpo1;Rpa1;Nasp;Tmpo;Cdkn1a;Hells;Trip13;Smc3;Pms2;Psip1"
"HALLMARK_G2M_CHECKPOINT",3.4821756568112e-35,8.70543914202799e-34,1.54318309134871,-0.656061566165154,-3.3472816756155,193,"Top2a;Kif23;Nusap1;Mki67;Cdk1;Tacc3;Birc5;Smc2;Tpx2;Kif11;Ccna2;Ube2c;Knl1;Racgap1;Dbf4;Smc4;H2ax;Kif15;Hmmr;Bub1;Rad54l;Kif2c;Cenpf;Plk1;Cdkn2c;Pole;Nek2;Fbxo5;Ndc80;Stmn1;Lbr;Stil;Pola2;Cenpe;Espl1;Cdc45;Orc6;Incenp;Abl1;Prim2;Kif22;Prc1;Marcks;Kif20b;Polq;Pbk;Rbl1;Cdc20;Chek1;Plk4;Bard1;Odf2;Numa1;Cks2;Rpa2;Cdc7;Cdkn3;Ccnb2;Cks1b;Rad21;Aurkb;Mad2l1;Rbm14;Prpf4b;Aurka;Wrn;Sap30;Cdc25b;Arid4a;Kif4;Troap;Suv39h1;Ttk;Pds5b;Chaf1a;Cul1;Cenpa;Ctcf;Exo1;Tent4a;Lmnb1;Ccnf;Smc1a;Ezh2;Foxn3;Cul3;Tra2b;Brca2;Mybl2;Ss18;Xpo1;Cbx1;Upf1;Nasp;Tmpo;Nup50"
"HALLMARK_MITOTIC_SPINDLE",7.96516346991775e-25,1.32752724498629e-23,1.29512308741004,-0.601036905336881,-3.07329283320686,192,"Top2a;Kif23;Nusap1;Cdk1;Ect2;Birc5;Tpx2;Kif11;Dlgap5;Racgap1;Smc4;Kif15;Bub1;Kif2c;Clip1;Cenpf;Plk1;Pcnt;Nek2;Nin;Fbxo5;Ndc80;Cyth2;Nck1;Ccdc88a;Cenpe;Espl1;Incenp;Ckap5;Abl1;Abr;Bcl2l11;Arhgap27;Kif22;Prc1;Marcks;Kif20b;Sass6;Epb41;Pif1;Cdk5rap2;Arap3;Ssh2;Numa1;Anln;Tubgcp5;Plekhg2;Cep250;Rapgef6;Ccnb2;Cenpj;Sun2;Trio;Kntc1;Tuba4a;Aurka;Ophn1;Prex1;Kif4;Cntrob;Ttk;Cep72;Sos1;Pcm1;Tubgcp3;Cep57;Pxn;Myo9b;Lmnb1;Smc1a;Stk38l;Taok2;Rabgap1;Brca2;Kptn;Arl8a;Rasa2;Cd2ap;Smc3;Katnb1;Arhgef7;Fgd6;Dync1h1;Ywhae;Tubgcp2;Vcl;Cep192;Dock2;Arhgap5;Alms1"
"HALLMARK_MYC_TARGETS_V1",8.04317611529732e-18,1.00539701441216e-16,1.0864405425825,0.498174495614419,2.9191858850544,183,"Serbp1;Hnrnpa1;Srm;Eef1b2;Psma4;Nhp2;Pabpc4;Ruvbl2;Pgk1;Myc;Snrpd3;Phb2;Ddx21;Ube2l3;Cct3;Rack1;Snrpa1;Fbl;Psma6;Nap1l1;Eif3d;Cct7;Rrp9;Sf3a1;Snrpa;Lsm7;Eprs;Ldha;Eif4e;Nme1;C1qbp;Ap3s1;Ube2e1;Cox5a;Ncbp1;Smarcc1;Psma1;Hspd1;Cct2;Phb;Hsp90ab1;Psmc6;Psmb2;Tcp1;Kars;Psma7;Snrpb2;Nop16;Cad;Eif2s1;Pcbp1;Xpot;Npm1;Exosc7;Txnl4a;Trim28;Got2;Odc1;Psma2;Gnl3;Cct4;Sf3b3;Nop56;Ddx18"
"HALLMARK_IL2_STAT5_SIGNALING",5.64959762949183e-17,5.64959762949183e-16,1.05746357275086,0.479968270748388,2.85991448342591,195,"Ptger2;Lrig1;Tnfsf11;Plscr1;Rgs16;Furin;Cd44;Il1r2;Rabgap1l;Ccr4;Plagl1;Bhlhe40;Il13;Tnfrsf4;Galm;Slc1a5;Gadd45b;Lif;Csf2;Rora;Bcl2l1;Tnfrsf9;Myc;Irf4;Tiam1;Penk;Serpinb6a;Alcam;Nop2;Ccnd2;Eef1akmt1;Nt5e;Gpr65;Batf;Cish;Tnfsf10;Itgav;Serpinc1;Traf1;Hk2;Phlda1;Eno3;Tnfrsf18;Myo1e;Pus1;Dcps;Plpp1;Il1rl1;Twsg1;Slc39a8;Casp3;Tnfrsf8;Il10ra;Dennd5a;Odc1;Gata1;Irf6;Cdcp1;Adam19;Capg;Slc29a2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.7376212847605e-14,2.28135107063375e-13,0.97599468306432,-0.500395420773429,-2.56135044203083,195,"H2-Aa;Cd74;Gbp4;Epsti1;Ccl5;Samhd1;Ptgs2;Ifit2;Nod1;Samd9l;Ifit3;H2-Eb1;Ddx60;Rtp4;Irf7;Ripk1;Txnip;Gbp8;Cd40;Ifit1bl1;Ccl2;Gbp9;Ciita;Casp7;Usp18;Irf1;Isoc1;Ifnar2;Fcgr1;Cfh;Parp14;Ifitm3;Trim25;Tnfaip2;Oasl1;Trim26;Cmklr1;Zbp1;Ifi30;Nampt;Rapgef6;Gpr18;Parp12;Fgl2;Rnf213;Marchf1;Cmpk2;Oas2;Csf2rb2;Rigi;Rsad2;H2-D1;Irf5;Lats2;Tdrd7;Xaf1;Slc25a28;Nup93;Il18bp;Trafd1;Klrk1;Itgb7;Herc6;Casp8;Gzma;Znfx1;Trim14;Gbp3;Il4ra;Cd86;Cfb;Ccl7;Cxcl10;Isg15;Ly6e;H2-DMa;H2-M3;Isg20;Cdkn1a;Il2rb"
"HALLMARK_MYC_TARGETS_V2",2.02124692839374e-12,1.44374780599553e-11,0.898671232061694,0.661669173210669,3.08272821620386,56,"Srm;Ppan;Rcl1;Myc;Slc19a1;Nip7;Nop2;Mybbp1a;Noc4l;Wdr74;Imp4;Mphosph10;Rrp9;Hk2;Ipo4;Grwd1;Hspd1;Ndufaf4;Phb;Pus1;Nop16;Prmt3;Wdr43;Npm1;Pprc1;Tbrg4;Gnl3;Nop56;Ddx18;Mrto4;Slc29a2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.35955637632342e-10,8.49722735202135e-10,0.826657301178302,-0.559066614679082,-2.53485149006538,96,"Cd74;Epsti1;Ifit2;Gbp2;Samd9l;Ifit3;Ddx60;Rtp4;Irf7;Txnip;Sell;Lpar6;Usp18;Irf1;Parp9;Parp14;Ifitm3;Trim25;Oasl1;Trim26;Ifi30;Parp12;Cmpk2;Rsad2;Tdrd7;Ccrl2;Slc25a28;Trafd1;Herc6;Casp8;Cnp;Trim14;Gbp3;Il4ra;Cxcl10;Ifitm1;Isg15;Ly6e;Isg20;Lgals3bp;Trim12c;Uba7;Bst2;Cmtr1;Cd47;Irf2;Ncoa7;Mov10;Stat2"
"HALLMARK_ALLOGRAFT_REJECTION",1.84321456713933e-06,1.02400809285518e-05,0.643551836150722,0.332090698031514,1.94555967357054,187,"Cd40lg;Crtam;Cd4;Zap70;Il4;Cd3e;Jak2;Il13;Il2;Lif;Lcp2;Hif1a;Irf4;Ripk2;Cd3d;Lck;Cd247;Eif5a;Il7;Fas;Il2rg;Ccnd2;Il6;Gpr65;Ifng;Eif3d;Nme1;Sit1;Cd28;Ptpn6;Degs1;Cd3g;Itk;Eif4g3;Cd96;Csk;Itgal;Bcat1;Cd8a;Trat1;Tgfb1;H2-Oa;Itgb2;Map4k1;Npm1;Il18rap;Stat4;Tpd52;Dars;Tgfb2;Eif3a"
"HALLMARK_COMPLEMENT",4.92403759389019e-06,2.39701874718434e-05,0.610526878385931,-0.389397532550981,-1.9667554589746,181,"C1qa;Pik3r5;Ccl5;Ctsh;Prkcd;Ctss;Plaur;Lyn;Lgmn;Cxcl2;Gzmk;Ctso;Msrb1;Lipa;Irf7;Serpine1;Cebpb;Casp7;Car2;Irf1;Ctsb;Fcer1g;Ctsc;Prcp;Cfh;Cd55;Itgam;Akap10;Ctsl;Maff;Adam9;Brpf3;Ang;Casp9;Ctsd;Dyrk2;Gzma;Pdp1;C3;Lrp1;Pik3cg;Cfb;C1qc;Dock10;Timp2;Usp8;Pla2g7;Dock9;Gngt2;Lamp2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.27344124380555e-06,2.39701874718434e-05,0.610526878385931,-0.383438361492597,-1.96133583168773,194,"Vegfa;Ccl5;Klf2;Plaur;Zbtb10;Ptgs2;Ifit2;Ptpre;Nfe2l2;Cxcl2;Il1b;Gadd45a;Ccl2;Hes1;Serpine1;Mxd1;Cebpb;Rhob;Mcl1;Irf1;Marcks;Jun;Tlr2;Egr1;Spsb1;Ets2;Abca1;Tnfaip2;Irs2;Atf3;Ccnl1;Nampt;Sat1;Il6st;Maff;Klf4;Rigi;Ninj1;Zfp36;Ppp1r15a;Tiparp;Slc16a6;Cd80;Birc3;Cebpd;Ccrl2;Jag1;Sgk1;F2rl1;Pnrc1;Ier2;Pfkfb3;Litaf;Cxcl10;Nfil3;Tnf;Il1a;Klf9;Ier3;Cdkn1a;Plau;Gpr183;Sdc4;Il18;Tubb2a;Dusp1;Clcf1;Ldlr;Dusp2;Fos;Klf6"
