"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",7.70497491463499e-47,3.85248745731749e-45,1.78578387179408,-0.747731403438096,-3.3568047394418,197,"Top2a;Lmnb1;Ccnb2;Cdca3;H2az1;Mki67;Prdx4;Rrm2;Birc5;Stmn1;Cdk1;Tacc3;Cdca8;Dlgap5;Ncapd2;Depdc1a;Hmmr;Cks1b;Gins1;Cdc20;Pole;Brca1;Kif2c;Melk;Nasp;Chek1;Kif18b;Plk1;Cdc25b;Dek;Spc25;Diaph3;Lig1;Cks2;Tubb5;Dck;H2ax;Mxd3;Cdkn2c;Espl1;Dscc1;Cdkn3;Spag5;Tcf19;Mcm7;Prim2;Ezh2;Mad2l1;Cenpe;Pold3;Smc4;Kif22;Cit;Mcm3;Tmpo;Eed;Bard1;Spc24;E2f8;Wee1;Tipin;Timeless;Donson;Bub1b;Cse1l;Hmgb3;Atad2;Dnmt1;Aurkb;Anp32e;Ccp110;Brca2;Mcm5;Mcm2;Pold1;Lyar;Cenpm;Xpo1;Tk1;Dut;Tbrg4;Tfrc;Kif4;Cdkn1a;Mms22l;Ppm1d;Trip13;Orc6;Tubg1;Hnrnpd;Mybl2;Aurka;Wdr90;Cbx5;Hells;Ing3;Racgap1;Asf1b;Ranbp1;Nup205;Lbr;Pcna;Mcm6;Ung;Pola2;Plk4;Suv39h1;Syncrip;Nup107;Rad50;Rfc2;Stag1;Pa2g4;Rbbp7;Smc1a;Mcm4;Ube2s;Rad21;Eif2s1;Psmc3ip;Smc3;Rad51c"
"HALLMARK_G2M_CHECKPOINT",3.25656082208401e-43,8.14140205521003e-42,1.71479697260989,-0.738857344628353,-3.3113429856234,193,"Nusap1;Top2a;Lmnb1;Ube2c;Ccnb2;Kif23;H2az1;Ccna2;Mki67;Birc5;Stmn1;Cdk1;Tacc3;Cenpf;Tpx2;Nek2;Kif11;Nup98;Odc1;Hmmr;Cks1b;Cdc20;Pole;Knl1;Smad3;Kif2c;Kif15;Dbf4;Nasp;Fbxo5;Chek1;Bub1;H2az2;Plk1;Cdc25b;Pbk;Prc1;Smc2;Hif1a;Cks2;H2ax;Incenp;Cdkn2c;Troap;Espl1;Cdkn3;Rad54l;Snrpd1;Prim2;Slc7a1;Ezh2;Mad2l1;Cenpe;Bcl3;Ndc80;Stil;Exo1;Smc4;Kif22;Marcks;Mcm3;Tmpo;Bard1;Cdc27;Top1;Ttk;Slc38a1;Hmgb3;Tgfb1;Cenpa;Aurkb;Chaf1a;Ccnf;Brca2;Mcm5;Mcm2;Xpo1;Uck2;Kif4;Katna1;Kif20b;Tle3;Casp8ap2;Polq;Orc6;Hnrnpd;Mybl2;Aurka;Kpnb1;Ss18;Gins2;Tfdp1;Cdc45;Racgap1;Nup50;Smarcc1;Sap30;Srsf10;Lbr;Mcm6;Dkc1;Pola2;Plk4;Ccnt1;E2f1;Cdc7;Suv39h1;Syncrip;Stag1;Smc1a;Tent4a;Cdc6;Abl1;Ube2s;Nsd2;Rad21"
"HALLMARK_IL2_STAT5_SIGNALING",7.44616673088879e-19,1.24102778848146e-17,1.12391496374483,-0.595751351512699,-2.67977318118063,195,"Tnfrsf4;Il1rl1;Dhrs3;Pim1;Ctsz;Nt5e;Ikzf2;Tnfrsf1b;Il2ra;Rora;Mxd1;Tnfrsf18;Il10;Il1r2;Sell;Ifngr1;Odc1;Ctla4;Plagl1;Tiam1;Ccr4;Icos;Cd83;Cyfip1;Furin;Tnfrsf8;Itgav;Lrig1;Hk2;Tnfrsf9;Tgm2;P4ha1;Irf6;Plin2;Il13;Tnfsf11;Batf3;Cxcl10;Ndrg1;Snx9;Ahr;Gadd45b;P2rx4;Penk;Cd79b;Wls;Myo1e;Ikzf4;Irf8;Cd81;Gsto1;Xbp1;Lclat1;Mapkapk2;Cd44;Alcam;Cd86;Phtf2;Syngr2;Myo1c;Il4ra;Tnfrsf21;Lif;Ecm1;Socs2;Batf;Uck2;Twsg1;Dennd5a;Abcb1a;Gpr65;Bhlhe40;Capg;Bcl2l1;Igf1r;Bmpr2;Ptger2;Swap70;Gpr83;Itga6;Csf1;Tlr7;Cdc6;Serpinc1;Maff;Eomes;Prkch;Pou2f1;Nfkbiz;Capn3;Gbp3;Enpp1;Nfil3;Ckap4;Spp1;Irf4"
"HALLMARK_MITOTIC_SPINDLE",4.84334810520754e-17,6.05418513150942e-16,1.06720998682811,-0.582707735830226,-2.61132975166081,192,"Nusap1;Top2a;Lmnb1;Ccnb2;Kif23;Birc5;Cdk1;Cenpf;Tpx2;Nek2;Kif11;Dlgap5;Ect2;Tiam1;Kif2c;Kif15;Fbxo5;Bub1;Plk1;Prc1;Pcgf5;Akap13;Anln;Incenp;Espl1;Ccdc88a;Myo1e;Kntc1;Flna;Ckap5;Cenpe;Ndc80;Pif1;Smc4;Kif22;Marcks;Epb41l2;Ssh2;Vcl;Cdc27;Flnb;Clip2;Ttk;Ezr;Brca2;Stau1;Kif4;Katna1;Kif20b;Alms1;Wasf2;Ppp4r2;Aurka;Racgap1;Ywhae;Dock4;Csnk1d;Stk38l;Epb41;Nin;Smc1a;Cdc42;Abl1;Cd2ap;Arl8a;Smc3;Hook3;Cep57;Gsn;Cep72"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.59893293561109e-15,5.59893293561109e-14,0.996986217533181,-0.553258301765217,-2.48561534988986,194,"Nr4a3;Vegfa;Rel;Birc3;Areg;Fosl2;Mxd1;Ets2;Atp2b1;Map2k3;Dusp4;Ninj1;Smad3;Nfkb1;Nfkb2;Cd83;Gch1;Stat5a;Slc2a6;Zbtb10;Nfkbie;Pmepa1;Ptgs2;Kdm6b;Tnfrsf9;Il1b;Tank;Nampt;Bcl6;Tgif1;Pde4b;Cxcl2;Tnip1;Cxcl10;Klf10;Il1a;Gadd45b;Ccl2;Relb;Plaur;Plek;Ccrl2;Hes1;Tlr2;Serpine1;Sik1;Slc16a6;Bcl3;Tubb2a;Cd80;Marcks;Ier3;Cd44;Irs2;Il6st;Trib1;Tnfaip2;Lif;Plau;Ifngr2;Birc2;Abca1;Dennd5a;Cdkn1a;Dusp5;Nfe2l2;Ripk2;Rela;Il18;Pfkfb3;Nr4a1;Icosl;Bhlhe40;Clcf1;Nr4a2;Panx1;Cebpd;Btg3;Egr3;Icam1;B4galt1;Ldlr;Il6;Jag1;Per1;Tiparp;Csf1;Cebpb;Plk2;Maff;Sgk1;Ifih1;Klf4"
"HALLMARK_MYC_TARGETS_V1",8.62096111476344e-15,7.18413426230287e-14,0.986546283587582,-0.565755899193231,-2.51111463034317,183,"H2az1;Ccna2;Prdx4;Eprs;Odc1;Cdc20;Rrm1;Dek;Etf1;Snrpd1;Ifrd1;Psmc4;Mcm7;Impdh2;Mad2l1;Pgk1;Tyms;Ldha;Psmd1;Slc25a3;Pabpc4;Hnrnpa1;Mcm5;Mcm2;Lsm2;Cdk2;Xpo1;Dut;Eif4a1;Ube2l3;Dhx15;Cops5;Psma4;Hnrnpd;Gnl3;Kpnb1;Iars;Tfdp1;Cdc45;Pwp1;Ywhae;Smarcc1;Ranbp1;Eif4e;Ywhaq;Pcna;Mcm6;Psmc6;Syncrip;Cnbp;Pa2g4;Vdac3;Mcm4;Ppia;Ssb;Txnl4a;Eif2s1;Rnps1;Psmd14;Cct4;Snrpa1;Psmd8;Ncbp2;Cul1;Trim28;Ncbp1;G3bp1;Uba2;Cct3;Hprt;Gspt1;Xpot;Pole3;Eif4g2;Eif1ax;Psma6;Srm;Ilf2;Psmb3;U2af1;Usp1;Psma1;Phb;Hnrnpc;Snrpd2;Ptges3;Hddc2;Erh;Nme1;Sf3a1;Nap1l1;Sf3b3;Orc2;Eif3b;Got2;Nolc1;Pcbp1;Serbp1;Ran;Hnrnpu;Bub3;Ppm1g;Ruvbl2;Psma2;Cbx3;Ube2e1;Snrpb2;Snrpd3;Snrpg;Canx;Hdgf;Tcp1;Prpf31;Psma7"
"HALLMARK_MTORC1_SIGNALING",4.45416487889612e-14,3.18154634206866e-13,0.965327754226083,-0.554727687863165,-2.485940766383,192,"Rrm2;Got1;Eprs;Map2k3;Ero1a;Cd9;Bub1;Rpn1;Dhfr;Plk1;Rab1a;Hk2;Hmgcr;Nampt;Niban1;P4ha1;Dapp1;Skap2;Elovl5;Ifi30;Etf1;Ifrd1;Psmc4;Cfp;Xbp1;Pgk1;Ldha;Gclc;Cyp51;Pfkl;Cxcr4;Egln3;Prdx1;Ccnf;Bcat1;Nmt1;Mcm2;Slc2a1;Tfrc;Tmem97;Cdkn1a;Hspa4;Cops5;Psma4;Nfkbib;Lgmn;Elovl6;Rdh11;Tubg1;Aurka;Pdap1;Sla;Bhlhe40;Ufm1;Nup205;M6pr;Fkbp2;Psat1;Pno1;Ung;Psmc6;Nfyc;Nufip1;Ldlr;Gga2;Shmt2;Psmb5;Stard4;Tes;Ppa1;Atp2a2;Mcm4;Dhcr24;Ppia;Gtf2h1;Phgdh;Psmc2;Txnrd1;Psmd14;Psma3;Idh1;Nfil3;Asns;Hprt;Adipor2;Hsp90b1"
"HALLMARK_INFLAMMATORY_RESPONSE",8.97262960364153e-11,5.60789350227596e-10,0.839088935621274,-0.511909816994112,-2.29251623642867,189,"Tnfrsf1b;Mxd1;Ccr7;Atp2b1;Il10;Sell;Ifnar1;Irak2;Nlrp3;Nfkb1;Cd14;Gch1;Adgre1;Gpr132;Tnfrsf9;Csf3r;Hif1a;Il1b;Cybb;Nampt;Pde4b;Ptgir;Cxcl10;C3ar1;Gnai3;Cd40;Il1a;Ahr;Ccl2;Osm;P2rx4;Plaur;Pik3r5;Itgb3;Ccrl2;Tlr2;Serpine1;Slc7a1;Lyn;Gna15;Selenos;Itga5;Il4ra;Cd55;Lif;Ptafr;Ifngr2;Abca1;Cdkn1a;Il1r1;Ripk2;Rela;Il18;Cd70;Icosl;Rhog;Ccl7;Clec5a;Icam1;Ptger2;Ldlr;Cmklr1;Il6;Ccl17;Axl;Itgb8;Cd82;Cxcl9;Csf1;Atp2a2;Raf1;Ebi3;Ffar2;Ccl22"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2.3370184681803e-09,1.2983435934335e-08,0.774939030136436,-0.605054152522666,-2.37724942397461,83,"Pim1;Il17rb;Tnfrsf1b;Il2ra;Stat3;Il1r2;Ifnar1;Ifngr1;Cd14;Cd9;Csf3r;Il1b;Cxcl2;Cxcl10;Tnfrsf12a;Il9r;Pik3r5;Itgb3;Tlr2;Ccr1;Cd44;Il6st;Tgfb1;Il4ra;Tnfrsf21;Ptpn1;Ifngr2;Il1r1;Il13ra1;Tnfrsf1a;Csf2ra;Ccl7;Grb2;Il6;Cxcl9;Csf1;Ebi3;Csf2rb2"
"HALLMARK_GLYCOLYSIS",5.03290243384826e-08,2.51645121692413e-07,0.719512826338911,-0.468170367703059,-2.08120355642633,184,"Vegfa;Nt5e;Stmn1;Cdk1;Got1;Depdc1a;Ero1a;Hmmr;Mxi1;Kif20a;Slc16a3;Tgfbi;Nasp;Homer1;Bpnt1;Hk2;Ext1;P4ha1;Pkm;Psmc4;Sdc3;Pgk1;Ier3;Cd44;Ldha;Irs2;Gclc;Sdc1;Cenpa;Cxcr4;Spag4;Egln3;Sod1;Ppp2cb;Ang;Mif;Il13ra1;Mertk;Aurka;Sap30;B4galt1;Pfkp;B4galt4;Hdlbp;Txn1;Slc35a3;Tpst1;Tgfa;Paxip1;Aldh9a1;Plod1;Ppia;Fam162a;Srd5a3;Mdh1;Lhpp;Gmppb;Idh1"
