"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",4.76743584543397e-20,2.38371792271699e-18,1.16017957183021,0.631869120835009,2.56699775973231,194,"Plek;Atf3;Il1b;Tlr2;Icosl;Cd83;Ccrl2;Sgk1;Plaur;Kynu;Pfkfb3;Rhob;Ier3;Nfe2l2;Il1a;Trib1;Marcks;Mcl1;Rel;Tnfaip2;Sat1;Ccl2;Ninj1;Abca1;Zfp36;Klf4;Olr1;Serpine1;Egr1;Cebpb;Plau;Plk2;Ccl4;Csf1;Jun;Serpinb8;Id2;Slc2a6;Tnf;Edn1;Ldlr;Cdkn1a;Cd80;Fos;Cxcl2;Ptpre;Fosb;Egr2;Dram1;Cebpd;Fut4;Bcl6;Ehd1;Tnip2;Ier5;Dusp1;Il18;Ets2;Egr3;Nampt;Ccnl1;Klf10;Cxcl10;Btg2;Sdc4;Ifngr2;Ppp1r15a;Rnf19b;Map3k8;Ccnd1;Icam1;Ifit2"
"HALLMARK_E2F_TARGETS",1.02584446169039e-19,2.56461115422597e-18,1.15122052214226,0.624491684597543,2.53795425082932,197,"Wee1;Rfc2;Timeless;Cdkn1a;Dck;Pole;Chek2;Nup107;Kif22;Mki67;Diaph3;Prdx4;Hells;Dlgap5;Bub1b;Gins1;Spag5;Mms22l;Dek;Ezh2;Top2a;Tmpo;Melk;Mthfd2;Cks1b;Nup205;Ncapd2;Birc5;Tipin;Spc24;Ccnb2;Cdkn2c;Kif4;Tacc3;Tcf19;Espl1;Lmnb1;Hmmr;Stmn1;Depdc1a;H2ax;Cdkn3;Suv39h1;Pold1;Plk1;Cdca3;Cdc20;Racgap1;Spc25;Cenpm;Pold3;Anp32e;Cdca8;Tubb5;Ubr7;Cit;Kif18b;Mcm7;Naa38;Asf1b;H2az1;E2f8;Pcna;Ak2;Tubg1;Rad51ap1;Mxd3;Hnrnpd;Rrm2;Mcm5;Aurkb;Dnmt1;Dut;Cdc25b;Cks2;Gins3;Ube2t;Ube2s;Mad2l1;Cenpe;Tk1;Psmc3ip;Chek1;Trip13;Rpa3;Lig1;Dscc1;Phf5a;Mcm3;Exosc8;Ddx39a;Paics;Ran;Cbx5;Pole4;Prim2;Cdk1;Cdc25a;Pms2;Brca1;Rad21;Kif2c;Rbbp7;Pold2;Rfc3"
"HALLMARK_INFLAMMATORY_RESPONSE",7.39067812234407e-15,1.23177968705735e-13,0.986546283587582,0.578517119389442,2.34093694530934,189,"Ptafr;Nlrp3;Cd14;Il1b;Tlr2;Icosl;Cybb;Osm;Adgre1;Ccrl2;Plaur;C3ar1;Mefv;Csf3r;Msr1;Il1a;Cd40;Lyn;Ccl2;C5ar1;Slc31a2;Itga5;Abca1;Clec5a;Cmklr1;Olr1;P2rx4;Axl;Serpine1;Stab1;Nod2;Mmp14;Csf1;Sgms2;Pdpn;Il15;Edn1;Adora2b;Hpn;Tlr3;Ldlr;Cdkn1a;Ptpre;Kcnj2;Ccl7;Best1;Il18;Nampt;Emp3;Rnf144b;Slc7a2;Il10ra;Cxcl10;Btg2;Gna15;Ifngr2;Ccl17;Cxcl9;Ccl22;Bst2"
"HALLMARK_COMPLEMENT",6.59081667495096e-11,8.2385208436887e-10,0.839088935621274,0.549802370121872,2.21945692934734,181,"Prkcd;Ctsh;Ctss;Plek;Ctsc;Plaur;Kynu;C1qa;Gngt2;Cfb;Ctsd;Anxa5;C3;Lyn;Ctsb;Lgmn;Prcp;Atox1;Olr1;Msrb1;Serpine1;Ang;Cebpb;Lipa;Mmp14;Itgam;Timp2;Lrp1;Pdgfb;Lap3;Pla2g4a;F10;Fcer1g;Ctsl;Cxcl2;Klk1;Casp7;Cfh;Mmp12;Pik3cg;Ehd1;Lamp2;Apoc1;Dusp6;Fn1;Grb2;Cpq;Pla2g7;Cd36;Casp4;Dock4;C1qc"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.55578787751522e-10,2.55578787751522e-09,0.814035837847908,0.526993417497777,2.14374510679395,195,"Cd74;H2-Aa;Irf5;Marchf1;H2-DMa;Cd86;Ciita;Ifi30;H2-Eb1;Fcgr1;Cfb;Cd40;Tnfaip2;Ccl2;Ifitm3;Cmklr1;Trim25;Il18bp;Vamp8;Bank1;Lap3;Pla2g4a;Il15;Ifnar2;Cdkn1a;Casp7;Batf2;Ptpn1;Cfh;Ccl7;Oasl1;Ptpn6;Nampt;Lgals3bp;Mthfd2;Csf2rb2;Il10ra;Cxcl10;Isoc1;Parp12;Cxcl9;Casp4;Bst2;H2-M3;Slamf7;Znfx1;Ncoa3;Icam1;Tdrd7;Ifit2;Wars1;Rsad2;Ly6e;Sppl2a;Oas2;Mvp;Ifi44;Myd88;Psme1;Stat2;Cmtr1;Eif2ak2;Irf2;Tnfaip6;Pnp2;Vamp5;Rbck1;Casp1;Nfkbia;Ifi27;Dhx58;Ifih1"
"HALLMARK_G2M_CHECKPOINT",1.41963148741192e-08,1.18302623950993e-07,0.747739663149885,0.507749889431649,2.06175941727702,193,"Marcks;Sap30;Kif23;Pole;Incenp;Kif22;Mki67;Cenpf;Rad54l;Notch2;Ezh2;Top2a;Tmpo;Gins2;Cks1b;Smc2;Birc5;Ccnb2;Polq;Cdkn2c;Kif4;Cdc6;Fbxo5;Tacc3;Kif15;H2az2;Knl1;Espl1;Lmnb1;Nusap1;Hmmr;Stmn1;H2ax;Cdkn3;Suv39h1;Ndc80;Nek2;Plk1;Prc1;Map3k20;Ccnd1;Cdc20;Racgap1;Tpx2;Abl1;Ube2c;H2az1;Cbx1;Hnrnpd;Troap;Mcm5;Aurkb;Smarcc1;Cdc25b;Cks2;Exo1;Ube2s;Mad2l1;Ttk;Kpnb1;E2f1;Stil;Chaf1a;Cenpe;Cdc45;Kif20b;Chek1;Mcm3;Pafah1b1;Bub1;Ewsr1;Kif11;Ddx39a;Prim2;Cdk1;Cdc25a;Arid4a;Rad21;Kif2c;Foxn3;Bub3;Srsf10;Orc6;Bard1"
"HALLMARK_XENOBIOTIC_METABOLISM",5.17897008468766e-08,3.69926434620548e-07,0.719512826338911,0.50953989539032,2.05422695660871,174,"Apoe;Abcc3;Kynu;Cfb;Hmox1;Nmt1;Acox3;Ninj1;Cndp2;Cyp27a1;Blvrb;Papss2;Comt;Serpine1;Acp2;Epha2;Aldh2;Arg2;Id2;F10;Gcnt2;Gsr;Ptgr1;Pros1;Slc6a6;Cat;Lpin2;Tnfrsf1a;Aldh9a1;Gsto1;Alas1;Ets2;Ssr3;Pgd;Npc1;Tmem176b;Cd36;Arg1;Esr1;Gnmt;Abcd2;Idh1;Retsat;Hprt;Cbr1;Jup;Xdh;Acp1;Tmem97;Arpp19;Slc46a3"
"HALLMARK_MTORC1_SIGNALING",8.68397166481789e-08,4.92686570516671e-07,0.704975715167238,0.493389021173333,2.00306973723047,192,"Skap2;Ifi30;Ctsc;Cfp;Nmt1;Lgmn;Cd9;Gga2;Hk2;M6pr;Rab1a;Atp6v1d;Ldlr;Sdf2l1;Gsr;Cdkn1a;Slc6a6;Prdx1;Rpn1;Nupr1;Hsp90b1;Nampt;Dapp1;Mthfd2;Nfkbib;Gla;Nup205;Btg2;Edem1;Ppp1r15a;P4ha1;Plk1;Fkbp2;Nufip1;Wars1;Txnrd1;Ifrd1;Tubg1;Hspa5;Idh1;Rrm2;Hprt;Etf1;Sord;Scd1;Ddit3;Tmem97;Psmc2;Dhfr;Rdh11;Ppa1;Pnp2;Bub1;G6pdx;Actr2;Slc7a11;Ddx39a;Cdc25a;Hspd1;Cops5;Mthfd2l;Stip1;Calr;Psat1;Ppia"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",8.86835826930008e-08,4.92686570516671e-07,0.704975715167238,0.594423395073424,2.17814819174622,83,"Cd14;Il1b;Il13ra1;Tlr2;Csf3r;Hmox1;Il10rb;Csf2ra;Cd9;Tnfrsf21;Csf1;Jun;Ccr1;Tnf;Cxcl2;Ptpn1;Ltbr;Ccl7;Tnfrsf1a;Acvrl1;Tnfrsf12a;Grb2;Csf2rb2;Cxcl10;Ifngr2;Cxcl9;Cd36;Map3k8;Pf4"
"HALLMARK_COAGULATION",1.17848551638109e-07,5.89242758190546e-07,0.704975715167238,0.545131799587317,2.10722921679355,123,"Ctsh;Plek;C1qa;Thbs1;Cfb;C3;Ctsb;Lgmn;Sh2b2;Apoc2;Cd9;Olr1;Serpine1;Ang;Plau;Mmp14;Gsn;Lrp1;Pdgfb;F10;Hpn;Ctsl;Pros1;Cfh;Gda;Lamp2;Apoc1;Dusp6;Fn1;Trf;Cpq"
