"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1e-50,1.25e-49,NA,0.889365083256471,3.79888971570317,197,"Dnmt1;Pole;Gins1;Mms22l;Ezh2;Ccnb2;Tipin;Tacc3;Mki67;Tmpo;Timeless;Diaph3;Pold1;Mcm3;Mcm2;Top2a;Cks1b;Ncapd2;Dek;Hells;Kif2c;Bard1;Brca1;Prdx4;Tcf19;H2ax;Dscc1;Dut;Dlgap5;Cdc25b;Nup107;Cdca8;Nup205;Mcm5;Pola2;Birc5;Smc1a;Tubg1;Cdkn3;Orc6;Pcna;Exosc8;Pold3;Chek1;Cdk1;Mcm7;Mcm6;Depdc1a;Mad2l1;Lyar;Tubb5;Cdc20;Pa2g4;Rfc2;Cdca3;Mcm4;Melk;Tk1;Aurkb;Racgap1;Psip1;Hmmr;Prim2;Spag5;Cbx5;E2f8;Cdkn2c;Cenpe;Lmnb1;Dck;Rad50;Rpa2;H2az1;Usp1;Espl1;Brca2;Plk1;Ddx39a;Kif18b;Aurka;Rpa3;Lbr;Rrm2;Kif4;Bub1b;Ube2t;Chek2;Rpa1;Stmn1;Smc4;Pold2;Spc24;Ung;Ranbp1;Spc25;Plk4;Xrcc6;Kif22;Lig1;Ccne1;Wee1;Cit;Hnrnpd;Cks2;Mybl2;Naa38;Cenpm;Gins3;Gins4;Nasp;Mthfd2;Eif2s1;Rad21;Trip13;Rbbp7;Cnot9;Ssrp1;Paics;Rfc3;Dctpp1;Mxd3;Anp32e;Atad2;Nudt21;Mre11a;Msh2;Asf1b;Nme1;Wdr90;Ccp110;Ctcf;Zw10;Hmgb3;Rad51ap1;Rnaseh2a;Slbp;Ppp1r8;Psmc3ip;Smc6;Shmt1;Ube2s;Rfc1;Cdc25a;Ubr7;Syncrip;Pms2;Suv39h1;Ran;Ak2;Ilf3;Cse1l;Ppm1d;Pole4"
"HALLMARK_G2M_CHECKPOINT",1e-50,1.25e-49,NA,0.812635035389385,3.47270272027886,193,"Pole;Kif23;Incenp;Ezh2;Ccnb2;Smc2;Tacc3;Mki67;H2az2;Tmpo;Fbxo5;Mcm3;Mcm2;Top2a;Cks1b;Kif2c;Bard1;H2ax;Snrpd1;Cdc25b;Ube2c;Knl1;Mcm5;Nusap1;Pola2;Birc5;Cenpf;Smc1a;Cdkn3;Prc1;Orc6;Kif11;Dtymk;Chek1;Cdk1;Mcm6;Mad2l1;Cdc20;Bub1;Tpx2;Pbk;Kif20b;Ttk;Troap;Cdc45;Aurkb;Kif15;Racgap1;Tfdp1;Hmmr;Prim2;Gins2;Rad54l;Cdkn2c;Stil;Nek2;Cenpe;Ccna2;Lmnb1;Rpa2;Rbl1;H2az1;Espl1;Brca2;Plk1;Chaf1a;Kpnb1;Ddx39a;Cdc7;Aurka;Lbr;Kif4;Polq;Ccnf;Stmn1;Smc4;Plk4;Ndc80;Kif22;Cbx1;Hnrnpd;Cks2;Mybl2;Nsd2;Dkc1;E2f1;Nasp;Rad21;Smarcc1;Exo1;E2f2;Bub3;Ctcf;Hmgb3;Prmt5;Hnrnpu;Cenpa;Cdc6;Ube2s;E2f3;Cdc25a;Kmt5a;Uck2;Syncrip;Odf2;Suv39h1;Ilf3;Traip;Sap30;Ncl;Upf1;Gspt1;Xpo1;Pds5b;Dbf4;Slc7a5;Casp8ap2;Cdc27;Stag1;Srsf10;Sqle;G3bp1;Hus1;E2f4"
"HALLMARK_MYC_TARGETS_V1",1e-50,1.25e-49,NA,0.811836111399271,3.43188214475786,183,"Rrm1;Mcm2;Dek;Prdx4;Snrpd1;Dut;Lsm2;Mcm5;Cdk2;Pcna;Mcm7;Mcm6;Mad2l1;Cdc20;Pa2g4;Tyms;Mcm4;Cdc45;Tfdp1;Ccna2;Serbp1;H2az1;Usp1;Uba2;Kpnb1;Snrpa;Pold2;Ranbp1;Pole3;Xrcc6;Hnrnpd;Hprt;Pgk1;Eif2s1;Ruvbl2;Pcbp1;Acp1;Psma4;Psmd14;Snrpa1;Smarcc1;Ldha;Ndufab1;Bub3;Snrpd3;Nhp2;Vdac3;Ppia;Ilf2;Aimp2;Psmd1;Cbx3;Impdh2;Nme1;Lsm7;Sf3b3;Iars;Tcp1;Hnrnpa1;Psmb2;Psma1;Psmd8;Hnrnpu;Cct3;Sf3a1;Prpf31;Rfc4;Cstf2;Srm;Psmc4;Hdgf;Syncrip;Cox5a;Rnps1;Ran;Snrpb2;Psma6;Psmd3;Psmd7;Eif4e;Cops5;Kars;Ube2l3;Cad;Ywhae;Stard7;Tufm;Got2;Trim28;Ncbp1;Ssb;Erh;Glo1;Exosc7;Gspt1;Xpo1;U2af1;Cct7;Npm1;Dhx15;Psma2;Set;Xpot;Hnrnpa2b1;Phb2;Tardbp;Eif1ax;Canx;Hdac2;Ppm1g;Ptges3;Orc2;Ctps;Apex1;Cyc1;Nap1l1;Psmc6;G3bp1;Eif3d;Hnrnpr;Prdx3;Psma7;Vbp1;Cdk4;Vdac1;Clns1a;Cct5;Ddx18;Nop16;Srsf7;Pwp1;Snrpd2;Phb;Ywhaq;Nolc1;Snrpg;Hddc2;Eif4h;Eif4g2;Fam120a;Cct2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-50,1.25e-49,NA,-0.757227600718001,-3.48922156451166,194,"Btg1;Nr4a2;Pnrc1;Ccl5;Id2;Ppp1r15a;Per1;Icosl;Irs2;Klf6;Dusp1;Sqstm1;Atp2b1;Zc3h12a;Dnajb4;Mxd1;Btg2;Fosl2;Ptpre;Fosb;Rel;Jun;Mcl1;Nfe2l2;Spsb1;Klf2;Ptgs2;Fos;Hes1;Abca1;Ccrl2;Maff;Zbtb10;Ccnl1;Birc3;Zfp36;Tnfaip3;Eif1;B4galt1;Marcks;Ier5;Clcf1;Il7r;Il1a;Sat1;Bcl6;Serpine1;Csf2;Kdm6b;Ier2;Icam1;Sik1;Klf4;Dusp5;Rigi;Ifih1;Atf3;Ier3;Cebpb;Tlr2;Sgk1;Tnip1;Ccl2;Nr4a3;Gem;Tiparp;Smad3;Litaf;Dusp2;Ifngr2;Rhob;Btg3;Rela;Ifit2;Junb;Cd69;Pmepa1;Gch1;Irf1;Gadd45b;Ninj1;Ripk2;Gadd45a;Tgif1;Plek;Nfkbia;Rnf19b;F2rl1;Egr2;Tnf;Klf9;Map3k8;Nr4a1;Plau;Nfkbie;Nfat5;Nfil3;Areg;Traf1;Plk2;Pfkfb3;Plaur;Vegfa;Pde4b;Slc2a6;Cxcl10;Slc2a3;Ptger4;Cd83;Slc16a6;Il1b;Cd44;Trib1;Cxcl2;Relb;Cflar;Il6;Cebpd;Pdlim5;Csf1;Cd80;Klf10;Sdc4;Yrdc;Ets2;Il6st;Jag1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.49242566885256e-25,2.49242566885256e-24,1.30309315086572,-0.621566455708577,-2.86566100505665,195,"Btg1;Gbp4;Ccl5;Gbp9;Samhd1;Epsti1;Peli1;Cd86;Irf5;Gbp8;Il4ra;Ifit3;Ptgs2;Txnip;Stat4;Nod1;Samd9l;Tnfaip3;Slamf7;Irf8;Rnf213;Pim1;Lats2;Znfx1;Rapgef6;Parp14;Icam1;Oas2;Rigi;Ifih1;Cd274;Nlrc5;Ifit1bl1;Trim26;Rtp4;Ccl2;Il2rb;Cfh;Tdrd7;Ifit2;H2-Aa;H2-DMa;Cd69;Fgl2;Gch1;H2-Q7;Irf1;Irf9;Ripk2;Klrk1;Fcgr1;Herc6;Nfkbia;St8sia4;Trafd1;Rnf31;Irf7;Ripk1;Rsad2;Xcl1;Oasl1;H2-D1;Ncoa3;Pla2g4a;Arid5b;Fas;Stat3;Marchf1;Pde4b;Parp12;Il10ra;H2-M3;Trim25;Arl4a;Cxcl10;Trim21;Ifnar2;Cd74;Casp4;Helz2;Cxcl9;Ccl7;Ddx60;Eif4e3;Lgals3bp;Trim14;Slc25a28;H2-Eb1;Csf2rb2;Stat1;Xaf1;Socs1;Cd40;Adar;Isg15;Il6;Ptpn6;Zbp1;Mvp;Il15;B2m;Sppl2a;Cmpk2;Ogfr;Casp1;Gpr18;Cmklr1;Casp8;Ifi35;Eif2ak2;Irf2;Usp18;Socs3;Tnfaip2;Tapbp;Oas3"
"HALLMARK_INFLAMMATORY_RESPONSE",9.36899123084644e-21,7.80749269237203e-20,1.1778932614942,-0.59037178267746,-2.71008677460217,189,"Ccl5;Irak2;Pik3r5;Icosl;Klf6;Atp2b1;Ifnar1;Mxd1;Btg2;Ptpre;Rgs1;Il4ra;Abca1;Cd14;Ccrl2;Lyn;Il1r1;Il7r;Il1a;Pvr;Gabbr1;Serpine1;Icam1;Abi1;Gpr132;Tlr2;Rtp4;Ccl2;Ifngr2;Cxcr6;Il2rb;Slc31a2;Rela;Cd69;Rasgrp1;Gch1;Il18rap;Irf1;Tnfrsf1b;Ripk2;Nfkbia;Sell;Stab1;Slc28a2;Acvr1b;Irf7;Itga5;Fzd5;Cd55;Ifitm1;Ptafr;Adgre1;Plaur;Pde4b;Il18r1;Nlrp3;Il10ra;Osm;Slc11a2;P2rx4;Cxcl10;Cxcl9;Ptger4;Ccl7;Il1b;Slamf1;Cd40;Cybb;Rhog;Hpn;Il6;Csf1;C3ar1;Il15;Itgb3;Cd82;Gpr183;Ahr;Ptger2;Cmklr1;Calcrl;Acvr2a;Csf3r;Eif2ak2"
"HALLMARK_MTORC1_SIGNALING",6.87597193899173e-20,4.91140852785123e-19,1.15122052214226,0.633483171960247,2.70636926278881,192,"Dhfr;Mcm2;Nup205;Tubg1;Bub1;Mcm4;Rpn1;Plk1;Ddx39a;Aurka;Rrm2;Rpa1;Ccnf;Ung;Pdap1;Hprt;Pgk1;Mthfd2;Shmt2;Psma4;Stip1;Psmd14;Sdf2l1;Ldha;Phgdh;Prdx1;Ppia;Psmc2;Tpi1;Hmbs;Psat1;Psmd12;Psmd13;Uchl5;Abcf2;Asns;Pno1;Nmt1;Fkbp2;Cdc25a;Psmc4;Tmem97;Gga2;Psme3;Tomm40;Psph;Dhcr7;Cct6a;Cops5;Idi1;Psmb5;Immt;Gsr;Ppa1;Hmgcr;Arpc5l;Eef1e1;Cyp51;Psmg1;Trib3;Pfkl;Hspa9;Cyb5b;Lta4h;Bcat1;Slc7a5;Atp5g1;Hsp90b1;Gmps;Canx;Tcea1;Actr3;Coro1a;Psmc6;Ldlr;Calr;Ddit4;Acly;Sqle;Slc1a4;Ero1a;Nufip1;Ebp;Acaca;Map2k3;Gpi1;Stard4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.74986839120518e-16,3.59366774450324e-15,1.02766987054358,0.602422388850139,2.54217959808748,185,"Ndufs8;Fh1;Uqcr10;Timm50;Etfa;Ndufc1;Idh3a;Ldha;Atp5k;Ndufab1;Vdac3;Sdhb;Mtx2;Atp5j2;Ndufv2;Atp5pb;Atp5b;Ndufc2;Ndufb8;Cox5b;Polr2f;Ndufa8;Cox5a;Ndufb7;Casp7;Timm17a;Atp5g3;Sdhd;Atp5j;Fdx1;Hccs;Timm13;Immt;Got2;Atp5o;Ndufb6;Sdhc;Mdh2;Sucla2;Abcb7;Aifm1;Slc25a5;Uqcrq;Idh3g;Hspa9;Phb2;Uqcrc1;Cox7a2;Atp5g1;Pmpca;Ndufb5;Supv3l1;Ndufa4;Tomm22;Cyc1;Ndufb3;Atp5c1;Atp5e;Ndufb2;Gpi1;Prdx3;Ndufs2;Uqcrfs1;Cox6b1;Atp5a1;Ndufv1;Vdac1;Cox17;Rhot2;Atp5l;Decr1;Alas1;Etfb;Uqcrc2;Ndufs3;Cpt1a;Ndufa5;Oxa1l;Fxn;Timm9;Ndufs1;Ndufb1;Grpel1;Ndufa3;Retsat;Acadvl;Mtrf1;Tomm70a;Hadha;Timm10;Dld;Suclg1;Slc25a4;Pdhb;Lrpprc;Cyb5a;Cox6a1;Sdha;Ndufs6"
"HALLMARK_ALLOGRAFT_REJECTION",1.55971256763671e-15,8.66506982020392e-15,1.01754479730988,-0.548155272670248,-2.52293672501207,187,"Ccl5;Fasl;Itk;Icosl;Ccr5;Cd86;Ctss;Il4ra;Ifngr1;Stat4;Irf8;Lyn;Ikbkb;Spi1;Nck1;Icam1;Abi1;Cd7;Tlr2;Ptprc;Ccl2;Gbp2;Prf1;Ube2d1;Ifngr2;Socs5;Il2rb;Ly86;H2-Aa;H2-DMa;H2-Oa;Cd1d1;H2-Q7;Cd96;Il18rap;Cd3d;Il2;Eif4g3;Ripk2;Fcgr2b;Stab1;Il2rg;St8sia4;Tnf;Cd2;Igsf6;Irf7;Gcnt1;Ccnd2;Fas;Crtam;Il16;Nlrp3;F2r;Srgn;H2-M3;Fyb;Ccr2;Bcl10;Cd8b1;Ifnar2;Il27ra;H2-Ob;Ets1;Cd74;Ifng;Cxcl9;Ccl7;Ltb;Stat1;Il1b;Itgal;Socs1;Cd40;Klrd1;Il6;Ptpn6;Csf1;Cd80;Il15;Il13;B2m"
"HALLMARK_MITOTIC_SPINDLE",3.17232264194598e-15,1.58616132097299e-14,1.00731795687447,0.587880449870783,2.51154513671057,192,"Kif23;Incenp;Ccnb2;Ect2;Fbxo5;Top2a;Kif2c;Dlgap5;Ckap5;Nusap1;Birc5;Cenpf;Smc1a;Prc1;Anln;Kif11;Cdk1;Bub1;Tpx2;Kif20b;Ttk;Kif15;Racgap1;Nek2;Cenpe;Lmnb1;Espl1;Brca2;Plk1;Pif1;Aurka;Kif4;Kntc1;Smc4;Sass6;Ndc80;Kif22;Alms1;Cntrob;Pcnt;Cep72;Tubgcp2;Rfc1;Cep57;Cep250;Cep192;Clasp1;Ywhae;Cdk5rap2;Uxt;Sac3d1;Tiam1;Smc3;Cntrl;Net1;Capzb;Tubgcp3;Cdc27;Mapre1;Tubgcp6;Actn4"
