"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",8.48014483990001e-43,4.24007241995001e-41,1.7026781142338,-0.731777244941228,-3.23980641036145,197,"Mki67;Top2a;Cdca3;Rrm2;Tmpo;Cdk1;Ccnb2;Ncapd2;Cdca8;Birc5;Hells;Tacc3;Prdx4;Hmmr;Mcm2;Tubb5;Pole;Exosc8;Rad50;Mcm3;Diaph3;Stmn1;Dck;Tipin;Spc24;Dlgap5;Melk;Bard1;Spag5;Ak2;Cks1b;Depdc1a;Cdc25b;Psip1;Lmnb1;Timeless;Kif2c;Cdc20;Mad2l1;Tcf19;Kif18b;Dut;Smc4;Gins1;Bub1b;Mms22l;H2ax;Plk1;Tk1;Rnaseh2a;Cenpm;Brca1;Mthfd2;Mcm7;Cenpe;Cdkn3;Xrcc6;Pcna;Brca2;Mxd3;Dnmt1;Cbx5;Lig1;Nup205;Ung;Dscc1;Espl1;Cdkn2c;Chek2;Spc25;Pola2;Naa38;Kif22;Wee1;Ctcf;Nudt21;Pold2;Dek;Tubg1;Pold1;Mcm5;Mre11a;Rpa1;Chek1;Pttg1;Ccne1;Cdkn1b;Paics;Cdkn2a;Ezh2;Mcm4;Nup107;E2f8;Rfc2;Ddx39a;Anp32e;Mlh1;Cdk4;Cit;Rfc3;Aurkb;Gins3;Orc6;Aurka;Plk4;Hmgb3;Racgap1;Kif4;Cdc25a;Mybl2;Smc1a;Trip13;Ranbp1;Prps1;H2az1;Ubr7;Atad2;Tbrg4;Orc2;Ube2t;Ccp110;Ing3;Nbn;Pa2g4;Eed;Cks2;Asf1b;Nap1l1;Ilf3;Dctpp1;Nme1"
"HALLMARK_G2M_CHECKPOINT",1.91767496705517e-22,4.79418741763792e-21,1.22950405660873,-0.619202167382417,-2.73879833832844,193,"Mki67;Top2a;Nusap1;Tmpo;Ube2c;Tpx2;Cdk1;Ccnb2;Hspa8;Ccna2;Birc5;Hif1a;Tacc3;Hmmr;Mcm2;Smc2;Kif11;Pole;Cenpf;Mcm3;Stmn1;Incenp;Nek2;Bard1;Cks1b;Cdc25b;Rad54l;Lmnb1;Kif15;Prc1;Kif2c;Cdc20;Mad2l1;Smc4;Tfdp1;Knl1;H2ax;Plk1;Bub1;Pbk;Marcks;Kif20b;Cenpe;Cdkn3;Kif23;Brca2;Dtymk;Troap;Espl1;Cdkn2c;Gins2;Pola2;Kif22;H2az2;Smarcc1;Ctcf;Hnrnpu;Prmt5;Pml;Mcm5;Chek1;Pttg1;Cdkn1b;Fbxo5;Ezh2;Cul5;Mnat1;Chaf1a;Sap30;Rad23b;Odc1;Ddx39a;Cdk4;Polq;E2f3;Notch2;Aurkb;Rbl1;Cdc45;Orc6;Cbx1;Aurka;Ttk;Plk4;Ncl;Bub3;Stil;Ndc80;Hmgb3;Racgap1;Kif4;Cdc25a;Mybl2;Numa1;Smc1a;Ccnf;Orc5;H2az1;Exo1;Kpnb1;Dkc1"
"HALLMARK_MYC_TARGETS_V1",3.02338275284737e-17,5.03897125474562e-16,1.06720998682811,-0.592047543177353,-2.59363797670154,183,"Ccna2;Hsp90ab1;Prdx4;Mcm2;Pgk1;Cdk2;Cdc20;Mad2l1;Dut;Tfdp1;Rrm1;Hspe1;Psma4;Lsm2;Psmd8;Acp1;Cox5a;Tcp1;Mcm7;Xrcc6;Pcna;Snrpa;Srpk1;Eef1b2;Txnl4a;Ncbp1;Ppia;Psma6;Tyms;Ldha;Nhp2;Cbx3;Smarcc1;Hspd1;Hnrnpu;Pold2;Dek;Mcm5;Lsm7;Ruvbl2;Apex1;Prdx3;Hddc2;Ube2l3;Mcm4;Serbp1;Tufm;Rad23b;Psmd14;Odc1;Psma2;Cdk4;Snrpb2;Eif4e;Prps2;Snrpd3;Psmd7;Uba2;Cdc45;Kars;Hnrnpa1;Rack1;Erh;Cyc1;Bub3;Hprt;Pole3;Cct3;Stard7;Ndufab1;Phb;Ranbp1;Prpf31;H2az1;Srm;Cct2;Kpnb1;Snrpa1;Orc2;Glo1;Ilf2;Exosc7;Psmc6;Snrpd1;Pa2g4;Nap1l1;Nme1;Psmd3;Fam120a;Ncbp2;Usp1;Nop56;Psmb2;Cct7;Sf3a1;Rnps1;Ywhae;Eif4g2;Phb2;Hnrnpr;Trim28;Hnrnpa2b1;Eif2s1;Sf3b3;Ctps;Ssbp1;Pcbp1;Cct5;Ptges3;Srsf7;Srsf1;Cops5"
"HALLMARK_MTORC1_SIGNALING",1.67698479307443e-13,2.09623099134304e-12,0.943632225232838,-0.542551865495186,-2.40106704987341,192,"Rrm2;Ero1a;Glrx;Sla;Niban1;Pdk1;Mcm2;Nampt;Coro1a;Got1;Pgk1;M6pr;Edem1;Hk2;Ifi30;Plk1;Dhfr;Bub1;Hspe1;Psma4;Ccng1;Ldlr;Mthfd2;Btg2;Phgdh;Ddit4;Dhcr7;Nup205;Ung;Egln3;Ppia;Cyp51;Nmt1;Ldha;Lgmn;Slc1a5;Asns;Bcat1;Psmd12;Hspd1;Stip1;Idi1;Tubg1;Hmgcr;P4ha1;Rpa1;Insig1;Psph;Pfkl;Cyb5b;Fkbp2;Psmg1;Dhcr24;Mcm4;Psat1;Psmd14;Ddx39a;Wars1;Gpi1;Tm7sf2;Ppp1r15a;Slc2a3;Pdap1;Abcf2;Ctsc;Cfp;Tcea1;Ppa1;Pno1;Aurka;Prdx1;Gga2;Hprt;Eef1e1;Hsp90b1;Atp6v1d;Cdc25a;Actr3;Arpc5l;Shmt2;Ccnf;Psme3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",6.69119234315882e-13,6.69119234315882e-12,0.921426003494898,-0.636787997818395,-2.52870673442312,96,"Ifitm1;Lpar6;Isg20;Cd74;Ube2l6;Psmb9;Trim21;Ifi27;Ly6e;Ifitm2;Rsad2;Trim14;Ifit3;Parp9;Ifih1;Herc6;Psmb8;Dhx58;Ifi30;Isg15;Parp14;Csf1;Ifit2;Ncoa7;Eif2ak2;Bst2;Parp12;Cmpk2;Ddx60;Rtp4;Tent5a;Tap1;Cxcl10;Uba7;Nmi;Stat2;Irf1;Ifi35;Wars1;Ifitm3;Usp18;Adar;Lap3;Irf9;Oas1a;Cmtr1;Psme1;Gbp2;Trim5;Trim12c;Elf1;Epsti1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.24462823064548e-11,1.03719019220457e-10,0.875325132024659,-0.518666043485882,-2.30326075238095,195,"Samhd1;Cd69;H2-Aa;Ifit1bl1;Lcp2;Hif1a;Isg20;Cd74;Ube2l6;H2-Eb1;Stat1;Psmb9;Nlrc5;Nampt;Jak2;Trim21;Ifi27;Gbp4;Ly6e;Vamp8;Casp3;Ifitm2;Rsad2;Irf4;Oas2;Trim14;Ifit3;Ifih1;Herc6;Cd86;Psmb8;Dhx58;Oas3;Peli1;Gbp9;Ifi30;Ciita;Isg15;Parp14;Mthfd2;Zbp1;Ifit2;Eif2ak2;Ptgs2;H2-M3;Ncoa3;Bst2;Parp12;H2-DMa;Cmpk2;Ddx60;Fcgr1;Rnf213;Rtp4;Tap1;Fas;Xaf1;Cxcl10;Ptpn6;Pml;Il15ra;Cd40;Ccl2;Nmi;Itgb7;Stat2;Irf1;Casp7;Psma2;Ifi35;Csf2rb2;Wars1;Znfx1;Nup93;Ifitm3;Nfkbia;Rapgef6;Lysmd2;Usp18;Adar"
"HALLMARK_IL2_STAT5_SIGNALING",6.75682228821261e-11,4.82630163443758e-10,0.839088935621274,-0.509504874385574,-2.26257838749574,195,"Tnfrsf4;Ltb;Ctla4;Ptger2;Adam19;Lrig1;Il2ra;Ikzf2;Icos;Il10;Il13;Nt5e;Tnfsf11;Ccr4;Il1rl1;Ikzf4;Itgae;Batf;Rhoh;Bcl2l1;Penk;Csf2;Lif;Serpinb6a;Tnfrsf8;Casp3;Cyfip1;Phlda1;Plagl1;Tnfrsf18;Irf4;Itgav;Hopx;Cd86;Tiam1;Lclat1;Hk2;Alcam;Twsg1;Capg;Cish;Il1r2;Tgm2;Cd79b;Irf6;Csf1;Ctsz;Ecm1;Galm;Cd48;Myo1c;Ncoa3;Rabgap1l;Anxa4;Nrp1;Smpdl3a;Swap70;Klf6;Slc1a5;Rgs16;Cxcl10;Socs2;Rora;P4ha1;Furin;Ccne1;Cd83;Eef1akmt1;P2rx4;Itga6;Odc1"
"HALLMARK_ALLOGRAFT_REJECTION",8.67661151320989e-10,5.42288219575618e-09,0.801215574617779,-0.490409726095832,-2.15791005268751,187,"Cd3e;Cd8b1;Cd8a;Ltb;Cd3g;Cd3d;Thy1;Cd40lg;Il2ra;H2-Aa;Il10;Itk;Il13;Cd28;Tnf;Cd2;Cd4;Cd80;Lcp2;Trat1;Map4k1;Sit1;Hif1a;Cd74;Stat1;Fyb;Jak2;Il2;Lck;Lif;Ctss;Zap70;Il27ra;Cd247;Il12rb1;Nlrp3;Irf4;Cd86;Dars;Spi1;Capg;Ccr1;Brca1;Il1b;Ly86;Csf1;Cxcr3;Ly75;Tap2;Ifngr2;H2-M3;H2-DMa;Ikbkb;Tap1;Fas;Tlr2;Bcat1;F2r;Ptpn6;H2-Oa;H2-Ob;Cd40;Cdkn2a;Ccl2;Hcls1;Il4;Cd96;Wars1;Igsf6;Il18;Aars;Galnt1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.05592960603824e-08,5.86627558910136e-08,0.747739663149885,-0.482888336639635,-2.12184907307324,185,"Cyb5a;Ndufs8;Idh2;Cox5a;Ndufa3;Atp5pb;Ndufb8;Atp5k;Ndufb1;Ldha;Ndufa2;Timm13;Htra2;Idh3a;Ndufv2;Uqcr10;Atp5j2;Mtx2;Ech1;Ndufc2;Timm9;Ndufa8;Prdx3;Ndufs2;Phyh;Fh1;Atp5e;Atp5l;Casp7;Pdhx;Gpi1;Nnt;Etfa;Cox17;Cox10;Hsd17b10;Cyc1;Atp6v1f;Atp5o;Mtrr;Atp6v0c;Atp6v1d;Hccs;Ndufb7;Aifm1;Ndufab1;Sdhb;Timm50;Cox7a2l;Idh3b;Bax;Cox6b1;Etfb;Cox5b;Pdha1;Ndufs3;Fdx1;Ndufs6;Slc25a4;Acat1;Opa1;Acaa2;Nqo2;Tcirg1;Atp5c1;Abcb7;Ndufa1;Uqcrc1;Ndufc1;Uqcrfs1;Ndufs1;Ndufb2;Ndufa7;Ndufs7;Uqcrq;Timm8b;Atp5g1;Sdha;Polr2f;Phb2;Atp5g3;Mfn2;Ndufb5"
"HALLMARK_INFLAMMATORY_RESPONSE",1.32036154655027e-07,6.60180773275137e-07,0.690132458796796,-0.458512127398737,-2.02227394883351,189,"Slamf1;Ptger2;Cd69;Il10;Raf1;Ifitm1;Axl;Cxcr6;P2rx7;Lta;Lcp2;Hif1a;Rasgrp1;Il7r;Nampt;Lck;Lif;Ccr7;Cd14;Ly6e;Nlrp3;Il1a;Kcna3;Chst2;C3ar1;Il1b;Ldlr;Csf1;Btg2;Gpr183;Csf3r;Cd70;Ifngr2;Cd48;Eif2ak2;Plaur;Bst2;Rtp4;Klf6;Ptgir;Cybb;Ptafr;Tlr2;Rgs16;Cxcl10;Slc31a2;Serpine1;Adgre1;Il15ra;Emp3;Cd40;Sema4d;Ccl2;Nmi;P2rx4;Irf1;Slc28a2;Il18;Nfkbia;Aqp9;Gna15;Il1r1;Ebi3"
