"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1e-50,5e-49,NA,-0.765298789219588,-3.96386109755884,197,"Mki67;Top2a;Cdca3;Ccnb2;Stmn1;Rrm2;Birc5;Ncapd2;Cdca8;Cdk1;Tacc3;Gins1;Pole;Dlgap5;Tubb5;Tcf19;Hmmr;Depdc1a;Bard1;Cks1b;Spc24;Bub1b;Prdx4;Cdkn2c;Mcm3;Tmpo;Plk1;Kif2c;Dek;Melk;H2az1;Timeless;Cenpe;Lig1;Dnmt1;Tk1;Rfc2;Cenpm;Cdkn3;Tipin;Lyar;Mxd3;Kif18b;Espl1;Hells;Cdc20;Racgap1;Pola2;Mms22l;Brca2;Mcm7;Mcm6;Diaph3;Pold1;Myc;Dut;Dscc1;Brca1;Mcm5;Rpa3;Pcna;E2f8;Naa38;Nap1l1;Smc1a;Chek1;H2ax;Smc4;Prim2;Rbbp7;Cit;Mcm2;Cnot9;Exosc8;Paics;Pa2g4;Nme1;Mad2l1;Cks2;Spag5;Plk4;Lbr;Dctpp1;Aurkb;Ssrp1;Lmnb1;Ranbp1;Kif22;Ran;Mcm4;Asf1b;Kif4;Spc25;Trip13;Rad50;Cdkn2a;Ung;Cdkn1a;Mre11a;Aurka;Nup107;Gins3;Eif2s1;Smc6;Anp32e;Slbp;Mybl2;Ezh2;Wee1;Syncrip;Pold2;Cdc25b;Rpa1;Gins4;Hmgb3;Tubg1;Cbx5;Rad21;Nup205"
"HALLMARK_G2M_CHECKPOINT",2.35745407790387e-44,5.89363519475968e-43,1.73281634980283,-0.710037767047553,-3.65185574292421,193,"Mki67;Top2a;Ccnb2;Ube2c;Stmn1;Nusap1;Ccna2;Birc5;Tpx2;Cdk1;Tacc3;Cenpf;Pole;Kif23;Hmmr;Kif11;H2az2;Bard1;Knl1;Cks1b;Kif15;Cdkn2c;Mcm3;Tmpo;Plk1;Smc2;Kif2c;Hspa8;Pbk;Bub1;Nek2;Prc1;H2az1;Cenpe;Fbxo5;Cdkn3;Espl1;Cdc20;Racgap1;Stil;Pola2;Rad54l;Brca2;Mcm6;Myc;Exo1;Mcm5;Incenp;Tgfb1;Troap;Kif20b;Smc1a;Chek1;Cdc45;H2ax;Ttk;Smc4;Prim2;Mcm2;Snrpd1;Bcl3;Mad2l1;Cks2;Plk4;Lbr;Aurkb;Uck2;Lmnb1;Kif22;Odc1;Dkc1;Kif4;Bub3;Smarcc1;Tfdp1;Gins2;Aurka;Dtymk;Polq;Dr1;Mybl2;Ezh2;Rbl1;Syncrip;Chaf1a;Cdc25b;Hmgb3;Abl1;Rad21;E2f1;Ccnf;Marcks;Orc6;Nup50;Ndc80;Ncl;Hnrnpd"
"HALLMARK_IL2_STAT5_SIGNALING",1.13438448778535e-39,1.89064081297558e-38,1.6407416852705,-0.686324014789929,-3.55255094451015,195,"Il2ra;Tnfrsf9;Il13;Il1rl1;Rgs16;Irf8;Il1r2;Csf2;Il10;Car2;Tnfrsf4;Cxcl10;Lif;Itgae;Plscr1;Ikzf2;Tnfrsf18;Fgl2;Itgav;Casp3;Ikzf4;Ptger2;Myo1e;Swap70;Tnfrsf8;Dhrs3;Cd83;Serpinb6a;Lclat1;Phlda1;Gpr65;Capg;Il2rb;Nfil3;Plin2;Ctla4;Syngr2;Myc;Penk;Cd79b;Cst7;Irf6;Sell;Il10ra;Rnh1;Tnfsf10;Tgm2;Ltb;Rhob;Ecm1;Cish;Cd86;Eef1akmt1;Gsto1;Cyfip1;Ctsz;Lrrc8c;Bhlhe40;Snx9;Cd44;Uck2;Eomes;Socs2;Wls;Odc1;Myo1c;Furin;Pim1;Traf1;Alcam;Ndrg1;Nfkbiz;Klf6;Ifitm3;Tnfsf11;Dcps;Gadd45b;Gpr83;Map3k8;Ahcy;Praf2;Galm;Nt5e;Rabgap1l;Ncoa3;Gbp3;Il3ra;Csf1;Pus1;Muc1;Ccnd2;Tlr7;Anxa4;Mapkapk2;Tnfrsf1b;Hk2;Mxd1;Nop2;Batf3"
"HALLMARK_MYC_TARGETS_V1",2.63107202159728e-39,3.2888400269966e-38,1.63441895776255,-0.698794831339087,-3.57603577365493,183,"Ccna2;Hspd1;Lsm2;Prdx4;Hnrnpa1;Dek;H2az1;Hsp90ab1;Prpf31;Cdc20;Snrpb2;Mcm7;Tyms;Mcm6;Rrm1;Myc;Dut;Mcm5;Psma4;Pcbp1;Phb2;Hprt;Pcna;Nap1l1;Cdc45;Psmd8;Cox5a;Ruvbl2;Mcm2;Ppm1g;Uba2;Snrpd1;Cbx3;Nhp2;Pa2g4;Nme1;Mad2l1;Cops5;Sf3a1;Pgk1;Ppia;Eef1b2;Ranbp1;Vdac3;Ran;Mcm4;Odc1;Ldha;Psma2;Rnps1;Bub3;Serbp1;Psma1;Smarcc1;Tfdp1;Psma6;Eif3d;Acp1;Cdk2;Hspe1;Snrpd3;Eif2s1;Psmb2;Impdh2;Cct7;Tcp1;Rack1;Syncrip;Ifrd1;Psmd14;Pold2;Ndufab1;Snrpg;Cct5;Eif4e;Pole3;Hnrnpd;Kars;Snrpa1;Eif4g2;Trim28;Cct2;Etf1;Ube2l3;Hnrnpu;Clns1a;Tufm;Fbl;Hnrnpa2b1;Vbp1;Ptges3;Cct4;G3bp1;U2af1;Got2;Psma7;Prps2;Cad;Lsm7;Pwp1;Cdk4;Snrpd2;Pabpc4;Ube2e1;Psmd7;Snrpa;Apex1;Prdx3;Canx;Vdac1;Nolc1;Ywhaq;Erh;Tra2b;Slc25a3;Npm1"
"HALLMARK_MTORC1_SIGNALING",2.3715006121472e-34,2.3715006121472e-33,1.52292160289117,-0.664324421498601,-3.40966494628678,192,"Rrm2;M6pr;Hspd1;Ddit4;Niban1;Ero1a;Glrx;Fgl2;Plk1;Bub1;Sdf2l1;Dhfr;Nfil3;Egln3;Tpi1;Psma4;Hprt;Rpn1;Psmd13;Asns;Mcm2;Gga2;Atp5g1;Skap2;Lta4h;Cops5;Ccng1;Pgk1;Bhlhe40;Ppia;Cfp;Sla;Gpi1;Hspa5;Mcm4;Coro1a;Ldha;Psph;Pno1;Ung;Actr3;Psat1;Cdkn1a;Phgdh;Shmt2;Ctsc;Aurka;Hspe1;Dhcr7;Actr2;Prdx1;Cct6a;Ifi30;Ppa1;Cacybp;Ebp;Hsp90b1;Ifrd1;Psmd14;Bcat1;Rpa1;Tcea1;Immt;Tubg1;Stip1;Wars1;Nup205;Map2k3;Ccnf;Acly;Gsr;Trib3;Cd9;Etf1;Pdap1;Arpc5l;Ppp1r15a;Stard4;Btg2;Hk2;Ddx39a;Hmbs;Eef1e1;Txnrd1;Ssr1;Cdc25a;Idh1;Ufm1;Psmc2;G6pdx;Sord;Lgmn;Rit1;Tes;Sqstm1;Ddit3;Psmb5;Slc7a5;Tomm40;Psme3;Cyb5b;Aldoa;Pitpnb;Nmt1;Mthfd2;Ykt6;Elovl6;Hmgcr;Xbp1;Nfkbib;Calr;Psmg1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.39489077432147e-30,1.16240897860122e-29,1.43902565267782,-0.64328499246942,-3.32113204275518,194,"Areg;Id2;Tnfrsf9;Rel;Gem;Csf2;Vegfa;Cxcl10;Lif;Dnajb4;Cd80;Jun;Irs2;Cxcl2;Cd83;Ptgs2;Plek;Phlda1;Nfil3;Litaf;Nfkb1;Plaur;Zbtb10;Atf3;Myc;Ccrl2;Zfp36;Slc2a6;Ccl4;Nfkbia;Dusp4;Il1b;Fos;Tlr2;Rhob;Egr1;Bcl3;B4galt5;Bhlhe40;Cd69;Ifit2;Il1a;Cd44;Ehd1;Icam1;Traf1;Hes1;Klf6;Il6;Nfkb2;Cdkn1a;Fosb;Relb;Gadd45b;Map3k8;Klf4;Irf1;Nfkbie;Sgk1;Ets2;Trib1;Dusp1;Ccl2;Map2k3;Csf1;Marcks;Slc16a6;Icosl;Serpine1;Tnfaip2;Tnip1;Dram1;Kynu;Ppp1r15a;Btg2;Tank;Birc3;Mxd1;Pfkfb3;Cebpb;Gfpt2;Ninj1;Cflar;Tnf;Ier3;Cxcl3;Sat1;Rigi;Sqstm1;Egr2;Klf2;Pdlim5;Birc2;Trip10;Jag1;Olr1;Sik1"
"HALLMARK_ALLOGRAFT_REJECTION",7.78630138778812e-24,5.56164384842008e-23,1.26273988547916,-0.601733414188819,-3.08449621892355,187,"Il2ra;Il13;Cd74;Irf8;H2-Aa;Il10;Lif;Prf1;Cd80;Gzma;Ptpn6;Hcls1;Il2rg;Ccr2;Gpr65;Capg;Il2rb;Srgn;Fcgr2b;H2-Oa;Gzmb;Ncr1;Brca1;Dars;Tgfb1;Ccl4;Il1b;Ctss;Tlr2;Cd3e;Ltb;Cd86;Bcl3;Nme1;H2-DMa;Cfp;Galnt1;Cd3g;H2-DMb1;B2m;Icam1;Thy1;Ifng;Il6;Cdkn2a;Gcnt1;Was;Cd7;Eif3d;Cd96;Spi1;Ccr5;Klrd1;Cd47;Lyn;Fas;Il12rb1;Il4;Bcat1;Cd247;Stat1;Ccl2;Wars1;Psmb10;Abi1;Csf1;Mmp9;Ccr1;Ccnd2;Icosl;Fgr;Csk;Map4k1;F2r;Degs1;Tapbp;Cd79a;Nlrp3;Cd1d1;Eif5a;Tnf;Flna;Traf2;Rars;Tlr6;H2-Ob;Stab1;Cd3d"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.14126486281397e-20,1.96329053925873e-19,1.16017957183021,-0.56296127179536,-2.91400061012201,195,"Xcl1;Cd74;Irf8;H2-Aa;Cxcl10;Ly6e;Plscr1;Fgl2;Vamp8;H2-Eb1;Casp3;Gzma;Ptpn6;Ptgs2;Il2rb;Nfkb1;Ifitm2;Psme1;Nfkbia;Irf5;Il10ra;Psmb9;Isg20;Tnfsf10;Cd86;Eif2ak2;Cd69;H2-DMa;Ifit2;Sri;Psmb8;Usp18;Casp7;B2m;Ube2l6;Csf2rb2;Psma2;Pim1;Icam1;Marchf1;Fcgr1;Ifitm3;Nmi;Il6;Stat3;Irf2;Cdkn1a;Ifi30;Psmb2;Cfb;Irf1;Fas;Ncoa3;Gbp3;Mvp;Itgb7;Stat1;Ccl2;Wars1;Psmb10;Ifi27;Cd38;Tnfaip2;Rsad2;Ciita;Lgals3bp;Tapbp;Isg15;H2-D1;Oasl1;Cmklr1;Ptpn2;Rigi;Zbp1;Bst2;Samhd1;Trim25;Ccl7;Trim14;Mthfd2;Irf4;Lap3;Dhx58;Vamp5;Cxcl9;Ifit1bl1;Arl4a;Gbp4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.48251086167394e-16,1.93472825648552e-15,1.03769615548758,-0.536056195076019,-2.74956509712572,185,"Fdx1;Phb2;Atp5l;Etfa;Sdhb;Cox5a;Atp5g1;Ndufb7;Hccs;Atp5j2;Cox7a2;Gpi1;Mdh2;Mtx2;Vdac3;Atp5k;Casp7;Slc25a5;Ldha;Cox17;Atp5e;Cox5b;Uqcrq;Ndufc2;Atp6v0e;Timm13;Slc25a11;Eci1;Atp5d;Atp5o;Fh1;Immt;Atp5g3;Ndufab1;Oxa1l;Tomm22;Grpel1;Uqcr10;Afg3l2;Ndufs2;Uqcrc2;Ndufv2;Uqcrfs1;Ndufs8;Hsd17b10;Atp5j;Atp5b;Ndufb6;Atp5pb;Ndufa1;Cox8a;Timm50;Cyb5a;Ndufc1;Slc25a20;Sdhd;Uqcrc1;Cox7b;Htra2;Ndufs4;Mdh1;Ndufb5;Atp6v1g1;Idh1;Atp6v1f;Got2;Cox10;Mtrf1;Bax;Mtrr;Ech1;Ndufa3;Idh3g;Sdhc;Etfb;Uqcrb;Cox6b1;Ndufb1;Cox7c;Prdx3;Polr2f;Vdac1;Ndufa8;Ndufs7;Slc25a3;Rhot2;Timm17a;Acaa2;Mpc1;Ndufa2;Pdhb;Uqcr11;Iscu;Uqcrh;Acat1;Idh3b;Ndufa7;Ogdh;Atp6v0b;Ndufv1;Fxn;Surf1;Dlat;Timm10;Ndufs6;Idh3a;Cyb5r3;Tcirg1;Atp6v1d;Pdp1;Ndufa5;Supv3l1"
"HALLMARK_GLYCOLYSIS",7.04170943474195e-14,3.52085471737097e-13,0.954541630725724,-0.509877349012777,-2.6134100046969,184,"Stmn1;Cdk1;Kif20a;Vegfa;Ddit4;Hmmr;Depdc1a;Ero1a;Txn1;Glrx;Irs2;Tgfbi;Egln3;Slc16a3;Tpi1;Taldo1;Isg20;Chst12;Casp6;Akr1a1;Pgls;Pgk1;Ppia;Cd44;Mdh2;Hspa5;Ldha;Ndufv3;Aldh9a1;Mif;Fam162a;Aurka;Pkm;Nt5e;Gfus;Fut8;Polr3k;Cited2;Copb2;Gnpda1;Slc35a3;Cyb5a;Hk2;Pdk3;Sdc1;Cenpa;Mdh1;Bik;Hax1;Idh1;Ier3;G6pdx;Rars;Got2;Rpe;Cln6;Galk1;Gale;Galk2;Srd5a3;Sap30;Qsox1;Aldoa;Gmppa;Sdhc;Gpc1;Pgam1;Med24"
