"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.21864245067234e-50,6.0932122533617e-49,1.85405485793911,-0.711530057444405,-3.65917953865418,197,"Mki67;Ccnb2;Cdca3;Stmn1;Dnmt1;Top2a;Prdx4;Cdk1;Psip1;Tacc3;Ncapd2;Pole;Rrm2;Dlgap5;Tipin;Birc5;Timeless;Gins1;Tubb5;Mcm2;H2az1;Ezh2;Mcm7;Hmmr;Smc4;Tcf19;Dek;Cdca8;Dck;Cks1b;Mcm3;Cdc20;Cbx5;Tubg1;Depdc1a;Smc1a;Spag5;Rad50;Cdc25b;Spc24;Pold1;H2ax;Lmnb1;Bard1;Mcm5;Gins3;Luc7l3;Chek1;Mad2l1;Pan2;Kif2c;Pold3;Bub1b;Plk1;Dscc1;Ctcf;Brca1;Msh2;Tk1;Diaph3;Hnrnpd;Wdr90;Rbbp7;Prim2;Kif18b;Naa38;Nup205;Cenpe;Tmpo;Cenpm;Cdkn2c;Nup107;Rfc2;Zw10;Xrcc6;Mcm4;Ddx39a;Nasp;Hells;Mxd3;Ung;Usp1;Cks2;Pds5b;Melk;Plk4;Ilf3;Exosc8;Pcna;Espl1;Mcm6;Ppm1d;Racgap1;Rfc1;Pa2g4;Dut;Kif22;Mthfd2;Orc6;Donson;Pola2;Spc25;Rad21;Lbr"
"HALLMARK_G2M_CHECKPOINT",2.73557224688961e-42,6.83893061722403e-41,1.69658622309628,-0.681414374989877,-3.5089921898223,193,"Mki67;Ccnb2;Stmn1;Top2a;Nusap1;Cdk1;Kif23;Ube2c;Ccna2;Tacc3;Tpx2;Pole;Smc2;Birc5;Mcm2;Nek2;Kif11;H2az1;Ezh2;Hmmr;Smc4;Cenpf;Prc1;Hspa8;Cks1b;Mcm3;Cdc20;Rad54l;Smc1a;Cdc25b;Knl1;Fbxo5;H2ax;Incenp;Lmnb1;Kif15;Bard1;Mcm5;Pura;Chek1;Mad2l1;Kif2c;Plk1;Ctcf;Rbl1;Odf2;Hnrnpd;Prim2;Cul1;Pbk;Cenpe;H2az2;Tmpo;Bub1;Cdkn2c;Kif20b;Sap30;Nsd2;Ddx39a;Nasp;Snrpd1;Mnat1;Marcks;Chaf1a;Cdc45;Cul4a;Hnrnpu;Tfdp1;Cks2;Pds5b;Plk4;Ilf3;Tle3;Espl1;Mcm6;Smarcc1;Troap;Stil;Foxn3;Racgap1;Cdc7;Kif22;Orc6;Pola2;Rad21;Lbr;Ndc80;Abl1;Dtymk;Polq;Kpnb1;Aurka;Exo1;Cbx1"
"HALLMARK_MYC_TARGETS_V1",1.07457471904187e-21,1.79095786506978e-20,1.20397524075264,-0.569231358413865,-2.89698851778311,183,"Prdx4;Ccna2;Rrm1;Mcm2;H2az1;Mcm7;Dek;Cdc20;Impdh2;Mcm5;Mad2l1;Sf3b3;Eprs;Hnrnpd;Psma6;Cul1;Cct3;Lsm2;Cdk2;Cstf2;Ube2l3;Uba2;Pabpc4;Glo1;Xrcc6;Mcm4;Psmc6;Psmd7;Snrpd1;Hspe1;Cbx3;Cdc45;Hnrnpu;Tfdp1;Txnl4a;Usp1;Vdac3;Pcna;Mcm6;Smarcc1;Ptges3;Exosc7;Dhx15;Pa2g4;Tardbp;Dut;Hspd1;Ywhaq;Eif4g2;Hsp90ab1;Pole3;Kpnb1;Tcp1;Iars;Srpk1;Srsf7;Ruvbl2;Ifrd1;Srm;Ilf2;Odc1;Pgk1;Snrpa1;Eif1ax;Ncbp1;Hnrnpr;Ube2e1;U2af1;Orc2;Ssb;Lsm7;Tyms;Sf3a1;Fam120a;Ran;Canx;Srsf3;Srsf2;Psmd1;Ddx18;Psmc4;Fbl;Prpf31;Ndufab1;Acp1;Snrpg;Xpot;Eif2s1;Tomm70a;Psma1;Hdac2;Psmd8;Hdgf;Pold2;Ranbp1;Pcbp1;Vbp1;Cops5;Etf1;Snrpa;Pwp1;Psmd14;Ncbp2;Myc;Hnrnpa2b1;Eif4a1;Eif4e;Psmb2;Ywhae;Psmd3;Nap1l1;Prps2;Gnl3;Tufm;Eif3j1;Psma7;Bub3;Snrpd3"
"HALLMARK_MITOTIC_SPINDLE",8.14291691641973e-21,1.01786461455247e-19,1.1778932614942,-0.552938718308125,-2.84319573114058,192,"Ccnb2;Top2a;Nusap1;Cdk1;Kif23;Tpx2;Tiam1;Dlgap5;Birc5;Nek2;Kif11;Ect2;Smc4;Plekhg2;Cenpf;Prc1;Ckap5;Smc1a;Fbxo5;Incenp;Lmnb1;Kif15;Cntrob;Kif2c;Flnb;Plk1;Cd2ap;Rabgap1;Cep57;Cenpe;Trio;Bub1;Kif20b;Alms1;Clip2;Clasp1;Cep250;Marcks;Sass6;Ranbp9;Nck2;Espl1;Tubgcp5;Tubgcp3;Kif3b;Racgap1;Arhgap27;Rfc1;Taok2;Kif22;Arfip2;Clip1;Sptbn1;Kntc1;Dst;Ndc80;Anln;Arhgef2;Sptan1;Abl1;Pcnt;Epb41l2;Mark4;Gsn;Dock4;Tlk1;Aurka;Map1s;Rhot2;Pif1;Arhgef3;Rasa1;Fscn1;Lrpprc;Abi1;Pafah1b1;Brca2;Numa1;Ccdc88a;Arap3;Ppp4r2;Bin1;Fgd6;Nf1;Ttk;Pcm1;Cdc42;Mid1ip1;Arhgdia;Arhgap10;Vcl;Cdk5rap2;Ralbp1;Flna;Hook3;Tubgcp6;Rapgef6;Ophn1;Rock1;Smc3;Nin;Nck1;Stau1;Cdc27;Kif4;Dlg1;Arhgap5;Dynll2;Wasl;Katnb1;Rictor;Ywhae"
"HALLMARK_MTORC1_SIGNALING",2.6380412289794e-10,2.6380412289794e-09,0.814035837847908,-0.447263655673832,-2.29981745607755,192,"Rrm2;Dhfr;Mcm2;Nampt;Psat1;Tubg1;Cd9;Add3;Egln3;Dapp1;Cacybp;Insig1;Plk1;Eprs;Nup205;Atp2a2;Bub1;Pfkl;Prdx1;Stip1;Niban1;Psmd12;Mcm4;Pdap1;Rab1a;Ddx39a;Psmc6;Hspe1;Pdk1;Ung;Shmt2;Dhcr7;Fkbp2;Ifi30;Wars1;Mthfd2;Hspd1;Hspa9;Sla;Lgmn;Ppp1r15a;Uchl5;Slc6a6;Immt;Gsr;Tmem97;Nfyc;Psmc2;Gtf2h1;Ifrd1;Gclc;Aurka;Pgk1;Cfp;Got1;Fdxr;Cxcr4;Psmg1;Elovl6;Txnrd1;Rit1;Acaca;Canx;Phgdh;Eef1e1;Gmps;Tcea1;Psmc4;Nmt1;Aldoa;Idi1;Elovl5;Nufip1;Tbk1;Tomm40;Rpa1;Arpc5l;Cops5;Rdh11;P4ha1;Psph;Cyb5b;Etf1;Abcf2;Hmbs;Xbp1;Ccnf;Psmd14;Gla;Cdc25a;Calr;Ero1a"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.60098245749266e-09,1.33415204791055e-08,0.788186810800237,-0.436668756001001,-2.25642067900775,194,"Zbtb10;Sgk1;Lif;Cxcl2;Nampt;Nfe2l2;Dusp1;Abca1;Trib1;Plaur;Rel;Ets2;Fos;Ninj1;Il6st;Nfkbia;Egr2;Rhob;Slc2a6;Ifit2;Birc3;Egr1;Ifih1;Gadd45b;Jun;Klf6;Plau;Sat1;Atp2b1;Vegfa;Cd83;Klf2;Il1a;Ifngr2;Tank;Il1b;Irf1;Marcks;Ptgs2;Csf1;Serpine1;Hes1;Pfkfb3;Zfp36;Cflar;Gadd45a;Tnfaip8;Nr4a1;Tlr2;Ppp1r15a;Cxcl10;Areg;Ccnl1;Il7r;Atf3;Tubb2a;Tnf;Klf4;Il18;Tnfaip2;Tgif1;Mcl1;Bcl6;Tnip2;Ier5;Cd69;Sdc4;Ier3;Ier2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.01457954289135e-07,7.2469967349382e-07,0.704975715167238,-0.4097642492701,-2.11479625010576,195,"Nampt;Casp7;Ube2l6;Oas2;Nfkbia;Ifit2;Usp18;Bpgm;Zbp1;Ddx60;Jak2;Ifih1;Trim25;Casp4;Lap3;Ifit1bl1;Cd86;Rsad2;Il10ra;Samhd1;Pnpt1;Parp12;Irf5;Cd40;Rtp4;Cd74;Isoc1;Slc25a28;Irf1;Arid5b;Ptgs2;Fcgr1;Tdrd7;Adar;Ifi30;Eif2ak2;Nmi;Wars1;Znfx1;Parp14;H2-Eb1;Cfh;Irf2;Mthfd2;Casp8;Irf7;Ncoa3;Gbp9;Ifit3;Cxcl10;Stat2;Arl4a;Pim1;Lats2;Trim21;Irf9;Samd9l;Ifitm3;Peli1;Cmpk2;Pml;H2-Aa;Isg15;Tnfaip2;Gbp4;Dhx58;Nup93;Cd69;Ifnar2;Rigi;Csf2rb2;Trim14;Gbp3;Casp1;Itgb7;Trim26"
"HALLMARK_IL2_STAT5_SIGNALING",5.01615996338393e-07,3.13509997711496e-06,0.659444398037935,-0.397402504272935,-2.05099719488965,195,"Dhrs3;Il1rl1;Lif;Tnfrsf4;Ctsz;Tiam1;Nfkbiz;Cyfip1;Sell;Il13;P2rx4;Batf;Cd81;Cd79b;Rhob;Ikzf4;Myo1c;Eno3;Gadd45b;Ccr4;Klf6;Phtf2;Cd86;Tnfrsf8;Il10ra;Cd83;Tlr7;Rora;Smpdl3a;Il1r2;Lclat1;Itga6;Pou2f1;Csf1;Anxa4;Ecm1;Irf6;Ikzf2;Ahr;Ncoa3;Bmpr2;Capn3;Tnfrsf18;Cxcl10;Ttc39b;Enpp1;Arl4a;Pim1;Ptch1;Il2ra;Ndrg1;Eef1akmt1;Tgm2;Rabgap1l;Praf2;Ifitm3;Odc1;Galm;Gsto1;Twsg1;Plagl1;Tnfrsf21;Nrp1;Plin2;Gbp3;Wls;Phlda1;Eomes"
"HALLMARK_INFLAMMATORY_RESPONSE",6.22822243767765e-07,3.46012357648759e-06,0.659444398037935,-0.400531084427627,-2.05220549213855,189,"Lif;Sell;Nampt;Abca1;Lta;Plaur;Cd14;P2rx4;Axl;Csf3r;Osm;Adgre1;Gna15;Nfkbia;Slamf1;C3ar1;Nlrp3;Lyn;Kcna3;Raf1;P2rx7;Calcrl;Klf6;Acvr1b;Atp2b1;Atp2a2;Il10ra;Il1a;Ifngr2;Cd40;Rtp4;Il1b;Atp2c1;Irf1;Slc11a2;Csf1;Ptgir;Serpine1;Cybb;Eif2ak2;Nmi;Slc31a2;Chst2;Ahr;Irf7;Tlr2;Pvr"
"HALLMARK_DNA_REPAIR",6.9803163855627e-07,3.49015819278135e-06,0.659444398037935,-0.43284490430676,-2.13627078562935,145,"Pola1;Rad51;Impdh2;Pold1;Pold3;Snapc4;Nt5c3;Eloa;Itpa;Taf6;Rfc2;Sf3a3;Mpc2;Cstf3;Pcna;Rfc5;Dut;Rev3l;Pola2;Gtf2a2;Aaas;Gtf3c5;Dgcr8;Gtf2h1;Nfx1;Polr2d;Polr2k;Polr2c;Cmpk2;Pold4;Eif1b;Gmpr2;Smad5;Gtf2h3;Tyms;Nudt21;Gtf2f1;Ercc1;Fen1;Lig1;Sdcbp;Ercc3;Pole4;Rpa3;Prim1;Rrm2b;Nelfcd;Cant1;Polr1h;Polb;Polr2a;Taf12;Dad1;Ercc5;Rala;Xpc;Arl6ip1;Ddb2;Rnmt;Polh;Upf3b;Gtf2h5;Rpa2;Rae1;Ncbp2;Polr2f;Tk2;Ak3;Ada;Srsf6;Polr3c;Aprt;Rad52;Dguok;Sec61a1"
