"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1e-50,5e-49,NA,-0.783157369915538,-3.25798774191748,197,"Cdca3;Top2a;Mki67;Rrm2;Tacc3;Pole;Hmmr;Ncapd2;Stmn1;Cdk1;Tcf19;Cdca8;Dlgap5;Ccnb2;Cdc20;H2ax;Birc5;Tipin;Rpa2;Kif2c;Cks1b;Depdc1a;Kif18b;Dscc1;Dnmt1;Prim2;Spc25;Spc24;Tubb5;Plk1;Smc1a;Rfc2;Spag5;Mcm3;Lyar;Srsf2;Rad50;Diaph3;Orc6;Bub1b;Ezh2;Kif22;Nup205;Hells;Mcm2;Wdr90;Racgap1;Mxd3;Melk;Pold1;Pcna;Espl1;Tra2b;Pold2;Cenpe;Cbx5;Tubg1;Ddx39a;Dut;Pa2g4;Timeless;Pola2;Nbn;Gins3;Chek1;Orc2;Dek;Myc;Nup107;Mcm7;Anp32e;Cdkn3;Chek2;Tbrg4;Cit;Ube2s;Cse1l;Mms22l;Brca1;Mcm5;Ung;E2f8;Atad2;Mcm4;Ssrp1;Nop56;Msh2;Mad2l1;Suv39h1;Rfc3;Rnaseh2a;Aurkb;Rbbp7;Ube2t;Bard1;Mre11a;Ubr7;Cenpm;Cdkn2a;Gins1;Ccp110;Cks2;Pole4;Kif4;Gins4;Ccne1;Aurka;Asf1b;Rpa3;Mthfd2;Trip13;Prps1;Ranbp1;Mybl2;Pold3;Wee1;Ran;Nme1;Zw10;Usp1;Rad21;Brca2;Nudt21;Trp53;Rfc1;Cnot9;Nasp;Mlh1;Ing3;Hnrnpd;Hus1;Asf1a;Paics;Tk1;Smc6;Ak2;Xrcc6;Dclre1b;Syncrip;Pms2;Plk4;Pds5b;Cdkn1a;Stag1;Cdk4;Gspt1"
"HALLMARK_G2M_CHECKPOINT",3.97300217427769e-36,9.93250543569421e-35,1.56318197862453,-0.711604747071194,-2.96343055033688,193,"Top2a;Nusap1;Mki67;Ube2c;Smc2;Ccna2;Tpx2;Tacc3;Pole;Hmmr;Kif11;Stmn1;Cdk1;Ccnb2;Cdc20;Dbf4;Knl1;H2ax;Nek2;Dkc1;Birc5;Rpa2;Kif15;Kif2c;Cks1b;Cenpf;Rad54l;Prim2;Fbxo5;Prc1;Bub1;Plk1;Pbk;Smc1a;Mcm3;Srsf2;Sap30;Orc6;Ncl;Ezh2;Kif22;Rbm14;Mcm2;Racgap1;Kif23;Troap;Espl1;Tra2b;Dtymk;Cenpe;Snrpd1;Cdc45;Ddx39a;Stil;Pola2;Chek1;Myc;Slc38a1;Ndc80;Chaf1a;Cdkn3;Incenp;Ube2s;Cdc7;Uck2;Mcm5;Ttk;Polq;Exo1;Prmt5;Mad2l1;Suv39h1;Marcks;Tfdp1;Cbx1;Aurkb;Bard1;Kpnb1;H2az2;Prpf4b;Cks2;Kif4;Gins2;Aurka;Slc7a5;Kmt5a;Mybl2;E2f1;Rbl1;Mapk14;Rad21;Brca2;Nasp;Abl1;Tle3;Hnrnpd;Odf2;Kif20b;Hus1;Nsd2;Ccnf;Sqle;Slc7a1;Syncrip;Mtf2;Plk4;Hira;Pds5b;Stag1;Cdk4;Gspt1;Cdc6;Tnpo2;Tent4a;E2f2;Cdc25a;Jpt1;Hmgb3;Xpo1;Srsf10"
"HALLMARK_IL2_STAT5_SIGNALING",1.97474369885658e-25,3.29123949809431e-24,1.31101476274061,0.633297893048782,3.07374396250493,195,"Nt5e;Il2ra;Ikzf2;Ikzf4;Tnfrsf18;Rabgap1l;Tnfrsf4;Ctla4;Tnfrsf1b;Hopx;Itgae;Snx9;Tnfrsf9;Il10;Itgav;Odc1;Irf6;Lclat1;Ncoa3;Icos;Swap70;Ecm1;Il1rl1;Twsg1;Rhoh;Pim1;Socs2;Capg;Gpr83;Traf1;Ltb;Prkch;Gbp3;Tnfrsf8;Ccr4;Batf;Wls;Nfil3;Ifngr1;Fgl2;Cdcp1;Rora;Cish;Bcl2l1;Lrig1;P4ha1;Ptger2;Tiam1;Syngr2;Gadd45b;Phtf2;Mxd1;Plagl1;Cyfip1;Casp3;Galm;Arl4a;Rragd;Etfbkmt;Myo1e;Il1r2;Nrp1;Gpr65;Rgs16;Map6;Il3ra;Serpinb6a;Lrrc8c;Nfkbiz;Phlda1;Ccnd2;Smpdl3a;Alcam;Ttc39b;Mapkapk2;Irf4;F2rl2;Enpp1;Plec;Syt11;Snx14;Myo1c;Bmpr2"
"HALLMARK_MYC_TARGETS_V1",4.0116595674647e-25,5.01457445933087e-24,1.30309315086572,-0.664922638763368,-2.74672398892466,183,"Ccna2;Impdh2;Rrm1;Gnl3;Cdc20;Stard7;Srsf2;Nhp2;Mcm2;Pcna;Tra2b;Lsm2;Pold2;Aimp2;Ppm1g;Snrpd1;Cdc45;Pole3;Dut;Pa2g4;Srm;Serbp1;Orc2;Dek;Cad;Myc;Mcm7;Eef1b2;Snrpd3;Mcm5;Ndufab1;Srsf7;Iars;Mcm4;Nop56;Lsm7;Mad2l1;Tfdp1;Ruvbl2;Ddx21;Rrp9;U2af1;Kpnb1;Psmd1;Dhx15;Ddx18;Eif4g2;Cct3;Srsf3;Tardbp;Snrpa1;Ranbp1;Tcp1;Abce1;Ilf2;Ran;Xpot;Pcbp1;Nme1;Hspd1;Fbl;Usp1;Hprt;Npm1;Ywhaq;Hnrnpd;Trim28;Erh;Pabpc4;Sf3b3;Cyc1;Snrpa;Rack1;Xrcc6;Cct7;Ppia;Cct2;Eif3j1;Hsp90ab1;Vdac1;Syncrip;Canx;Cox5a;Hdac2;Ywhae;Hnrnpr;Vdac3;Ncbp1;Cdk4;Gspt1;Eif4a1;Phb2;Eif2s1;Vbp1;Ptges3;Psmb2;Pabpc1;Ssbp1;Hspe1;Xpo1;Eif3b;Prdx3;Srpk1;Hnrnpa1;Bub3;Hdgf;Psmd8;Hnrnpa2b1;Apex1;Phb;Ube2e1;Kars;Srsf1;Sf3a1;Uba2;Snrpg;Prps2;Rnps1;Exosc7;Psmd14;Tomm70a;Ncbp2;Psma1;Eif4e;Ssb;Cops5;Cdk2;Tyms;Mcm6;Snrpd2;Eif2s2;Hnrnpu;Glo1"
"HALLMARK_MYC_TARGETS_V2",4.24024560899764e-13,4.24024560899764e-12,0.932595211336209,-0.743603997400672,-2.55026814051836,56,"Gnl3;Ppan;Plk1;Pprc1;Ndufaf4;Aimp2;Pa2g4;Srm;Wdr43;Myc;Tbrg4;Mcm5;Ung;Hk2;Prmt3;Mcm4;Nop56;Nop2;Mybbp1a;Rrp9;Ddx18;Utp20;Dusp2;Hspd1;Wdr74;Rcl1;Npm1;Supv3l1;Tmem97;Plk4;Noc4l;Mphosph10;Grwd1;Cdk4;Exosc5;Ipo4;Hspe1;Las1l;Phb;Nip7;Bysl;Imp4;Sord;Tcof1"
"HALLMARK_MITOTIC_SPINDLE",1.32022370213979e-12,1.10018641844983e-11,0.910119734774459,-0.536734220369395,-2.233702294221,192,"Top2a;Nusap1;Tpx2;Ect2;Kif11;Cdk1;Bcl2l11;Dlgap5;Ccnb2;Nek2;Birc5;Kif15;Kif2c;Cenpf;Fbxo5;Prc1;Bub1;Plk1;Smc1a;Sass6;Kif22;Anln;Racgap1;Kif23;Espl1;Cenpe;Pif1;Ccdc88a;Ndc80;Kntc1;Incenp;Katnb1;Pcnt;Ckap5;Ttk;Cd2ap;Lrpprc;Marcks;Uxt;Kif4;Cdk5rap2;Aurka;Epb41;Sac3d1;Brca2;Rfc1;Abl1;Vcl;Cep72;Cyth2;Tubgcp3;Kif20b;Cep250;Ywhae;Clasp1;Nf1;Cenpj;Mapre1;Prex1;Trio;Sun2;Nedd9;Tuba4a;Stk38l;Tubgcp5;Bin1;Sptan1;Arap3;Dync1h1;Pxn;Taok2;Dock4;Actn4;Sos1;Clip1;Rasa2;Cntrl;Kptn;Nck1;Notch2;Cntrob"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",8.01984058346562e-11,5.7284575596183e-10,0.839088935621274,-0.602915670016629,-2.3376997706049,110,"Vegfa;H2ax;Dkc1;Cks1b;Pdia6;Sdad1;Nhp2;Hspa9;Tubb2a;Ddx10;Eif4a2;Dnajc3;Ccl2;Atf3;Iars;Nop56;Herpud1;Mtrex;Rrp9;Hspa5;Mthfd2;Slc7a5;Tatdn2;Ern1;Xpot;Hsp90b1;Npm1;Chac1;Exosc10;Fus;Nop14;Tars;Exosc9;Ssr1;Atf4;Asns;Psat1;Spcs3;Stc2;Dcp2;Eif4a1;Sec11a;Exosc5;Eif2s1;Hyou1;Banf1;Parn;Pop4;Khsrp;Nfya;Shc1;Exosc4;Cebpg;Tspyl2;Ifit1bl1;Atf6;Eif4ebp1;Gosr2;Dctn1;Eif4a3;Exosc2;Dnajb9;Nabp1;Exosc1"
"HALLMARK_DNA_REPAIR",2.92027329682802e-08,1.82517081051751e-07,0.73376198835648,-0.521517292789724,-2.1007352613249,145,"Impdh2;Rad51;Aaas;Rpa2;Rfc5;Rfc2;Pold1;Pcna;Srsf6;Dut;Pola2;Dgcr8;Prim1;Polh;Pola1;Pom121;Ssrp1;Rfc3;Nelfe;Fen1;Gmpr2;Polr3gl;Pole4;Rpa3;Vps37b;Alyref;Pold3;Usp11;Nme1;Sac3d1;Nudt21;Trp53;Hprt;Gtf2f1;Taf6;Mpc2;Stx3;Bola2;Gtf2h3;Polr1h;Sdcbp;Rae1;Polr2h;Ddb1;Polr2d;Polr2f;Pde4b;Nudt9;Snapc4;Polr2j;Ercc2;Taf13;Polr1c;Polr2a;Sf3a3;Rala;Nfx1;Nelfb;Smad5;Itpa;Brf2;Polr2k;Polb;Nelfcd;Polr2i;Zfp707;Polr2g;Ncbp2;Tyms;Lig1;Cstf3;Gtf2b;Gtf2h1;Xpc;Ccno;Gtf2h5;Rev3l;Umps;Gtf3c5;Ell"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00014893107975954,0.000827394887552997,0.518848077743792,-0.421262116689222,-1.74296607761029,185,"Nqo2;Hspa9;Aifm1;Immt;Ndufab1;Lrpprc;Ndufc1;Echs1;Timm50;Timm9;Atp6v0c;Pmpca;Atp5pb;Atp5b;Cox10;Etfa;Timm10;Atp6v0b;Supv3l1;Pdhb;Cyc1;Ndufs3;Idh2;Acadm;Vdac1;Ndufa4;Cox5a;Ndufb6;Ndufs8;Timm8b;Fh1;Atp5g3;Idh3a;Vdac3;Atp6v1c1;Polr2f;Acaa2;Grpel1;Tcirg1;Phb2;Sdhd;Acat1;Uqcrb;Cyb5r3;Atp5k;Sdha;Dld;Prdx3;Opa1;Alas1;Mpc1;Pdha1;Ndufc2;Timm17a;Dlat;Mtrf1;Etfb;Slc25a5;Hsd17b10;Atp5g1;Abcb7;Cox4i1;Atp5o;Cox5b;Ndufb4;Sucla2;Mfn2;Cox7a2l;Etfdh;Bax;Ndufv2;Tomm70a;Cox7b;Atp6v1h;Idh3g;Oat;Ndufa7;Ndufb5;Sdhc;Ndufs7;Atp6v1e1;Ndufa2;Decr1;Hadha;Hadhb;Cox15;Cox11;Ndufs4;Cox7c;Atp6ap1;Ldhb;Uqcr10"
"HALLMARK_MTORC1_SIGNALING",0.000246801861973109,0.00123400930986554,0.49849310876659,-0.395297708028646,-1.64509241970113,192,"Rrm2;Dhfr;Cd9;Sdf2l1;Rpn1;Bub1;Plk1;Nup205;Mcm2;Hspa9;Psme3;Shmt2;Stip1;Tubg1;Btg2;Ddx39a;Lgmn;Eef1e1;Immt;Pno1;Uchl5;Ung;Hk2;Mcm4;Cacybp;Gga2;Cfp;Rrp9;Cct6a;Nufip1;Ctsc;Hspa5;Skap2;Aurka;Mthfd2;Slc7a5;Acaca;Acly;Hspd1;Ifi30;Abcf2;Hprt;Hsp90b1;Nmt1;Psmb5;Txnrd1;Psmg1;Ddit3;Ccnf;Ldlr;Sqle;Ssr1;Gbe1;Asns;Ppia;Fkbp2;Tmem97;Psat1;Canx;Cdkn1a;Tomm40;Sec11a;Lta4h;Nfyc"
