"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1e-50,5e-49,NA,-0.725686555393155,-3.96131156988391,197,"Stmn1;Mki67;Lmnb1;Top2a;Cdca3;Ccnb2;Rrm2;Cdk1;Tacc3;Ncapd2;Hells;Tcf19;Birc5;Dnmt1;Tmpo;Prdx4;Cks1b;Pole;Cdca8;Tipin;Mcm2;Hmmr;Dek;Gins1;Tubb5;Cdkn2c;Dlgap5;Mcm3;Depdc1a;Spc24;Rfc2;Bub1b;Tubg1;Mcm6;Spag5;Lig1;Dut;Melk;Psip1;Cdc20;Rad50;Plk4;Bard1;Myc;Mthfd2;Ezh2;Timeless;Naa38;Cbx5;Gins3;Pold3;H2az1;Rpa2;Brca1;Kif2c;Rpa1;Plk1;Smc1a;Chek1;Kif18b;Nup107;Diaph3;Mcm5;Mcm7;H2ax;Cenpm;Cdc25b;Ak2;Dck;Spc25;Ctcf;Ubr7;Rbbp7;Tk1;Mms22l;Smc6;Exosc8;Usp1;Mcm4;Rnaseh2a;Racgap1;Anp32e;Srsf1;Mxd3;Nup205;Ranbp1;Kif22;Rpa3;Gins4;Hnrnpd;Cdkn3;Paics;Ube2t;Chek2;Ddx39a;Espl1;Cenpe;Cnot9;Prim2;Pcna;Pold1;Mad2l1;Rfc1;Dscc1;Dctpp1;Pds5b;Cdkn1b;Brca2"
"HALLMARK_G2M_CHECKPOINT",1.6113020400573e-33,4.02825510014325e-32,1.50238688881415,-0.6435698891099,-3.49790047832459,193,"Stmn1;Mki67;Lmnb1;Top2a;Ccnb2;Nusap1;Ube2c;Cdk1;Tacc3;Ccna2;Kif11;Tpx2;Hif1a;Birc5;Tmpo;Cks1b;Incenp;Pole;Nek2;Mcm2;Hmmr;Cdkn2c;Cenpf;Prc1;Mcm3;Kif23;Smc2;Mcm6;Hspa8;Rad54l;Odc1;Cdc20;Knl1;Plk4;H2az2;Sap30;Bard1;Kif15;Myc;Ezh2;Dtymk;Tfdp1;H2az1;Rpa2;Kif2c;Plk1;Notch2;Smc1a;Chek1;Foxn3;Nsd2;Mcm5;Bub1;H2ax;Cdc25b;Ctcf;Snrpd1;Fbxo5;Cdc7;Ndc80;Racgap1;Pbk;Cbx1;Chaf1a;Srsf1;Kif22;Odf2;Pml;Hnrnpd;Kif20b;Cdkn3;Ddx39a;Espl1;Gins2;Atrx;Troap;Cenpe;Prim2;Mnat1;Marcks;Stil;Mad2l1;Pds5b;Tgfb1;Cdkn1b;Hnrnpu;Brca2;E2f3"
"HALLMARK_IL2_STAT5_SIGNALING",1.39295122504946e-28,2.32158537508244e-27,1.38774608305349,-0.61470928982624,-3.35856905995076,195,"Tnfrsf4;Il2ra;Ctla4;Ptger2;Il1rl1;Il13;Plscr1;Il10;Ctsz;Gadd45b;Bcl2l1;Itgae;Cish;Cd83;Cyfip1;Il1r2;Icos;Tnfrsf9;Adam19;Lif;Tiam1;Csf2;Cd81;Tnfsf11;Dhrs3;Serpinb6a;Rabgap1l;Cd86;Batf;Ikzf4;Ccr4;Penk;Fgl2;Irf8;Lrig1;Casp3;Rora;Lclat1;Tnfrsf8;Capg;Cd48;Irf4;Alcam;Plagl1;Myo1c;Bmpr2;Rgs16;Dennd5a;Odc1;Furin;Slc2a3;Ltb;Ifitm3;Myc;P2rx4;Swap70;Il10ra;Itgav;Bhlhe40;Nfkbiz;Cst7;Csf1;Eef1akmt1;Mapkapk2;Rhob;Nrp1;Ncoa3;Anxa4;Ndrg1;P4ha1;Galm;Tlr7;Gpr65;Syngr2;Tgm2;Rnh1"
"HALLMARK_MTORC1_SIGNALING",2.09909404082468e-20,2.62386755103085e-19,1.16906996676109,-0.557775915511231,-3.03305979385941,192,"Rrm2;Glrx;Ero1a;Sla;M6pr;Niban1;Ddit4;Mcm2;Fgl2;Ccng1;Dhfr;Hspd1;Ifi30;Asns;Tubg1;Pgk1;Ldlr;Prdx1;Gsr;Slc2a3;Nmt1;Atp6v1d;Lgmn;Mthfd2;Ctsc;Hprt;Bhlhe40;Edem1;Sdf2l1;Rpa1;Wars1;Plk1;Fkbp2;Bub1;Coro1a;Pfkl;Btg2;Slc6a6;Mcm4;Hspe1;P4ha1;Psma4;Cyp51;Skap2;Cacybp;Aldoa;Nup205;Cyb5b;Dhcr24;Ddx39a;Ldha;Atp2a2;Psat1;Psmd14;Actr3;Ppia;Hsp90b1;Stip1;Psph;Nampt;Actr2;Psmc2;Cfp;Pdap1;Cdkn1a;Ung;Tcea1;Got1;Bcat1;Arpc5l;Map2k3;Pdk1;Sord;Gla;Gpi1;Aurka;Insig1;Nfkbib;Psmd12;Cops5;Dhcr7;Hmgcs1;Gga2;Cct6a;Gmps;Tomm40;Idi1;Phgdh;Uchl5"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",5.49895735282784e-20,5.49895735282784e-19,1.15122052214226,-0.549155632829114,-3.00040547303082,195,"Cd74;H2-Aa;Plscr1;H2-Eb1;Vamp8;Casp1;Samhd1;Hif1a;Ube2l6;Irf5;Cd86;Cd69;Isg20;Gzma;Fgl2;Casp7;Lcp2;Irf8;Casp4;Casp3;Ifi30;Psmb9;Ifitm2;H2-DMa;Gbp4;Ifit2;Trim21;Irf4;Ly6e;Jak2;Ifitm3;Mthfd2;Il10ra;Ifit1bl1;Usp18;Ptpn6;Wars1;Stat1;Ncoa3;Stat2;Trim14;Il15ra;Ciita;Sri;Eif2ak2;Cd40;Cfh;Lap3;Herc6;Psmb8;Ccl2;Zbp1;Dhx58;Nfkb1;Cd38;Oas3;Pml;Ptgs2;Fcgr1;Xaf1;Itgb7;Ogfr;Rsad2;Parp14;H2-M3;Slamf7;Trafd1;Ddx60;Mvp;Tap1;Ifit3;Gbp8;Psmb2;Gbp9;Irf2;Trim25;Nampt;Arid5b;Isg15;Nfkbia;Cdkn1a;Cmklr1;Cmtr1;Nup93;Oas2;Nlrc5;Ripk2;Adar;Lgals3bp;Pnpt1;Tnfaip2;Cxcl10;Parp12;Rtp4;Psma2;Cxcl9;Irf9;Ifnar2;Marchf1;Psme1;Rigi;Nmi"
"HALLMARK_ALLOGRAFT_REJECTION",7.41928596201043e-18,6.18273830167536e-17,1.0864405425825,-0.535775638089213,-2.89195447423605,187,"Cd4;Il2ra;Cd74;Cd8b1;H2-Aa;Il13;Il10;Cd80;Ctss;Cd47;Cd40lg;Hcls1;Lif;Ccr2;Ifng;Hif1a;Cd86;Dars;Thy1;Ccl4;Cd8a;Gzma;Lcp2;Irf8;Tnf;H2-DMa;Capg;Map4k1;Fcgr2b;Irf4;Il12rb1;Tlr2;Prf1;Ltb;Jak2;Cd3e;Nlrp3;Cd28;Il2;Csf1;Sit1;Gcnt1;Brca1;Ptpn6;Wars1;Srgn;Stat1;Glmn;Spi1;Ly86;Gzmb;Il1b;Cd247;Gbp2;Icosl;Ccr1;Ncr1;Tap2;Cd40;Cd3g;Ccl2;Gpr65;Traf2;Ly75;Il16;H2-M3;Fyb;Tap1;Il27ra"
"HALLMARK_MYC_TARGETS_V1",2.45438306813912e-14,1.66041254048155e-13,0.97599468306432,-0.502886472898241,-2.70826892892236,183,"Ccna2;Prdx4;Mcm2;Dek;Hspd1;Acp1;Mcm6;Pgk1;Rrm1;Dut;Cbx3;Odc1;Cdc20;Psmd8;Myc;Ndufab1;Lsm2;Hprt;Tfdp1;H2az1;Psma1;Mcm5;Mcm7;Ruvbl2;Snrpd1;Usp1;Mcm4;Ncbp2;Kars;Hspe1;Cdk2;Tyms;Psma4;Hsp90ab1;Srsf1;Ranbp1;Hnrnpd;Lsm7;Ube2l3;Eif4e;Ldha;Ncbp1;Pcna;Psmd14;Psmb2;Mad2l1;Ssbp1;Ppia;Snrpa;Psma6;Hnrnpu;Hddc2;Uba2;Vdac1;Snrpd2;Vdac3;Snrpb2;Bub3;Serbp1;Aimp2;Snrpd3;Cct3;Clns1a;Cops5;Srm;Cox5a;Smarcc1;Prpf31;Xrcc6;Psma2;Pa2g4;Hdgf;Got2;Cdc45;Snrpa1;Ube2e1;Srsf7;U2af1;Cct7;Exosc7;Nme1;Cstf2;Snrpg;Tomm70a;Psmd7;Psmd3;Pold2;Nhp2;Hnrnpr;Psmc6;Prps2;Ran;Pole3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.65666006477047e-14,1.66041254048155e-13,0.97599468306432,-0.501588667060009,-2.7024685687827,185,"Casp7;Atp6v0c;Ech1;Cox17;Atp5j2;Cox5b;Ndufa3;Atp6v1d;Ndufab1;Idh2;Ndufa8;Ndufb5;Mtx2;Etfb;Etfa;Uqcr10;Ndufa1;Ogdh;Ndufs8;Htra2;Fdx1;Ndufc2;Idh3b;Atp6v1c1;Echs1;Aifm1;Cox15;Ldha;Ndufb7;Slc25a11;Atp5l;Ndufb1;Nnt;Ndufb4;Atp6v0b;Atp5k;Ndufc1;Slc25a12;Bax;Oxa1l;Ndufv2;Cyb5a;Pdhx;Decr1;Sdhb;Atp5j;Tcirg1;Atp6v1g1;Vdac1;Ndufa2;Atp5pb;Ndufs2;Fh1;Atp5e;Cox7c;Uqcrq;Vdac3;Cox10;Atp5g3;Gpi1;Atp6v0e;Hccs;Ndufb8;Cox5a;Cox7b;Idh3a;Atp5o;Got2;Timm50;Afg3l2;Uqcrc2;Pmpca;Ndufs3;Abcb7;Timm13;Grpel1;Hsd17b10;Uqcrb;Hadha;Cpt1a;Ndufa4;Tomm22;Ndufb6"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",9.76237013879059e-14,5.42353896599477e-13,0.954541630725724,-0.600396754998691,-2.87568585631421,96,"Cd74;Plscr1;Ifitm1;Casp1;Cd47;Ube2l6;Isg20;Ncoa7;Ifi30;Lpar6;Psmb9;Ifitm2;Ifit2;Trim21;Ly6e;Tent5a;Ifitm3;Csf1;Usp18;Wars1;Stat2;Trim14;Gbp2;Eif2ak2;Lap3;Herc6;Psmb8;Dhx58;Ogfr;Rsad2;Parp14;Trafd1;Parp9;Ddx60;Tap1;Ifit3;Irf2;Oas1a;Trim25;Isg15;Cmtr1;Ccrl2;Ripk2;Adar;Lgals3bp;Pnpt1;Cxcl10;Parp12;Cnp;Rtp4;Irf9;Mvb12a;Psme1;Nmi"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",9.87345797232114e-12,4.93672898616057e-11,0.875325132024659,-0.457821307229394,-2.49379931966975,194,"Areg;Id2;Jun;Ptger4;Dusp4;Gadd45b;Atf3;Cd80;Egr1;Cd83;Tnfrsf9;Lif;Tank;Csf2;Ccl4;Zfp36;Cd69;Fos;Tnf;Fosb;Cxcl2;Dusp1;Ifit2;Ldlr;Plaur;Ier3;Dennd5a;Tlr2;Slc2a3;Rel;Cflar;Trib1;Myc;Egr2;Il1a;Bhlhe40;Plek;Csf1;Plau;Rhob;Egr3;Dnajb4;Pfkfb3;Ptpre;Btg2;Il1b;Il15ra;Icosl;Serpine1;Sgk1;Nfe2l2;Ccl2;Nfkb1;Ptgs2;Sat1;Nr4a1;B4galt5;Nfat5;Plk2;Tap1;Phlda1;Marcks;Birc2;Slc2a6;Tnip2;Klf6;Nampt;Ifngr2;Mcl1;Hes1;Nfkbia;Abca1;Vegfa;Cdkn1a;Map2k3;Cd44;Ets2;Ccrl2;Ripk2"
