"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",4.33717681279824e-50,2.16858840639912e-48,1.8428520069898,-0.681498755704581,-4.24434593056902,197,"Stmn1;Mki67;Top2a;Cdca3;Ccnb2;Tubb5;Rrm2;Dnmt1;Cdk1;Ncapd2;Tacc3;H2ax;Pcna;Smc4;Pold1;Hells;Lig1;Rpa2;Pole;Tmpo;Psip1;Prim2;Birc5;Dlgap5;Slbp;Mcm7;Prdx4;Srsf2;Cdca8;Lyar;Hnrnpd;Gins1;Mcm3;Jpt1;Pola2;Hmmr;H2az1;Nup205;Ddx39a;Mcm4;Bard1;Dck;Tipin;Racgap1;Cks1b;Bub1b;Ezh2;Nup107;Cbx5;Myc;Cdkn1b;Timeless;Orc6;Smc6;Rpa1;Pold2;Rfc2;Mthfd2;Nop56;Depdc1a;Spc24;Syncrip;Cks2;Anp32e;Cdc20;Dek;Dut;Melk;Exosc8;Nasp;Mad2l1;Mcm5;Smc1a;Cdkn2c;Mcm6;Spag5;Cdc25b;Tk1;Tra2b;Rbbp7;Luc7l3;Hmgb3;Diaph3;Pttg1;Pds5b;Atad2;Pa2g4;Ranbp1;Mms22l;Ppp1r8;Usp1;Lbr;Brca1;Spc25;Eed;Prps1;Kif2c;Chek1;Ssrp1;Nudt21;Rpa3;Plk4;Zw10;Kif18b;Trp53;Mlh1;Ipo7;Dscc1;Plk1;Pnn;Ak2;Tcf19;Pold3;Cenpm;Tubg1;Lmnb1;Cenpe;Naa38;Eif2s1;Chek2;Mre11a;Mcm2;Donson;Rfc1;Ubr7;Xpo1;Mxd3;Rad21"
"HALLMARK_G2M_CHECKPOINT",2.87131660496614e-34,7.17829151241535e-33,1.52292160289117,-0.607531428430921,-3.76504263829077,193,"Stmn1;Mki67;Top2a;Ccnb2;Nusap1;Cdk1;Tacc3;H2ax;Ncl;H2az2;Ube2c;Ccna2;Smc4;Tpx2;Rpa2;Pole;Smc2;Tmpo;Kif11;Prim2;Birc5;Kif23;Snrpd1;Slc7a5;Srsf2;Nek2;Hnrnpd;Mcm3;Jpt1;Pola2;Hmmr;H2az1;Ddx39a;Bard1;Incenp;Fbxo5;Tfdp1;Racgap1;Cks1b;Marcks;Ezh2;Cenpf;Nsd2;Myc;Cdkn1b;Orc6;Foxn3;Rad54l;Rbm14;Hnrnpu;Pml;Syncrip;Cks2;Kpnb1;Cdc27;Kif20b;Cdc20;Tgfb1;Ndc80;Dr1;Dbf4;Rbl1;Nasp;Mad2l1;Mcm5;Smc1a;Prc1;Cdkn2c;Mcm6;Cdc25b;Tra2b;Kif15;Hmgb3;Knl1;Pttg1;Pds5b;Dtymk;Chaf1a;Cul4a;Odf2;Ss18;Lbr;Orc5;Kif2c;Chek1;Plk4;Upf1;Prmt5;Lig3;Hspa8;Arid4a;Bub1;Plk1;Uck2;E2f4;Cdc7;Pbk;Lmnb1;Wrn;Cenpe;Abl1;Srsf10;Cbx1;Pura;Cul5;Mcm2;Xpo1;Smarcc1;Mtf2;Mt2;Dkc1;Rad21"
"HALLMARK_MYC_TARGETS_V1",5.68811337336831e-27,9.48018895561384e-26,1.34992572002205,-0.569948718347563,-3.4848515524481,183,"Pcna;Hnrnpa1;Ccna2;Hspd1;Nhp2;Mcm7;Snrpd1;Prdx4;Srsf2;Hnrnpd;H2az1;Eef1b2;Rrm1;Npm1;Mcm4;Cyc1;Tfdp1;Serbp1;Myc;Pold2;Aimp2;Hsp90ab1;Nop56;Lsm2;Hnrnpu;Lsm7;Syncrip;Snrpa;Cdk2;Kpnb1;Exosc7;Cdc20;Dek;Cstf2;Pabpc4;Ruvbl2;Dut;Mad2l1;Mcm5;Ppia;Phb2;Hdgf;Mcm6;Snrpd2;Vbp1;Cad;Tra2b;Ilf2;Sf3b3;Ssbp1;Psmd7;Pa2g4;Ndufab1;Cbx3;Ranbp1;Usp1;Hprt;Kars;Cct4;Xpot;Cct2;Ldha;Sf3a1;Psmd14;Pcbp1;Ube2e1;Eif4g2;Fam120a;Ywhaq;Psmd1;Cops5;Iars;Tardbp;Rack1;Srsf7;Hnrnpa2b1;Cct7;Rnps1;Ddx21;Psma4;U2af1;Psma6;Hspe1;Ncbp1;Got2;Cct3;Txnl4a;Uba2;Snrpb2;Eif2s1;Snrpa1;Vdac3;Acp1;Eif1ax;Mcm2;Xpo1;Smarcc1;Tyms;Psmd8;Srsf1;Psmb3;Pgk1;Eif3d;Stard7;Hdac2;Glo1;Tcp1;Psma7;Rad23b;Prdx3;G3bp1;Eif3j1;Pole3;Trim28"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8.15234498707768e-26,1.01904312338471e-24,1.31888879607587,-0.55163941722883,-3.4365786888295,195,"Epsti1;Xcl1;Gzma;Irf8;Cd74;Ccl5;Ifitm2;Plscr1;Peli1;Slamf7;Casp3;H2-Aa;H2-DMa;H2-Eb1;Cd86;Psmb9;Nampt;Nod1;Ifih1;Irf2;Il10ra;Parp14;Casp8;Rsad2;Ptpn6;Isg20;Ifit2;Txnip;Jak2;Samd9l;Klrk1;Rnf213;Ifi30;Isg15;Irf5;Ifit3;Rtp4;Ifnar2;Dhx58;Vamp8;Ifit1bl1;Oas2;Zbp1;Mthfd2;Herc6;Casp1;Trim14;Ube2l6;Tnfsf10;Lap3;Pml;Trim26;Adar;Tap1;Il15ra;Ifitm3;Sri;Nup93;Xaf1;Oas3;Irf7;Gpr18;St8sia4;Psma3;Ripk2;Stat2;Usp18;Parp12;Cmpk2;Bst2;Irf9;Ifi35;Psme1;H2-M3;Stat4;H2-Q7;Cd274;Oasl1;Rbck1;Arid5b;Casp7;Casp4;Nlrc5;Tdrd7;Irf1;Trim21;Arl4a;Ccl2;Ciita;Ddx60"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",8.46301172126628e-22,8.46301172126628e-21,1.21254456769062,-0.651238934301585,-3.47150191671128,96,"Epsti1;Cd74;Ifitm2;Plscr1;Sell;Ifitm1;Psmb9;Ifih1;Irf2;Ccrl2;Parp14;Casp8;Rsad2;Isg20;Ifit2;Txnip;Samd9l;Ifi30;Isg15;Ifit3;Rtp4;Dhx58;Tent5a;Herc6;Casp1;Trim14;Ube2l6;Cd47;Lap3;Trim26;Adar;Tap1;Ifitm3;Oas1a;Irf7;Psma3;Ripk2;Mov10;Stat2;Usp18;Parp12;Cmpk2;Bst2;Irf9;Ifi35;Mvb12a;Psme1;Csf1;H2-Q7;Oasl1;Tdrd7;Irf1;Trim21;Ddx60;Nmi;Uba7;Trim5;Eif2ak2"
"HALLMARK_ALLOGRAFT_REJECTION",4.06562358412544e-20,3.38801965343786e-19,1.16017957183021,-0.513189835584561,-3.16011960066312,187,"Cd2;Cd4;Fyb;Gzma;Ifng;Irf8;Cd74;Ccl5;Ptprc;Cd8b1;Prf1;Klrd1;Lck;Il10;Cd28;Fasl;Il13;H2-Aa;Cd80;H2-DMa;Cd86;Cd8a;Ccr5;Cxcr3;Icosl;Crtam;Gzmb;Ctss;Itgb2;Ptpn6;Ly86;Jak2;Fcgr2b;Dars;Npm1;Ly75;Ifnar2;H2-Oa;Map4k1;Il2;Cd47;Nck1;Ncr1;Tgfb1;Tap1;Ube2d1;Ikbkb;Nlrp3;Irf7;St8sia4;Il16;Elf4;Ripk2;Brca1;Spi1;Ncf4;Ccl4;H2-M3;Stat4;Csf1;H2-Q7;Tlr2"
"HALLMARK_MITOTIC_SPINDLE",7.01679287120065e-19,5.01199490800047e-18,1.12391496374483,-0.49428516954992,-3.05069370775426,192,"Top2a;Ccnb2;Nusap1;Cdk1;Smc4;Tpx2;Bcl2l11;Arhgef2;Net1;Nedd9;Kif11;Birc5;Dlgap5;Kif23;Rasa1;Nek2;Clip2;Katnb1;Tubgcp6;Incenp;Fbxo5;Nck2;Racgap1;Marcks;Cenpf;Sos1;Cyth2;Rhof;Ect2;Pcnt;Cntrl;Cntrob;Ranbp9;Nck1;Cdc27;Kif20b;Ndc80;Cenpj;Sass6;Smc1a;Arf6;Prc1;Mid1ip1;Ckap5;Kif15;Myh9;Ezr;Atg4b;Akap13;Capzb;Arfip2;Cep250;Kif2c;Ccdc88a;Alms1;Nin;Cep192;Bub1;Arl8a;Abr;Pcm1;Vcl;Plk1;Sac3d1;Actn4;Kif3b;Lmnb1;Stk38l;Tlk1;Cenpe;Abl1;Rhot2;Rab3gap1;Lrpprc;Arhgap27;Rfc1;Kptn;Pxn;Rabgap1;Tbcd;Dync1h1;Sun2;Epb41;Hook3;Kif22;Dlg1;Plekhg2;Abi1;Farp1;Tiam1;Als2;Map3k11;Kif5b;Espl1;Bin1;Tsc1;Dst;Mapre1"
"HALLMARK_IL2_STAT5_SIGNALING",1.85045667539101e-12,1.15653542211938e-11,0.898671232061694,-0.424658018436168,-2.64551562237788,195,"Tnfrsf4;Prkch;Irf8;Eomes;Plscr1;Rgs16;Sell;Il10;Ctsz;Car2;Il13;Casp3;Tnfrsf18;Abcb1a;Snx9;Rhoh;Hopx;Tnfrsf9;Cd86;Lrig1;Swap70;Ttc39b;Il10ra;Lclat1;Ikzf4;Il1rl1;Klf6;Ikzf2;Enpp1;Nop2;Penk;Myo1c;Cd81;Bcl2;Cst7;Adam19;Rhob;Twsg1;Myc;Ctla4;Flt3l;Tnfsf10;Alcam;Bcl2l1;Cyfip1;Syngr2;Ifitm3;Tnfrsf8;Plagl1;P4ha1;Pdcd2l;Anxa4"
"HALLMARK_MTORC1_SIGNALING",7.86479929361562e-12,4.36933294089756e-11,0.875325132024659,-0.415375909227559,-2.56367123817831,192,"Rrm2;Ctsc;Hspd1;Sytl2;Nampt;Cd9;Sec11a;Atp6v1d;Itgb2;Slc7a5;Lta4h;Insig1;Nup205;Ddx39a;Prdx1;Stard4;Ifi30;Mcm4;Ddit4;Acly;Pdap1;Tes;Coro1a;Arpc5l;Dhfr;Shmt2;Rpa1;Mthfd2;Sc5d;Slc2a1;Ddit3;Ccng1;Asns;Ppp1r15a;Tcea1;Phgdh;Psat1;Psmg1;Fdxr;Skap2;Pfkl;Ppia;Immt;P4ha1;Ssr1;Pdk1;Add3;Psma3;Gtf2h1;Dhcr7;Cyp51;Hprt;Ldha;Cct6a;Psmd14;Psme3;Cyb5b;Rab1a;Cacybp;Fkbp2;Map2k3;Cops5;Lgmn;Bub1;Btg2;Edem1;Plk1;Uchl5;Psma4;Nmt1;Hspe1;Dapp1;Tubg1;Ykt6;Tmem97;Ldlr;Actr2;Psmc2;Mcm2;Abcf2;Tomm40"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.15532277220923e-10,5.77661386104615e-10,0.839088935621274,-0.405378496314126,-2.49155217071088,185,"Atp6v1d;Atp6v0b;Eci1;Cyc1;Ndufa2;Atp5e;Idh3g;Ndufb5;Atp6v1g1;Tcirg1;Cox5b;Cyb5r3;Afg3l2;Atp5b;Mtx2;Idh2;Polr2f;Bax;Ndufs2;Phb2;Immt;Ndufa8;Tomm22;Ndufb7;Cox17;Ndufs8;Abcb7;Ndufab1;Atp5j2;Ndufb1;Htra2;Hadha;Ndufb8;Timm50;Ndufb6;Ldha;Idh3b;Atp6v1c1;Grpel1;Uqcrq;Pmpca;Uqcrh;Sdhd;Acadvl;Ogdh;Etfa;Atp5g3;Sdhb;Atp5k;Uqcr10;Casp7;Slc25a5;Cox15;Nnt;Rhot1;Ndufv2;Pdhx;Atp6v1e1;Ndufc2;Atp6v0c;Cox7a2l;Got2;Atp6v1h;Atp5o;Oxa1l;Rhot2;Atp6ap1;Hadhb;Cox6b1;Fh1;Vdac3;Lrpprc;Sdhc;Ndufc1;Opa1;Cpt1a;Acadsb;Etfb;Slc25a20;Pdhb;Hspa9;Slc25a12;Slc25a11;Uqcrc1;Glud1;Atp5c1;Atp5l;Dlst;Fdx1;Timm9;Timm13;Prdx3;Timm10;Atp5g1"
