"analysis","seurat_clusters","n","functional_state_label","top_functional_state_program","top_functional_state_score","projectils_label","projectils_label_prop","median_projectils_confidence","top_previous_tcell_subtype","top_previous_tcell_subtype_prop","singler_immgen_label","singler_mousernaseq_label"
"CD4-like","0",849,"Stress-response CD4 T cells","stress_response",2.13862341275819,"Th1",0.46643109540636,0.622368196136846,"Treg",0.34982332155477,"T cells (T.Tregs)","T cells"
"CD4-like","1",507,"Activated CD4 T cells","activated",1.58365229102813,"Th1",0.45956607495069,0.611076652584796,"Cycling / proliferating CAR T cells",0.759368836291913,"T cells (T.8EFF.OT1.48HR.LISOVA)","T cells"
"CD4-like","2",504,"Activated CD4 T cells","activated",2.31395978271095,"Treg",0.819444444444444,0.951161143806012,"Treg",0.918650793650794,"T cells (T.Tregs)","T cells"
"CD4-like","3",321,"Activated CD4 T cells","activated",0.956423455276427,"Th1",0.623052959501558,0.819296232082245,"Quiescent T cells",0.442367601246106,"NKT (NKT.4+)","T cells"
"CD4-like","4",186,"Activated CD4 T cells","activated",1.60890599263013,"Th1",0.838709677419355,0.818417132670753,"Activated CD4 effector / helper-like T cells",0.768817204301075,"T cells (T.Tregs)","T cells"
"CD4-like","5",138,"Activated CD4 T cells","activated",1.45506783639303,"Th1",0.818840579710145,0.836111450269835,"Activated CD4 effector / helper-like T cells",0.905797101449275,"T cells (T.Tregs)","T cells"
"CD8-like","0",584,"Stress-response CD8 T cells","stress_response",2.77681195812196,"CD8_NaiveLike",0.470890410958904,0.671561134038241,"Activated effector CD8 T cells (stress)",0.674657534246575,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells"
"CD8-like","1",349,"Cytotoxic CD8 T cells","cytotoxic",1.92395790996406,"CD8_Tex",0.590257879656161,0.688491123537887,"Activated effector CD8 T cells (stress)",0.372492836676218,"NKT (NKT.44+NK1.1+)","NK cells"
"CD8-like","2",302,"Cytotoxic CD8 T cells","cytotoxic",1.47978865049208,"CD8_EffectorMemory",0.390728476821192,0.669986080925985,"Quiescent T cells",0.357615894039735,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells"
"CD8-like","3",281,"Cytotoxic CD8 T cells","cytotoxic",1.51114781240368,"CD8_Tex",0.437722419928826,0.720534297086762,"Terminally differentiated cytotoxic T cells",0.466192170818505,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells"
"CD8-like","4",270,"Cytotoxic CD8 T cells","cytotoxic",1.13967093093379,"CD8_NaiveLike",0.422222222222222,0.630201948670362,"Quiescent T cells",0.655555555555556,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells"
"CD8-like","5",214,"Cytotoxic CD8 T cells","cytotoxic",1.27551458578284,"CD8_Tex",0.300469483568075,0.648838856193988,"Cycling / proliferating CAR T cells",0.602803738317757,"T cells (T.8EFF.OT1LISO)","T cells"
"CD8-like","6",138,"Naive / memory CD8 T cells","naive_memory",1.24122800209872,"CD8_NaiveLike",0.797101449275362,0.878022514712705,"Naïve / central-memory T cells",0.789855072463768,"T cells (T.CD8.1H)","T cells"
