"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype"
"CD4-like_41BB-L","0",104,"slingPseudotime_1",13.8272169359975,14.5643068017968,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_41BB-L","1",138,"slingPseudotime_1",20.2765040594692,20.0477355202322,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_41BB-L","2",46,"slingPseudotime_1",35.9735813547644,44.2009447066325,"Activated CD4 T cells","T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","2:Cycling / proliferating CAR T cells"
"CD4-like_41BB-L","3",32,"slingPseudotime_1",11.8119343110895,9.48715058222855,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_41BB-L","4",2,"slingPseudotime_1",17.2967660635815,17.2967660635815,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_41BB-L","0",104,"slingPseudotime_2",13.4051791306339,14.2614557676611,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_41BB-L","1",37,"slingPseudotime_2",17.6926476326456,17.1153309743272,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_41BB-L","3",32,"slingPseudotime_2",11.2911367020774,9.24363427333093,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_41BB-L","4",16,"slingPseudotime_2",25.2121848894062,26.8164658120315,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_B7H3","0",213,"slingPseudotime_1",20.6339765785421,19.9059960939825,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_B7H3","1",13,"slingPseudotime_1",18.4435194890879,18.1858583805554,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_B7H3","2",131,"slingPseudotime_1",46.6565388824562,47.3421215328616,"Activated CD4 T cells","T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","2:Cycling / proliferating CAR T cells"
"CD4-like_B7H3","3",50,"slingPseudotime_1",15.5527654613845,14.1354873028914,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_B7H3","4",3,"slingPseudotime_1",16.4974475667546,17.0243043977712,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_B7H3","0",213,"slingPseudotime_2",23.2503326697756,22.5594276353831,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_B7H3","1",14,"slingPseudotime_2",20.9219964062444,22.6871893694513,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_B7H3","3",50,"slingPseudotime_2",15.8983535695924,14.7522512239205,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_B7H3","4",31,"slingPseudotime_2",35.7106052959529,35.0930657925097,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_B7H3","0",213,"slingPseudotime_3",21.6818565335007,21.4220129604,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_B7H3","1",131,"slingPseudotime_3",34.875767734359,35.1884442244585,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_B7H3","3",50,"slingPseudotime_3",15.6085540973989,14.4437969492977,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_B7H3","4",4,"slingPseudotime_3",18.6553560959459,21.6604054119416,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_CD28-41BB","0",93,"slingPseudotime_1",14.724702273723,15.1066888379171,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_CD28-41BB","1",11,"slingPseudotime_1",16.5105382211663,16.3970256038258,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_CD28-41BB","2",38,"slingPseudotime_1",46.6041651860601,47.4880943125202,"Activated CD4 T cells","T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","2:Cycling / proliferating CAR T cells"
"CD4-like_CD28-41BB","3",37,"slingPseudotime_1",8.82562111196002,9.06891330343369,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_CD28-41BB","0",93,"slingPseudotime_2",16.0008853159313,16.8169529107193,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_CD28-41BB","1",96,"slingPseudotime_2",28.7740777918976,29.4453780225133,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_CD28-41BB","3",37,"slingPseudotime_2",8.74299510104753,9.10392634222585,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_CD8-41BB","0",208,"slingPseudotime_1",28.1452360477135,28.5588795157365,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_CD8-41BB","1",25,"slingPseudotime_1",29.9330271160567,30.1749716151339,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_CD8-41BB","2",228,"slingPseudotime_1",60.5718248897921,58.5766961891917,"Activated CD4 T cells","T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","2:Cycling / proliferating CAR T cells"
"CD4-like_CD8-41BB","3",132,"slingPseudotime_1",25.2929330658514,23.1400586857518,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_CD8-41BB","5",91,"slingPseudotime_1",35.2664877797005,35.5016828304355,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5:Activated CD4 effector / helper-like T cells"
"CD4-like_CD8-41BB","0",208,"slingPseudotime_2",30.0886490998549,30.0948760162459,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_CD8-41BB","1",178,"slingPseudotime_2",40.4671385499461,41.0055450139772,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_CD8-41BB","3",132,"slingPseudotime_2",25.4101005716875,23.4227460846837,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_CD8-41BB","5",9,"slingPseudotime_2",30.8881658369213,30.8935769156366,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5:Activated CD4 effector / helper-like T cells"
"CD4-like_CD8-41BB","0",118,"slingPseudotime_3",29.0911018992556,29.0129362416306,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_CD8-41BB","1",41,"slingPseudotime_3",32.7464324873241,33.0977326702259,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_CD8-41BB","3",132,"slingPseudotime_3",26.0996949356885,25.3726228425551,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_CD8-41BB","4",15,"slingPseudotime_3",39.6376014851846,39.9971027761531,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_CD8-41BB","5",12,"slingPseudotime_3",31.9784720635419,31.5957326818061,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5:Activated CD4 effector / helper-like T cells"
"CD4-like_STOP","0",108,"slingPseudotime_1",19.6113191512805,19.439690842424,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_STOP","1",5,"slingPseudotime_1",21.9261485585352,22.4831632901996,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_STOP","2",60,"slingPseudotime_1",51.1895069102306,52.615187539872,"Activated CD4 T cells","T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","2:Cycling / proliferating CAR T cells"
"CD4-like_STOP","3",52,"slingPseudotime_1",21.5650919133277,19.9817320774917,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_STOP","4",116,"slingPseudotime_1",27.9179332354083,27.8821638631448,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD4-like_STOP","0",108,"slingPseudotime_2",19.3406496934568,20.4029802846029,"Stress-response CD4 T cells","T cells (T.Tregs)","T cells","Treg","0:Treg"
"CD4-like_STOP","1",65,"slingPseudotime_2",32.3189166521169,32.1710465316465,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Treg","1:Treg"
"CD4-like_STOP","3",52,"slingPseudotime_2",22.4334929848277,20.6070900493453,"Activated CD4 T cells","NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells"
"CD4-like_STOP","4",35,"slingPseudotime_2",23.6881326683422,23.8243358579165,"Activated CD4 T cells","T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells"
"CD8-like_41BB-L","0",64,"slingPseudotime_1",20.4670624862533,20.8222901081191,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_41BB-L","1",99,"slingPseudotime_1",29.1661046473374,28.7717931323226,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_41BB-L","2",36,"slingPseudotime_1",16.4555451240621,15.9071678979074,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_41BB-L","4",15,"slingPseudotime_1",20.4670624862533,20.7959904298248,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_41BB-L","5",32,"slingPseudotime_1",45.2510149493608,52.6645000833191,"Cytotoxic CD8 T cells","T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5:Cycling / proliferating CAR T cells"
"CD8-like_41BB-L","0",64,"slingPseudotime_2",25.0973114941071,23.4568482885932,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_41BB-L","1",19,"slingPseudotime_2",22.7086102445882,22.6362930804988,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_41BB-L","2",36,"slingPseudotime_2",28.9989530494263,23.0297406385972,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_41BB-L","4",20,"slingPseudotime_2",29.5500613767215,29.788711924125,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
