"condition","cd4_cd8_marker_group","scgate_cd4_cd8_group","n"
"41BB-L","CD4-like","Ambiguous",37
"41BB-L","CD4-like","CD4-like",338
"41BB-L","CD4-like","CD8-like",1
"41BB-L","CD8-like","Ambiguous",36
"41BB-L","CD8-like","CD4-like",2
"41BB-L","CD8-like","CD8-like",260
"41BB-L","Ambiguous","Ambiguous",412
"41BB-L","Ambiguous","CD4-like",110
"B7H3","CD4-like","Ambiguous",53
"B7H3","CD4-like","CD4-like",556
"B7H3","CD4-like","CD8-like",2
"B7H3","CD8-like","Ambiguous",82
"B7H3","CD8-like","CD4-like",1
"B7H3","CD8-like","CD8-like",709
"B7H3","Ambiguous","Ambiguous",750
"B7H3","Ambiguous","CD4-like",199
"B7H3","Ambiguous","CD8-like",3
"CD28-41BB","CD4-like","Ambiguous",25
"CD28-41BB","CD4-like","CD4-like",272
"CD28-41BB","CD8-like","Ambiguous",54
"CD28-41BB","CD8-like","CD8-like",147
"CD28-41BB","Ambiguous","Ambiguous",261
"CD28-41BB","Ambiguous","CD4-like",39
"CD8-41BB","CD4-like","Ambiguous",181
"CD8-41BB","CD4-like","CD4-like",852
"CD8-41BB","CD4-like","CD8-like",6
"CD8-41BB","CD8-like","Ambiguous",176
"CD8-41BB","CD8-like","CD4-like",7
"CD8-41BB","CD8-like","CD8-like",702
"CD8-41BB","Ambiguous","Ambiguous",997
"CD8-41BB","Ambiguous","CD4-like",140
"CD8-41BB","Ambiguous","CD8-like",10
"STOP","CD4-like","Ambiguous",27
"STOP","CD4-like","CD4-like",402
"STOP","CD4-like","CD8-like",1
"STOP","CD8-like","Ambiguous",56
"STOP","CD8-like","CD4-like",1
"STOP","CD8-like","CD8-like",238
"STOP","Ambiguous","Ambiguous",315
"STOP","Ambiguous","CD4-like",48
"STOP","Ambiguous","CD8-like",2
"tumor","CD4-like","Ambiguous",11
"tumor","CD4-like","CD4-like",85
"tumor","CD8-like","Ambiguous",18
"tumor","CD8-like","CD4-like",1
"tumor","CD8-like","CD8-like",82
"tumor","Ambiguous","Ambiguous",160
"tumor","Ambiguous","CD4-like",20
