"condition","cd4_cd8_marker_group","n","median_cd4_score","median_cd8_score","median_state_naive_memory_score","median_state_activated_score","median_state_treg_score","median_state_cytotoxic_score","median_state_exhausted_score","median_state_proliferating_score","median_state_ifn_response_score","median_state_stress_response_score"
"41BB-L","CD4-like",376,2.58309429357947,0,0,1.49038060306181,1.38342629033564,0.40910193601606,0.628609724520444,0,0.40283829707794,0.711401320756048
"41BB-L","CD8-like",298,0,1.9968478022137,0,0.632818472468602,0.441833010758177,1.37596336273225,0.540706494610419,0,0.284051636345287,1.85660523629624
"41BB-L","Ambiguous",522,0,0,0,0.607387029582253,0.473860666978787,0.647361843326898,0,0,0,0.553870724105661
"B7H3","CD4-like",611,2.75817590126603,0,0,1.31052881935855,0.994807045525443,0.318594735984027,0.56128035280154,0,0.405003432551538,0.92066215015992
"B7H3","CD8-like",792,0,2.0480141485586,0,0.626907638582357,0.214435198284602,1.5315919292523,0.491468181278199,0,0.391343284397154,1.82870777880576
"B7H3","Ambiguous",952,0,0,0,0.605134347630525,0,0.630512861802593,0,0,0.195517175929197,0.626907638582357
"CD28-41BB","CD4-like",297,2.7609471472243,0,0.383200401176157,1.58363875821557,1.56947009218442,0.364789410452234,0.661248791912085,0,0.249872462050081,0.852252950775255
"CD28-41BB","CD8-like",201,0,2.1764820409789,0.384390977498401,0.650650975760822,0.353679358692871,1.13088065707875,0.294665617109226,0,0,0.9714785146634
"CD28-41BB","Ambiguous",300,0,0,0.362075518063194,0.560506110696084,0.340194866931446,0.825180945784294,0.209896905965322,0,0,0.389791912732539
"CD8-41BB","CD4-like",1039,2.63107369343758,0,0.383943394460408,1.54269829595699,0.974790913651,0.444145399117095,0.754948270379454,0,0,0.211279853145897
"CD8-41BB","CD8-like",885,0,2.26314385595782,0.40668230181268,0.767187238688259,0.526543970065209,1.15321021837002,0.471518214044325,0,0,0.538446822229245
"CD8-41BB","Ambiguous",1147,0,0,0.478853364358558,0.574335924976803,0.460535019588876,0.733120253241328,0,0,0,0
"STOP","CD4-like",430,2.93520392845212,0,0.311121923874695,1.39326543286788,0.765393944839018,0,0.584068676101001,0,0,0.203644802086384
"STOP","CD8-like",295,0,1.8952691607493,0,0.661773569890407,0.302522415292867,1.32489303372269,0.301508332337378,0,0.230463280310255,0.833934519318239
"STOP","Ambiguous",365,0,0,0.278086719125614,0.611397687592788,0,0.603318635740718,0,0,0,0.588906744199006
"tumor","CD4-like",96,2.50871826403778,0,0.444697357649445,1.02630688010243,0.444442311629778,0.2960334323889,0.371241489466941,0,0.197363278140694,1.75520818705609
"tumor","CD8-like",101,0,2.20887141365757,0.359020120327578,0.868810557492608,0.25931485324242,1.08598267387119,0.259822428316761,0,0.236890388785822,1.49675962963503
"tumor","Ambiguous",180,0,0,0.408746694911328,0.595414367908784,0,0.719233906351558,0,0,0,0.559536650305618
