"condition","cd4_cd8_marker_group","scgate_cd4_cd8_group","projectils_label","n"
"41BB-L","CD4-like","Ambiguous","Th1",12
"41BB-L","CD4-like","Ambiguous","Treg",10
"41BB-L","CD4-like","Ambiguous","CD8_EarlyActiv",7
"41BB-L","CD4-like","Ambiguous","Tfh",6
"41BB-L","CD4-like","Ambiguous","CD8_NaiveLike",1
"41BB-L","CD4-like","Ambiguous","CD8_Tpex",1
"41BB-L","CD4-like","CD4-like","Treg",153
"41BB-L","CD4-like","CD4-like","Th1",122
"41BB-L","CD4-like","CD4-like","Tfh",25
"41BB-L","CD4-like","CD4-like","CD8_NaiveLike",17
"41BB-L","CD4-like","CD4-like","CD4_NaiveLike",16
"41BB-L","CD4-like","CD4-like","CD8_EarlyActiv",4
"41BB-L","CD4-like","CD4-like","CD8_EffectorMemory",1
"41BB-L","CD4-like","CD8-like","Th1",1
"41BB-L","CD8-like","Ambiguous","CD8_EarlyActiv",7
"41BB-L","CD8-like","Ambiguous","Treg",7
"41BB-L","CD8-like","Ambiguous","CD8_Tex",6
"41BB-L","CD8-like","Ambiguous","Th1",6
"41BB-L","CD8-like","Ambiguous","Tfh",4
"41BB-L","CD8-like","Ambiguous","CD8_NaiveLike",3
"41BB-L","CD8-like","Ambiguous","CD8_EffectorMemory",2
"41BB-L","CD8-like","Ambiguous","CD8_Tpex",1
"41BB-L","CD8-like","CD4-like","Th1",1
"41BB-L","CD8-like","CD4-like","Treg",1
"41BB-L","CD8-like","CD8-like","CD8_EffectorMemory",63
"41BB-L","CD8-like","CD8-like","CD8_Tex",60
"41BB-L","CD8-like","CD8-like","CD8_NaiveLike",49
"41BB-L","CD8-like","CD8-like","CD8_EarlyActiv",47
"41BB-L","CD8-like","CD8-like","CD8_Tpex",20
"41BB-L","CD8-like","CD8-like","Th1",17
"41BB-L","CD8-like","CD8-like","Treg",3
"41BB-L","CD8-like","CD8-like","CD4_NaiveLike",1
"41BB-L","Ambiguous","Ambiguous","CD8_NaiveLike",127
"41BB-L","Ambiguous","Ambiguous","CD8_EarlyActiv",106
"41BB-L","Ambiguous","Ambiguous","Th1",100
"41BB-L","Ambiguous","Ambiguous","CD8_EffectorMemory",25
"41BB-L","Ambiguous","Ambiguous","CD8_Tex",25
"41BB-L","Ambiguous","Ambiguous","CD4_NaiveLike",11
"41BB-L","Ambiguous","Ambiguous","Treg",11
"41BB-L","Ambiguous","Ambiguous","Tfh",6
"41BB-L","Ambiguous","Ambiguous","CD8_Tpex",1
"41BB-L","Ambiguous","CD4-like","Th1",42
"41BB-L","Ambiguous","CD4-like","Treg",38
"41BB-L","Ambiguous","CD4-like","Tfh",15
"41BB-L","Ambiguous","CD4-like","CD4_NaiveLike",6
"41BB-L","Ambiguous","CD4-like","CD8_EarlyActiv",4
"41BB-L","Ambiguous","CD4-like","CD8_NaiveLike",4
"41BB-L","Ambiguous","CD4-like","CD8_Tpex",1
"B7H3","CD4-like","Ambiguous","Treg",17
"B7H3","CD4-like","Ambiguous","Th1",12
"B7H3","CD4-like","Ambiguous","CD8_EarlyActiv",6
"B7H3","CD4-like","Ambiguous","CD8_EffectorMemory",5
"B7H3","CD4-like","Ambiguous","CD8_NaiveLike",5
"B7H3","CD4-like","Ambiguous","Tfh",4
"B7H3","CD4-like","Ambiguous","CD8_Tpex",2
"B7H3","CD4-like","Ambiguous","CD4_NaiveLike",1
"B7H3","CD4-like","Ambiguous","CD8_Tex",1
"B7H3","CD4-like","CD4-like","Th1",243
"B7H3","CD4-like","CD4-like","Treg",175
"B7H3","CD4-like","CD4-like","Tfh",52
"B7H3","CD4-like","CD4-like","CD8_NaiveLike",45
"B7H3","CD4-like","CD4-like","CD4_NaiveLike",20
"B7H3","CD4-like","CD4-like","CD8_EarlyActiv",15
"B7H3","CD4-like","CD4-like","CD8_EffectorMemory",4
"B7H3","CD4-like","CD4-like","CD8_Tex",2
"B7H3","CD4-like","CD8-like","CD8_EarlyActiv",2
"B7H3","CD8-like","Ambiguous","CD8_EffectorMemory",18
"B7H3","CD8-like","Ambiguous","Th1",18
"B7H3","CD8-like","Ambiguous","CD8_Tex",14
"B7H3","CD8-like","Ambiguous","Treg",14
"B7H3","CD8-like","Ambiguous","CD8_EarlyActiv",8
"B7H3","CD8-like","Ambiguous","Tfh",6
"B7H3","CD8-like","Ambiguous","CD8_NaiveLike",2
"B7H3","CD8-like","Ambiguous","CD8_Tpex",2
