"gene","lineage","rho","p_val","p_adj","abs_rho","detected_frac","n_cells"
"Tnfrsf4","slingPseudotime_1",0.635302490113793,0,0,0.635302490113793,0.438576081898557,4298
"Ctla4","slingPseudotime_1",0.572343039697814,0,0,0.572343039697814,0.530711959050721,4298
"Foxp3","slingPseudotime_1",0.550257981961705,0,0,0.550257981961705,0.257328990228013,4298
"Il2ra","slingPseudotime_1",0.535134932794185,4.14642221757166e-317,1.3600264873635e-314,0.535134932794185,0.332014890646812,4298
"Tnfrsf9","slingPseudotime_1",0.502464489293755,8.66095535491173e-274,2.27263468512884e-271,0.502464489293755,0.24662633783155,4298
"S100a4","slingPseudotime_1",0.486048795128102,9.67447661087534e-254,2.11548555224474e-251,0.486048795128102,0.389483480688692,4298
"S100a10","slingPseudotime_1",0.481645299892833,1.51303535947203e-248,2.83586055946758e-246,0.481645299892833,0.584457887389483,4298
"Itgav","slingPseudotime_1",0.460333796899502,1.86250860745e-224,3.054514116218e-222,0.460333796899502,0.368078175895765,4298
"Arl5a","slingPseudotime_1",0.453043944140018,1.33485803415809e-216,1.9459263786838e-214,0.453043944140018,0.325500232666356,4298
"Dusp4","slingPseudotime_1",0.45282374446525,2.2895636150678e-216,3.00390746296895e-214,0.45282374446525,0.314564913913448,4298
"Ikzf2","slingPseudotime_1",0.450359503128169,9.33799122554198e-214,1.11376768071919e-211,0.450359503128169,0.360400186133085,4298
"Lrrc32","slingPseudotime_1",0.448771608684631,4.37551821627274e-212,4.78389991645819e-210,0.448771608684631,0.237319683573755,4298
"S100a6","slingPseudotime_1",0.4453148625515,1.76862412885631e-208,1.78494989004576e-206,0.4453148625515,0.389716147045137,4298
"Icos","slingPseudotime_1",0.443350240944159,1.90058921567673e-206,1.7811236078342e-204,0.443350240944159,0.544206607724523,4298
"Tnfrsf18","slingPseudotime_1",0.440760493964774,8.63172839133272e-204,7.54988509961902e-202,0.440760493964774,0.305956258724988,4298
"S100a11","slingPseudotime_1",0.428096745901977,3.99627360875815e-191,3.27694435918168e-189,0.428096745901977,0.515355979525361,4298
"Vim","slingPseudotime_1",0.423174313731685,2.40201437480346e-186,1.85378991749538e-184,0.423174313731685,0.361563517915309,4298
"Ttc39c","slingPseudotime_1",0.422607599793734,8.42700162428577e-186,6.14234785059052e-184,0.422607599793734,0.280362959516054,4298
"Klrg1","slingPseudotime_1",0.409601229930097,1.41815426711809e-173,9.79272841294173e-172,0.409601229930097,0.109818520241973,4298
"Klf2","slingPseudotime_1",-0.406910588936385,4.1109295534843e-171,2.6967697870857e-169,0.406910588936385,0.309213587715216,4298
"Glrx","slingPseudotime_1",0.40671628954613,6.17828038858625e-171,3.85995422372627e-169,0.40671628954613,0.208003722661703,4298
"Stx11","slingPseudotime_1",0.406026245494968,2.61978297413953e-170,1.56234330094139e-168,0.406026245494968,0.242903676128432,4298
"Izumo1r","slingPseudotime_1",0.399978371221595,7.14395752549396e-165,4.0751618580209e-163,0.399978371221595,0.297347603536529,4298
"Odc1","slingPseudotime_1",0.397368440363002,1.46201335861138e-162,7.99233969374222e-161,0.397368440363002,0.466728711028385,4298
"Maf","slingPseudotime_1",0.388185900195309,1.35496612028291e-154,7.11086219924469e-153,0.388185900195309,0.27826896230805,4298
"Lamc1","slingPseudotime_1",0.386092073140338,8.1896672248612e-153,4.13263207654534e-151,0.386092073140338,0.16426244765007,4298
"Areg","slingPseudotime_1",0.385580314604182,2.22164006910998e-152,1.0795525076564e-150,0.385580314604182,0.148441135411819,4298
"Ly6a","slingPseudotime_1",0.383740384163758,7.91632478893906e-151,3.70936361538859e-149,0.383740384163758,0.42671009771987,4298
"Sdcbp2","slingPseudotime_1",0.382230384014308,1.46103753653198e-149,6.60993533768949e-148,0.382230384014308,0.231270358306189,4298
