cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Activated CD4 effector / helper-like T cells	(Intercept)	NA	-0.1528418579	0.012624382324666625	0.18885579745000003	0.84875	0.17042307692307693	1.0006419111463916	486.5691265203809	1144.284965741618	-7.36471066825	-6.34813861329	-5.21236954775	0	0	1.0084691692956502	118.5190548369768	73.80780464395212
Activated CD4 effector / helper-like T cells	conditionB7H3	condition	-0.128491251375	0.11839973699978874	0.37549642250000004	0.44625000000000004	0.10240624999999999	1.001992817989941	731.1280162511956	3248.0036139814306	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD28-41BB	condition	-0.3686623124249999	-0.07712198357541337	0.21356024667500012	0.56775	0.30840000000000006	1.002883260100322	724.6006869967565	1384.2436592337187	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD8-41BB	condition	0.031025636130000006	0.275553954780055	0.5153286959250001	0.07225000000000004	0.026357142857142874	1.0012517229988198	551.7501763191132	1417.7248844378364	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionSTOP	condition	0.337195201475	0.59481599385925	0.8487455677750001	0	0	1.0004131948037163	567.5375559488128	1543.9650695326172	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditiontumor	condition	-0.3916712443	-0.08812147818476675	0.22497522540000003	0.5285	0.14537499999999998	1.0017104541498327	587.8697070815845	1748.3551939418378	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	(Intercept)	NA	0.410409456125	0.56645805345325	0.7288943385250001	0	0	1.0009635723861892	352.0343908004315	488.0086701403399	-6.877683890999999	-6.14131947187	-5.19341821225	0	0	1.0306826985069102	80.28623491693355	27.98864861090695
Activated effector CD8 T cells (stress)	conditionB7H3	condition	0.27615396645	0.49808725675725	0.73277998055	2.4999999999997247e-4	2.4999999999997247e-4	1.0003196495050357	779.632489939043	2787.0087551460347	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD28-41BB	condition	-0.1226298805	0.13965222055645324	0.4070045232	0.38149999999999995	0.22764285714285712	1.0011737383053063	866.498202577658	1827.1838061618146	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD8-41BB	condition	-0.282083123425	-0.027003263489935377	0.21509643742500004	0.729	0.1937916666666667	1.0040908092927943	420.76660974069256	487.65004563541726	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionSTOP	condition	-0.010492739337499996	0.24550370638936275	0.4932832255	0.13	0.055833333333333325	1.0004313773560942	473.54929660365514	1409.0581103401496	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditiontumor	condition	-0.234334736825	0.058272108193750824	0.35628651822500024	0.613	0.2203125	1.0036060472050532	605.1459810657137	1715.1684636238372	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	(Intercept)	NA	0.005494484349750006	0.2165771769741826	0.4117355902	0.12724999999999997	0.0158	1.0007337035057073	602.5037799598916	755.9107106025658	-6.453408891	-5.7930037883825	-5.012819446749999	0	0	1.0077373166604882	122.06027911070763	93.24381460560824
Antigen-presenting myeloid cells	conditionB7H3	condition	-0.394944247575	-0.11250993593526737	0.16431828772500004	0.478	0.20195454545454544	1.0001675211671914	1066.1058161654507	1968.2100034422979	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD28-41BB	condition	-0.269077467	0.016942602769776296	0.3042365375	0.7175	0.39930769230769236	1.0002345230999428	551.011112052941	1031.321699705402	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD8-41BB	condition	-0.68138300125	-0.3821684908805375	-0.09479248103749997	0.02949999999999997	0.009562500000000002	1.000114565092206	1338.2711686296088	2921.5540638918756	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionSTOP	condition	-0.38937567837500003	-0.08813696203824142	0.20776915687500008	0.526	0.1633	1.0018570837182144	456.0834105863976	1073.2154567615012	NA	NA	NA	NA	NA	NA	NA	NA
