cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Activated CD4 effector / helper-like T cells	(Intercept)	NA	0.36695492790000006	0.54721495373575	0.7126864665500001	0	0	1.0007131888474619	403.49178754033323	327.27684283749073	-7.330978065	-6.4236034563825	-5.595109816	0	0	1.0056025692061912	210.0083770266245	315.9055301362189
Activated CD4 effector / helper-like T cells	condition41BB-L	condition	-0.8065492594249999	-0.513988968786685	-0.22445445939999994	0.0050000000000000044	0.003124999999999989	1.0003992772392627	737.1238446937383	1114.0373877668437	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionB7H3	condition	-0.6552912950249999	-0.4026194174778475	-0.1385818331999999	0.013249999999999984	0.008062499999999972	1.0017959130414797	712.3763981357284	431.35881795832904	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD28-41BB	condition	-0.8808119634	-0.583740858041025	-0.2751110659	0.005750000000000033	0.005750000000000033	0.9998455616900467	643.9548676049948	673.0158887505042	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD8-41BB	condition	-0.498051035925	-0.25397911452627575	-0.004480175746499868	0.10250000000000004	0.020374999999999994	1.0002665352997417	584.229294810208	428.43772365537257	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditiontumor	condition	-0.9218920083	-0.582130410292275	-0.24390635239999994	0.0017500000000000293	7.499999999999915e-4	0.9998976357729435	576.22589060725	761.913911398278	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	(Intercept)	NA	0.6203106023	0.76361069303425	0.9036923514500002	0	0	1.0103497446452299	877.638768900369	2704.988926258175	-6.99804125825	-6.299124371725	-5.6011320182499995	0	0	1.0067772899707608	150.35903846141818	212.08387356071103
Activated effector CD8 T cells (stress)	condition41BB-L	condition	-0.4177508087	-0.175099629772959	0.06740043556000004	0.26949999999999996	0.11699999999999999	1.002507390973225	1820.410685226932	2859.637461673543	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionB7H3	condition	0.08304946849999999	0.302348913853441	0.5150431004750001	0.031000000000000028	0.012649999999999984	1.0038795370249962	1140.9865931373724	2629.2320465851444	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD28-41BB	condition	-0.317829188525	-0.058991834338184224	0.19380039540000002	0.6225	0.3142272727272727	1.003698361966507	1189.689694379637	1607.6752719576414	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD8-41BB	condition	-0.46208181452499997	-0.222867151607231	0.015927216247500035	0.14575000000000005	0.04890625	1.0039435456871715	1286.6767512908993	2209.3419287523143	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditiontumor	condition	-0.42314471985	-0.13726131694238644	0.158219398325	0.39349999999999996	0.0954772727272727	1.0080241944542183	948.8886353194279	1625.3941367341884	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	(Intercept)	NA	-0.10716454857499999	0.08376826840073316	0.288005974975	0.5715	0.12712500000000002	1.007267013209427	264.0793846186598	1312.1552352788735	-6.4298681265	-5.828979949485	-5.1956383905	0	0	1.001447037598489	260.34832523050596	1013.4072025234144
Antigen-presenting myeloid cells	condition41BB-L	condition	-0.1174651842	0.16608540000102961	0.45132397495	0.31799999999999995	0.1457142857142857	1.0004360954112868	551.9443783745452	1708.7470914557432	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionB7H3	condition	-0.26328420307499995	0.0211733039677691	0.3079179887250001	0.70675	0.23295454545454544	1.0016924035886492	603.1650646132446	1676.5620555806333	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD28-41BB	condition	-0.146771790625	0.14854827599653775	0.4225182002750001	0.35675	0.2014642857142857	0.99998909780362355	1101.243943598593	1517.6768827697717	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD8-41BB	condition	-0.557416305425	-0.25189145394484924	0.051152813722499996	0.15600000000000003	0.06080555555555556	1.000070523920244	744.8649734095114	2348.1820902261193	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditiontumor	condition	-0.007630013930249993	0.2946794618446625	0.598592831725	0.09899999999999998	0.03034374999999999	1.0029932291119221	677.9959251576479	1455.7370404998378	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	(Intercept)	NA	-0.07344853426499998	0.1052065359783954	0.28775383730000004	0.47924999999999995	0.08672727272727272	1.000579524248483	585.5524206539491	1613.511481873177	-6.544346633	-5.9611280677275	-5.35141370825	0	0	1.0007005761552386	269.20812804372866	962.0090991666807
Cycling / proliferating CAR T cells	condition41BB-L	condition	-0.30959198572499996	-0.010947897363125325	0.269191460025	0.73475	0.33457692307692305	1.0012003921199182	999.1465660483652	1515.0031855238456	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionB7H3	condition	0.244622426775	0.49308980161835	0.7349015763250001	0.0030000000000000027	0.0030000000000000027	1.000257034116829	804.1086894845873	2975.967302157664	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD28-41BB	condition	-0.4187325435	-0.1073077005696151	0.1912748800500005	0.479	0.25322222222222224	1.0005697486215799	803.8541565091506	1158.7296721433415	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD8-41BB	condition	-0.0341604227175	0.23040965150493403	0.49722623652500003	0.15625	0.07035	1.0002256044611846	1199.4302529415268	2735.6990153626366	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditiontumor	condition	-0.69679837345	-0.39142113556441827	-0.07101333851999997	0.03374999999999995	0.010083333333333314	1.0041524574288252	932.2156857523246	1096.7678435326504	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	(Intercept)	NA	-0.750599474975	-0.544154533201	-0.33689962599999995	0	0	1.0019356574275902	834.9230364003382	1392.1223660296062	-7.15544028275	-6.2818182318225	-5.617558539749999	0	0	1.0064786342422762	199.49767622506621	149.5472190036337
IFN-responsive T cells	condition41BB-L	condition	-0.26193007727499995	0.02511587708660005	0.307519641725	0.6965	0.30122916666666666	1.0020881944885986	673.4796278149495	1411.2073881911924	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionB7H3	condition	0.19473609260000002	0.462272338940905	0.7318833941	0.005499999999999949	0.004249999999999976	1.0013490337112392	684.0410500120001	2377.4593054325946	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionCD28-41BB	condition	-0.311064301375	-0.02800119656424805	0.26634042217500004	0.69275	0.3457708333333333	1.003367884096517	622.8918859935462	2178.2379949737856	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionCD8-41BB	condition	-1.0154098545	-0.690629147150775	-0.36120216689999995	0.0014999999999999458	4.999999999999819e-4	1.0010643781636055	439.774926300837	1691.5205634206877	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditiontumor	condition	-0.26402214109999994	0.046435409704210874	0.3626716285000001	0.6405000000000001	0.1408958333333333	1.0032343993015114	976.827257168589	1804.1766816903219	NA	NA	NA	NA	NA	NA	NA	NA
NK-like cytotoxic lymphocytes	(Intercept)	NA	-0.0215052188425	0.137391166740529	0.29735616175000007	0.31074999999999997	0.047475	1.0045062074004725	296.94900202097364	798.149127436228	-7.1861940955	-6.3740912633275	-5.63352886575	0	0	1.0005169281206774	212.79101341565007	427.3204659566777
NK-like cytotoxic lymphocytes	condition41BB-L	condition	0.037315433565	0.3018077167371145	0.5559966473	0.0635	0.023249999999999993	1.0009869056232805	835.4487132608641	1900.1677356103232	NA	NA	NA	NA	NA	NA	NA	NA
NK-like cytotoxic lymphocytes	conditionB7H3	condition	-0.22973695792499998	0.02517785107434015	0.2881191117500001	0.7170000000000001	0.27329166666666665	1.0052824337306239	589.580232919437	2550.2612626771565	NA	NA	NA	NA	NA	NA	NA	NA
NK-like cytotoxic lymphocytes	conditionCD28-41BB	condition	0.170491446675	0.4386073888565	0.695878581675	0.00649999999999995	0.0061249999999999916	0.9998407165385778	1067.1166036084019	2473.54395199052	NA	NA	NA	NA	NA	NA	NA	NA
NK-like cytotoxic lymphocytes	conditionCD8-41BB	condition	0.12310957909999999	0.3579660791304625	0.585281869725	0.01375000000000004	0.0039499999999999865	1.0016739196715538	579.9835806397961	2047.544470437739	NA	NA	NA	NA	NA	NA	NA	NA
NK-like cytotoxic lymphocytes	conditiontumor	condition	0.238034364075	0.5207267941788	0.8000853158250001	0.0030000000000000027	0.0013124999999999942	1.0005092966699909	996.7600790374544	3009.6319180807486	NA	NA	NA	NA	NA	NA	NA	NA
Naïve / central-memory T cells	(Intercept)	NA	-0.21405110224999999	-0.03422058070484535	0.15447118967500004	0.76175	0.1759423076923077	1.003208007975294	643.6323668008007	1063.6699289826738	-6.919372285	-6.2423654467775	-5.62269286475	0	0	1.0008829801611074	258.6418060420461	281.8136954762961
Naïve / central-memory T cells	condition41BB-L	condition	-0.340000261875	-0.05276284183469575	0.2291555993500001	0.63525	0.26529545454545456	1.0002051678766373	1138.595257931694	1453.532888713792	NA	NA	NA	NA	NA	NA	NA	NA
Naïve / central-memory T cells	conditionB7H3	condition	-0.38266635504999996	-0.10234203921676517	0.17348982107500008	0.49275	0.09812499999999999	1.0003766464298092	788.8849879065572	2290.256240724645	NA	NA	NA	NA	NA	NA	NA	NA
Naïve / central-memory T cells	conditionCD28-41BB	condition	-0.115705718975	0.17030048204896825	0.45314469695000004	0.30874999999999997	0.09418749999999998	1.001729037789438	970.3058258181317	1419.9234557261102	NA	NA	NA	NA	NA	NA	NA	NA
Naïve / central-memory T cells	conditionCD8-41BB	condition	-0.15742401712499998	0.1146912121571448	0.376095474725	0.45275	0.10511363636363637	0.9998043780613602	1332.3514215010769	3146.7140355966603	NA	NA	NA	NA	NA	NA	NA	NA
Naïve / central-memory T cells	conditiontumor	condition	0.380269457425	0.657931382925425	0.942217824625	4.999999999999449e-4	2.4999999999997247e-4	1.0007734122767755	1160.3443724934305	1922.8633321223888	NA	NA	NA	NA	NA	NA	NA	NA
Quiescent T cells	(Intercept)	NA	0.87873285385	1.0276341752055	1.1778956930000002	0	0	1.0022362452868514	432.9821861160763	939.4674200348586	-6.7840877614999995	-6.094991274845	-5.37124400925	0	0	1.0178994745505279	94.912588726208	319.26940875127013
Quiescent T cells	condition41BB-L	condition	-0.43356073885	-0.17676295615623425	0.0861108042425	0.267	0.0865	0.9998851472088481	702.0928795910812	1586.8767851742518	NA	NA	NA	NA	NA	NA	NA	NA
Quiescent T cells	conditionB7H3	condition	-0.32875474892499995	-0.1008060211731615	0.13601686975	0.49550000000000005	0.14227777777777778	1.0002027521055794	1429.2695770240507	1487.5008391985384	NA	NA	NA	NA	NA	NA	NA	NA
Quiescent T cells	conditionCD28-41BB	condition	-0.33369153	-0.08029181145078425	0.189122509	0.5549999999999999	0.2834	1.0020652330337692	721.036277809223	1836.5048015637865	NA	NA	NA	NA	NA	NA	NA	NA
Quiescent T cells	conditionCD8-41BB	condition	-0.4720607802	-0.235410565828765	0.010899294077500028	0.12324999999999997	0.035071428571428566	1.0028476139273743	947.0692110380811	1253.138052253797	NA	NA	NA	NA	NA	NA	NA	NA
Quiescent T cells	conditiontumor	condition	-0.275185506875	0.0182080530406175	0.3160569589500001	0.72075	0.18549999999999997	1.0011379479837932	1176.679278133431	2440.139179844759	NA	NA	NA	NA	NA	NA	NA	NA
Terminally differentiated cytotoxic T cells	(Intercept)	NA	-0.43776417944999996	-0.2082818315908465	0.009584799572750165	0.16400000000000003	0.018222222222222226	1.0005599488775179	679.3291167917113	1430.268691917279	-6.7217798145000005	-6.086499508665	-5.5235241209999995	0	0	1.0018997463325607	493.89803185517866	414.64878697429725
Terminally differentiated cytotoxic T cells	condition41BB-L	condition	-0.394657693675	-0.09105275380540355	0.2072168453750001	0.5305	0.2283	0.9997757786873768	867.5963839010973	2059.6027506827977	NA	NA	NA	NA	NA	NA	NA	NA
Terminally differentiated cytotoxic T cells	conditionB7H3	condition	-0.2985292302	-0.01086157433900025	0.27343799395000007	0.73525	0.3088269230769231	1.0008714116765762	819.5176880658979	2332.8853272819297	NA	NA	NA	NA	NA	NA	NA	NA
Terminally differentiated cytotoxic T cells	conditionCD28-41BB	condition	-0.676046894275	-0.3593728778321595	-0.03936702988499999	0.055749999999999966	0.02266666666666665	1.0004968198037072	497.68194772800587	864.2914392773808	NA	NA	NA	NA	NA	NA	NA	NA
Terminally differentiated cytotoxic T cells	conditionCD8-41BB	condition	-0.245527647025	0.03948483582679235	0.3343311423000001	0.6735	0.17567307692307693	0.9997526681843147	739.8701365399146	1505.0273792955395	NA	NA	NA	NA	NA	NA	NA	NA
Terminally differentiated cytotoxic T cells	conditiontumor	condition	-1.4110308145000001	-1.05049714120425	-0.6881376734249999	0	0	1.0014054414786162	408.83648802914996	488.879201954874	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	(Intercept)	NA	-1.271725229	-0.99198791960625	-0.7341792642	0	0	1.0143470043291352	205.32052746476006	308.14961178137	-7.271626608250001	-6.315860144675	-5.26327286325	0	0	1.0028040676891439	119.51197412465787	122.05921696618347
Th2-like inflammatory T cells	condition41BB-L	condition	-0.619814316375	-0.303151403878571	0.028741880210000112	0.09575	0.041374999999999995	1.0032998381351765	375.16448761671114	337.62957196454425	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionB7H3	condition	-0.81937654125	-0.48851441048432	-0.15662617987499985	0.010499999999999954	0.006333333333333302	1.0016693125632175	277.84771314940673	244.3663956189592	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionCD28-41BB	condition	-0.173265177075	0.16384316111710975	0.503638748025	0.34025000000000005	0.17558333333333334	1.0108015343129009	285.0227062309779	366.7290156135752	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionCD8-41BB	condition	-0.930423820975	-0.6115459346494875	-0.2858555829999999	0.0044999999999999485	0.0014999999999999736	1.0018305225093347	297.42140152885037	246.14014394133184	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditiontumor	condition	-0.108269899875	0.22009075737238085	0.5591894025749999	0.22399999999999998	0.06567499999999998	1.0165320743624502	324.0828462036441	516.2857642999744	NA	NA	NA	NA	NA	NA	NA	NA
Treg	(Intercept)	NA	0.5422594321249999	0.701432374821	0.8739717999750001	0	0	1.0030247788834448	277.1276593127119	227.95785380418485	-6.62566276625	-5.92813595298	-5.0919703695	0	0	1.0038346191434189	123.10080144533075	124.21559686590957
Treg	condition41BB-L	condition	0.2807239053	0.5224006065629	0.758856431475	0.0012499999999999734	0.0012499999999999734	1.0014762778182609	730.0990124304744	2402.3648357501465	NA	NA	NA	NA	NA	NA	NA	NA
