cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Activated CD4 effector / helper-like T cells	(Intercept)	NA	-0.22793560075	-0.023362600752516526	0.20676857200000007	0.76425	0.08226923076923076	1.006446346149528	113.1046701726593	114.77075709315177	-7.4033016622500005	-6.345015867205	-4.981299604249999	0	0	1.0004575378093	115.59457120440969	68.73075820264621
Activated CD4 effector / helper-like T cells	condition41BB-L	condition	-0.254545215575	0.05051343245836998	0.35125600525	0.62625	0.21783333333333335	1.0019762215448962	292.4352033599616	382.84929472046423	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionB7H3	condition	-0.12613341637499997	0.15626345053122068	0.43683558955	0.3335	0.05904545454545453	1.0031894540562298	168.93491731816968	234.16416436439027	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD28-41BB	condition	-0.36202352774999996	-0.03654585335204375	0.2820384013	0.6735	0.42506249999999995	1.0007035664425163	338.97686645419765	319.2383158272613	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionCD8-41BB	condition	0.0407473662425	0.3141715004626185	0.5840116397000001	0.05449999999999999	0.01632499999999999	1.0037858634882464	181.4036661355573	279.3804961956906	NA	NA	NA	NA	NA	NA	NA	NA
Activated CD4 effector / helper-like T cells	conditionSTOP	condition	0.33391150067500003	0.630754619737375	0.9191992383500001	0.008000000000000007	0.005499999999999994	1.0041576092999709	186.96555030623202	191.13640241687264	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	(Intercept)	NA	0.44448079965	0.598088836334	0.75442291155	0	0	1.0022590590539624	372.9958686686155	848.4683612470589	-6.998941532	-6.2647760186725	-5.325470164499999	0	0	1.0076356590091788	136.70060224309674	107.24124658691824
Activated effector CD8 T cells (stress)	condition41BB-L	condition	-0.27831174885	-0.013682055903227994	0.2405169697	0.75275	0.36778846153846156	1.0011472806264679	994.0138710455536	2354.191335648246	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionB7H3	condition	0.22334732637500002	0.4581503520526375	0.6761121956	0.0034999999999999476	0.0010999999999999678	1.0043845923912855	518.6021491691433	947.8675075763155	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD28-41BB	condition	-0.1696366622	0.10416513248733394	0.366400711325	0.48024999999999995	0.23004166666666662	1.0011234859394906	914.1508877319699	2570.2724684546743	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionCD8-41BB	condition	-0.31770757102499997	-0.06380445596434242	0.17303171880000004	0.626	0.11394230769230769	0.9999177044113978	752.446506595955	1210.3459906170142	NA	NA	NA	NA	NA	NA	NA	NA
Activated effector CD8 T cells (stress)	conditionSTOP	condition	-0.04984531483499999	0.206566885149887	0.4494425800750001	0.20350000000000001	0.06727777777777778	1.0000925975909747	1044.3275864499205	2106.0234653667017	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	(Intercept)	NA	0.0707369592725	0.2865324352929025	0.4944262545750001	0.042749999999999955	0.0063636363636363595	1.0019759989495198	317.86510254369284	707.2816072734712	-6.41311404625	-5.767143043535	-5.033055642500001	0	0	1.0024142275054222	111.19627484118841	114.49876283109752
Antigen-presenting myeloid cells	condition41BB-L	condition	-0.315006551075	-0.032067996861912	0.255307013	0.6795	0.29954545454545456	1.0009422768986156	772.4211272177499	2605.6550526417345	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionB7H3	condition	-0.46896236850000006	-0.19130862553443637	0.09291194776750004	0.25849999999999995	0.03159999999999998	1.0015673307499522	779.5174441379918	3048.4836774642686	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD28-41BB	condition	-0.3521807087	-0.05923452659388065	0.23043909685000008	0.61225	0.378075	0.9999819491892461	610.3380385023668	3095.5470184159976	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionCD8-41BB	condition	-0.742650937925	-0.450794068883225	-0.1483822385	0.013000000000000012	0.004958333333333324	1.0014386633971613	794.5759571366374	1901.1193489624454	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting myeloid cells	conditionSTOP	condition	-0.468838893375	-0.17160425230010984	0.12691482770000018	0.31399999999999995	0.09195	1.002583563381909	535.2114319260288	2015.7139521493837	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	(Intercept)	NA	-0.3823837792	-0.17386539915099558	0.043947301027500045	0.23524999999999996	0.02543749999999999	1.0015184253816636	191.86539324448043	446.5895664422962	-6.4759024499999995	-5.8468230401275	-5.09370327625	0	0	1.0058186222250123	122.91731596755027	103.0131183423566
Cycling / proliferating CAR T cells	condition41BB-L	condition	-0.06321036581249999	0.244089057799466	0.547744534125	0.17925000000000002	0.04820000000000002	1.0031984158978553	372.96615670538444	910.5937959554761	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionB7H3	condition	0.49143358519999997	0.7637690447405	1.04771014375	0	0	1.001205341343089	355.45916373371006	708.2497866187019	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD28-41BB	condition	-0.19650989362500002	0.15020463672501536	0.47014778647500005	0.362	0.18	1.0034415288819534	277.118093444799	244.64379422426518	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD8-41BB	condition	0.211889092	0.497617696143145	0.7827686015000002	0.003249999999999975	0.0011666666666666492	1.00360395966318	409.85989432917455	1311.4365653442521	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionSTOP	condition	-0.007003537247	0.2969145432150799	0.6020039116750001	0.09199999999999997	0.019916666666666655	1.0028260643020983	409.75440060427024	1479.3833781359212	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	(Intercept)	NA	-0.7239499200499999	-0.51110849038775	-0.2964939029749999	0	0	1.002977971039055	576.8863900759255	1447.1903892311486	-6.95626225225	-6.2185267061625	-5.418857140249999	0	0	1.0010892047541156	195.3458163899122	108.28010477918389
IFN-responsive T cells	condition41BB-L	condition	-0.288972920975	-0.00768600818943468	0.29815537575	0.7335	0.33570833333333333	1.0160898550518005	218.32206673802804	141.8206209800157	NA	NA	NA	NA	NA	NA	NA	NA
