comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
41BB-L vs STOP	Treg	88	0.764640914358297	0.905061208731564	0.263985097549569	1.41759440705074	0.852272727272727	9	0.102272727272727	2.4848430933325	0.00457965792481171	0.817884360766214	0.991225369458128	2.33916696018716
41BB-L vs STOP	Quiescent T cells	98	-0.224958264311808	-0.280240293511162	-0.843420683155527	0.305846753490928	0.418367346938776	8	0.0816326530612245	-2.33952957270414	0.00474461885132932	0.817884360766214	0.848752598752599	2.32379866994123
41BB-L vs STOP	Naïve / central-memory T cells	28	0.110248271024452	0.0751419024240074	-0.556418826152084	0.480211458277242	0.607142857142857	1	0.0357142857142857	3.81144255776764	0.0110939858571729	0.817884360766214	0.890053947268445	1.95491239210381
41BB-L vs STOP	Terminally differentiated cytotoxic T cells	25	-0.325903582428242	-0.0787116147851663	-1.77091706084382	0.719198071525218	0.4	6	0.24	-2.11144244102596	0.0129529885667185	0.817884360766214	0.981481481481482	1.88763001781496
41BB-L vs STOP	NK-like cytotoxic lymphocytes	39	0.467761695123748	0.716258905192874	0.2193713655326	1.26045923001744	0.82051282051282	6	0.153846153846154	2.14236402630694	0.0157790125663978	0.817884360766214	1	1.80192017795692
41BB-L vs STOP	Antigen-presenting myeloid cells	42	0.158826050508444	0.338938180000332	-0.581183761714031	1.02682834950043	0.571428571428571	2	0.0476190476190476	-2.61449843698593	0.0177096042199012	0.817884360766214	1	1.75179114445835
41BB-L vs STOP	Activated CD4 effector / helper-like T cells	46	-0.708474970914436	-0.688253105298992	-1.35320822577489	-0.0569519989854768	0.217391304347826	2	0.0434782608695652	-1.97321402241854	0.0196132057321614	0.817884360766214	0.921795431398225	1.70745141612296
41BB-L vs STOP	Activated effector CD8 T cells (stress)	79	-0.358097680622995	-0.31598807866328	-0.772115784674963	0.137160551293533	0.30379746835443	1	0.0126582278481013	-2.06167808673806	0.0350453511504027	0.873921432206625	0.94	1.45536958407769
41BB-L vs STOP	Cycling / proliferating CAR T cells	60	-0.27552075467938	-0.405319516721991	-0.886883503055423	0.0810139603581175	0.3	1	0.0166666666666667	-1.92518664622582	0.039535276415905	0.897886914672611	0.98936170212766	1.40301522043085
41BB-L vs STOP	Th2-like inflammatory T cells	10	-0.997875022260382	-1.1742056276876	-1.39962756410435	-0.784092988211644	0	0	0	NA	0.0857536961731317	0.935016252575002	0.967741935483871	1.06674715183329
41BB-L vs STOP	IFN-responsive T cells	13	0.0730472115893396	0.174673069002569	-0.196148244108859	0.329817169437965	0.615384615384615	0	0	NA	0.173771189880699	0.950378788852777	1	0.760022225085211
41BB-L vs STOP	γδ / Th17-like T cells	7	0.357919957934312	0.492903055717419	0.113502259196627	0.767168868329609	0.714285714285714	0	0	NA	0.274962387024827	0.992372133480371	1	0.560726710623484
41BB-L vs STOP	γδ T cells	21	0.215340513464007	0.127735228615097	-0.0967247553962209	0.414856586543902	0.666666666666667	0	0	NA	0.28102505872247	0.992372133480371	0.963636363636364	0.55125495276513
B7H3 vs STOP	Antigen-presenting myeloid cells	42	0.00894660968542418	0.27049953913861	-0.774372207909692	1.0110765096059	0.5	5	0.119047619047619	-2.44082697501437	0.00791489617744574	0.978292788866908	1	2.10155477756197
B7H3 vs STOP	Terminally differentiated cytotoxic T cells	25	-0.139331809266849	0.202903559298608	-1.30043782031401	0.916027259223415	0.44	5	0.2	-1.88744585516779	0.0136574351222207	0.978292788866908	0.981481481481482	1.86463085386507
B7H3 vs STOP	Treg	88	0.336456974190192	0.327637692083023	-0.179981234734735	0.657161730304314	0.681818181818182	3	0.0340909090909091	2.35452892923058	0.0163661797270939	0.978292788866908	0.991225369458128	1.7860526838787
B7H3 vs STOP	Quiescent T cells	98	-0.201119063744646	-0.24107044055121	-0.674953412184718	0.166110250635833	0.357142857142857	3	0.0306122448979592	-1.83068931565652	0.0175791641493898	0.978292788866908	0.848752598752599	1.75500177851922
B7H3 vs STOP	Activated CD4 effector / helper-like T cells	46	-0.555582328880891	-0.514075813329744	-1.26509576341852	0.149232022268441	0.304347826086957	3	0.0652173913043478	-1.8083302977309	0.0251032393938696	0.978292788866908	0.921795431398225	1.60027023229958
B7H3 vs STOP	NK-like cytotoxic lymphocytes	39	0.137163188349691	0.276349485457624	-0.389151802863743	1.03493691089619	0.564102564102564	1	0.0256410256410256	2.02950308524169	0.0412912004698803	0.978292788866908	1	1.38414249058459
B7H3 vs STOP	Activated effector CD8 T cells (stress)	79	-0.0363915049374064	0.0138453574712337	-0.476821455607233	0.407481326781667	0.481012658227848	1	0.0126582278481013	2.40458349253243	0.0438093539956087	0.978292788866908	0.94	1.35843315079833
B7H3 vs STOP	Naïve / central-memory T cells	28	-0.128891046690648	-0.111552155745823	-0.598855123220179	0.31423798216637	0.321428571428571	0	0	NA	0.052312244696388	0.978292788866908	0.890053947268445	1.28139664417942
B7H3 vs STOP	Cycling / proliferating CAR T cells	60	0.284398464822108	0.302125469574992	0.044934025567342	0.594862901427572	0.75	0	0	NA	0.0734459482056665	0.981140282921039	0.98936170212766	1.13403215794667
B7H3 vs STOP	Th2-like inflammatory T cells	10	-1.03992968263528	-1.1134382436154	-1.3525210936435	-0.905885919049557	0	0	0	NA	0.122078899656195	0.981140282921039	0.967741935483871	0.913359393833793
B7H3 vs STOP	IFN-responsive T cells	13	0.515574387142714	0.64196510126998	0.368308033450387	0.938035650255719	1	0	0	NA	0.132644414156621	0.981140282921039	1	0.877311034049798
B7H3 vs STOP	γδ T cells	21	0.0596309021367701	-0.105132524925608	-0.557825918435864	0.275360790309929	0.571428571428571	0	0	NA	0.314512256352733	0.981140282921039	0.963636363636364	0.5023624256952
B7H3 vs STOP	γδ / Th17-like T cells	7	-0.255696473413366	-0.0442014187049435	-0.718711062365148	0.513374839291213	0.428571428571429	0	0	NA	0.44116956617312	0.981140282921039	1	0.355394454751699
