comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
41BB-L vs tumor	Activated effector CD8 T cells (stress)	79	0.378213609779434	1.03014154691263	0.0306564974975003	1.39237589127445	0.784810126582278	8	0.10126582278481	6.09438400722411	0.00274554169770028	0.767774573481881	0.94	2.56137195609096
41BB-L vs tumor	Treg	88	1.20496833770933	1.53367786397422	0.635748225801861	1.75365722048919	0.931818181818182	9	0.102272727272727	5.46403149947565	0.00609251745676872	0.767774573481881	0.991225369458128	2.21520321776614
41BB-L vs tumor	Terminally differentiated cytotoxic T cells	25	2.09894259539155	2.29457565446359	0.992956026617482	2.77390365044251	0.88	5	0.2	5.41153786618094	0.00700592199241023	0.767774573481881	0.981481481481482	2.1545347026527
41BB-L vs tumor	Activated CD4 effector / helper-like T cells	46	0.520454574374876	1.05194916527057	-0.380673224994896	1.91931314582996	0.630434782608696	4	0.0869565217391304	5.51864149860018	0.026543787983978	0.767774573481881	0.921795431398225	1.57603710019238
41BB-L vs tumor	Cycling / proliferating CAR T cells	60	1.06918724985266	1.35369892378836	0.511132039258886	2.04678677057366	0.866666666666667	2	0.0333333333333333	1.53978748515224	0.0293467047748238	0.767774573481881	0.98936170212766	1.53244065688498
41BB-L vs tumor	Quiescent T cells	98	0.199954653615275	0.248090513056025	-0.280424108502172	0.752137744436437	0.591836734693878	2	0.0204081632653061	2.70037455915526	0.0381913159363894	0.767774573481881	0.848752598752599	1.41803537713162
41BB-L vs tumor	Naïve / central-memory T cells	28	-0.58512514698336	-0.402918313204228	-0.894685548522146	0.0121684959265456	0.285714285714286	1	0.0357142857142857	-2.4830893571212	0.0470473007623935	0.767774573481881	0.890053947268445	1.32746528823301
41BB-L vs tumor	Antigen-presenting myeloid cells	42	-0.166636778798798	0.497696710925195	-0.812306212871687	1.01922311466561	0.452380952380952	1	0.0238095238095238	5.55905257202083	0.0495449933417627	0.767774573481881	1	1.30500022561673
41BB-L vs tumor	Th2-like inflammatory T cells	10	-1.31095988151213	-1.13374913589128	-1.63943182765227	-0.615441379178997	0.1	0	0	NA	0.0840722044936252	0.838547601412546	0.967741935483871	1.07534756461014
41BB-L vs tumor	γδ T cells	21	0.109860972213438	0.0925031399770509	-0.4680879789996	0.585673050274691	0.571428571428571	0	0	NA	0.155436361397292	0.838547601412546	0.963636363636364	0.808447378669041
41BB-L vs tumor	IFN-responsive T cells	13	0.100424782788258	0.0894354585288614	-0.575618175912184	0.486239633484181	0.615384615384615	0	0	NA	0.169382224535963	0.838547601412546	1	0.771132167742023
41BB-L vs tumor	NK-like cytotoxic lymphocytes	39	0.0231567904253958	0.0995914467468151	-0.39274138858027	0.636751775430834	0.512820512820513	0	0	NA	0.198567403678485	0.838547601412546	1	0.70209204267065
41BB-L vs tumor	γδ / Th17-like T cells	7	-0.643933995691067	-0.798282372451398	-1.21660383630204	-0.423594520151526	0	0	0	NA	0.27971852348878	0.838547601412546	1	0.553278772875556
B7H3 vs tumor	Activated effector CD8 T cells (stress)	79	0.83178355773833	1.35997498304714	0.102913946581332	1.76309035692929	0.772151898734177	13	0.164556962025316	5.63054130932103	0.000508448039965545	0.614737326868798	0.94	3.29375342250377
B7H3 vs tumor	Terminally differentiated cytotoxic T cells	25	2.03850068037936	2.57619082854736	1.5886516816169	3.42000507283703	0.92	8	0.32	5.50208166036789	0.00395052934651933	0.614737326868798	0.981481481481482	2.40334470769769
B7H3 vs tumor	Treg	88	0.670833003647544	0.956254347325674	-0.0789252637323099	1.29379030058784	0.715909090909091	5	0.0568181818181818	5.28322241508848	0.00653549750004279	0.614737326868798	0.991225369458128	2.18472134713477
B7H3 vs tumor	Cycling / proliferating CAR T cells	60	1.71439115540054	2.06114391008534	1.19200098573869	2.49651608116421	0.983333333333333	9	0.15	2.64495082239073	0.00830049867727189	0.614737326868798	0.98936170212766	2.08089581530083
B7H3 vs tumor	Naïve / central-memory T cells	28	-0.743267298093618	-0.589612371374059	-1.11116259116197	-0.38772810486265	0.142857142857143	1	0.0357142857142857	-2.51595736602073	0.0152225963076453	0.614737326868798	0.890053947268445	1.81751126964679
B7H3 vs tumor	Activated CD4 effector / helper-like T cells	46	0.854981497808198	1.22612645723982	-0.0222995577033653	1.79016749746221	0.717391304347826	4	0.0869565217391304	5.81606667833621	0.0162209320881873	0.614737326868798	0.921795431398225	1.78992419395188
B7H3 vs tumor	Quiescent T cells	98	0.354168930487887	0.287260366015977	-0.51827239468749	1.12925224187687	0.622448979591837	2	0.0204081632653061	1.39353439855088	0.021758227066948	0.614737326868798	0.848752598752599	1.66237649529787
B7H3 vs tumor	NK-like cytotoxic lymphocytes	39	-0.243554199063478	-0.340317972988435	-0.903503048528804	0.147789538900099	0.41025641025641	2	0.0512820512820513	-1.93108537833532	0.0261162778534566	0.614737326868798	1	1.58308871954448
B7H3 vs tumor	Antigen-presenting myeloid cells	42	-0.286958544129728	0.429258070063474	-1.07198602688497	1.34206794126962	0.404761904761905	0	0	NA	0.0539748136159141	0.666317639000228	1	1.26780884868284
B7H3 vs tumor	IFN-responsive T cells	13	0.33942212263729	0.556727490796272	0.194164510606214	0.783858561265447	0.923076923076923	0	0	NA	0.0664655125668003	0.666317639000228	1	1.17740364172028
B7H3 vs tumor	Th2-like inflammatory T cells	10	-1.15776352353785	-1.07298175181907	-1.37160541641778	-0.858927805798692	0	0	0	NA	0.0732016458070913	0.666317639000228	0.967741935483871	1.13547915450304
B7H3 vs tumor	γδ / Th17-like T cells	7	-1.4066747513195	-1.33538684687376	-1.5291357756421	-1.28230394571177	0	0	0	NA	0.0880803778850928	0.666317639000228	1	1.05512083080903
B7H3 vs tumor	γδ T cells	21	-0.0740256744397775	-0.140364613563654	-0.787889570740102	0.237627715597125	0.380952380952381	0	0	NA	0.192408867357193	0.666317639000228	0.963636363636364	0.715774916936682
CD28-41BB vs tumor	Activated effector CD8 T cells (stress)	79	0.44737768952494	1.04159781369623	0.0548337226425616	1.28506239773427	0.772151898734177	10	0.126582278481013	5.89550171463911	0.00145914354821783	0.996803466376483	0.94	2.8359019808055
