"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.5751134539423e-295,2.42025956515797,0.694,0.211,3.00137868648705e-291,"0","Tgfbi"
3.45193399770286e-284,1.70258520274479,0.893,0.353,6.5776602326228e-280,"0","Cebpb"
3.19533699701741e-264,1.5874921906519,0.87,0.389,6.08871464781668e-260,"0","Itk"
8.30290016250864e-227,1.79550386889093,0.683,0.235,1.58211762596602e-222,"0","Cd14"
1.43962636275398e-214,1.42936830201211,0.822,0.369,2.74320803422771e-210,"0","Lilrb4a"
1.06808310728033e-209,1.22159840467043,0.902,0.459,2.03523236092266e-205,"0","Ly6e"
2.25464020324221e-204,1.06201899549248,0.706,0.245,4.29621690727804e-200,"0","Lyz2"
5.32578786001974e-202,1.50104366887479,0.775,0.331,1.01482887672676e-197,"0","Trac"
1.62322581932322e-201,1.12607377731519,0.897,0.426,3.09305679872039e-197,"0","Fth1"
2.92313456357515e-200,1.43658606735864,0.79,0.357,5.57003291089244e-196,"0","Zeb2"
2.57857535398785e-199,1.4951397147066,0.776,0.349,4.91347533702384e-195,"0","Ccr5"
5.49264343032637e-192,1.72518046078161,0.631,0.24,1.04662320564869e-187,"0","Plaur"
1.66188786392161e-191,1.07231119325859,0.951,0.548,3.16672732470264e-187,"0","Shisa5"
1.68048642047959e-187,1.57166112439331,0.636,0.245,3.20216687422387e-183,"0","Tlr2"
2.69600444934927e-187,1.19997216713272,0.865,0.47,5.13723647823503e-183,"0","Fyb"
7.49915532869001e-187,1.60545133883444,0.698,0.296,1.42896404788188e-182,"0","Thy1"
1.82875021363454e-181,2.29763747022306,0.529,0.153,3.48468353208062e-177,"0","Cxcl2"
2.82882057906316e-181,1.16978915677306,0.871,0.466,5.39031761340485e-177,"0","Rac2"
5.29560395420556e-178,1.27893020957478,0.801,0.385,1.00907733347387e-173,"0","Gimap4"
3.52494001625455e-177,1.32697079519026,0.782,0.371,6.71677320097304e-173,"0","Ptpn22"
