"cluster","pathway","NES","pval","padj"
"Inflammatory DC (IL12+)","GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY",1.88537086033784,0.00293660846013165,0.0671720865017547
"Inflammatory DC (IL12+)","GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS",1.8278386183259,0.00212744923574545,0.0587483572087781
"Inflammatory DC (IL12+)","GOBP_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION",1.77304884148654,0.00477116110646103,0.084119240430836
"Inflammatory DC (IL12+)","GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY",1.67570226875196,0.00691922233766399,0.0977402985749215
"Inflammatory DC (IL12+)","GOBP_SYNAPSE_ORGANIZATION",1.64044919765194,0.0002163415393649,0.0165942336474412
"Inflammatory DC (IL12+)","GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY",1.62018547593374,0.00135870735481438,0.0477570093557856
"Inflammatory DC (IL12+)","GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION",1.57101296842958,0.00741727795189907,0.0997820428854141
"Inflammatory DC (IL12+)","GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY",1.56528587942528,0.00575761096374797,0.0898258718432606
"Inflammatory DC (IL12+)","GOBP_ACTIN_FILAMENT_ORGANIZATION",1.50796850323647,0.00113256281017286,0.0449513230242974
"Inflammatory DC (IL12+)","GOBP_ACTIN_FILAMENT_BASED_PROCESS",1.50216407049836,0.000157162192294524,0.0138544517207327
"Inflammatory DC (IL12+)","GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS",1.48552202699238,0.00258774660234691,0.0644686436149905
"Inflammatory DC (IL12+)","GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION",1.48140361532461,0.00324017088083191,0.0714083813352572
"Inflammatory DC (IL12+)","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE",1.46271104403099,0.00262625652115162,0.0647245155535432
"Inflammatory DC (IL12+)","GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION",1.43696346048346,0.00499654948166055,0.0861059504659096
"Inflammatory DC (IL12+)","GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION",1.41689056604256,0.00212334785752377,0.0587483572087781
"Inflammatory DC (IL12+)","GOBP_CELL_JUNCTION_ORGANIZATION",1.40180041444501,0.00199087750009038,0.0570386403775893
"Inflammatory DC (IL12+)","GOBP_CELL_PROJECTION_ORGANIZATION",1.32176565514548,0.00167255371000272,0.0532429597684198
