"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.94665681754018,0.959,0.466,0,"0","Egr1"
0,2.10557091262478,0.76,0.321,0,"0","Icam1"
0,1.73696045858252,0.884,0.448,0,"0","Herpud1"
0,1.54983434222446,0.711,0.279,0,"0","Gem"
0,1.67653066858832,0.902,0.482,0,"0","Nfkbiz"
0,1.51578958234059,0.856,0.436,0,"0","Ccl4"
0,0.882741583244405,0.908,0.498,0,"0","Sparc"
0,1.14638033023389,0.847,0.441,0,"0","Il1a"
0,1.8999858419399,0.856,0.45,0,"0","Cd83"
0,0.75296193008582,0.864,0.464,0,"0","Tmem119"
0,1.93299588431757,0.78,0.386,0,"0","Nfkbia"
0,1.76454705529952,0.803,0.414,0,"0","Gadd45b"
0,1.99838928108796,0.662,0.281,0,"0","Tnf"
0,1.60131250265769,0.789,0.412,0,"0","Ier2"
0,1.22768602111887,0.795,0.422,0,"0","Pmp22"
0,0.560453789159712,0.79,0.418,0,"0","Siglech"
0,1.47657049023937,0.859,0.488,0,"0","Ccl3"
0,1.48929918181722,0.773,0.41,0,"0","Ccrl2"
0,0.913771860652004,0.704,0.343,0,"0","Sall1"
0,0.931349883677755,0.832,0.474,0,"0","Kdm6b"
0,1.63343044075506,0.745,0.39,0,"0","Tbc1d10a"
0,1.63134784516566,0.914,0.562,0,"0","Per1"
0,1.77163776818358,0.7,0.359,0,"0","Tnfaip3"
0,2.06893473459853,0.514,0.174,0,"0","Adamts1"
0,1.41610861095924,0.785,0.45,0,"0","Nfkbib"
0,0.61350930535859,0.895,0.563,0,"0","Cd81"
0,1.58995120454274,0.645,0.317,0,"0","Gnl3"
0,0.79997251169848,0.83,0.503,0,"0","Phyhd1"
0,1.68069338200196,0.601,0.274,0,"0","Nfkbid"
0,1.57160515601258,0.533,0.22,0,"0","Pdgfb"
0,1.09894175259914,0.638,0.326,0,"0","Pde3b"
0,0.802693998781498,0.806,0.496,0,"0","Selplg"
0,1.31934611747853,0.576,0.268,0,"0","Smad7"
0,1.59471201624104,0.55,0.246,0,"0","Maff"
0,0.653063551167505,0.722,0.42,0,"0","Slco2b1"
0,1.3449078045168,0.886,0.587,0,"0","Ccnl1"
0,1.24514142858075,0.871,0.573,0,"0","Ifrd1"
0,0.867560813758102,0.94,0.642,0,"0","Jun"
0,0.841959652907929,0.858,0.561,0,"0","Ivns1abp"
0,1.89304264954622,0.614,0.32,0,"0","Hk2"
0,1.25210427250658,0.548,0.256,0,"0","H1f4"
0,1.70841730611975,0.959,0.667,0,"0","Junb"
0,0.830078422364009,0.612,0.321,0,"0","Tagap"
0,0.51978192874331,0.831,0.545,0,"0","Bin1"
0,1.08419220246425,0.898,0.613,0,"0","Rhob"
0,0.948037388558703,0.622,0.338,0,"0","Lag3"
0,1.26134558055695,0.97,0.686,0,"0","Atf3"
0,1.09792334095458,0.847,0.566,0,"0","Ier5"
0,1.15651747513352,0.552,0.274,0,"0","Numb"
0,1.19671853912233,0.756,0.481,0,"0","Rasgef1b"
0,0.942487694571926,0.885,0.612,0,"0","Fos"
0,1.2310212376305,0.744,0.475,0,"0","Pfkfb3"
0,0.561777303110033,0.735,0.466,0,"0","Cfh"
0,0.687231993537146,0.92,0.653,0,"0","Btg2"
0,1.15139398889645,0.876,0.61,0,"0","Skil"
0,0.687036391664852,0.627,0.362,0,"0","Ptgs1"
0,0.904084545530556,0.506,0.244,0,"0","Nav3"
0,0.896188152087502,0.594,0.332,0,"0","Soga1"
0,1.18864557155345,0.63,0.372,0,"0","Il21r"
0,0.946755082674945,0.865,0.611,0,"0","Ppp1r15a"
0,0.755946508659467,0.563,0.309,0,"0","Golm1"
0,1.05660243563683,0.733,0.487,0,"0","Daglb"
0,0.872895556617024,0.582,0.336,0,"0","Rasgrp3"
0,1.12950091056303,0.663,0.418,0,"0","Bach1"
0,0.98080556132718,0.762,0.519,0,"0","Zc3h12a"
0,0.784612223081071,0.734,0.495,0,"0","Cd33"
0,0.908561072506541,0.68,0.443,0,"0","Bhlhe41"
0,1.64777253338617,0.981,0.744,0,"0","Zfp36"
0,1.05445999481335,0.618,0.381,0,"0","Ier3"
0,1.16893180219038,0.843,0.608,0,"0","Id2"
0,0.764341361410447,0.5,0.266,0,"0","Mlxipl"
0,0.678762395645751,0.515,0.281,0,"0","Gpr34"
0,0.686704358881732,0.766,0.534,0,"0","Epb41l2"
0,0.629483996509441,0.538,0.307,0,"0","St3gal6"
0,0.650971820230909,0.802,0.572,0,"0","Hpgds"
0,1.22330494371354,0.584,0.354,0,"0","H3f3b"
0,0.674036609205193,0.589,0.359,0,"0","Ints6l"
0,0.863351747105897,0.865,0.637,0,"0","Smap2"
0,1.11191843416163,0.52,0.299,0,"0","Rcsd1"
0,1.83167030206431,0.518,0.297,0,"0","Lfng"
0,1.54982987040618,0.716,0.495,0,"0","Ncf1"
0,0.872997958963416,0.805,0.585,0,"0","Wsb1"
0,0.596311634700031,0.803,0.585,0,"0","Tgfbr1"
0,0.652921849728583,0.543,0.325,0,"0","Dst"
0,1.16045290765594,0.526,0.31,0,"0","Birc3"
0,0.601506850925788,0.745,0.53,0,"0","Elmo1"
0,1.25683257902222,0.512,0.299,0,"0","Slc35b2"
0,1.24970344453708,0.596,0.383,0,"0","Mapkapk2"
0,0.931293670427914,0.585,0.372,0,"0","Sun2"
0,0.543135020638281,0.692,0.48,0,"0","Rel"
0,0.646258745527093,0.51,0.299,0,"0","Iffo1"
0,0.838859664562269,0.801,0.591,0,"0","Sgk1"
0,0.882965537237413,0.675,0.465,0,"0","Eeig2"
0,0.722505713321123,0.702,0.493,0,"0","Fmnl3"
0,1.057150448543,0.545,0.338,0,"0","Mapk6"
0,0.725590190406348,0.808,0.606,0,"0","Itgam"
0,0.607501537938586,0.541,0.339,0,"0","Rogdi"
0,0.547529693528035,0.888,0.688,0,"0","Vsir"
0,0.785099516021159,0.795,0.596,0,"0","Zfand5"
0,0.845858990611388,0.529,0.33,0,"0","Azin1"
0,1.05290606000888,0.571,0.372,0,"0","Rab20"
0,1.06049668080405,0.51,0.314,0,"0","H2-Q7"
0,0.64235847982913,0.786,0.592,0,"0","Itgb5"
0,0.817545965738985,0.907,0.715,0,"0","Qki"
0,0.604096596352376,0.704,0.512,0,"0","Jmjd1c"
0,0.554728784678421,0.747,0.555,0,"0","Bin2"
0,0.825511499092062,0.67,0.485,0,"0","Klf2"
0,0.552801523553875,0.589,0.407,0,"0","Frmd4a"
0,0.514073487968207,0.762,0.581,0,"0","Csf3r"
0,0.748711587854672,0.591,0.411,0,"0","Csnk1e"
0,1.06937256244287,0.949,0.775,0,"0","Ubc"
0,0.629362313690176,0.721,0.551,0,"0","Ski"
0,0.658238724805221,0.782,0.613,0,"0","Bmp2k"
0,0.710943637485708,0.782,0.614,0,"0","Pla2g15"
0,0.500325485705336,0.656,0.49,0,"0","Rab3il1"
0,0.562262077518553,0.957,0.793,0,"0","Csf1r"
0,0.615771468828329,0.792,0.634,0,"0","Clk1"
0,0.55277973708748,0.678,0.52,0,"0","Plekho2"
0,0.57214633643988,0.693,0.535,0,"0","Mef2a"
0,0.534342212420346,0.874,0.722,0,"0","Gna13"
0,0.574449306394089,0.661,0.511,0,"0","Cxcl16"
0,0.682553751497147,0.917,0.768,0,"0","Jund"
0,0.754922305135363,0.971,0.822,0,"0","Plek"
0,0.667038373032098,0.567,0.418,0,"0","Srsf6"
0,0.564738366263899,0.799,0.651,0,"0","Lgmn"
0,0.544889728882562,0.664,0.518,0,"0","Camk1"
0,0.58336215130615,0.696,0.551,0,"0","Vmp1"
0,0.665829099861432,0.988,0.844,0,"0","Cst3"
0,0.8309495540782,0.573,0.43,0,"0","Cltc"
0,0.681972938954316,0.719,0.577,0,"0","Efhd2"
0,0.541512340614901,0.686,0.545,0,"0","Dusp1"
0,0.614498134786975,0.75,0.613,0,"0","Irf5"
0,0.576753432363906,0.698,0.561,0,"0","Ddx5"
0,0.553432177681686,0.728,0.593,0,"0","Rbm39"
0,0.529949608131185,0.793,0.661,0,"0","Pnrc1"
0,0.771970284633709,0.613,0.491,0,"0","Scpep1"
0,0.646267018155505,0.822,0.704,0,"0","Marcks"
4.1357643959089e-304,0.645575102419831,0.646,0.526,7.88069905640442e-300,"0","Sh3glb1"
2.34597953501309e-286,0.612863985212247,0.503,0.345,4.47026400396745e-282,"0","Lpcat2"
9.27046139668649e-277,0.53145517009379,0.614,0.472,1.76648641913861e-272,"0","Wnk1"
3.60924343072717e-271,0.527945271317476,0.622,0.499,6.87741335725062e-267,"0","Sirpa"
1.66763480974252e-263,0.545394571573075,0.613,0.49,3.17767812996437e-259,"0","Prex1"
4.44748883056708e-253,0.598540277982728,0.521,0.393,8.47468996664557e-249,"0","Rela"
1.12363894352727e-247,0.517203277036777,0.573,0.447,2.14109400689121e-243,"0","Ube2f"
1.72918195359797e-220,0.539458635819241,0.592,0.485,3.29495621258093e-216,"0","Eif1"
5.89065850497604e-217,0.543610481550252,0.665,0.555,1.12246497812318e-212,"0","Fosb"
2.36795597359991e-213,0.525142426614612,0.51,0.372,4.51214010769464e-209,"0","Ikzf1"
1.14451606889838e-208,0.582975721695969,0.534,0.426,2.18087536928586e-204,"0","Plekho1"
0,5.56315558375653,0.53,0.015,0,"1","Cst7"
0,1.67971848192005,0.824,0.321,0,"1","Cd52"
0,1.99762679219723,0.842,0.358,0,"1","Lgals3bp"
0,1.10047848072372,0.79,0.331,0,"1","Apoe"
0,1.36168465302884,0.77,0.313,0,"1","Axl"
