"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.38121465986321e-50,0.722447946159582,0.759,0.728,1.02539045343694e-45,"0","Rsrp1"
2.30816760151046e-44,0.926848525092407,0.561,0.411,4.39821336467817e-40,"0","Hspa1b"
9.76284119309252e-36,0.632274115877416,0.709,0.721,1.86030938934378e-31,"0","Gimap3"
1.03086059835759e-34,0.895441306532887,0.523,0.376,1.96430487017039e-30,"0","Hspa1a"
3.58452872150042e-23,0.730425560123753,0.575,0.559,6.83031947881905e-19,"0","Dgka"
2.36281310862999e-17,0.643537387898634,0.601,0.638,4.50234037849444e-13,"0","Tbc1d10c"
9.21126061246575e-16,0.747616127392763,0.598,0.557,1.75520570970535e-11,"0","Hsp90aa1"
2.64666804406729e-14,0.56704753509982,0.517,0.483,5.04322595797022e-10,"0","Gramd3"
8.07214633516791e-11,0.515402035919544,0.508,0.498,1.53814748416625e-06,"0","Ms4a4b"
9.26239634119488e-10,0.561046098637927,0.562,0.57,1.76494962281468e-05,"0","Epsti1"
9.47293769425905e-07,0.570869883996688,0.535,0.582,0.0180506827764106,"0","Rasal3"
3.96662386482991e-06,0.546318402588454,0.554,0.607,0.0755840177443339,"0","Ogt"
7.82659786426726e-05,0.648661049050356,0.47,0.513,1,"0","Arhgap9"
0.00109181778495023,0.681906584561744,0.519,0.542,1,"0","Dnaja1"
0.00193552343893654,0.587414058008693,0.477,0.515,1,"0","Pik3cd"
0,6.20952894776647,0.783,0.028,0,"1","Hexb"
0,5.18234233547287,0.741,0.051,0,"1","Cst3"
0,5.78347388274344,0.698,0.028,0,"1","Csf1r"
0,3.23779701409103,0.657,0.094,0,"1","Abhd12"
0,3.43436805746157,0.666,0.103,0,"1","Rhob"
0,3.45272660343742,0.65,0.101,0,"1","Atf3"
0,4.2620346733482,0.582,0.043,0,"1","Cd81"
0,3.14410975346114,0.694,0.158,0,"1","Plek"
0,5.23736841944625,0.551,0.021,0,"1","Tmem119"
0,3.12302220976514,0.611,0.094,0,"1","Epb41l2"
0,3.71194561258323,0.567,0.056,0,"1","Tgfbr1"
0,3.71295301781378,0.622,0.114,0,"1","Egr1"
0,4.37193748799098,0.53,0.026,0,"1","Phyhd1"
0,2.78303856825662,0.636,0.138,0,"1","Kctd12"
0,2.12652750090536,0.716,0.231,0,"1","Bin1"
0,2.24541833515448,0.768,0.286,0,"1","Vsir"
0,2.13985853012661,0.648,0.178,0,"1","Bmp2k"
0,3.88191464598415,0.53,0.062,0,"1","Ccl3"
0,2.16909265290279,0.61,0.142,0,"1","Snx29"
0,3.06372501277554,0.562,0.095,0,"1","Ccl4"
0,3.9459591331304,0.51,0.058,0,"1","Slc15a3"
0,2.09838558365499,0.665,0.216,0,"1","Pik3ap1"
0,3.22211371406666,0.503,0.058,0,"1","Itgam"
0,2.49852474458227,0.559,0.116,0,"1","Cyfip1"
0,2.3303486514654,0.614,0.174,0,"1","Zfand5"
0,2.26567763402749,0.751,0.312,0,"1","Zfp36"
0,2.89649044833534,0.502,0.085,0,"1","Irf5"
0,2.05928725328975,0.523,0.126,0,"1","Prkcd"
0,1.72237457560026,0.532,0.146,0,"1","Lag3"
0,1.8125444047639,0.552,0.167,0,"1","Rrbp1"
0,1.97057334930902,0.531,0.161,0,"1","Efhd2"
1.99167989309707e-306,1.87468464497187,0.539,0.155,3.79514603629647e-302,"1","Mylip"
5.34931238836453e-284,1.78986072546189,0.555,0.182,1.01931147560286e-279,"1","Mef2a"
3.50295448013663e-271,1.48445748770823,0.88,0.552,6.67487976190035e-267,"1","Serinc3"
2.42132051459803e-264,1.55223410190339,0.656,0.258,4.61382624056654e-260,"1","Rgs10"
8.87836548996941e-248,1.89325968137603,0.528,0.161,1.69177254411367e-243,"1","Atp6v0c"
3.96706106919345e-244,1.4954993628385,0.792,0.391,7.55923486734811e-240,"1","Jun"
8.33090758317193e-237,1.45362605988771,0.575,0.217,1.58745443997341e-232,"1","Fmnl3"
3.58169500081028e-225,1.77877755648252,0.666,0.299,6.82491982404398e-221,"1","Herpud1"
1.1570169834416e-217,1.77758892748492,0.526,0.191,2.20469586194797e-213,"1","Tbc1d10a"
5.60699804302956e-215,1.47480293372673,0.554,0.211,1.06841347709928e-210,"1","Arap1"
5.89131295429346e-208,1.33038077840148,0.787,0.42,1.12258968344062e-203,"1","Ivns1abp"
7.71317693767133e-204,1.30595543419507,0.797,0.457,1.46974586547327e-199,"1","Smap2"
1.65789736371002e-201,1.48385058547025,0.584,0.245,3.15912342654943e-197,"1","Nckap1l"
5.55345067343659e-200,1.21433035110997,0.769,0.402,1.05821002582334e-195,"1","Inpp5d"
2.02818647240316e-198,1.34744009599946,0.67,0.308,3.86470932316422e-194,"1","Wsb1"
2.82615064133704e-193,1.29717238776166,0.811,0.488,5.38523004706773e-189,"1","Mcl1"
1.21986974313242e-192,1.71665069730546,0.602,0.249,2.32446179553882e-188,"1","Fos"
7.94726441683034e-191,1.19229321427332,0.53,0.204,1.51435123462702e-186,"1","Pde3b"
