"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","GSE15735_2H_VS_12H_HDAC_INHIBITOR_TREATED_CD4_TCELL_UP",2.65364648446464,9.43863388939881e-19,4.67589922880817e-15
"CD4+ Helper T cells","GSE14350_IL2RB_KO_VS_WT_TEFF_UP",2.48040971050728,1.49694819834633e-13,2.47196045820257e-10
"CD4+ Helper T cells","GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP",2.47286226799321,9.29740287948519e-15,2.30296669324848e-11
"CD4+ Helper T cells","GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN",2.39406640165918,1.85833950645111e-11,1.72607275600024e-08
"CD4+ Helper T cells","GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP",2.35720157172149,4.2989047734362e-09,1.25275142632959e-06
"CD4+ Helper T cells","GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",2.33736892458881,2.09052009204712e-11,1.72607275600024e-08
"CD4+ Helper T cells","GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN",2.26600171188753,2.48067436565209e-10,1.36547342304894e-07
"CD4+ Helper T cells","GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_DN",2.25750532233348,1.87416149748419e-09,6.63185432752618e-07
"CD4+ Helper T cells","GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_MOUSE_LUNG_DC_UP",2.25720247928701,2.91997509557949e-08,6.02731525979199e-06
"CD4+ Helper T cells","GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_DN",2.25563536848732,1.59007236375057e-09,6.05939883847719e-07
"CD4+ Helper T cells","GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_DN",2.25081130464978,3.84565364245158e-09,1.19071050904407e-06
"CD4+ Helper T cells","GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP",2.23073286376526,3.05381366871967e-09,1.00857286098915e-06
"CD4+ Helper T cells","GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP",2.22634453640065,9.90373617918345e-10,4.08859241930623e-07
"CD4+ Helper T cells","GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP",2.21546029965707,7.6018307548373e-08,1.39479516886904e-05
"CD4+ Helper T cells","GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_DN",2.20341071817128,7.79409251940789e-10,3.86119343411467e-07
"CD4+ Helper T cells","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",2.18384848499065,8.33185568305680e-09,2.06380065269317e-06
"CD4+ Helper T cells","GSE4590_LARGE_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN",2.16311726923532,2.15912778501525e-08,4.65057349868067e-06
"CD4+ Helper T cells","GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP",2.12080695106653,2.27336911338483e-07,3.41280926900256e-05
"CD4+ Helper T cells","GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_DN",2.11797991836047,1.71876933040131e-07,2.8382610876027e-05
"CD4+ Helper T cells","GSE7852_TREG_VS_TCONV_THYMUS_UP",2.10341988710463,1.79919467417122e-07,2.87522916640136e-05
"CD4+ Helper T cells","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_DN",2.09989875287199,3.30471424095239e-07,4.63598929589443e-05
"CD4+ Helper T cells","GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP",2.09832655339999,3.60962184558006e-07,4.83299097919017e-05
"CD4+ Helper T cells","GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_DN",2.09669473144785,1.86420344936371e-06,0.000164915426574068
"CD4+ Helper T cells","GSE22886_TH1_VS_TH2_12H_ACT_DN",2.09613611446889,1.18038720403028e-06,0.000119786945896112
"CD4+ Helper T cells","GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_MUT_TCONV_UP",2.09202430180183,1.18481234334063e-06,0.000119786945896112
"CD4+ Helper T cells","GSE7852_TREG_VS_TCONV_UP",2.07875053107302,3.36890623036334e-07,4.63598929589443e-05
"CD4+ Helper T cells","GSE37301_PRO_BCELL_VS_CD4_TCELL_DN",2.06479319561294,4.30359200962593e-06,0.000323030224480104
"CD4+ Helper T cells","GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN",2.05121634689598,4.30521536589002e-07,5.61264129542609e-05
"CD4+ Helper T cells","GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN",2.05050708976152,6.94988255467427e-05,0.00286114192525437
"CD4+ Helper T cells","GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_DN",2.04840431522895,9.29416893375828e-07,0.000102318473106308
"CD4+ Helper T cells","GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP",2.02954100909155,0.000115886382202191,0.00431654990548611
"CD4+ Helper T cells","GSE11057_PBMC_VS_MEM_CD4_TCELL_DN",2.02865816289724,1.24185579893348e-06,0.000122492438150343
"CD4+ Helper T cells","GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN",2.02827007588134,4.85429864183745e-07,6.166203967093e-05
"CD4+ Helper T cells","GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_DN",2.02570178253942,8.29744169974644e-06,0.000547042686460452
"CD4+ Helper T cells","GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP",2.02566668197873,1.52001336692033e-06,0.000136911749449515
"CD4+ Helper T cells","GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP",2.02550511764166,2.19101821444141e-06,0.000189862113277534
"CD4+ Helper T cells","GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_UP",2.02455976075665,7.87056625695061e-06,0.000526902503201802
"CD4+ Helper T cells","GSE13306_TREG_VS_TCONV_UP",2.01898489089958,3.1480731962316e-05,0.00155955546141313
"CD4+ Helper T cells","GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP",2.01675346181096,1.26102429262566e-06,0.000122492438150343
"CD4+ Helper T cells","GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TCONV_UP",2.00973429233045,1.29596429390816e-05,0.000792618161977905
"CD4+ Helper T cells","GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_DN",2.00859555964573,8.63611278953201e-06,0.00054850388153002
"CD4+ Helper T cells","GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN",2.00693657811158,6.32949892661398e-07,7.29217155405713e-05
"CD4+ Helper T cells","GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN",2.00688817839505,5.93663716468228e-07,7.17319524727707e-05
"CD4+ Helper T cells","GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_DN",2.00608082076415,8.76237074794015e-07,9.86563288302171e-05
"CD4+ Helper T cells","GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN",2.0030455350049,1.10317266098467e-06,0.000116420680765177
"CD4+ Helper T cells","GSE26669_CD4_VS_CD8_TCELL_IN_MLR_COSTIM_BLOCK_UP",2.00248770717521,2.81316484239925e-06,0.000227202087917461
"CD4+ Helper T cells","GSE7460_TCONV_VS_TREG_THYMUS_DN",1.99570555996293,2.22285074083507e-06,0.000189862113277534
"CD4+ Helper T cells","GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_DN",1.99378011422672,4.41555326914309e-05,0.00206364631088065
"CD4+ Helper T cells","GSE27786_CD4_VS_CD8_TCELL_UP",1.98104326022803,1.29925193558192e-06,0.000122641501651698
"CD4+ Helper T cells","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP",1.97639793486263,3.12751353417941e-06,0.000245931778544838
"CD4+ Helper T cells","GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_UP",1.97167032382787,2.84346577530936e-06,0.000227202087917461
