"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","HALLMARK_IL2_STAT5_SIGNALING",2.07673339982015,1.83798724122393e-07,8.27094258550767e-06
"CD4+ Helper T cells","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.80247006160538,0.000343601479655395,0.00309241331689855
"CD4+ Helper T cells","HALLMARK_UV_RESPONSE_DN",1.69875485393933,0.00210463892310915,0.0111381113841801
"CD4+ Helper T cells","HALLMARK_ESTROGEN_RESPONSE_LATE",1.61769756018343,0.00273040248999289,0.012286811204968
"CD4+ Helper T cells","HALLMARK_INFLAMMATORY_RESPONSE",1.48051010705304,0.0143506161974457,0.0538148107404214
"CD4+ Helper T cells","HALLMARK_GLYCOLYSIS",1.45314555396175,0.0131335564083725,0.0537281853069783
"CD4+ Regulatory T cells","HALLMARK_IL2_STAT5_SIGNALING",2.58726990651651,6.70691917786015e-19,3.01811363003707e-17
"CD4+ Regulatory T cells","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.77336437032899,0.00273361124491656,0.0153765632526557
"CD4+ Regulatory T cells","HALLMARK_ESTROGEN_RESPONSE_LATE",1.6834775754493,0.00314451453709706,0.0157225726854853
"CD4+ Regulatory T cells","HALLMARK_GLYCOLYSIS",1.67560490087497,0.00227124239764075,0.0146008439848334
"CD4+ Regulatory T cells","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.54165042387993,0.00872213765166305,0.0360640778554722
"CD4+ Regulatory T cells","HALLMARK_INFLAMMATORY_RESPONSE",1.50928959065363,0.0141353558931418,0.0520192866141653
"CD4+ Regulatory T cells","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.48010007494946,0.0334359375188189,0.0940385742716782
"CD4+ Regulatory T cells","HALLMARK_HYPOXIA",1.45105309783059,0.0262679930284901,0.0844328347344325
"CD4+ Regulatory T cells","HALLMARK_P53_PATHWAY",1.37828743723708,0.0374331550802139,0.099087763447625
"CD8+ Cytotoxic T cells","HALLMARK_ALLOGRAFT_REJECTION",2.14198316754771,2.84686966907324e-06,6.40545675541479e-05
"CD8+ Cytotoxic T cells","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.53511667221715,0.00505159986382579,0.0378869989786935
"IFN-stimulated T cells","HALLMARK_INTERFERON_GAMMA_RESPONSE",3.17671315494886,1.49305984736961e-41,6.71876931316326e-40
"IFN-stimulated T cells","HALLMARK_INTERFERON_ALPHA_RESPONSE",3.04249058857688,1.46117743772934e-30,3.28764923489103e-29
"IFN-stimulated T cells","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.74036737759068,0.00415887883797611,0.0187149547708925
"IFN-stimulated T cells","HALLMARK_INFLAMMATORY_RESPONSE",1.73988498448075,0.00192802887717909,0.0123944713532941
"IFN-stimulated T cells","HALLMARK_ALLOGRAFT_REJECTION",1.52903721109953,0.0134123880596816,0.046427497129667
"Myeloid cells","HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.33281943993917,1.71788950110236e-15,8.07408065518111e-14
"Myeloid cells","HALLMARK_COAGULATION",2.25396011180573,3.19849986437021e-08,3.758237340635e-07
"Myeloid cells","HALLMARK_INFLAMMATORY_RESPONSE",2.06639904520478,4.12478423873222e-08,3.87729718440829e-07
"Myeloid cells","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.00127278807873,3.51141825238255e-05,0.000183374064291089
"Myeloid cells","HALLMARK_COMPLEMENT",1.95667639199035,2.15180994862666e-06,1.68558445975755e-05
"Myeloid cells","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.92871190825731,0.000123737639818745,0.000581566907148103
"Myeloid cells","HALLMARK_TGF_BETA_SIGNALING",1.88482454526729,0.000656553588526003,0.00242681766788923
"Myeloid cells","HALLMARK_P53_PATHWAY",1.85243739998747,3.34922943329692e-05,0.000183374064291089
"Myeloid cells","HALLMARK_APICAL_JUNCTION",1.72803066839876,0.00194243225026517,0.00608628771749754
"Myeloid cells","HALLMARK_HYPOXIA",1.72161254817697,0.000895551174439185,0.00300649322847441
"Myeloid cells","HALLMARK_APOPTOSIS",1.61393667959365,0.00785944357160652,0.0217290498744416
"Myeloid cells","HALLMARK_XENOBIOTIC_METABOLISM",1.61273527536764,0.00600429920422036,0.0176376289123973
"Myeloid cells","HALLMARK_ANDROGEN_RESPONSE",1.60244456932655,0.0154612069768275,0.0382461435742575
"Myeloid cells","HALLMARK_MYOGENESIS",1.57651092348442,0.0190767793766171,0.0448304315350502
"Myeloid cells","HALLMARK_KRAS_SIGNALING_UP",1.54824278710479,0.0142523326261112,0.0372144240792904
"Myeloid cells","HALLMARK_KRAS_SIGNALING_DN",1.54334919177628,0.0355191256830601,0.0794951860525631
"Myeloid cells","HALLMARK_UV_RESPONSE_UP",1.38856252853373,0.0405405405405405,0.0866093366093366
"Proliferating","HALLMARK_E2F_TARGETS",2.32529962678553,6.24844987101041e-42,2.81180244195468e-40
"Proliferating","HALLMARK_G2M_CHECKPOINT",2.27672076292037,1.18105988929427e-34,2.6573847509121e-33
"Proliferating","HALLMARK_MITOTIC_SPINDLE",2.02366609298018,7.22846719454953e-15,1.08427007918243e-13
"Proliferating","HALLMARK_MYC_TARGETS_V1",1.83343766626131,4.89223237261324e-10,5.50376141918989e-09
"Proliferating","HALLMARK_SPERMATOGENESIS",1.80778783066473,0.000157503965395125,0.00118127974046344
"Proliferating","HALLMARK_MTORC1_SIGNALING",1.69866055622859,1.15974279047208e-06,1.04376851142487e-05
"Proliferating","HALLMARK_GLYCOLYSIS",1.59816108475975,0.000828825537836843,0.00532816417180827
