"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.38121465986321e-50,0.722447946159582,0.759,0.728,1.02539045343694e-45,"Heat-shocked T cells","Rsrp1"
2.30816760151046e-44,0.926848525092407,0.561,0.411,4.39821336467817e-40,"Heat-shocked T cells","Hspa1b"
9.76284119309252e-36,0.632274115877416,0.709,0.721,1.86030938934378e-31,"Heat-shocked T cells","Gimap3"
1.03086059835759e-34,0.895441306532887,0.523,0.376,1.96430487017039e-30,"Heat-shocked T cells","Hspa1a"
3.58452872150042e-23,0.730425560123753,0.575,0.559,6.83031947881905e-19,"Heat-shocked T cells","Dgka"
2.36281310862999e-17,0.643537387898634,0.601,0.638,4.50234037849444e-13,"Heat-shocked T cells","Tbc1d10c"
9.21126061246575e-16,0.747616127392763,0.598,0.557,1.75520570970535e-11,"Heat-shocked T cells","Hsp90aa1"
2.64666804406729e-14,0.56704753509982,0.517,0.483,5.04322595797022e-10,"Heat-shocked T cells","Gramd3"
8.07214633516791e-11,0.515402035919544,0.508,0.498,1.53814748416625e-06,"Heat-shocked T cells","Ms4a4b"
9.26239634119488e-10,0.561046098637927,0.562,0.57,1.76494962281468e-05,"Heat-shocked T cells","Epsti1"
9.47293769425905e-07,0.570869883996688,0.535,0.582,0.0180506827764106,"Heat-shocked T cells","Rasal3"
3.96662386482991e-06,0.546318402588454,0.554,0.607,0.0755840177443339,"Heat-shocked T cells","Ogt"
7.82659786426726e-05,0.648661049050356,0.47,0.513,1,"Heat-shocked T cells","Arhgap9"
0.00109181778495023,0.681906584561744,0.519,0.542,1,"Heat-shocked T cells","Dnaja1"
0.00193552343893654,0.587414058008693,0.477,0.515,1,"Heat-shocked T cells","Pik3cd"
0,6.20952894776647,0.783,0.028,0,"Myeloid cells","Hexb"
0,5.18234233547287,0.741,0.051,0,"Myeloid cells","Cst3"
0,5.78347388274344,0.698,0.028,0,"Myeloid cells","Csf1r"
0,3.23779701409103,0.657,0.094,0,"Myeloid cells","Abhd12"
0,3.43436805746157,0.666,0.103,0,"Myeloid cells","Rhob"
0,3.45272660343742,0.65,0.101,0,"Myeloid cells","Atf3"
0,4.2620346733482,0.582,0.043,0,"Myeloid cells","Cd81"
