"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.18042912891478,0.91,0.196,0,"0","Tmem119"
0,3.11788610931997,0.862,0.171,0,"0","Siglech"
0,2.47461639423271,0.992,0.352,0,"0","Hexb"
0,2.34762398042189,0.97,0.38,0,"0","Csf1r"
0,3.07602942590395,0.73,0.142,0,"0","Sall1"
0,2.5241001850842,0.806,0.228,0,"0","Fcrls"
0,2.73333676561764,0.768,0.196,0,"0","Slco2b1"
0,1.73674034615413,0.921,0.358,0,"0","Sparc"
0,2.67666458319606,0.926,0.365,0,"0","Vsir"
0,3.36789784848254,0.696,0.136,0,"0","P2ry13"
0,2.67294125699159,0.83,0.278,0,"0","Selplg"
0,1.13550334961781,0.945,0.403,0,"0","C1qa"
0,2.28656005218787,0.757,0.217,0,"0","Cfh"
0,2.20605797713712,0.792,0.253,0,"0","Phyhd1"
0,2.42356227756829,0.807,0.273,0,"0","F11r"
0,2.22659209363658,0.788,0.284,0,"0","Tgfbr1"
0,0.63086965936244,0.944,0.441,0,"0","Ctss"
0,0.881402754196003,0.925,0.424,0,"0","C1qb"
0,2.11141407785643,0.851,0.352,0,"0","Rhob"
0,2.79530373759074,0.654,0.156,0,"0","Ptgs1"
0,2.19155807740301,0.766,0.269,0,"0","Hpgds"
0,2.24689814752699,0.988,0.492,0,"0","Cst3"
0,1.60334629960374,0.9,0.407,0,"0","Cd81"
0,2.13438561250478,0.902,0.424,0,"0","Jun"
0,1.88441840940851,0.751,0.292,0,"0","Csf3r"
0,3.15451426892402,0.57,0.111,0,"0","Gpr34"
0,3.25665902540968,0.563,0.107,0,"0","Ifitm10"
0,2.11172968048403,0.73,0.274,0,"0","Rnase4"
0,1.63213248953468,0.842,0.392,0,"0","Bin1"
0,1.99415617672514,0.94,0.492,0,"0","Serinc3"
0,2.31820372472324,0.674,0.228,0,"0","Hspa1a"
0,1.63429946521098,0.886,0.44,0,"0","Abhd12"
0,1.75681842924643,0.751,0.31,0,"0","Itgam"
0,1.86605496798812,0.745,0.306,0,"0","Ccr5"
0,1.24652051059657,0.855,0.419,0,"0","Selenop"
