"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.48473656229769,0.877,0.157,0,"Macrophages","Apoe"
0,4.94198674181815,0.711,0.047,0,"Macrophages","Lyz2"
0,5.31665889843153,0.64,0.026,0,"Macrophages","Ms4a7"
0,2.20595896801202,0.743,0.155,0,"Macrophages","Lilrb4a"
0,2.67545959652813,0.737,0.161,0,"Macrophages","Anxa5"
0,5.02340602825664,0.611,0.037,0,"Macrophages","Lyz1"
0,2.41001563136972,0.831,0.282,0,"Macrophages","Ctsb"
0,4.12900441350799,0.622,0.08,0,"Macrophages","Lgals3"
0,3.44944317886154,0.61,0.075,0,"Macrophages","Tmem106a"
0,2.27338269774498,0.786,0.251,0,"Macrophages","Npc2"
0,2.04876444307613,0.742,0.209,0,"Macrophages","Bst2"
0,3.2934730245163,0.63,0.099,0,"Macrophages","Ms4a6d"
0,2.67609416799371,0.737,0.209,0,"Macrophages","Cstb"
0,4.35433281566321,0.564,0.04,0,"Macrophages","Tgfbi"
0,2.02904355782109,0.826,0.306,0,"Macrophages","Cd68"
0,2.37121066411305,0.736,0.218,0,"Macrophages","Fcgr2b"
0,1.99210485179325,0.627,0.116,0,"Macrophages","Pla2g7"
0,2.34478504235529,0.722,0.212,0,"Macrophages","Ninj1"
0,2.19366178650441,0.836,0.329,0,"Macrophages","Fth1"
0,1.71019936615788,0.837,0.335,0,"Macrophages","Fcer1g"
0,3.60076902475655,0.581,0.08,0,"Macrophages","Plin2"
0,1.89297102831144,0.825,0.332,0,"Macrophages","Cebpb"
0,2.25747179619755,0.722,0.233,0,"Macrophages","Gpx1"
0,1.6189794644126,0.903,0.42,0,"Macrophages","Tyrobp"
0,3.41656300300887,0.56,0.079,0,"Macrophages","Ifi207"
0,4.15558048192536,0.522,0.042,0,"Macrophages","Myof"
0,4.59424792542274,0.512,0.035,0,"Macrophages","Wfdc17"
0,1.23893957092045,0.832,0.36,0,"Macrophages","Grn"
0,2.70980345175502,0.635,0.165,0,"Macrophages","Vim"
0,2.28438618412659,0.628,0.159,0,"Macrophages","Emp3"
0,2.78755226726535,0.799,0.331,0,"Macrophages","Psap"
0,2.56103798655017,0.541,0.074,0,"Macrophages","Msrb1"
0,2.34977742161083,0.618,0.151,0,"Macrophages","P2rx4"
0,1.67721042681705,0.716,0.251,0,"Macrophages","Pim1"
0,1.68608878233902,0.808,0.344,0,"Macrophages","Sdcbp"
0,2.04124000329672,0.631,0.171,0,"Macrophages","Axl"
