"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sumo2",1036.60285995081,-3.71202170744459,0.41025816354839,-9.04801424385735,1.4559178547357e-19,1.3650685806002e-15
"Marco",576.906983072178,-6.9570926121176,0.779763855603989,-8.92205064663939,4.57732809144851e-19,2.14585140927106e-15
"Fpr2",1657.09760482794,-4.92050012807206,0.568159859610039,-8.66041492521011,4.70050138011399e-18,1.46906336466496e-14
"Clec4e",3659.23339181236,-2.91822943205593,0.359959035482502,-8.10711537812694,5.18356348715103e-16,1.2150272813882e-12
"Ptgs2",9738.05360568843,-2.08713902214647,0.320468479353368,-6.51277475512674,7.37750984873134e-11,1.3834306468341e-07
"Taf13",302.086519706946,-3.11873194868743,0.512872390422348,-6.08091214681914,1.19500759757971e-09,1.86739853915123e-06
"Sod2",2788.6071788441,-2.4195943983452,0.40051409947558,-6.04122152381985,1.5295181059738e-09,2.04868025165862e-06
"Morf4l2",1822.82660816799,-2.22674679857056,0.374507134093431,-5.94580608981146,2.75099658854226e-09,3.22416800177152e-06
"Gas7",644.311187567067,-2.43298909381293,0.42174534156313,-5.76885825174845,7.98103978971488e-09,8.3144698964852e-06
"Ube2v2",601.023942927813,-2.75663319596194,0.483399141542878,-5.70260258874999,1.17991854172329e-08,1.10629162471975e-05
"Igkc",3673.45009954659,-12.1586858417949,2.14320319886692,-5.67313722199695,1.40205831278806e-08,1.1950635218819e-05
"Cd38",2246.64099412838,-2.50277975557213,0.445934804858907,-5.61243421303255,1.9950006583323e-08,1.55876051437697e-05
"Ptges",98.5779620598237,-9.8079466308018,1.76394617913285,-5.56023009478858,2.69419210453486e-08,1.94313424400914e-05
"Tecpr1",1269.96345592438,2.23323738342288,0.411189779836527,5.43115975380208,5.59889834823334e-08,3.74966220807398e-05
"Cd55",176.157142512418,-3.21232554602588,0.596652649853133,-5.38391230947621,7.28840212960899e-08,4.55573722448093e-05
"Calhm6",1393.37430433519,-1.92623322894685,0.35875027784057,-5.36928707217024,7.90485051877997e-08,4.63224240400506e-05
"Cp",990.766059952209,-2.49927288655457,0.479743255808926,-5.20960504664184,1.89243039202285e-07,0.000104373102091801
"Thbs1",21163.709360369,-1.78815607011994,0.344023997638033,-5.19776551169945,2.01698331550454e-07,0.000105062419812058
"Bbc3",3249.33913903336,1.75955207838171,0.343204598095275,5.12683130746767,2.94659309867657e-07,0.000145406615227324
"Slc25a5",4339.03302508055,-2.11404451506685,0.413653706605667,-5.11066256945728,3.21030924241929e-07,0.000150499297284616
"Lonrf3",3822.34939270159,1.62744366338676,0.323849794765041,5.02530398256853,5.02635728663342e-07,0.000224414885330833
"Clec4a1",1734.15541528866,-2.80098320950604,0.560260595921918,-4.99942924755751,5.75002665116354e-07,0.000234401086440475
"Mid1",215.765026560434,2.54888677011976,0.509386533295501,5.00383619022988,5.62005192951563e-07,0.000234401086440475
"Abtb1",660.231934825048,1.85100394617817,0.372862730846109,4.96430399996758,6.89478752169085e-07,0.000269356365847389
"Hp",1321.023605575,-2.55085573817462,0.517818731655599,-4.92615578045792,8.38631465884059e-07,0.000314520344965158
"Snx5",3666.81656456554,-1.68438652603912,0.342620768861728,-4.91618336983794,8.82477433659002e-07,0.000318234939153339
