"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4930517N10Rik",0.0317455371505473,-4.50865210634235,0,0,1
"A1bg",0.0492066467672851,5.76499215058849,0,0,1
"A1cf",0.0304677310993544,5.14390021875015,0,0,1
"A2m",5.3508021265693e-16,-5.57830537098548,0,0,1.01959534521778e-11
"A2ml1",0.451298793166127,-0.475234351603939,0,0,1
"A3galt2",0.122731959764761,1.73735852102182,0.004,0.002,1
"A4galt",0.115283029535083,3.89633967951709,0,0,1
"A4gnt",0.609417936116423,1.16491946528834,0,0,1
"AA467197",4.8589981199617e-27,0.905637473604955,0.1,0.066,9.25882091758702e-23
"AA986860",5.86742256199406e-10,-1.46547388464863,0,0.001,1.11803736918797e-05
"AB124611",5.2033919527766e-31,-0.134348513695751,0.034,0.054,9.91506336601581e-27
"AF067061",0.348066594848575,0.99275893784035,0,0,1
"AF067063",0.212979844531962,-0.994570913947491,0,0,1
"AI182371",0.00122882904347545,-0.179427172740719,0.001,0.002,1
"AI429214",1.22893625392991e-13,-0.533016876079474,0.003,0.007,2.34173803186344e-09
"AI467606",0.687999308811985,0.770216745460855,0.066,0.06,1
"AI593442",0.000131210004955432,-0.918527901751665,0,0.001,1
"AI597479",2.35630767530042e-84,-1.50035280186419,0.005,0.022,4.48994427528494e-80
"AI661453",0.0659170859887513,0.756463129918125,0.001,0.002,1
"AI837181",2.61960037273199e-35,0.117908625640715,0.052,0.07,4.99164851024081e-31
"AI854703",0.000130325712859899,1.13209584242452,0,0,1
"AI987944",1.16803465090469e-25,-1.15163472326615,0.001,0.007,2.22569002729889e-21
"AK157302",0.378532585792477,-2.31654262569782,0,0,1
"AU015836",0.206580223970048,4.23921135925143,0,0,1
"AU018091",0.378532585792477,-2.21825929167076,0,0,1
"AU021092",0.0823870718678577,3.59663402689311,0,0,1
"AU022252",3.69189721795234e-69,-1.25418724055293,0.006,0.021,7.03491014880819e-65
"AU040320",2.40809823961388e-160,-0.212302011509487,0.084,0.153,4.58863119558425e-156
"AU041133",4.06117801841104e-48,-1.1951344743625,0.005,0.015,7.73857471408223e-44
"AV320801",0.25617954870737,0.366703209050398,0,0,1
"AW146154",0.121645463848091,-1.63294014352085,0,0.001,1
"AW209491",2.86060932722408e-66,-1.76778583927299,0.002,0.009,5.45089107302549e-62
"AW551984",0.0138331803327631,1.30150315991071,0,0,1
"AW554918",1.4419229933574e-69,0.0618892020956854,0.019,0.025,2.74758426384253e-65
"AW822073",0.12717233654014,-2.10844926466265,0,0,1
"AY358078",0.0309845304052766,-4.95993767447588,0,0,1
"AY761185",0.25617954870737,0.366703209050398,0,0,1
"Aaas",3.75126735423841e-55,-0.0125816806027301,0.035,0.054,7.14803994350129e-51
"Aacs",0.419499087156192,1.06677864139899,0.034,0.022,1
"Aadac",0.609491480281795,0.45938416814375,0,0,1
"Aadacl2",0.285732996642708,-3.04050549552694,0,0,1
"Aadacl3",0.461871682266853,-1.26779429356881,0,0,1
"Aadacl4",0.717934619127441,3.49037757943695,0,0,1
"Aadat",0.451360616372162,0.381965045155209,0,0,1
"Aagab",6.7814801429739e-46,0.19449139498474,0.235,0.283,1.29221104124368e-41
"Aak1",0,-1.42815818243372,0.008,0.03,0
"Aamdc",2.68217284217229e-48,0.110731117519148,0.007,0.009,5.11088035075929e-44
"Aamp",0.0012316146776202,0.527981562497863,0.274,0.292,1
"Aanat",0.588451741870737,5.27694902428443,0,0,1
"Aar2",0.47516216532204,1.09280436052342,0.007,0.006,1
"Aard",0.244339865753276,-5.42700183765985,0,0,1
"Aars",2.16814617186335e-73,0.0847670146849022,0.082,0.141,4.13140253048561e-69
"Aarsd1",3.07780447716107e-89,-0.428035415353993,0.023,0.051,5.86475643123042e-85
"Aasdh",3.21258544842153e-13,0.0506241673653864,0.009,0.014,6.12158157196723e-09
"Aasdhppt",6.467600420279e-40,0.235596196563687,0.04,0.045,1.23240126008416e-35
"Aass",0.0488260617943366,-2.15644170563408,0,0,1
"Aatf",3.35648312690498e-50,0.140283419173846,0.031,0.045,6.39577859831743e-46
"Aatk",1.66804484324686e-12,-0.198080806899772,0.002,0.003,3.17845944880689e-08
"Abat",1.59726922158643e-61,-4.27129233793599,0,0.001,3.04359650173294e-57
"Abca1",6.29365499195294e-11,0.115683904323736,0.48,0.544,1.19925595871663e-06
"Abca12",0.965022858833505,-0.319583112335282,0,0,1
"Abca13",0.126916982272875,-1.30300430823183,0,0,1
"Abca14",0.773859703724333,0.148834333625402,0,0,1
"Abca15",0.383188212911469,-0.141784766772254,0,0,1
"Abca16",0.717890213859209,0.366703209050398,0,0,1
"Abca17",0.0232723869994751,0.0917657660475006,0.002,0.002,1
"Abca2",1.26813245502353e-73,-0.110859828796086,0.006,0.007,2.41642639304733e-69
"Abca3",8.95746850433179e-186,-0.749476357145913,0.043,0.108,1.70684562350042e-181
"Abca4",0.876051893440613,-1.0696091056601,0,0,1
"Abca5",7.75173559989937e-10,-0.228669119969235,0.001,0.001,1.47709321856083e-05
"Abca6",1.24940563973402e-20,-1.78077726700648,0.001,0.005,2.38074244651317e-16
"Abca7",3.72034938714906e-24,0.250961388165306,0.049,0.06,7.08912575721254e-20
"Abca8a",0.00063881228281407,2.48730303452979,0,0,1
"Abca8b",7.21111845947336e-19,-1.53181157595822,0.001,0.003,1.37407862245265e-14
"Abca9",0,-1.58026321397627,0.092,0.372,0
"Abcb10",3.89654226200335e-25,0.565240734193295,0.013,0.01,7.42486128024738e-21
"Abcb11",0.62470763940374,-0.085547084053692,0,0,1
"Abcb1a",9.49816628003059e-16,4.75902063182916,0,0,1.80987558465983e-11
"Abcb1b",5.00794841908304e-243,-0.665020237098695,0.05,0.149,9.54264571256273e-239
"Abcb4",1.44739345553859e-86,-0.368125341907418,0.022,0.055,2.75800822952878e-82
"Abcb5",0.12717233654014,-2.84274561250324,0,0,1
"Abcb6",1.73117654176827e-36,0.0705126841983321,0.014,0.024,3.29875690033944e-32
"Abcb7",4.38523645115213e-298,-0.978923255027929,0.047,0.148,8.35606805767038e-294
"Abcb8",1.00348839907554e-15,0.227006459474081,0.006,0.005,1.91214714443845e-11
"Abcb9",1.01451940677241e-11,-0.565909512409245,0.002,0.005,1.93316672960483e-07
"Abcc1",3.81686380810175e-17,0.472729451346445,0.068,0.077,7.27303398633789e-13
"Abcc10",9.69764276467596e-17,1.60514338488813,0.041,0.023,1.847885828809e-12
"Abcc12",0.686704793441136,5.06289404190556,0,0,1
