"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4930517N10Rik",0.0332603987366418,-3.6690453718032,0,0,1
"A1bg",0.934910059685541,1.37673513130303,0,0,1
"A1cf",0.0121299724057078,-0.528936227441669,0,0,1
"A2m",2.11096993613144e-08,-5.38179624950442,0,0,0.000402245321329846
"A2ml1",0.392770553292118,-2.52577759328389,0,0,1
"A3galt2",0.00395440701117195,-0.27088641528182,0.004,0.005,1
"A4galt",0.0582259231785954,-0.792914554077568,0,0,1
"A4gnt",0.3139403377843,-0.393761350180309,0,0,1
"AA467197",0.00999811337045847,-0.289851757715126,0.1,0.086,1
"AA986860",1.42336203984051e-07,-1.45761711698775,0,0.001,0.00271221636691609
"AB124611",3.39994949125549e-19,-0.185553790042455,0.034,0.046,6.47860375558733e-15
"AF067061",0.947913279424778,1.63499589480645,0,0,1
"AF067063",0.140571275004809,-2.92628707385084,0,0,1
"AI182371",0.00827288761173579,-0.0807786019421028,0.001,0.002,1
"AI429214",8.10395073257376e-10,-0.546642755477546,0.003,0.007,1.54420781209193e-05
"AI467606",0.0462753856280873,0.634026875720446,0.066,0.057,1
"AI593442",0.00620145286202786,-1.66081642322668,0,0.001,1
"AI597479",2.66970191823791e-48,-0.985931034037517,0.005,0.017,5.08711700520234e-44
"AI661453",0.0286392129467665,0.767750383632852,0.001,0.001,1
"AI837181",8.885067550241e-25,0.0473681240426529,0.052,0.066,1.69304962169842e-20
"AI854703",0.0423958734567141,2.13399942089774,0,0,1
"AI987944",7.09673199473851e-16,-0.824917032975675,0.001,0.005,1.35228228159742e-11
"AK157302",0.320460971652907,-2.88183215068966,0,0,1
"AU015836",0.934796403572241,0.435523028229895,0,0,1
"AU018091",0.656838480033994,-0.244228355187966,0,0,1
"AU021092",0.0399775761713106,1.58155662661199,0,0,1
"AU022252",2.31765676256669e-40,-1.03516845707528,0.006,0.019,4.41629496107084e-36
"AU040320",9.16909623042885e-99,-0.110104520062574,0.084,0.131,1.74717128670822e-94
"AU041133",3.94199148418594e-35,-1.04998765451386,0.005,0.013,7.51146477311631e-31
"AV320801",0.64634184784234,0.0137583584696639,0,0,1
"AW146154",0.240654530094006,-1.57909960589628,0,0.001,1
"AW209491",6.59441898756228e-46,-1.71142084782151,0.002,0.01,1.25656653807999e-41
"AW551984",0.576384189936238,1.83125939624497,0,0,1
"AW554918",9.87080742949364e-53,0.118213009103094,0.019,0.023,1.88088235569001e-48
"AW822073",0.320460971652907,-1.66394503531669,0,0,1
"AY358078",0.0852675414965059,-3.22223337124786,0,0,1
"AY761185",0.201505567684874,-0.705785573561933,0,0,1
"Aaas",4.67594778796392e-34,0.0515453782117916,0.035,0.044,8.91001850996525e-30
"Aacs",0.0452880046827508,0.701318173257408,0.034,0.029,1
"Aadac",0.349882132663416,-0.453480733200101,0,0,1
"Aadacl2",0.346076947236957,-2.5038573092144,0,0,1
"Aadacl3",0.249478700279583,-0.585720521655821,0,0,1
"Aadacl4",0.392818397601328,-0.588252093020943,0,0,1
"Aadat",0.875361777337359,2.355995981638,0,0,1
"Aagab",1.71250472766772e-20,0.0938663604160754,0.235,0.271,3.26317775857084e-16
"Aak1",1.00336790348095e-161,-1.15120872990874,0.008,0.025,1.91191754008296e-157
"Aamdc",1.05172197010476e-30,-0.374868090159062,0.007,0.013,2.00405621403463e-26
"Aamp",0.0830121659936937,0.291813399377836,0.274,0.288,1
"Aanat",0.756465094044817,1.21011114038932,0,0,1
"Aar2",0.0867499962994531,0.48385758242898,0.007,0.008,1
"Aard",0.752287968454539,-4.54941406071798,0,0,1
"Aars",6.52223212181456e-65,0.000701538755923603,0.082,0.127,1.24281133081176e-60
"Aarsd1",3.97081661955064e-61,-0.381332183696518,0.023,0.045,7.56639106855375e-57
"Aasdh",2.65400060798871e-15,-0.189837339587036,0.009,0.015,5.05719815852248e-11
"Aasdhppt",3.49206700286028e-30,0.0466570223724845,0.04,0.045,6.65413367395027e-26
"Aass",0.0823477543237007,-2.20527575427428,0,0,1
"Aatf",3.54684288089946e-36,0.0833179542468909,0.031,0.043,6.75850910955393e-32
"Aatk",0.00156608122503886,-0.858844208645084,0.002,0.005,1
"Abat",1.52424923684204e-25,-4.30010271720788,0,0.001,2.90445692080251e-21
"Abca1",0.00165540994301273,0.0731452278820957,0.48,0.512,1
"Abca12",0.857891032358278,0.109473013477841,0,0,1
"Abca13",0.016417157995857,-5.04046388325373,0,0,1
"Abca14",0.4808400935834,0.942756568110717,0,0,1
"Abca15",0.496671840408101,0.769386671521197,0,0,1
"Abca16",0.187306932513655,-3.55220433152827,0,0,1
"Abca17",5.01405468707534e-05,-0.952633516372634,0.002,0.004,0.955428120622205
"Abca2",2.88209344509606e-45,-0.380464225227652,0.006,0.009,5.49182905963054e-41
"Abca3",2.6283426386088e-131,-0.631794079950554,0.043,0.091,5.00830689786907e-127
"Abca4",0.217007433700236,0.709339642553394,0,0,1
"Abca5",1.25660366389067e-07,-1.73753188750108,0.001,0.002,0.00239445828154367
"Abca6",2.87229439084431e-17,-1.5705566625596,0.001,0.005,5.47315696175384e-13
"Abca7",5.79690854185037e-29,0.011831108849367,0.049,0.064,1.10460092264959e-24
"Abca8a",0.00566327132410195,-0.0497352715152743,0,0,1
"Abca8b",5.89185906188736e-10,-0.706040028106065,0.001,0.001,1.12269374424264e-05
"Abca9",0,-1.09742957570455,0.092,0.271,0
"Abcb10",1.05309377136244e-18,0.191712452875825,0.013,0.016,2.00667018133113e-14
"Abcb11",0.591552095488093,1.09713967489417,0,0,1
"Abcb1a",1.22240078381578e-12,2.16294342562041,0,0,2.32928469356096e-08
"Abcb1b",5.10016050632268e-148,-0.456936554512749,0.05,0.113,9.71835584479786e-144
"Abcb4",4.0479399788834e-53,-0.195994082778529,0.022,0.046,7.71334962976232e-49
"Abcb5",0.123754729763204,-3.72575779412816,0,0,1
"Abcb6",8.27112338977599e-30,-0.0279902147995128,0.014,0.025,1.57606256192182e-25
"Abcb7",7.37668301928025e-174,-0.696770068773361,0.047,0.111,1.40562694932385e-169
"Abcb8",3.19619725721396e-15,-0.109697564874202,0.006,0.008,6.09035387362120e-11
"Abcb9",1.83366476182043e-08,-0.210961389899055,0.002,0.003,0.000349404820364883
"Abcc1",3.20396456020432e-21,0.275389591139207,0.068,0.08,6.10515446946934e-17
"Abcc10",3.29538642023068e-13,0.943113958649126,0.041,0.03,6.27935882374955e-09
"Abcc12",0.725929234644251,1.5637189166151,0,0,1
"Abcc2",0.947888478032169,1.772005815375,0,0,1
"Abcc3",2.42969121304068e-11,0.185831529924643,0.252,0.29,4.62977660644901e-07
"Abcc4",5.78117643769147e-21,-0.946495253867154,0.003,0.008,1.10160317020211e-16
"Abcc5",9.21676819940225e-27,0.248997618903599,0.21,0.245,1.7562551803961e-22
"Abcc6",0.148363084283216,-1.94350518875908,0,0,1
"Abcc8",2.57244100415368e-09,-0.379469607785836,0.001,0.002,4.90178633341484e-05
"Abcc9",0.000311771043289057,-3.15178537963245,0,0,1
"Abcd1",2.56014731083633e-74,-0.0200211350727544,0.241,0.312,4.87836070079863e-70
"Abcd2",3.91970513210347e-100,-0.231538762230611,0.105,0.167,7.46899812922317e-96
"Abcd3",1.14586432445444e-194,-0.868732749347182,0.026,0.077,2.18344447024793e-190
"Abcd4",5.88711272770605e-41,-0.131411155678695,0.032,0.048,1.12178933026439e-36
"Abce1",7.98111682912237e-126,-1.44228166338437,0.008,0.037,1.52080181178927e-121
"Abcf1",5.42025085774654e-105,-0.191966779611676,0.099,0.153,1.0328288009436e-100
"Abcf2",1.61616889450353e-89,-0.300164716509585,0.053,0.088,3.07960982847648e-85
"Abcf3",3.46847298667062e-05,0.28808275407838,0.083,0.09,0.660917527610086
"Abcg1",6.14560117736233e-10,0.611437073672175,0.086,0.07,1.17104430434639e-05
"Abcg2",4.11934874093604e-184,-0.855628660022209,0.013,0.042,7.84941902585362e-180
"Abcg3",1.69431265730917e-37,-0.410913247668946,0.012,0.027,3.22851276850263e-33
"Abcg4",0.0579051142232046,0.427793928123799,0.001,0.001,1
"Abcg5",0.33843702594375,0.89026553479486,0,0,1
"Abcg8",0.914696132027422,-1.45747539023554,0,0,1
"Abhd10",2.74217673186868e-35,-0.254981575604714,0.019,0.03,5.22521776257576e-31
"Abhd11",4.58172620780563e-14,0.19424906455096,0.077,0.086,8.73047928897363e-10
"Abhd12",0.0246023740193601,0.0270012840221403,0.752,0.781,1
"Abhd12b",0.87973316475239,1.34729554207476,0,0,1
"Abhd13",3.09778774663535e-10,0.102323197418629,0.014,0.021,5.90283455121366e-06
"Abhd14a",1.15399333089258e-26,-1.3151568806176,0.001,0.005,2.19893429201582e-22
"Abhd14b",3.60886314511421e-18,0.141146008924084,0.018,0.02,6.87668872301513e-14
"Abhd15",4.52453399713129e-14,0.434188001400403,0.049,0.061,8.62149953153367e-10
"Abhd16a",2.12126769268397e-53,-0.0438930006801921,0.081,0.101,4.0420755884093e-49
"Abhd16b",0.365039895460489,-0.0684931645049556,0,0,1
"Abhd17a",1.21713196400001e-13,-0.627606967540332,0.004,0.01,2.31924495740202e-09
"Abhd17b",1.8940854566817e-53,0.0311011563368904,0.08,0.087,3.60917983770698e-49
"Abhd17c",7.65760830436833e-201,-0.457655723389288,0.105,0.202,1.45915726239738e-196
"Abhd18",1.21648801916651e-18,0.203214197401032,0.009,0.013,2.31801792052179e-14
"Abhd2",2.00516685920013e-59,0.666034943808331,0.01,0.01,3.82084545020585e-55
"Abhd3",3.34812552318192e-08,0.354550493286519,0.001,0.002,0.000637985318442315
"Abhd4",3.47336287430462e-139,-0.913481489915085,0.029,0.083,6.61849295698745e-135
"Abhd5",1.96463232799134e-57,-0.267737681705503,0.028,0.049,3.74360690098749e-53
"Abhd6",5.64203571891207e-21,-0.303865230630959,0.008,0.015,1.07508990623869e-16
"Abhd8",5.90553417525172e-47,-8.57420753637769,0,0.002,1.12529953709422e-42
"Abi1",1.32915900254726e-234,-0.35717749690062,0.263,0.397,2.53271247935381e-230
"Abi2",3.321170325407e-131,-1.071770478609,0.006,0.024,6.32849005506304e-127
"Abi3",2.81681005441633e-12,0.198647536276356,0.22,0.254,5.36743155869032e-08
"Abi3bp",2.09229274551373e-06,0.128147223394027,0.001,0.002,0.0398686382657642
"Abitram",3.82257216457868e-35,-0.486036778102643,0.012,0.024,7.28391125960467e-31
