"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","contrast"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000109425553941629,0.00547127769708144,0.538434096309916,-0.492236489310962,-1.61960643323291,186,"Ndufa5;Ndufv1;Atp5o;Cox8a;Aco2;Pdk4;Uqcr11;Ndufb3;Ndufb5;Atp5g3;Pdp1;Cox6c;Ndufb8;Ndufv2;Polr2f;Cox7b;Ndufb6;Ndufa9;Slc25a4;Ndufa8;Ndufa7;Mdh1;Ndufa1;Ndufb1;Fxn;Suclg1;Ndufa3;Cox5b;Etfb;Ndufs6;Ndufs1;Idh3b;Atp5a1;Iscu;Atp1b1;Cox7c;Ndufa6;Ldha;Ndufs4;Atp5e;Sdhc;Ndufab1;Ndufa2;Fh1;Hsd17b10;Cox7a2;Atp5j;Timm8b;Uqcrc2;Dld;Uqcrfs1;Atp5l;Tomm70a;Isca1;Cox17;Uqcrh;Vdac3;Ndufb4;Casp7;Ndufs3;Atp5g1;Glud1;Cox6b1;Timm13;Sdha;Hspa9;Eci1;Cox4i1;Cox6a1;Cyb5r3;Atp6v0e;Etfa;Nqo2;Mgst3;Uqcrq;Mdh2;Mtrr;Atp5pb;Gpi1;Uqcrb;Echs1;Ndufb7;Cox5a;Sdhd;Surf1;Ndufa4;Mtrf1;Sdhb;Uqcrc1;Immt;Ndufc2;Cyb5a;Pdhb;Tomm22;Hadha;Mpc1;Cyc1;Atp5k;Prdx3;Aldh6a1;Phyh;Timm50;Uqcr10;Atp5c1;Acaa1a","41BB-L vs B7H3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00039552928000901,0.00988823200022524,0.49849310876659,-0.461009570719051,-1.53163244088729,198,"Gzma;C1s1;Tnfaip6;Cxcl9;Sectm1a;Ido1;Gbp8;Serping1;Isg20;Gbp4;Bpgm;Usp18;Ifit1bl1;Cfb;Oas3;Cd40;Fgl2;Klrk1;Plscr1;Ifi44;Ube2l6;Ccl5;Zbp1;Mthfd2;Pfkp;Rsad2;Parp12;H2-M2;Gpr18;Rtp4;Irf7;Socs1;Slamf7;Nmi;Samhd1;Itgb7;Nampt;Gbp3;Stat2;Psmb9;Cd69;Ifit2;Dhx58;Psme1;Auts2;Trim25;H2-Aa;Eif2ak2;Stat1;Ripk2;Tap1;Nlrc5;Rnf213;Cd74;Epsti1;B2m;Lgals3bp;H2-Eb1;Ddx60;Samd9l;Tnfsf10;Helz2;H2-D1;Isg15;Ifit3;Lap3;Herc6;Cmpk2;Oas2;Parp14;Isoc1;Ciita;Il18bp;H2-Q7;Psmb8;Xaf1;Adar;Psmb10;Cxcl10;H2-DMa;Ifi35;Fpr1;Psma2;Bst2;Sri;Casp7;Il6;Znfx1;Gbp9;Rigi;Ifi27l2b;Ly6e;Ptgs2;Vcam1;Ifi30;Il15ra;Nod1;St8sia4;Ifitm3;Pml;Il2rb;Oasl1;Stat4;Arl4a;Xcl1;Ogfr;Trim21;Sp110;Cmtr1;Ifih1;Hif1a;Psmb2","41BB-L vs B7H3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00129312464406115,0.0215520774010191,0.45505986738723,-0.516585125533635,-1.57213689007113,96,"C1s1;Lamp3;Isg20;Gbp2;Cnp;Usp18;Plscr1;Ifi44;Ube2l6;Rsad2;Parp12;Rtp4;Irf7;Nmi;Oas1a;Gbp3;Stat2;Trim12c;Psmb9;Ifit2;Dhx58;Psme1;Trim25;Eif2ak2;Ripk2;Tap1;Cd74;Sell;Epsti1;B2m;Lgals3bp;Ddx60;Samd9l;Helz2;Isg15;Ifit3;Cd47;Lap3;Herc6;Cmpk2;Parp14;H2-Q7;Psmb8;Adar;Cxcl10;Ifi35;Bst2;Ifi27l2b;Ly6e;Ifi30;Ifitm3;Oasl1;Nub1;Oas1g;Ncoa7;Mvb12a;Ogfr;Parp9;Procr;Trim21;Sp110;Cmtr1;Ifih1","41BB-L vs B7H3"
"HALLMARK_COMPLEMENT",0.00765733282360919,0.0957166602951149,0.407017918923954,-0.419728630612366,-1.39295364954053,192,"Spock2;Hpcal4;Ltf;Zfpm2;Adra2b;Gzmk;Gzmb;Gp1ba;Gzma;Dgkg;C1s1;S100a9;Itih1;Cd40lg;Cdh13;F8;Tfpi2;Mmp12;Csrp1;Mmp13;Serping1;F5;Car2;Lck;F2;Mmp8;Pdp1;Plg;Kynu;Cfb;Serpinc1;F10;Plscr1;Ccl5;Hnf4a;Col4a2;Actn2;Kcnip2;Irf7;Cd36;Pla2g7;C2;Psmb9;Anxa5;Gpd2;Fn1;C3;Dpp4;Rhog;Mmp14;Serpinb2;Rasgrp1;Cpq;Lap3;Timp1;Serpina1b;Gmfb;Calm1;F7;Fcnb;S100a13;Ctsl;Casp7;Cr2;Il6;Atox1;Lta4h","41BB-L vs B7H3"
"HALLMARK_APICAL_SURFACE",0.161061946902655,1,0.144630528034484,-0.451630698362513,-1.2321887417609,43,"Afap1l2;Gstm5;Shroom2;Srpx;Cd160;Pkhd1;Slc34a3;Lypd3;Il2rg;Atp6v0a4;Dcbld2;Slc2a4;Mdga1;Akap7;Tmem8b;Thy1","41BB-L vs B7H3"
"HALLMARK_UV_RESPONSE_UP",0.19016393442623,1,0.126253987849115,-0.350471786356151,-1.13398651568669,155,"Igfbp2;H2-Q1;Nptx2;Msx1;Asns;Tyro3;Tchh;Selenow;Cck;Car2;H2-Q2;Lhx2;Clcn2;Cnp;Fgf18;Hspa2;Dgat1;Ptprd;Tfrc;Bsg;Eif2s3x;Slc25a4;Aldoa;Polg2;Ggh;H2ax;Olfm1;Tst;Chrna5;Prkaca","41BB-L vs B7H3"
"HALLMARK_E2F_TARGETS",0.197431781701445,1,0.122107920287081,-0.337562839705768,-1.12214614033353,197,"Depdc1a;Espl1;Hmmr;Rad51c;Bub1b;Top2a;Spc25;Dscc1;Mcm6;Asf1b;Trip13;Mxd3;Cdkn2a;Spag5;Chek1;Dut;Diaph3;Kif22;Mcm2;E2f8;Spc24;Cdc20;Tk1;Mthfd2;Cks1b;Tfrc;Stmn1;Aurkb;Ranbp1;Cenpm;Smc4;Dck;Cdc25a;Rpa3;Orc6;H2ax;Usp1;Mki67;Xpo1;Naa38;Bard1;Wdr90;Paics;Plk4;Ctps;Tubb5;Rrm2;Rfc3;Brms1l;Hells;Melk;Cdkn2c;Nasp;Cdk1;Tacc3;Ing3;Pnn;Hmgb3;Ung;Ccp110;Slbp;Racgap1","41BB-L vs B7H3"
"HALLMARK_ALLOGRAFT_REJECTION",0.204180064308682,1,0.119887845115423,-0.336123032253092,-1.11405418829973,191,"Tgfb2;Inhbb;Cd8b1;Gzmb;Ifng;Gzma;Cd79a;Sit1;Cd3e;Ccl11;Cd40lg;Il2;Cxcl9;Nos2;Lck;Cdkn2a;F2;Il2rg;Gbp2;Il12a;Itk;Bcat1;Il12rb1;Cd40;Ccl5;Il9;Il2ra;Irf7;Socs1;Inhba;Cd3d;C2;Klrd1;Thy1;Mmp9;H2-Aa;Cxcl13;Stat1;Fasl;Ripk2;Capg;Ly75;Tap1;Cd74;B2m;Cd8a;Cd47;H2-Oa;Ereg;Flna;Cd7;Timp1;H2-Q7;Tpd52;Psmb10;H2-DMa","41BB-L vs B7H3"
"HALLMARK_PANCREAS_BETA_CELLS",0.221033868092692,1,0.121543282035469,-0.426576907323344,-1.14822937953473,40,"Slc2a2;Hnf1a;Foxa2;Pax6;Neurod1;Sst;Pcsk1;Dcx;Gcg;Vdr","41BB-L vs B7H3"
"HALLMARK_KRAS_SIGNALING_DN",0.287096774193548,1,0.0982123351217438,-0.318979393182921,-1.05885826711447,196,"Tgfb2;Kcnmb1;Igfbp2;Cldn8;Tff2;Fshb;Ptgfr;Krt13;Bmpr1b;Hnf1a;Calcb;Tfcp2l1;Tlx1;Prop1;Gp1ba;Ifng;Edn2;Slc38a3;Cpa2;Tcl1;Cd207;Ccna1;Oxt;Krt5;Coq8a;Slc30a3;Tenm2;Cd40lg;Zc2hc1c;Ryr1;Upk3b;Alox12b;Prodh;Grid2;Atp4a;Lypd3","41BB-L vs B7H3"
