"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00103110725800455,0.0515553629002277,0.45505986738723,-0.453531986696047,-1.54683560061517,186,"Maob;Uqcrc2;Ndufa5;Ndufv1;Aco2;Ndufv2;Ndufb4;Uqcrb;Slc25a5;Ndufs6;Tomm70a;Atp5o;Aldh6a1;Acat1;Cox7b;Mdh1;Ndufa9;Decr1;Etfdh;Glud1;Dld;Ndufa4;Idh3a;Ndufab1;Ndufa6;Vdac1;Atp5g3;Uqcr11;Atp5j;Slc25a11;Fh1;Pdp1;Prdx3;Vdac2;Sucla2;Timm9;Ndufb8;Echs1;Mpc1;Cox8a;Cyb5a;Phyh;Dlat;Ndufb3;Abcb7;Idh3b;Timm8b;Eci1;Polr2f;Ndufs3;Cox10;Uqcrfs1;Ndufa1;Sdha;Ndufb5;Idh3g;Cox6c;Retsat;Cox7a2l;Tomm22;Ndufs4;Mtrr;Ndufa7;Atp5b;Cycs;Fdx1;Opa1;Gpi1;Ech1;Sdhc;Ndufb1;Atp6v1h;Atp5pb;Iscu;Ndufs1;Rhot1;Pmpca;Atp5a1;Lrpprc;Hadhb;Ndufc1;Cox7a2;Ndufs8;Suclg1;Ldhb;Cox4i1;Rhot2"
"HALLMARK_COMPLEMENT",0.00935196846242262,0.233799211560566,0.380730400722792,-0.409552361277528,-1.40367976947269,192,"Spock2;Hpcal4;Me1;Zfpm2;Ltf;Gzmb;Gzmk;Adra2b;Gp1ba;S100a9;Gzma;Itih1;Dgkg;Cr2;C1s1;Kif2a;Cd55;Cdh13;Cd40lg;Car2;Ccl5;F5;F8;Calm3;Klk1;F2;Cp;Itgam;C3;Ctsh;Plscr1;Mmp12;Cxcl2;Plg;Pdp1;Mmp8;Dpp4;Lamp2;Cfb;Lta4h;Tfpi2;Serpinc1;Gnb2;Pik3ca;Csrp1;Prcp;Usp14;C1rb;Pla2g7;Apoc1;Cxcl3;Dock4;Olr1;C1qa;Dock10;Tnfaip3;Psen1;Kcnip3;Mmp13;Vcpip1;Fdx1;Lyn;Cxcl1;Gpd2;Mmp14;Fyn;Usp15;Cpq;Pik3cg;Dgkh;Rasgrp1;Lap3;Klkb1;Kcnip2"
"HALLMARK_MYC_TARGETS_V1",0.0365706321575215,0.609510535958692,0.321775918075361,-0.386489629627709,-1.31710708723181,183,"Ccna2;Eif1ax;Cbx3;Snrpg;Fam120a;Abce1;Usp1;Hnrnpc;Ran;Tomm70a;Prps2;Mcm6;Psma7;Ctps;Pgk1;Ywhaq;C1qbp;Dut;Mcm4;Ube2e1;Eif2s2;Ndufab1;Psma6;Cdc20;Nap1l1;Erh;Vdac1;Eif3j1;Ranbp1;Aimp2;Prdx3;Orc2;Clns1a;Hnrnpa2b1;Snrpb2;Canx;Hnrnpr;Psma1;Acp1;Cct3;Hddc2;Etf1;Glo1;Rrm1;Pabpc1;Xrcc6;Xpo1;Psma2;Psmb2;Eif3d;Lsm2;Stard7;Txnl4a;Srm;Eif2s1;Pwp1;Impdh2;Eef1b2;Pa2g4;Mcm2;Srsf3;Ywhae;Cul1;H2az1;Ddx18;Prdx4;Eif4e;Kars;Smarcc1;Serbp1;Snrpa1;Ptges3;Ncbp1;Hnrnpa1;Cct4;Psma4;Eprs;Trim28"
"HALLMARK_MTORC1_SIGNALING",0.126137841352406,1,0.139599673451922,-0.348330317762548,-1.19377050189316,198,"Me1;Vldlr;Elovl6;Srd5a1;Sytl2;Asns;Bub1;Ak4;Scd1;Stc1;Qdpr;Igfbp5;Actr3;Eef1e1;Uchl5;Mthfd2;Sqle;Serpinh1;Dhfr;Tfrc;Pgk1;Add3;Pitpnb;Slc2a3;Elovl5;Psma3;Fads1;Mcm4;Idi1;Hmgcs1;Eif2s2;Tubg1;Ube2d3;Tpi1;Ddit4;Lta4h;Canx;Egln3;Actr2;Nampt;Etf1;Bcat1;Ero1a;Glrx;Hspa4;Ppa1;Aldoa;Wars1;Cdc25a;Cxcr4;Ccng1;Gga2;Gpi1;Mcm2;Pno1;Cacybp;Serp1;Ufm1;Tbk1;Rdh11;Tmem97;Acaca;Pgm1"
"HALLMARK_ANGIOGENESIS",0.131805157593123,1,0.208955027549354,0.426168488660278,1.28398286381129,36,"Col5a2;Lum;Serpina5;Apoh;Prg2;Vtn;Kcnj8;Pglyrp1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.170305676855895,1,0.227987202850442,0.281896625382265,1.11207365436649,201,"Slit3;Fbln2;Tnfrsf11b;Loxl1;Col5a2;Mgp;Lum;Matn2;Sfrp1;Plod2;Tnc;Dcn;Matn3;Oxtr;Igfbp3;Cxcl12;Gas1;Pthlh;Acta2;Col5a3;Pdgfrb;Bgn;Col8a2;Fbln5;Loxl2;Pcolce;Wnt5a;Lrrc15;Mmp1b"
"HALLMARK_ALLOGRAFT_REJECTION",0.191270860077022,1,0.109250039480711,-0.332576560620846,-1.13861812870174,191,"Tgfb2;Cd8b1;Inhbb;Cd79a;Gzmb;Ereg;Gzma;Il12a;Ifng;Il2;Ccl11;Sit1;Klrd1;Mmp9;Cd40lg;Nos2;Ccl5;Abce1;H2-Aa;B2m;Cd3e;Cd7;F2;Cxcl9;Cd8a;Ube2n;Il2rg;Eif3a;Flna;Hif1a;Tlr1;Eif3j1;Il1b;Lif;Socs5;Ccr2;Ccnd3;Gcnt1;Gbp2;Cd80;Bcat1;Il7;H2-Q7;Egfr;Igsf6;Il27ra;Prkcb;Thy1;Wars1;Eif3d;Irf4;Lyn;Il18rap;Cd4;Cd40;St8sia4;Cd86;Cd1d1;Tlr6;Il15;Mtif2;Inhba;Ifnar2;Ptprc;Ifngr2;Bcl10;Spi1;Map3k7;Fyb;Degs1;Icosl"
"HALLMARK_KRAS_SIGNALING_UP",0.248062015503876,1,0.0937465422491719,-0.320228520213762,-1.10308571762711,202,"Ppbp;Sox9;Cidea;Ano1;Ngf;Sema3b;Anxa10;Serpina3n;Ereg;Cpe;Tspan1;Hoxd11;Ccl20;Akap12;Gfpt2;Wnt7a;Il33;Flt4;Hkdc1;Ptprr;Mmp9;Zfp277;Bpgm;Car2;Tspan7;Tlr8;Zfp639;Ptgs2;Cab39l;Arg1;Snap91;Nrp1;St6gal1;Il2rg;Ptcd2;Serpina3c;Mmp10;Dock2;Tmem176a;Mmd;Clec4a3;Prelid3b;Il1b;Lif;Cfb;Cfhr1;Il7r;Ly96;F13a1;Pdcd1lg2;Slpi;Ero1a;Dcbld2;Glrx;Etv1;Satb1;Mycn;Tnfaip3;Ush1c;Wdr33;Gprc5b;Cxcr4;Cmklr1;Akt2"
"HALLMARK_HEDGEHOG_SIGNALING",0.26646248085758,1,0.0995791200495904,-0.416213567624927,-1.13818637441565,36,"Vldlr;Amot;Unc5c"
"HALLMARK_XENOBIOTIC_METABOLISM",0.269081500646831,1,0.0891647117820678,-0.316503828588827,-1.08897693185867,201,"Ptges;Lcat;Tgfb2;Gad1;Cyp2c55;Cyp4f14;Fmo1;Aox1;Fbln1;Ndrg2;Hrg;Gckr;Cyp2j9;Serpina6;Itih1;Nqo1;Aco2;Aldh3a1;Upb1;Fbp1;Car2;Igfbp1;Il1r1;Tkfc;Hgfac;Leap2;Maoa;Elovl5;Tat;Arg1;Akr1c18"
